record_id,sample_id,image_path,identity,modality,dataset_name,split,metadata
1,Multi-PIE::164::164_01_01_010_10_crop_128,Face\Multi_Pie_HR_128\164_01_01_010_10_crop_128.png,164,face,Multi-PIE,gallery,"{""image_type"": ""HR_128"", ""angle"": ""010"", ""lighting"": ""10"", ""expression"": ""01"", ""dataset_metadata"": {""version"": ""HR_128"", ""angle"": ""010"", ""lighting"": ""10"", ""expression"": ""01""}}"
2,Multi-PIE::164::164_01_01_010_03_crop_128,Face\Multi_Pie_HR_128\164_01_01_010_03_crop_128.png,164,face,Multi-PIE,probe,"{""image_type"": ""HR_128"", ""angle"": ""010"", ""lighting"": ""03"", ""expression"": ""01"", ""dataset_metadata"": {""version"": ""HR_128"", ""angle"": ""010"", ""lighting"": ""03"", ""expression"": ""01""}}"
3,Multi-PIE::029::029_01_02_010_10_crop_128,Face\Multi_Pie_HR_128\029_01_02_010_10_crop_128.png,029,face,Multi-PIE,gallery,"{""image_type"": ""HR_128"", ""angle"": ""010"", ""lighting"": ""10"", ""expression"": ""02"", ""dataset_metadata"": {""version"": ""HR_128"", ""angle"": ""010"", ""lighting"": ""10"", ""expression"": ""02""}}"
4,Multi-PIE::029::029_01_01_010_05_crop_128,Face\Multi_Pie_HR_128\029_01_01_010_05_crop_128.png,029,face,Multi-PIE,probe,"{""image_type"": ""HR_128"", ""angle"": ""010"", ""lighting"": ""05"", ""expression"": ""01"", ""dataset_metadata"": {""version"": ""HR_128"", ""angle"": ""010"", ""lighting"": ""05"", ""expression"": ""01""}}"
5,Multi-PIE::007::007_01_01_010_18_crop_128,Face\Multi_Pie_HR_128\007_01_01_010_18_crop_128.png,007,face,Multi-PIE,gallery,"{""image_type"": ""HR_128"", ""angle"": ""010"", ""lighting"": ""18"", ""expression"": ""01"", ""dataset_metadata"": {""version"": ""HR_128"", ""angle"": ""010"", ""lighting"": ""18"", ""expression"": ""01""}}"
6,Multi-PIE::007::007_01_02_010_00_crop_128,Face\Multi_Pie_HR_128\007_01_02_010_00_crop_128.png,007,face,Multi-PIE,probe,"{""image_type"": ""HR_128"", ""angle"": ""010"", ""lighting"": ""00"", ""expression"": ""02"", ""dataset_metadata"": {""version"": ""HR_128"", ""angle"": ""010"", ""lighting"": ""00"", ""expression"": ""02""}}"
7,Multi-PIE::190::190_01_02_010_16_crop_128,Face\Multi_Pie_HR_128\190_01_02_010_16_crop_128.png,190,face,Multi-PIE,gallery,"{""image_type"": ""HR_128"", ""angle"": ""010"", ""lighting"": ""16"", ""expression"": ""02"", ""dataset_metadata"": {""version"": ""HR_128"", ""angle"": ""010"", ""lighting"": ""16"", ""expression"": ""02""}}"
8,Multi-PIE::190::190_01_01_010_12_crop_128,Face\Multi_Pie_HR_128\190_01_01_010_12_crop_128.png,190,face,Multi-PIE,probe,"{""image_type"": ""HR_128"", ""angle"": ""010"", ""lighting"": ""12"", ""expression"": ""01"", ""dataset_metadata"": {""version"": ""HR_128"", ""angle"": ""010"", ""lighting"": ""12"", ""expression"": ""01""}}"
9,Multi-PIE::071::071_01_01_010_19_crop_128,Face\Multi_Pie_HR_128\071_01_01_010_19_crop_128.png,071,face,Multi-PIE,gallery,"{""image_type"": ""HR_128"", ""angle"": ""010"", ""lighting"": ""19"", ""expression"": ""01"", ""dataset_metadata"": {""version"": ""HR_128"", ""angle"": ""010"", ""lighting"": ""19"", ""expression"": ""01""}}"
10,Multi-PIE::071::071_01_02_010_11_crop_128,Face\Multi_Pie_HR_128\071_01_02_010_11_crop_128.png,071,face,Multi-PIE,probe,"{""image_type"": ""HR_128"", ""angle"": ""010"", ""lighting"": ""11"", ""expression"": ""02"", ""dataset_metadata"": {""version"": ""HR_128"", ""angle"": ""010"", ""lighting"": ""11"", ""expression"": ""02""}}"
