record_id,sample_id,image_path,identity,modality,dataset_name,split,metadata
1,Multi-PIE::164::164_01_02_110_18_crop_128,Face\Multi_Pie_HR_128\164_01_02_110_18_crop_128.png,164,face,Multi-PIE,gallery,"{""image_type"": ""HR_128"", ""angle"": ""110"", ""lighting"": ""18"", ""expression"": ""02"", ""dataset_metadata"": {""version"": ""HR_128"", ""angle"": ""110"", ""lighting"": ""18"", ""expression"": ""02""}}"
2,Multi-PIE::164::164_01_02_051_06_crop_128,Face\Multi_Pie_HR_128\164_01_02_051_06_crop_128.png,164,face,Multi-PIE,probe,"{""image_type"": ""HR_128"", ""angle"": ""051"", ""lighting"": ""06"", ""expression"": ""02"", ""dataset_metadata"": {""version"": ""HR_128"", ""angle"": ""051"", ""lighting"": ""06"", ""expression"": ""02""}}"
3,Multi-PIE::029::029_01_02_130_07_crop_128,Face\Multi_Pie_HR_128\029_01_02_130_07_crop_128.png,029,face,Multi-PIE,gallery,"{""image_type"": ""HR_128"", ""angle"": ""130"", ""lighting"": ""07"", ""expression"": ""02"", ""dataset_metadata"": {""version"": ""HR_128"", ""angle"": ""130"", ""lighting"": ""07"", ""expression"": ""02""}}"
4,Multi-PIE::029::029_01_02_240_16_crop_128,Face\Multi_Pie_HR_128\029_01_02_240_16_crop_128.png,029,face,Multi-PIE,probe,"{""image_type"": ""HR_128"", ""angle"": ""240"", ""lighting"": ""16"", ""expression"": ""02"", ""dataset_metadata"": {""version"": ""HR_128"", ""angle"": ""240"", ""lighting"": ""16"", ""expression"": ""02""}}"
5,Multi-PIE::007::007_01_01_120_08_crop_128,Face\Multi_Pie_HR_128\007_01_01_120_08_crop_128.png,007,face,Multi-PIE,gallery,"{""image_type"": ""HR_128"", ""angle"": ""120"", ""lighting"": ""08"", ""expression"": ""01"", ""dataset_metadata"": {""version"": ""HR_128"", ""angle"": ""120"", ""lighting"": ""08"", ""expression"": ""01""}}"
6,Multi-PIE::007::007_01_01_130_00_crop_128,Face\Multi_Pie_HR_128\007_01_01_130_00_crop_128.png,007,face,Multi-PIE,probe,"{""image_type"": ""HR_128"", ""angle"": ""130"", ""lighting"": ""00"", ""expression"": ""01"", ""dataset_metadata"": {""version"": ""HR_128"", ""angle"": ""130"", ""lighting"": ""00"", ""expression"": ""01""}}"
7,Multi-PIE::190::190_01_01_090_02_crop_128,Face\Multi_Pie_HR_128\190_01_01_090_02_crop_128.png,190,face,Multi-PIE,gallery,"{""image_type"": ""HR_128"", ""angle"": ""090"", ""lighting"": ""02"", ""expression"": ""01"", ""dataset_metadata"": {""version"": ""HR_128"", ""angle"": ""090"", ""lighting"": ""02"", ""expression"": ""01""}}"
8,Multi-PIE::190::190_01_02_140_04_crop_128,Face\Multi_Pie_HR_128\190_01_02_140_04_crop_128.png,190,face,Multi-PIE,probe,"{""image_type"": ""HR_128"", ""angle"": ""140"", ""lighting"": ""04"", ""expression"": ""02"", ""dataset_metadata"": {""version"": ""HR_128"", ""angle"": ""140"", ""lighting"": ""04"", ""expression"": ""02""}}"
9,Multi-PIE::071::071_01_02_080_04_crop_128,Face\Multi_Pie_HR_128\071_01_02_080_04_crop_128.png,071,face,Multi-PIE,gallery,"{""image_type"": ""HR_128"", ""angle"": ""080"", ""lighting"": ""04"", ""expression"": ""02"", ""dataset_metadata"": {""version"": ""HR_128"", ""angle"": ""080"", ""lighting"": ""04"", ""expression"": ""02""}}"
10,Multi-PIE::071::071_01_01_051_19_crop_128,Face\Multi_Pie_HR_128\071_01_01_051_19_crop_128.png,071,face,Multi-PIE,probe,"{""image_type"": ""HR_128"", ""angle"": ""051"", ""lighting"": ""19"", ""expression"": ""01"", ""dataset_metadata"": {""version"": ""HR_128"", ""angle"": ""051"", ""lighting"": ""19"", ""expression"": ""01""}}"
11,Multi-PIE::063::063_01_02_090_01_crop_128,Face\Multi_Pie_HR_128\063_01_02_090_01_crop_128.png,063,face,Multi-PIE,gallery,"{""image_type"": ""HR_128"", ""angle"": ""090"", ""lighting"": ""01"", ""expression"": ""02"", ""dataset_metadata"": {""version"": ""HR_128"", ""angle"": ""090"", ""lighting"": ""01"", ""expression"": ""02""}}"
