record_id,sample_id,image_path,identity,modality,dataset_name,split,metadata
1,Multi-PIE::164::164_01_01_110_10_crop_128,Face\Multi_Pie_HR_128\164_01_01_110_10_crop_128.png,164,face,Multi-PIE,gallery,"{""image_type"": ""HR_128"", ""angle"": ""110"", ""lighting"": ""10"", ""expression"": ""01"", ""dataset_metadata"": {""version"": ""HR_128"", ""angle"": ""110"", ""lighting"": ""10"", ""expression"": ""01""}}"
2,Multi-PIE::164::164_01_01_110_03_crop_128,Face\Multi_Pie_HR_128\164_01_01_110_03_crop_128.png,164,face,Multi-PIE,gallery,"{""image_type"": ""HR_128"", ""angle"": ""110"", ""lighting"": ""03"", ""expression"": ""01"", ""dataset_metadata"": {""version"": ""HR_128"", ""angle"": ""110"", ""lighting"": ""03"", ""expression"": ""01""}}"
3,Multi-PIE::164::164_01_02_110_03_crop_128,Face\Multi_Pie_HR_128\164_01_02_110_03_crop_128.png,164,face,Multi-PIE,gallery,"{""image_type"": ""HR_128"", ""angle"": ""110"", ""lighting"": ""03"", ""expression"": ""02"", ""dataset_metadata"": {""version"": ""HR_128"", ""angle"": ""110"", ""lighting"": ""03"", ""expression"": ""02""}}"
4,Multi-PIE::164::164_01_01_110_00_crop_128,Face\Multi_Pie_HR_128\164_01_01_110_00_crop_128.png,164,face,Multi-PIE,probe,"{""image_type"": ""HR_128"", ""angle"": ""110"", ""lighting"": ""00"", ""expression"": ""01"", ""dataset_metadata"": {""version"": ""HR_128"", ""angle"": ""110"", ""lighting"": ""00"", ""expression"": ""01""}}"
5,Multi-PIE::029::029_01_02_110_10_crop_128,Face\Multi_Pie_HR_128\029_01_02_110_10_crop_128.png,029,face,Multi-PIE,gallery,"{""image_type"": ""HR_128"", ""angle"": ""110"", ""lighting"": ""10"", ""expression"": ""02"", ""dataset_metadata"": {""version"": ""HR_128"", ""angle"": ""110"", ""lighting"": ""10"", ""expression"": ""02""}}"
6,Multi-PIE::029::029_01_01_110_05_crop_128,Face\Multi_Pie_HR_128\029_01_01_110_05_crop_128.png,029,face,Multi-PIE,gallery,"{""image_type"": ""HR_128"", ""angle"": ""110"", ""lighting"": ""05"", ""expression"": ""01"", ""dataset_metadata"": {""version"": ""HR_128"", ""angle"": ""110"", ""lighting"": ""05"", ""expression"": ""01""}}"
7,Multi-PIE::029::029_01_01_110_00_crop_128,Face\Multi_Pie_HR_128\029_01_01_110_00_crop_128.png,029,face,Multi-PIE,gallery,"{""image_type"": ""HR_128"", ""angle"": ""110"", ""lighting"": ""00"", ""expression"": ""01"", ""dataset_metadata"": {""version"": ""HR_128"", ""angle"": ""110"", ""lighting"": ""00"", ""expression"": ""01""}}"
8,Multi-PIE::029::029_01_02_110_08_crop_128,Face\Multi_Pie_HR_128\029_01_02_110_08_crop_128.png,029,face,Multi-PIE,probe,"{""image_type"": ""HR_128"", ""angle"": ""110"", ""lighting"": ""08"", ""expression"": ""02"", ""dataset_metadata"": {""version"": ""HR_128"", ""angle"": ""110"", ""lighting"": ""08"", ""expression"": ""02""}}"
9,Multi-PIE::007::007_01_01_110_18_crop_128,Face\Multi_Pie_HR_128\007_01_01_110_18_crop_128.png,007,face,Multi-PIE,gallery,"{""image_type"": ""HR_128"", ""angle"": ""110"", ""lighting"": ""18"", ""expression"": ""01"", ""dataset_metadata"": {""version"": ""HR_128"", ""angle"": ""110"", ""lighting"": ""18"", ""expression"": ""01""}}"
10,Multi-PIE::007::007_01_02_110_00_crop_128,Face\Multi_Pie_HR_128\007_01_02_110_00_crop_128.png,007,face,Multi-PIE,gallery,"{""image_type"": ""HR_128"", ""angle"": ""110"", ""lighting"": ""00"", ""expression"": ""02"", ""dataset_metadata"": {""version"": ""HR_128"", ""angle"": ""110"", ""lighting"": ""00"", ""expression"": ""02""}}"
11,Multi-PIE::007::007_01_01_110_12_crop_128,Face\Multi_Pie_HR_128\007_01_01_110_12_crop_128.png,007,face,Multi-PIE,gallery,"{""image_type"": ""HR_128"", ""angle"": ""110"", ""lighting"": ""12"", ""expression"": ""01"", ""dataset_metadata"": {""version"": ""HR_128"", ""angle"": ""110"", ""lighting"": ""12"", ""expression"": ""01""}}"
