record_id,sample_id,image_path,identity,modality,dataset_name,split,metadata
1,Multi-PIE::164::164_01_01_130_07_crop_128,Face\Multi_Pie_HR_128\164_01_01_130_07_crop_128.png,164,face,Multi-PIE,gallery,"{""image_type"": ""HR_128"", ""angle"": ""130"", ""lighting"": ""07"", ""expression"": ""01"", ""dataset_metadata"": {""version"": ""HR_128"", ""angle"": ""130"", ""lighting"": ""07"", ""expression"": ""01""}}"
2,Multi-PIE::164::164_01_01_051_07_crop_128,Face\Multi_Pie_HR_128\164_01_01_051_07_crop_128.png,164,face,Multi-PIE,gallery,"{""image_type"": ""HR_128"", ""angle"": ""051"", ""lighting"": ""07"", ""expression"": ""01"", ""dataset_metadata"": {""version"": ""HR_128"", ""angle"": ""051"", ""lighting"": ""07"", ""expression"": ""01""}}"
3,Multi-PIE::164::164_01_01_140_06_crop_128,Face\Multi_Pie_HR_128\164_01_01_140_06_crop_128.png,164,face,Multi-PIE,gallery,"{""image_type"": ""HR_128"", ""angle"": ""140"", ""lighting"": ""06"", ""expression"": ""01"", ""dataset_metadata"": {""version"": ""HR_128"", ""angle"": ""140"", ""lighting"": ""06"", ""expression"": ""01""}}"
4,Multi-PIE::164::164_01_01_050_06_crop_128,Face\Multi_Pie_HR_128\164_01_01_050_06_crop_128.png,164,face,Multi-PIE,probe,"{""image_type"": ""HR_128"", ""angle"": ""050"", ""lighting"": ""06"", ""expression"": ""01"", ""dataset_metadata"": {""version"": ""HR_128"", ""angle"": ""050"", ""lighting"": ""06"", ""expression"": ""01""}}"
5,Multi-PIE::029::029_01_01_051_07_crop_128,Face\Multi_Pie_HR_128\029_01_01_051_07_crop_128.png,029,face,Multi-PIE,gallery,"{""image_type"": ""HR_128"", ""angle"": ""051"", ""lighting"": ""07"", ""expression"": ""01"", ""dataset_metadata"": {""version"": ""HR_128"", ""angle"": ""051"", ""lighting"": ""07"", ""expression"": ""01""}}"
6,Multi-PIE::029::029_01_01_041_05_crop_128,Face\Multi_Pie_HR_128\029_01_01_041_05_crop_128.png,029,face,Multi-PIE,gallery,"{""image_type"": ""HR_128"", ""angle"": ""041"", ""lighting"": ""05"", ""expression"": ""01"", ""dataset_metadata"": {""version"": ""HR_128"", ""angle"": ""041"", ""lighting"": ""05"", ""expression"": ""01""}}"
7,Multi-PIE::029::029_01_01_130_07_crop_128,Face\Multi_Pie_HR_128\029_01_01_130_07_crop_128.png,029,face,Multi-PIE,gallery,"{""image_type"": ""HR_128"", ""angle"": ""130"", ""lighting"": ""07"", ""expression"": ""01"", ""dataset_metadata"": {""version"": ""HR_128"", ""angle"": ""130"", ""lighting"": ""07"", ""expression"": ""01""}}"
8,Multi-PIE::029::029_01_01_051_05_crop_128,Face\Multi_Pie_HR_128\029_01_01_051_05_crop_128.png,029,face,Multi-PIE,probe,"{""image_type"": ""HR_128"", ""angle"": ""051"", ""lighting"": ""05"", ""expression"": ""01"", ""dataset_metadata"": {""version"": ""HR_128"", ""angle"": ""051"", ""lighting"": ""05"", ""expression"": ""01""}}"
9,Multi-PIE::007::007_01_01_130_05_crop_128,Face\Multi_Pie_HR_128\007_01_01_130_05_crop_128.png,007,face,Multi-PIE,gallery,"{""image_type"": ""HR_128"", ""angle"": ""130"", ""lighting"": ""05"", ""expression"": ""01"", ""dataset_metadata"": {""version"": ""HR_128"", ""angle"": ""130"", ""lighting"": ""05"", ""expression"": ""01""}}"
10,Multi-PIE::007::007_01_01_051_08_crop_128,Face\Multi_Pie_HR_128\007_01_01_051_08_crop_128.png,007,face,Multi-PIE,gallery,"{""image_type"": ""HR_128"", ""angle"": ""051"", ""lighting"": ""08"", ""expression"": ""01"", ""dataset_metadata"": {""version"": ""HR_128"", ""angle"": ""051"", ""lighting"": ""08"", ""expression"": ""01""}}"
