record_id,sample_id,image_path,identity,modality,dataset_name,split,metadata
1,EEMSC-DBM::0041::4::3,FingerVein\005-EEMSC-DBM\data\0041\0041_3_4_120523-113651.png,0041,finger,EEMSC-DBM,gallery,"{""finger"": ""3""}"
2,EEMSC-DBM::0041::2::3,FingerVein\005-EEMSC-DBM\data\0041\0041_3_2_120510-121332.png,0041,finger,EEMSC-DBM,gallery,"{""finger"": ""3""}"
3,EEMSC-DBM::0041::1::3,FingerVein\005-EEMSC-DBM\data\0041\0041_3_1_120510-121210.png,0041,finger,EEMSC-DBM,gallery,"{""finger"": ""3""}"
4,EEMSC-DBM::0041::3::3,FingerVein\005-EEMSC-DBM\data\0041\0041_3_3_120523-113525.png,0041,finger,EEMSC-DBM,probe,"{""finger"": ""3""}"
5,EEMSC-DBM::0008::3::3,FingerVein\005-EEMSC-DBM\data\0008\0008_3_3_120523-123054.png,0008,finger,EEMSC-DBM,gallery,"{""finger"": ""3""}"
6,EEMSC-DBM::0008::4::3,FingerVein\005-EEMSC-DBM\data\0008\0008_3_4_120523-123208.png,0008,finger,EEMSC-DBM,gallery,"{""finger"": ""3""}"
7,EEMSC-DBM::0008::2::3,FingerVein\005-EEMSC-DBM\data\0008\0008_3_2_120509-145217.png,0008,finger,EEMSC-DBM,gallery,"{""finger"": ""3""}"
8,EEMSC-DBM::0008::1::3,FingerVein\005-EEMSC-DBM\data\0008\0008_3_1_120509-145046.png,0008,finger,EEMSC-DBM,probe,"{""finger"": ""3""}"
9,EEMSC-DBM::0002::1::3,FingerVein\005-EEMSC-DBM\data\0002\0002_3_1_120509-140659.png,0002,finger,EEMSC-DBM,gallery,"{""finger"": ""3""}"
10,EEMSC-DBM::0002::2::3,FingerVein\005-EEMSC-DBM\data\0002\0002_3_2_120509-140920.png,0002,finger,EEMSC-DBM,gallery,"{""finger"": ""3""}"
11,EEMSC-DBM::0002::4::3,FingerVein\005-EEMSC-DBM\data\0002\0002_3_4_120523-103359.png,0002,finger,EEMSC-DBM,gallery,"{""finger"": ""3""}"
12,EEMSC-DBM::0002::3::3,FingerVein\005-EEMSC-DBM\data\0002\0002_3_3_120523-103204.png,0002,finger,EEMSC-DBM,probe,"{""finger"": ""3""}"
