record_id,sample_id,image_path,identity,modality,dataset_name,split,metadata
1,FV-USM::082::04::R::middle,FingerVein\003-FV-USM\2nd_session\extractedvein\vein082_4\04.jpg,082,finger,FV-USM,gallery,"{""side"": ""R"", ""finger"": ""middle"", ""image_type"": ""roi"", ""dataset_metadata"": {""session"": ""2nd_session"", ""image_type"": ""roi""}}"
2,FV-USM::082::05::R::middle,FingerVein\003-FV-USM\2nd_session\extractedvein\vein082_4\05.jpg,082,finger,FV-USM,probe,"{""side"": ""R"", ""finger"": ""middle"", ""image_type"": ""roi"", ""dataset_metadata"": {""session"": ""2nd_session"", ""image_type"": ""roi""}}"
3,FV-USM::015::02::R::middle,FingerVein\003-FV-USM\2nd_session\extractedvein\vein015_4\02.jpg,015,finger,FV-USM,gallery,"{""side"": ""R"", ""finger"": ""middle"", ""image_type"": ""roi"", ""dataset_metadata"": {""session"": ""2nd_session"", ""image_type"": ""roi""}}"
4,FV-USM::015::03::R::middle,FingerVein\003-FV-USM\1st_session\extractedvein\vein015_4\03.jpg,015,finger,FV-USM,probe,"{""side"": ""R"", ""finger"": ""middle"", ""image_type"": ""roi"", ""dataset_metadata"": {""session"": ""1st_session"", ""image_type"": ""roi""}}"
5,FV-USM::004::01::R::middle,FingerVein\003-FV-USM\2nd_session\extractedvein\vein004_4\01.jpg,004,finger,FV-USM,gallery,"{""side"": ""R"", ""finger"": ""middle"", ""image_type"": ""roi"", ""dataset_metadata"": {""session"": ""2nd_session"", ""image_type"": ""roi""}}"
6,FV-USM::004::04::R::middle,FingerVein\003-FV-USM\1st_session\extractedvein\vein004_4\04.jpg,004,finger,FV-USM,probe,"{""side"": ""R"", ""finger"": ""middle"", ""image_type"": ""roi"", ""dataset_metadata"": {""session"": ""1st_session"", ""image_type"": ""roi""}}"
7,FV-USM::095::01::R::middle,FingerVein\003-FV-USM\1st_session\extractedvein\vein095_4\01.jpg,095,finger,FV-USM,gallery,"{""side"": ""R"", ""finger"": ""middle"", ""image_type"": ""roi"", ""dataset_metadata"": {""session"": ""1st_session"", ""image_type"": ""roi""}}"
8,FV-USM::095::05::R::middle,FingerVein\003-FV-USM\2nd_session\extractedvein\vein095_4\05.jpg,095,finger,FV-USM,probe,"{""side"": ""R"", ""finger"": ""middle"", ""image_type"": ""roi"", ""dataset_metadata"": {""session"": ""2nd_session"", ""image_type"": ""roi""}}"
9,FV-USM::036::05::R::middle,FingerVein\003-FV-USM\2nd_session\extractedvein\vein036_4\05.jpg,036,finger,FV-USM,gallery,"{""side"": ""R"", ""finger"": ""middle"", ""image_type"": ""roi"", ""dataset_metadata"": {""session"": ""2nd_session"", ""image_type"": ""roi""}}"
10,FV-USM::036::03::R::middle,FingerVein\003-FV-USM\2nd_session\extractedvein\vein036_4\03.jpg,036,finger,FV-USM,probe,"{""side"": ""R"", ""finger"": ""middle"", ""image_type"": ""roi"", ""dataset_metadata"": {""session"": ""2nd_session"", ""image_type"": ""roi""}}"
