record_id,sample_id,image_path,identity,modality,dataset_name,split,metadata
1,MMCBNU_6000::082::10::L::fore,FingerVein\002-MMCBNU_6000\ROIs\082\L_Fore\10.bmp,082,finger,MMCBNU_6000,gallery,"{""side"": ""L"", ""finger"": ""fore"", ""dataset_metadata"": {""image_type"": ""roi""}}"
2,MMCBNU_6000::082::08::L::fore,FingerVein\002-MMCBNU_6000\ROIs\082\L_Fore\08.bmp,082,finger,MMCBNU_6000,probe,"{""side"": ""L"", ""finger"": ""fore"", ""dataset_metadata"": {""image_type"": ""roi""}}"
3,MMCBNU_6000::015::06::L::fore,FingerVein\002-MMCBNU_6000\ROIs\015\L_Fore\06.bmp,015,finger,MMCBNU_6000,gallery,"{""side"": ""L"", ""finger"": ""fore"", ""dataset_metadata"": {""image_type"": ""roi""}}"
4,MMCBNU_6000::015::08::L::fore,FingerVein\002-MMCBNU_6000\ROIs\015\L_Fore\08.bmp,015,finger,MMCBNU_6000,probe,"{""side"": ""L"", ""finger"": ""fore"", ""dataset_metadata"": {""image_type"": ""roi""}}"
5,MMCBNU_6000::004::01::L::fore,FingerVein\002-MMCBNU_6000\ROIs\004\L_Fore\01.bmp,004,finger,MMCBNU_6000,gallery,"{""side"": ""L"", ""finger"": ""fore"", ""dataset_metadata"": {""image_type"": ""roi""}}"
6,MMCBNU_6000::004::04::L::fore,FingerVein\002-MMCBNU_6000\ROIs\004\L_Fore\04.bmp,004,finger,MMCBNU_6000,probe,"{""side"": ""L"", ""finger"": ""fore"", ""dataset_metadata"": {""image_type"": ""roi""}}"
7,MMCBNU_6000::095::07::L::fore,FingerVein\002-MMCBNU_6000\ROIs\095\L_Fore\07.bmp,095,finger,MMCBNU_6000,gallery,"{""side"": ""L"", ""finger"": ""fore"", ""dataset_metadata"": {""image_type"": ""roi""}}"
8,MMCBNU_6000::095::01::L::fore,FingerVein\002-MMCBNU_6000\ROIs\095\L_Fore\01.bmp,095,finger,MMCBNU_6000,probe,"{""side"": ""L"", ""finger"": ""fore"", ""dataset_metadata"": {""image_type"": ""roi""}}"
9,MMCBNU_6000::036::05::L::fore,FingerVein\002-MMCBNU_6000\ROIs\036\L_Fore\05.bmp,036,finger,MMCBNU_6000,gallery,"{""side"": ""L"", ""finger"": ""fore"", ""dataset_metadata"": {""image_type"": ""roi""}}"
10,MMCBNU_6000::036::10::L::fore,FingerVein\002-MMCBNU_6000\ROIs\036\L_Fore\10.bmp,036,finger,MMCBNU_6000,probe,"{""side"": ""L"", ""finger"": ""fore"", ""dataset_metadata"": {""image_type"": ""roi""}}"
11,MMCBNU_6000::032::03::L::fore,FingerVein\002-MMCBNU_6000\ROIs\032\L_Fore\03.bmp,032,finger,MMCBNU_6000,gallery,"{""side"": ""L"", ""finger"": ""fore"", ""dataset_metadata"": {""image_type"": ""roi""}}"
12,MMCBNU_6000::032::02::L::fore,FingerVein\002-MMCBNU_6000\ROIs\032\L_Fore\02.bmp,032,finger,MMCBNU_6000,probe,"{""side"": ""L"", ""finger"": ""fore"", ""dataset_metadata"": {""image_type"": ""roi""}}"
13,MMCBNU_6000::029::10::L::fore,FingerVein\002-MMCBNU_6000\ROIs\029\L_Fore\10.bmp,029,finger,MMCBNU_6000,gallery,"{""side"": ""L"", ""finger"": ""fore"", ""dataset_metadata"": {""image_type"": ""roi""}}"
14,MMCBNU_6000::029::01::L::fore,FingerVein\002-MMCBNU_6000\ROIs\029\L_Fore\01.bmp,029,finger,MMCBNU_6000,probe,"{""side"": ""L"", ""finger"": ""fore"", ""dataset_metadata"": {""image_type"": ""roi""}}"
15,MMCBNU_6000::018::04::L::fore,FingerVein\002-MMCBNU_6000\ROIs\018\L_Fore\04.bmp,018,finger,MMCBNU_6000,gallery,"{""side"": ""L"", ""finger"": ""fore"", ""dataset_metadata"": {""image_type"": ""roi""}}"
16,MMCBNU_6000::018::05::L::fore,FingerVein\002-MMCBNU_6000\ROIs\018\L_Fore\05.bmp,018,finger,MMCBNU_6000,probe,"{""side"": ""L"", ""finger"": ""fore"", ""dataset_metadata"": {""image_type"": ""roi""}}"
17,MMCBNU_6000::014::09::L::fore,FingerVein\002-MMCBNU_6000\ROIs\014\L_Fore\09.bmp,014,finger,MMCBNU_6000,gallery,"{""side"": ""L"", ""finger"": ""fore"", ""dataset_metadata"": {""image_type"": ""roi""}}"
18,MMCBNU_6000::014::01::L::fore,FingerVein\002-MMCBNU_6000\ROIs\014\L_Fore\01.bmp,014,finger,MMCBNU_6000,probe,"{""side"": ""L"", ""finger"": ""fore"", ""dataset_metadata"": {""image_type"": ""roi""}}"
19,MMCBNU_6000::087::04::L::fore,FingerVein\002-MMCBNU_6000\ROIs\087\L_Fore\04.bmp,087,finger,MMCBNU_6000,gallery,"{""side"": ""L"", ""finger"": ""fore"", ""dataset_metadata"": {""image_type"": ""roi""}}"
20,MMCBNU_6000::087::08::L::fore,FingerVein\002-MMCBNU_6000\ROIs\087\L_Fore\08.bmp,087,finger,MMCBNU_6000,probe,"{""side"": ""L"", ""finger"": ""fore"", ""dataset_metadata"": {""image_type"": ""roi""}}"
21,MMCBNU_6000::070::04::L::fore,FingerVein\002-MMCBNU_6000\ROIs\070\L_Fore\04.bmp,070,finger,MMCBNU_6000,gallery,"{""side"": ""L"", ""finger"": ""fore"", ""dataset_metadata"": {""image_type"": ""roi""}}"
22,MMCBNU_6000::070::09::L::fore,FingerVein\002-MMCBNU_6000\ROIs\070\L_Fore\09.bmp,070,finger,MMCBNU_6000,probe,"{""side"": ""L"", ""finger"": ""fore"", ""dataset_metadata"": {""image_type"": ""roi""}}"
23,MMCBNU_6000::012::08::L::fore,FingerVein\002-MMCBNU_6000\ROIs\012\L_Fore\08.bmp,012,finger,MMCBNU_6000,gallery,"{""side"": ""L"", ""finger"": ""fore"", ""dataset_metadata"": {""image_type"": ""roi""}}"
24,MMCBNU_6000::012::10::L::fore,FingerVein\002-MMCBNU_6000\ROIs\012\L_Fore\10.bmp,012,finger,MMCBNU_6000,probe,"{""side"": ""L"", ""finger"": ""fore"", ""dataset_metadata"": {""image_type"": ""roi""}}"
25,MMCBNU_6000::076::05::L::fore,FingerVein\002-MMCBNU_6000\ROIs\076\L_Fore\05.bmp,076,finger,MMCBNU_6000,gallery,"{""side"": ""L"", ""finger"": ""fore"", ""dataset_metadata"": {""image_type"": ""roi""}}"
26,MMCBNU_6000::076::06::L::fore,FingerVein\002-MMCBNU_6000\ROIs\076\L_Fore\06.bmp,076,finger,MMCBNU_6000,probe,"{""side"": ""L"", ""finger"": ""fore"", ""dataset_metadata"": {""image_type"": ""roi""}}"
27,MMCBNU_6000::055::01::L::fore,FingerVein\002-MMCBNU_6000\ROIs\055\L_Fore\01.bmp,055,finger,MMCBNU_6000,gallery,"{""side"": ""L"", ""finger"": ""fore"", ""dataset_metadata"": {""image_type"": ""roi""}}"
28,MMCBNU_6000::055::04::L::fore,FingerVein\002-MMCBNU_6000\ROIs\055\L_Fore\04.bmp,055,finger,MMCBNU_6000,probe,"{""side"": ""L"", ""finger"": ""fore"", ""dataset_metadata"": {""image_type"": ""roi""}}"
29,MMCBNU_6000::005::06::L::fore,FingerVein\002-MMCBNU_6000\ROIs\005\L_Fore\06.bmp,005,finger,MMCBNU_6000,gallery,"{""side"": ""L"", ""finger"": ""fore"", ""dataset_metadata"": {""image_type"": ""roi""}}"
30,MMCBNU_6000::005::01::L::fore,FingerVein\002-MMCBNU_6000\ROIs\005\L_Fore\01.bmp,005,finger,MMCBNU_6000,probe,"{""side"": ""L"", ""finger"": ""fore"", ""dataset_metadata"": {""image_type"": ""roi""}}"
31,MMCBNU_6000::098::02::L::fore,FingerVein\002-MMCBNU_6000\ROIs\098\L_Fore\02.bmp,098,finger,MMCBNU_6000,gallery,"{""side"": ""L"", ""finger"": ""fore"", ""dataset_metadata"": {""image_type"": ""roi""}}"
32,MMCBNU_6000::098::03::L::fore,FingerVein\002-MMCBNU_6000\ROIs\098\L_Fore\03.bmp,098,finger,MMCBNU_6000,probe,"{""side"": ""L"", ""finger"": ""fore"", ""dataset_metadata"": {""image_type"": ""roi""}}"
33,MMCBNU_6000::089::04::L::fore,FingerVein\002-MMCBNU_6000\ROIs\089\L_Fore\04.bmp,089,finger,MMCBNU_6000,gallery,"{""side"": ""L"", ""finger"": ""fore"", ""dataset_metadata"": {""image_type"": ""roi""}}"
34,MMCBNU_6000::089::03::L::fore,FingerVein\002-MMCBNU_6000\ROIs\089\L_Fore\03.bmp,089,finger,MMCBNU_6000,probe,"{""side"": ""L"", ""finger"": ""fore"", ""dataset_metadata"": {""image_type"": ""roi""}}"
35,MMCBNU_6000::028::05::L::fore,FingerVein\002-MMCBNU_6000\ROIs\028\L_Fore\05.bmp,028,finger,MMCBNU_6000,gallery,"{""side"": ""L"", ""finger"": ""fore"", ""dataset_metadata"": {""image_type"": ""roi""}}"
36,MMCBNU_6000::028::06::L::fore,FingerVein\002-MMCBNU_6000\ROIs\028\L_Fore\06.bmp,028,finger,MMCBNU_6000,probe,"{""side"": ""L"", ""finger"": ""fore"", ""dataset_metadata"": {""image_type"": ""roi""}}"
37,MMCBNU_6000::030::08::L::fore,FingerVein\002-MMCBNU_6000\ROIs\030\L_Fore\08.bmp,030,finger,MMCBNU_6000,gallery,"{""side"": ""L"", ""finger"": ""fore"", ""dataset_metadata"": {""image_type"": ""roi""}}"
38,MMCBNU_6000::030::02::L::fore,FingerVein\002-MMCBNU_6000\ROIs\030\L_Fore\02.bmp,030,finger,MMCBNU_6000,probe,"{""side"": ""L"", ""finger"": ""fore"", ""dataset_metadata"": {""image_type"": ""roi""}}"
39,MMCBNU_6000::065::10::L::fore,FingerVein\002-MMCBNU_6000\ROIs\065\L_Fore\10.bmp,065,finger,MMCBNU_6000,gallery,"{""side"": ""L"", ""finger"": ""fore"", ""dataset_metadata"": {""image_type"": ""roi""}}"
40,MMCBNU_6000::065::05::L::fore,FingerVein\002-MMCBNU_6000\ROIs\065\L_Fore\05.bmp,065,finger,MMCBNU_6000,probe,"{""side"": ""L"", ""finger"": ""fore"", ""dataset_metadata"": {""image_type"": ""roi""}}"
41,MMCBNU_6000::078::10::L::fore,FingerVein\002-MMCBNU_6000\ROIs\078\L_Fore\10.bmp,078,finger,MMCBNU_6000,gallery,"{""side"": ""L"", ""finger"": ""fore"", ""dataset_metadata"": {""image_type"": ""roi""}}"
42,MMCBNU_6000::078::05::L::fore,FingerVein\002-MMCBNU_6000\ROIs\078\L_Fore\05.bmp,078,finger,MMCBNU_6000,probe,"{""side"": ""L"", ""finger"": ""fore"", ""dataset_metadata"": {""image_type"": ""roi""}}"
43,MMCBNU_6000::085::06::L::fore,FingerVein\002-MMCBNU_6000\ROIs\085\L_Fore\06.bmp,085,finger,MMCBNU_6000,gallery,"{""side"": ""L"", ""finger"": ""fore"", ""dataset_metadata"": {""image_type"": ""roi""}}"
44,MMCBNU_6000::085::01::L::fore,FingerVein\002-MMCBNU_6000\ROIs\085\L_Fore\01.bmp,085,finger,MMCBNU_6000,probe,"{""side"": ""L"", ""finger"": ""fore"", ""dataset_metadata"": {""image_type"": ""roi""}}"
45,MMCBNU_6000::072::09::L::fore,FingerVein\002-MMCBNU_6000\ROIs\072\L_Fore\09.bmp,072,finger,MMCBNU_6000,gallery,"{""side"": ""L"", ""finger"": ""fore"", ""dataset_metadata"": {""image_type"": ""roi""}}"
46,MMCBNU_6000::072::03::L::fore,FingerVein\002-MMCBNU_6000\ROIs\072\L_Fore\03.bmp,072,finger,MMCBNU_6000,probe,"{""side"": ""L"", ""finger"": ""fore"", ""dataset_metadata"": {""image_type"": ""roi""}}"
47,MMCBNU_6000::026::10::L::fore,FingerVein\002-MMCBNU_6000\ROIs\026\L_Fore\10.bmp,026,finger,MMCBNU_6000,gallery,"{""side"": ""L"", ""finger"": ""fore"", ""dataset_metadata"": {""image_type"": ""roi""}}"
48,MMCBNU_6000::026::06::L::fore,FingerVein\002-MMCBNU_6000\ROIs\026\L_Fore\06.bmp,026,finger,MMCBNU_6000,probe,"{""side"": ""L"", ""finger"": ""fore"", ""dataset_metadata"": {""image_type"": ""roi""}}"
49,MMCBNU_6000::090::10::L::fore,FingerVein\002-MMCBNU_6000\ROIs\090\L_Fore\10.bmp,090,finger,MMCBNU_6000,gallery,"{""side"": ""L"", ""finger"": ""fore"", ""dataset_metadata"": {""image_type"": ""roi""}}"
50,MMCBNU_6000::090::02::L::fore,FingerVein\002-MMCBNU_6000\ROIs\090\L_Fore\02.bmp,090,finger,MMCBNU_6000,probe,"{""side"": ""L"", ""finger"": ""fore"", ""dataset_metadata"": {""image_type"": ""roi""}}"
51,MMCBNU_6000::054::09::L::fore,FingerVein\002-MMCBNU_6000\ROIs\054\L_Fore\09.bmp,054,finger,MMCBNU_6000,gallery,"{""side"": ""L"", ""finger"": ""fore"", ""dataset_metadata"": {""image_type"": ""roi""}}"
52,MMCBNU_6000::054::07::L::fore,FingerVein\002-MMCBNU_6000\ROIs\054\L_Fore\07.bmp,054,finger,MMCBNU_6000,probe,"{""side"": ""L"", ""finger"": ""fore"", ""dataset_metadata"": {""image_type"": ""roi""}}"
53,MMCBNU_6000::094::06::L::fore,FingerVein\002-MMCBNU_6000\ROIs\094\L_Fore\06.bmp,094,finger,MMCBNU_6000,gallery,"{""side"": ""L"", ""finger"": ""fore"", ""dataset_metadata"": {""image_type"": ""roi""}}"
54,MMCBNU_6000::094::04::L::fore,FingerVein\002-MMCBNU_6000\ROIs\094\L_Fore\04.bmp,094,finger,MMCBNU_6000,probe,"{""side"": ""L"", ""finger"": ""fore"", ""dataset_metadata"": {""image_type"": ""roi""}}"
55,MMCBNU_6000::058::07::L::fore,FingerVein\002-MMCBNU_6000\ROIs\058\L_Fore\07.bmp,058,finger,MMCBNU_6000,gallery,"{""side"": ""L"", ""finger"": ""fore"", ""dataset_metadata"": {""image_type"": ""roi""}}"
