record_id,sample_id,image_path,identity,modality,dataset_name,split,metadata
1,THU-FVFDT::201::1::train,FingerVein\004-THU-FVFDT\FV2\FV2_Train\201\1.bmp,201,finger,THU-FVFDT,gallery,"{""session"": ""train"", ""modality_type"": ""vein"", ""image_type"": ""roi"", ""dataset_metadata"": {""session"": ""train""}}"
2,THU-FVFDT::201::1::test,FingerVein\004-THU-FVFDT\FV2\FV2_Test\201\1.bmp,201,finger,THU-FVFDT,probe,"{""session"": ""test"", ""modality_type"": ""vein"", ""image_type"": ""roi"", ""dataset_metadata"": {""session"": ""test""}}"
3,THU-FVFDT::121::1::test,FingerVein\004-THU-FVFDT\FV2\FV2_Test\121\1.bmp,121,finger,THU-FVFDT,gallery,"{""session"": ""test"", ""modality_type"": ""vein"", ""image_type"": ""roi"", ""dataset_metadata"": {""session"": ""test""}}"
4,THU-FVFDT::121::1::train,FingerVein\004-THU-FVFDT\FV2\FV2_Train\121\1.bmp,121,finger,THU-FVFDT,probe,"{""session"": ""train"", ""modality_type"": ""vein"", ""image_type"": ""roi"", ""dataset_metadata"": {""session"": ""train""}}"
5,THU-FVFDT::352::1::train,FingerVein\004-THU-FVFDT\FV2\FV2_Train\352\1.bmp,352,finger,THU-FVFDT,gallery,"{""session"": ""train"", ""modality_type"": ""vein"", ""image_type"": ""roi"", ""dataset_metadata"": {""session"": ""train""}}"
6,THU-FVFDT::352::1::test,FingerVein\004-THU-FVFDT\FV2\FV2_Test\352\1.bmp,352,finger,THU-FVFDT,probe,"{""session"": ""test"", ""modality_type"": ""vein"", ""image_type"": ""roi"", ""dataset_metadata"": {""session"": ""test""}}"
7,THU-FVFDT::324::1::train,FingerVein\004-THU-FVFDT\FV2\FV2_Train\324\1.bmp,324,finger,THU-FVFDT,gallery,"{""session"": ""train"", ""modality_type"": ""vein"", ""image_type"": ""roi"", ""dataset_metadata"": {""session"": ""train""}}"
8,THU-FVFDT::324::1::test,FingerVein\004-THU-FVFDT\FV2\FV2_Test\324\1.bmp,324,finger,THU-FVFDT,probe,"{""session"": ""test"", ""modality_type"": ""vein"", ""image_type"": ""roi"", ""dataset_metadata"": {""session"": ""test""}}"
9,THU-FVFDT::304::1::train,FingerVein\004-THU-FVFDT\FV2\FV2_Train\304\1.bmp,304,finger,THU-FVFDT,gallery,"{""session"": ""train"", ""modality_type"": ""vein"", ""image_type"": ""roi"", ""dataset_metadata"": {""session"": ""train""}}"
10,THU-FVFDT::304::1::test,FingerVein\004-THU-FVFDT\FV2\FV2_Test\304\1.bmp,304,finger,THU-FVFDT,probe,"{""session"": ""test"", ""modality_type"": ""vein"", ""image_type"": ""roi"", ""dataset_metadata"": {""session"": ""test""}}"
11,THU-FVFDT::227::1::test,FingerVein\004-THU-FVFDT\FV2\FV2_Test\227\1.bmp,227,finger,THU-FVFDT,gallery,"{""session"": ""test"", ""modality_type"": ""vein"", ""image_type"": ""roi"", ""dataset_metadata"": {""session"": ""test""}}"
12,THU-FVFDT::227::1::train,FingerVein\004-THU-FVFDT\FV2\FV2_Train\227\1.bmp,227,finger,THU-FVFDT,probe,"{""session"": ""train"", ""modality_type"": ""vein"", ""image_type"": ""roi"", ""dataset_metadata"": {""session"": ""train""}}"
13,THU-FVFDT::193::1::test,FingerVein\004-THU-FVFDT\FV2\FV2_Test\193\1.bmp,193,finger,THU-FVFDT,gallery,"{""session"": ""test"", ""modality_type"": ""vein"", ""image_type"": ""roi"", ""dataset_metadata"": {""session"": ""test""}}"
14,THU-FVFDT::193::1::train,FingerVein\004-THU-FVFDT\FV2\FV2_Train\193\1.bmp,193,finger,THU-FVFDT,probe,"{""session"": ""train"", ""modality_type"": ""vein"", ""image_type"": ""roi"", ""dataset_metadata"": {""session"": ""train""}}"
15,THU-FVFDT::601::1::test,FingerVein\004-THU-FVFDT\FV2\FV2_Test\601\1.bmp,601,finger,THU-FVFDT,gallery,"{""session"": ""test"", ""modality_type"": ""vein"", ""image_type"": ""roi"", ""dataset_metadata"": {""session"": ""test""}}"
