record_id,sample_id,image_path,identity,modality,dataset_name,split,metadata
1,11k_Hands::0001567::Hand_0003728,HandGeometry\Hands\Hand_0003728.jpg,0001567,handGeometry,11k_Hands,gallery,"{""aspect_of_hand"": ""dorsal right"", ""dataset_metadata"": {""filename"": ""Hand_0003728"", ""age"": ""20"", ""gender"": ""female"", ""skinColor"": ""fair"", ""accessories"": ""0"", ""nailPolish"": ""0"", ""aspectOfHand"": ""dorsal right"", ""imageName"": ""Hand_0003728.jpg"", ""irregularities"": ""0""}}"
2,11k_Hands::0001567::Hand_0003740,HandGeometry\Hands\Hand_0003740.jpg,0001567,handGeometry,11k_Hands,gallery,"{""aspect_of_hand"": ""dorsal right"", ""dataset_metadata"": {""filename"": ""Hand_0003740"", ""age"": ""20"", ""gender"": ""female"", ""skinColor"": ""fair"", ""accessories"": ""0"", ""nailPolish"": ""0"", ""aspectOfHand"": ""dorsal right"", ""imageName"": ""Hand_0003740.jpg"", ""irregularities"": ""0""}}"
3,11k_Hands::0001567::Hand_0003737,HandGeometry\Hands\Hand_0003737.jpg,0001567,handGeometry,11k_Hands,gallery,"{""aspect_of_hand"": ""dorsal right"", ""dataset_metadata"": {""filename"": ""Hand_0003737"", ""age"": ""20"", ""gender"": ""female"", ""skinColor"": ""fair"", ""accessories"": ""0"", ""nailPolish"": ""0"", ""aspectOfHand"": ""dorsal right"", ""imageName"": ""Hand_0003737.jpg"", ""irregularities"": ""0""}}"
4,11k_Hands::0001567::Hand_0003726,HandGeometry\Hands\Hand_0003726.jpg,0001567,handGeometry,11k_Hands,probe,"{""aspect_of_hand"": ""dorsal right"", ""dataset_metadata"": {""filename"": ""Hand_0003726"", ""age"": ""20"", ""gender"": ""female"", ""skinColor"": ""fair"", ""accessories"": ""0"", ""nailPolish"": ""0"", ""aspectOfHand"": ""dorsal right"", ""imageName"": ""Hand_0003726.jpg"", ""irregularities"": ""0""}}"
5,11k_Hands::0000088::Hand_0010571,HandGeometry\Hands\Hand_0010571.jpg,0000088,handGeometry,11k_Hands,gallery,"{""aspect_of_hand"": ""dorsal right"", ""dataset_metadata"": {""filename"": ""Hand_0010571"", ""age"": ""22"", ""gender"": ""male"", ""skinColor"": ""medium"", ""accessories"": ""0"", ""nailPolish"": ""0"", ""aspectOfHand"": ""dorsal right"", ""imageName"": ""Hand_0010571.jpg"", ""irregularities"": ""0""}}"
6,11k_Hands::0000088::Hand_0010569,HandGeometry\Hands\Hand_0010569.jpg,0000088,handGeometry,11k_Hands,gallery,"{""aspect_of_hand"": ""dorsal right"", ""dataset_metadata"": {""filename"": ""Hand_0010569"", ""age"": ""22"", ""gender"": ""male"", ""skinColor"": ""medium"", ""accessories"": ""0"", ""nailPolish"": ""0"", ""aspectOfHand"": ""dorsal right"", ""imageName"": ""Hand_0010569.jpg"", ""irregularities"": ""0""}}"
7,11k_Hands::0000088::Hand_0010572,HandGeometry\Hands\Hand_0010572.jpg,0000088,handGeometry,11k_Hands,gallery,"{""aspect_of_hand"": ""dorsal right"", ""dataset_metadata"": {""filename"": ""Hand_0010572"", ""age"": ""22"", ""gender"": ""male"", ""skinColor"": ""medium"", ""accessories"": ""0"", ""nailPolish"": ""0"", ""aspectOfHand"": ""dorsal right"", ""imageName"": ""Hand_0010572.jpg"", ""irregularities"": ""0""}}"
8,11k_Hands::0000088::Hand_0010570,HandGeometry\Hands\Hand_0010570.jpg,0000088,handGeometry,11k_Hands,probe,"{""aspect_of_hand"": ""dorsal right"", ""dataset_metadata"": {""filename"": ""Hand_0010570"", ""age"": ""22"", ""gender"": ""male"", ""skinColor"": ""medium"", ""accessories"": ""0"", ""nailPolish"": ""0"", ""aspectOfHand"": ""dorsal right"", ""imageName"": ""Hand_0010570.jpg"", ""irregularities"": ""0""}}"
9,11k_Hands::0000013::Hand_0000507,HandGeometry\Hands\Hand_0000507.jpg,0000013,handGeometry,11k_Hands,gallery,"{""aspect_of_hand"": ""dorsal right"", ""dataset_metadata"": {""filename"": ""Hand_0000507"", ""age"": ""20"", ""gender"": ""female"", ""skinColor"": ""medium"", ""accessories"": ""0"", ""nailPolish"": ""0"", ""aspectOfHand"": ""dorsal right"", ""imageName"": ""Hand_0000507.jpg"", ""irregularities"": ""0""}}"
10,11k_Hands::0000013::Hand_0000511,HandGeometry\Hands\Hand_0000511.jpg,0000013,handGeometry,11k_Hands,gallery,"{""aspect_of_hand"": ""dorsal right"", ""dataset_metadata"": {""filename"": ""Hand_0000511"", ""age"": ""20"", ""gender"": ""female"", ""skinColor"": ""medium"", ""accessories"": ""0"", ""nailPolish"": ""0"", ""aspectOfHand"": ""dorsal right"", ""imageName"": ""Hand_0000511.jpg"", ""irregularities"": ""0""}}"
11,11k_Hands::0000013::Hand_0000510,HandGeometry\Hands\Hand_0000510.jpg,0000013,handGeometry,11k_Hands,gallery,"{""aspect_of_hand"": ""dorsal right"", ""dataset_metadata"": {""filename"": ""Hand_0000510"", ""age"": ""20"", ""gender"": ""female"", ""skinColor"": ""medium"", ""accessories"": ""0"", ""nailPolish"": ""0"", ""aspectOfHand"": ""dorsal right"", ""imageName"": ""Hand_0000510.jpg"", ""irregularities"": ""0""}}"
12,11k_Hands::0000013::Hand_0000508,HandGeometry\Hands\Hand_0000508.jpg,0000013,handGeometry,11k_Hands,probe,"{""aspect_of_hand"": ""dorsal right"", ""dataset_metadata"": {""filename"": ""Hand_0000508"", ""age"": ""20"", ""gender"": ""female"", ""skinColor"": ""medium"", ""accessories"": ""0"", ""nailPolish"": ""0"", ""aspectOfHand"": ""dorsal right"", ""imageName"": ""Hand_0000508.jpg"", ""irregularities"": ""0""}}"
13,11k_Hands::0001009::Hand_0009216,HandGeometry\Hands\Hand_0009216.jpg,0001009,handGeometry,11k_Hands,gallery,"{""aspect_of_hand"": ""dorsal right"", ""dataset_metadata"": {""filename"": ""Hand_0009216"", ""age"": ""23"", ""gender"": ""male"", ""skinColor"": ""medium"", ""accessories"": ""0"", ""nailPolish"": ""0"", ""aspectOfHand"": ""dorsal right"", ""imageName"": ""Hand_0009216.jpg"", ""irregularities"": ""0""}}"
14,11k_Hands::0001009::Hand_0009210,HandGeometry\Hands\Hand_0009210.jpg,0001009,handGeometry,11k_Hands,gallery,"{""aspect_of_hand"": ""dorsal right"", ""dataset_metadata"": {""filename"": ""Hand_0009210"", ""age"": ""23"", ""gender"": ""male"", ""skinColor"": ""medium"", ""accessories"": ""0"", ""nailPolish"": ""0"", ""aspectOfHand"": ""dorsal right"", ""imageName"": ""Hand_0009210.jpg"", ""irregularities"": ""0""}}"
15,11k_Hands::0001009::Hand_0009221,HandGeometry\Hands\Hand_0009221.jpg,0001009,handGeometry,11k_Hands,gallery,"{""aspect_of_hand"": ""dorsal right"", ""dataset_metadata"": {""filename"": ""Hand_0009221"", ""age"": ""23"", ""gender"": ""male"", ""skinColor"": ""medium"", ""accessories"": ""0"", ""nailPolish"": ""0"", ""aspectOfHand"": ""dorsal right"", ""imageName"": ""Hand_0009221.jpg"", ""irregularities"": ""0""}}"
16,11k_Hands::0001009::Hand_0009218,HandGeometry\Hands\Hand_0009218.jpg,0001009,handGeometry,11k_Hands,probe,"{""aspect_of_hand"": ""dorsal right"", ""dataset_metadata"": {""filename"": ""Hand_0009218"", ""age"": ""23"", ""gender"": ""male"", ""skinColor"": ""medium"", ""accessories"": ""0"", ""nailPolish"": ""0"", ""aspectOfHand"": ""dorsal right"", ""imageName"": ""Hand_0009218.jpg"", ""irregularities"": ""0""}}"
17,11k_Hands::0000588::Hand_0005838,HandGeometry\Hands\Hand_0005838.jpg,0000588,handGeometry,11k_Hands,gallery,"{""aspect_of_hand"": ""dorsal right"", ""dataset_metadata"": {""filename"": ""Hand_0005838"", ""age"": ""21"", ""gender"": ""female"", ""skinColor"": ""medium"", ""accessories"": ""0"", ""nailPolish"": ""0"", ""aspectOfHand"": ""dorsal right"", ""imageName"": ""Hand_0005838.jpg"", ""irregularities"": ""0""}}"
