record_id,sample_id,image_path,identity,modality,dataset_name,split,metadata
1,11k_Hands::0001567::Hand_0003744,HandGeometry\Hands\Hand_0003744.jpg,0001567,handGeometry,11k_Hands,gallery,"{""aspect_of_hand"": ""palmar right"", ""dataset_metadata"": {""filename"": ""Hand_0003744"", ""age"": ""20"", ""gender"": ""female"", ""skinColor"": ""fair"", ""accessories"": ""0"", ""nailPolish"": ""0"", ""aspectOfHand"": ""palmar right"", ""imageName"": ""Hand_0003744.jpg"", ""irregularities"": ""0""}}"
2,11k_Hands::0001567::Hand_0003751,HandGeometry\Hands\Hand_0003751.jpg,0001567,handGeometry,11k_Hands,gallery,"{""aspect_of_hand"": ""palmar right"", ""dataset_metadata"": {""filename"": ""Hand_0003751"", ""age"": ""20"", ""gender"": ""female"", ""skinColor"": ""fair"", ""accessories"": ""0"", ""nailPolish"": ""0"", ""aspectOfHand"": ""palmar right"", ""imageName"": ""Hand_0003751.jpg"", ""irregularities"": ""0""}}"
3,11k_Hands::0001567::Hand_0003749,HandGeometry\Hands\Hand_0003749.jpg,0001567,handGeometry,11k_Hands,gallery,"{""aspect_of_hand"": ""palmar right"", ""dataset_metadata"": {""filename"": ""Hand_0003749"", ""age"": ""20"", ""gender"": ""female"", ""skinColor"": ""fair"", ""accessories"": ""0"", ""nailPolish"": ""0"", ""aspectOfHand"": ""palmar right"", ""imageName"": ""Hand_0003749.jpg"", ""irregularities"": ""0""}}"
4,11k_Hands::0001567::Hand_0003743,HandGeometry\Hands\Hand_0003743.jpg,0001567,handGeometry,11k_Hands,probe,"{""aspect_of_hand"": ""palmar right"", ""dataset_metadata"": {""filename"": ""Hand_0003743"", ""age"": ""20"", ""gender"": ""female"", ""skinColor"": ""fair"", ""accessories"": ""0"", ""nailPolish"": ""0"", ""aspectOfHand"": ""palmar right"", ""imageName"": ""Hand_0003743.jpg"", ""irregularities"": ""0""}}"
5,11k_Hands::0000088::Hand_0010580,HandGeometry\Hands\Hand_0010580.jpg,0000088,handGeometry,11k_Hands,gallery,"{""aspect_of_hand"": ""palmar right"", ""dataset_metadata"": {""filename"": ""Hand_0010580"", ""age"": ""22"", ""gender"": ""male"", ""skinColor"": ""medium"", ""accessories"": ""0"", ""nailPolish"": ""0"", ""aspectOfHand"": ""palmar right"", ""imageName"": ""Hand_0010580.jpg"", ""irregularities"": ""0""}}"
6,11k_Hands::0000088::Hand_0010579,HandGeometry\Hands\Hand_0010579.jpg,0000088,handGeometry,11k_Hands,gallery,"{""aspect_of_hand"": ""palmar right"", ""dataset_metadata"": {""filename"": ""Hand_0010579"", ""age"": ""22"", ""gender"": ""male"", ""skinColor"": ""medium"", ""accessories"": ""0"", ""nailPolish"": ""0"", ""aspectOfHand"": ""palmar right"", ""imageName"": ""Hand_0010579.jpg"", ""irregularities"": ""0""}}"
7,11k_Hands::0000088::Hand_0010576,HandGeometry\Hands\Hand_0010576.jpg,0000088,handGeometry,11k_Hands,gallery,"{""aspect_of_hand"": ""palmar right"", ""dataset_metadata"": {""filename"": ""Hand_0010576"", ""age"": ""22"", ""gender"": ""male"", ""skinColor"": ""medium"", ""accessories"": ""0"", ""nailPolish"": ""0"", ""aspectOfHand"": ""palmar right"", ""imageName"": ""Hand_0010576.jpg"", ""irregularities"": ""0""}}"
8,11k_Hands::0000088::Hand_0010577,HandGeometry\Hands\Hand_0010577.jpg,0000088,handGeometry,11k_Hands,probe,"{""aspect_of_hand"": ""palmar right"", ""dataset_metadata"": {""filename"": ""Hand_0010577"", ""age"": ""22"", ""gender"": ""male"", ""skinColor"": ""medium"", ""accessories"": ""0"", ""nailPolish"": ""0"", ""aspectOfHand"": ""palmar right"", ""imageName"": ""Hand_0010577.jpg"", ""irregularities"": ""0""}}"
9,11k_Hands::0000019::Hand_0000457,HandGeometry\Hands\Hand_0000457.jpg,0000019,handGeometry,11k_Hands,gallery,"{""aspect_of_hand"": ""palmar right"", ""dataset_metadata"": {""filename"": ""Hand_0000457"", ""age"": ""20"", ""gender"": ""female"", ""skinColor"": ""medium"", ""accessories"": ""0"", ""nailPolish"": ""0"", ""aspectOfHand"": ""palmar right"", ""imageName"": ""Hand_0000457.jpg"", ""irregularities"": ""0""}}"
10,11k_Hands::0000019::Hand_0000452,HandGeometry\Hands\Hand_0000452.jpg,0000019,handGeometry,11k_Hands,gallery,"{""aspect_of_hand"": ""palmar right"", ""dataset_metadata"": {""filename"": ""Hand_0000452"", ""age"": ""20"", ""gender"": ""female"", ""skinColor"": ""medium"", ""accessories"": ""1"", ""nailPolish"": ""0"", ""aspectOfHand"": ""palmar right"", ""imageName"": ""Hand_0000452.jpg"", ""irregularities"": ""0""}}"
