record_id,sample_id,image_path,identity,modality,dataset_name,split,metadata
1,AMF-Iris::saadi::4::Left,Iris\003-AMF-Iris-Dataset\saadi\Iris_20220817_120527_Left.bmp,saadi,iris,AMF-Iris,gallery,"{""side"": ""Left""}"
2,AMF-Iris::saadi::2::Left,Iris\003-AMF-Iris-Dataset\saadi\Iris_20220817_120525_Left.bmp,saadi,iris,AMF-Iris,gallery,"{""side"": ""Left""}"
3,AMF-Iris::saadi::8::Left,Iris\003-AMF-Iris-Dataset\saadi\Iris_20220817_120533_Left.bmp,saadi,iris,AMF-Iris,gallery,"{""side"": ""Left""}"
4,AMF-Iris::saadi::6::Left,Iris\003-AMF-Iris-Dataset\saadi\Iris_20220817_120530_Left.bmp,saadi,iris,AMF-Iris,probe,"{""side"": ""Left""}"
5,AMF-Iris::ameina::2::Left,Iris\003-AMF-Iris-Dataset\ameina\Iris_20220818_114413_Left.bmp,ameina,iris,AMF-Iris,gallery,"{""side"": ""Left""}"
6,AMF-Iris::ameina::0::Left,Iris\003-AMF-Iris-Dataset\ameina\Iris_20220818_114403_Left.bmp,ameina,iris,AMF-Iris,gallery,"{""side"": ""Left""}"
7,AMF-Iris::ameina::6::Left,Iris\003-AMF-Iris-Dataset\ameina\Iris_20220818_114417_Left.bmp,ameina,iris,AMF-Iris,gallery,"{""side"": ""Left""}"
8,AMF-Iris::ameina::4::Left,Iris\003-AMF-Iris-Dataset\ameina\Iris_20220818_114415_Left.bmp,ameina,iris,AMF-Iris,probe,"{""side"": ""Left""}"
9,AMF-Iris::abas::2::Left,Iris\003-AMF-Iris-Dataset\abas\Iris_20220818_105652_Left.bmp,abas,iris,AMF-Iris,gallery,"{""side"": ""Left""}"
10,AMF-Iris::abas::6::Left,Iris\003-AMF-Iris-Dataset\abas\Iris_20220818_105657_Left.bmp,abas,iris,AMF-Iris,gallery,"{""side"": ""Left""}"
11,AMF-Iris::abas::4::Left,Iris\003-AMF-Iris-Dataset\abas\Iris_20220818_105655_Left.bmp,abas,iris,AMF-Iris,gallery,"{""side"": ""Left""}"
12,AMF-Iris::abas::8::Left,Iris\003-AMF-Iris-Dataset\abas\Iris_20220818_105659_Left.bmp,abas,iris,AMF-Iris,probe,"{""side"": ""Left""}"
13,AMF-Iris::wathah::2::Left,Iris\003-AMF-Iris-Dataset\wathah\Iris_20220817_121513_Left.bmp,wathah,iris,AMF-Iris,gallery,"{""side"": ""Left""}"
14,AMF-Iris::wathah::8::Left,Iris\003-AMF-Iris-Dataset\wathah\Iris_20220817_121525_Left.bmp,wathah,iris,AMF-Iris,gallery,"{""side"": ""Left""}"
15,AMF-Iris::wathah::6::Left,Iris\003-AMF-Iris-Dataset\wathah\Iris_20220817_121522_Left.bmp,wathah,iris,AMF-Iris,gallery,"{""side"": ""Left""}"
16,AMF-Iris::wathah::0::Left,Iris\003-AMF-Iris-Dataset\wathah\Iris_20220817_121508_Left.bmp,wathah,iris,AMF-Iris,probe,"{""side"": ""Left""}"
17,AMF-Iris::daood::0::Left,Iris\003-AMF-Iris-Dataset\daood\Iris_20220818_122945_Left.bmp,daood,iris,AMF-Iris,gallery,"{""side"": ""Left""}"
18,AMF-Iris::daood::8::Left,Iris\003-AMF-Iris-Dataset\daood\Iris_20220818_122954_Left.bmp,daood,iris,AMF-Iris,gallery,"{""side"": ""Left""}"
19,AMF-Iris::daood::2::Left,Iris\003-AMF-Iris-Dataset\daood\Iris_20220818_122947_Left.bmp,daood,iris,AMF-Iris,gallery,"{""side"": ""Left""}"
20,AMF-Iris::daood::4::Left,Iris\003-AMF-Iris-Dataset\daood\Iris_20220818_122949_Left.bmp,daood,iris,AMF-Iris,probe,"{""side"": ""Left""}"
21,AMF-Iris::basam::6::Left,Iris\003-AMF-Iris-Dataset\basam\Iris_20220817_120319_Left.bmp,basam,iris,AMF-Iris,gallery,"{""side"": ""Left""}"
22,AMF-Iris::basam::0::Left,Iris\003-AMF-Iris-Dataset\basam\Iris_20220817_120305_Left.bmp,basam,iris,AMF-Iris,gallery,"{""side"": ""Left""}"
