record_id,sample_id,image_path,identity,modality,dataset_name,split,metadata
1,CASIA-Iris-Thousand::654::09::L,Iris\001-CASIA-Iris-Thousand\654\L\S5654L09.jpg,654,iris,CASIA-Iris-Thousand,gallery,"{""side"": ""L""}"
2,CASIA-Iris-Thousand::654::06::L,Iris\001-CASIA-Iris-Thousand\654\L\S5654L06.jpg,654,iris,CASIA-Iris-Thousand,gallery,"{""side"": ""L""}"
3,CASIA-Iris-Thousand::654::07::L,Iris\001-CASIA-Iris-Thousand\654\L\S5654L07.jpg,654,iris,CASIA-Iris-Thousand,gallery,"{""side"": ""L""}"
4,CASIA-Iris-Thousand::654::03::L,Iris\001-CASIA-Iris-Thousand\654\L\S5654L03.jpg,654,iris,CASIA-Iris-Thousand,probe,"{""side"": ""L""}"
5,CASIA-Iris-Thousand::114::08::L,Iris\001-CASIA-Iris-Thousand\114\L\S5114L08.jpg,114,iris,CASIA-Iris-Thousand,gallery,"{""side"": ""L""}"
6,CASIA-Iris-Thousand::114::00::L,Iris\001-CASIA-Iris-Thousand\114\L\S5114L00.jpg,114,iris,CASIA-Iris-Thousand,gallery,"{""side"": ""L""}"
7,CASIA-Iris-Thousand::114::03::L,Iris\001-CASIA-Iris-Thousand\114\L\S5114L03.jpg,114,iris,CASIA-Iris-Thousand,gallery,"{""side"": ""L""}"
8,CASIA-Iris-Thousand::114::02::L,Iris\001-CASIA-Iris-Thousand\114\L\S5114L02.jpg,114,iris,CASIA-Iris-Thousand,probe,"{""side"": ""L""}"
9,CASIA-Iris-Thousand::025::05::L,Iris\001-CASIA-Iris-Thousand\025\L\S5025L05.jpg,025,iris,CASIA-Iris-Thousand,gallery,"{""side"": ""L""}"
10,CASIA-Iris-Thousand::025::07::L,Iris\001-CASIA-Iris-Thousand\025\L\S5025L07.jpg,025,iris,CASIA-Iris-Thousand,gallery,"{""side"": ""L""}"
11,CASIA-Iris-Thousand::025::04::L,Iris\001-CASIA-Iris-Thousand\025\L\S5025L04.jpg,025,iris,CASIA-Iris-Thousand,gallery,"{""side"": ""L""}"
12,CASIA-Iris-Thousand::025::09::L,Iris\001-CASIA-Iris-Thousand\025\L\S5025L09.jpg,025,iris,CASIA-Iris-Thousand,probe,"{""side"": ""L""}"
13,CASIA-Iris-Thousand::759::00::L,Iris\001-CASIA-Iris-Thousand\759\L\S5759L00.jpg,759,iris,CASIA-Iris-Thousand,gallery,"{""side"": ""L""}"
14,CASIA-Iris-Thousand::759::03::L,Iris\001-CASIA-Iris-Thousand\759\L\S5759L03.jpg,759,iris,CASIA-Iris-Thousand,gallery,"{""side"": ""L""}"
15,CASIA-Iris-Thousand::759::09::L,Iris\001-CASIA-Iris-Thousand\759\L\S5759L09.jpg,759,iris,CASIA-Iris-Thousand,gallery,"{""side"": ""L""}"
16,CASIA-Iris-Thousand::759::06::L,Iris\001-CASIA-Iris-Thousand\759\L\S5759L06.jpg,759,iris,CASIA-Iris-Thousand,probe,"{""side"": ""L""}"
17,CASIA-Iris-Thousand::281::06::L,Iris\001-CASIA-Iris-Thousand\281\L\S5281L06.jpg,281,iris,CASIA-Iris-Thousand,gallery,"{""side"": ""L""}"
18,CASIA-Iris-Thousand::281::00::L,Iris\001-CASIA-Iris-Thousand\281\L\S5281L00.jpg,281,iris,CASIA-Iris-Thousand,gallery,"{""side"": ""L""}"
19,CASIA-Iris-Thousand::281::04::L,Iris\001-CASIA-Iris-Thousand\281\L\S5281L04.jpg,281,iris,CASIA-Iris-Thousand,gallery,"{""side"": ""L""}"
20,CASIA-Iris-Thousand::281::08::L,Iris\001-CASIA-Iris-Thousand\281\L\S5281L08.jpg,281,iris,CASIA-Iris-Thousand,probe,"{""side"": ""L""}"
21,CASIA-Iris-Thousand::250::04::L,Iris\001-CASIA-Iris-Thousand\250\L\S5250L04.jpg,250,iris,CASIA-Iris-Thousand,gallery,"{""side"": ""L""}"
22,CASIA-Iris-Thousand::250::09::L,Iris\001-CASIA-Iris-Thousand\250\L\S5250L09.jpg,250,iris,CASIA-Iris-Thousand,gallery,"{""side"": ""L""}"
23,CASIA-Iris-Thousand::250::01::L,Iris\001-CASIA-Iris-Thousand\250\L\S5250L01.jpg,250,iris,CASIA-Iris-Thousand,gallery,"{""side"": ""L""}"
24,CASIA-Iris-Thousand::250::07::L,Iris\001-CASIA-Iris-Thousand\250\L\S5250L07.jpg,250,iris,CASIA-Iris-Thousand,probe,"{""side"": ""L""}"
25,CASIA-Iris-Thousand::228::02::L,Iris\001-CASIA-Iris-Thousand\228\L\S5228L02.jpg,228,iris,CASIA-Iris-Thousand,gallery,"{""side"": ""L""}"
26,CASIA-Iris-Thousand::228::01::L,Iris\001-CASIA-Iris-Thousand\228\L\S5228L01.jpg,228,iris,CASIA-Iris-Thousand,gallery,"{""side"": ""L""}"
27,CASIA-Iris-Thousand::228::00::L,Iris\001-CASIA-Iris-Thousand\228\L\S5228L00.jpg,228,iris,CASIA-Iris-Thousand,gallery,"{""side"": ""L""}"
28,CASIA-Iris-Thousand::228::04::L,Iris\001-CASIA-Iris-Thousand\228\L\S5228L04.jpg,228,iris,CASIA-Iris-Thousand,probe,"{""side"": ""L""}"
29,CASIA-Iris-Thousand::142::09::L,Iris\001-CASIA-Iris-Thousand\142\L\S5142L09.jpg,142,iris,CASIA-Iris-Thousand,gallery,"{""side"": ""L""}"
30,CASIA-Iris-Thousand::142::00::L,Iris\001-CASIA-Iris-Thousand\142\L\S5142L00.jpg,142,iris,CASIA-Iris-Thousand,gallery,"{""side"": ""L""}"
31,CASIA-Iris-Thousand::142::01::L,Iris\001-CASIA-Iris-Thousand\142\L\S5142L01.jpg,142,iris,CASIA-Iris-Thousand,gallery,"{""side"": ""L""}"
32,CASIA-Iris-Thousand::142::06::L,Iris\001-CASIA-Iris-Thousand\142\L\S5142L06.jpg,142,iris,CASIA-Iris-Thousand,probe,"{""side"": ""L""}"
33,CASIA-Iris-Thousand::754::03::L,Iris\001-CASIA-Iris-Thousand\754\L\S5754L03.jpg,754,iris,CASIA-Iris-Thousand,gallery,"{""side"": ""L""}"
34,CASIA-Iris-Thousand::754::04::L,Iris\001-CASIA-Iris-Thousand\754\L\S5754L04.jpg,754,iris,CASIA-Iris-Thousand,gallery,"{""side"": ""L""}"
35,CASIA-Iris-Thousand::754::09::L,Iris\001-CASIA-Iris-Thousand\754\L\S5754L09.jpg,754,iris,CASIA-Iris-Thousand,gallery,"{""side"": ""L""}"
36,CASIA-Iris-Thousand::754::01::L,Iris\001-CASIA-Iris-Thousand\754\L\S5754L01.jpg,754,iris,CASIA-Iris-Thousand,probe,"{""side"": ""L""}"
37,CASIA-Iris-Thousand::104::08::L,Iris\001-CASIA-Iris-Thousand\104\L\S5104L08.jpg,104,iris,CASIA-Iris-Thousand,gallery,"{""side"": ""L""}"
38,CASIA-Iris-Thousand::104::00::L,Iris\001-CASIA-Iris-Thousand\104\L\S5104L00.jpg,104,iris,CASIA-Iris-Thousand,gallery,"{""side"": ""L""}"
39,CASIA-Iris-Thousand::104::05::L,Iris\001-CASIA-Iris-Thousand\104\L\S5104L05.jpg,104,iris,CASIA-Iris-Thousand,gallery,"{""side"": ""L""}"
40,CASIA-Iris-Thousand::104::02::L,Iris\001-CASIA-Iris-Thousand\104\L\S5104L02.jpg,104,iris,CASIA-Iris-Thousand,probe,"{""side"": ""L""}"
41,CASIA-Iris-Thousand::692::03::L,Iris\001-CASIA-Iris-Thousand\692\L\S5692L03.jpg,692,iris,CASIA-Iris-Thousand,gallery,"{""side"": ""L""}"
42,CASIA-Iris-Thousand::692::07::L,Iris\001-CASIA-Iris-Thousand\692\L\S5692L07.jpg,692,iris,CASIA-Iris-Thousand,gallery,"{""side"": ""L""}"
43,CASIA-Iris-Thousand::692::09::L,Iris\001-CASIA-Iris-Thousand\692\L\S5692L09.jpg,692,iris,CASIA-Iris-Thousand,gallery,"{""side"": ""L""}"
44,CASIA-Iris-Thousand::692::00::L,Iris\001-CASIA-Iris-Thousand\692\L\S5692L00.jpg,692,iris,CASIA-Iris-Thousand,probe,"{""side"": ""L""}"
45,CASIA-Iris-Thousand::758::03::L,Iris\001-CASIA-Iris-Thousand\758\L\S5758L03.jpg,758,iris,CASIA-Iris-Thousand,gallery,"{""side"": ""L""}"
46,CASIA-Iris-Thousand::758::08::L,Iris\001-CASIA-Iris-Thousand\758\L\S5758L08.jpg,758,iris,CASIA-Iris-Thousand,gallery,"{""side"": ""L""}"
47,CASIA-Iris-Thousand::758::04::L,Iris\001-CASIA-Iris-Thousand\758\L\S5758L04.jpg,758,iris,CASIA-Iris-Thousand,gallery,"{""side"": ""L""}"
48,CASIA-Iris-Thousand::758::01::L,Iris\001-CASIA-Iris-Thousand\758\L\S5758L01.jpg,758,iris,CASIA-Iris-Thousand,probe,"{""side"": ""L""}"
49,CASIA-Iris-Thousand::913::07::L,Iris\001-CASIA-Iris-Thousand\913\L\S5913L07.jpg,913,iris,CASIA-Iris-Thousand,gallery,"{""side"": ""L""}"
50,CASIA-Iris-Thousand::913::09::L,Iris\001-CASIA-Iris-Thousand\913\L\S5913L09.jpg,913,iris,CASIA-Iris-Thousand,gallery,"{""side"": ""L""}"
51,CASIA-Iris-Thousand::913::05::L,Iris\001-CASIA-Iris-Thousand\913\L\S5913L05.jpg,913,iris,CASIA-Iris-Thousand,gallery,"{""side"": ""L""}"
52,CASIA-Iris-Thousand::913::00::L,Iris\001-CASIA-Iris-Thousand\913\L\S5913L00.jpg,913,iris,CASIA-Iris-Thousand,probe,"{""side"": ""L""}"
53,CASIA-Iris-Thousand::558::04::L,Iris\001-CASIA-Iris-Thousand\558\L\S5558L04.jpg,558,iris,CASIA-Iris-Thousand,gallery,"{""side"": ""L""}"
54,CASIA-Iris-Thousand::558::05::L,Iris\001-CASIA-Iris-Thousand\558\L\S5558L05.jpg,558,iris,CASIA-Iris-Thousand,gallery,"{""side"": ""L""}"
55,CASIA-Iris-Thousand::558::03::L,Iris\001-CASIA-Iris-Thousand\558\L\S5558L03.jpg,558,iris,CASIA-Iris-Thousand,gallery,"{""side"": ""L""}"
56,CASIA-Iris-Thousand::558::08::L,Iris\001-CASIA-Iris-Thousand\558\L\S5558L08.jpg,558,iris,CASIA-Iris-Thousand,probe,"{""side"": ""L""}"
57,CASIA-Iris-Thousand::089::00::L,Iris\001-CASIA-Iris-Thousand\089\L\S5089L00.jpg,089,iris,CASIA-Iris-Thousand,gallery,"{""side"": ""L""}"
