record_id,sample_id,image_path,identity,modality,dataset_name,split,metadata
1,MMU-Iris::1::3::L,Iris\002-MMU-Iris-Database\1\left\aeval4.bmp,1,iris,MMU-Iris,gallery,"{""side"": ""L""}"
2,MMU-Iris::1::1::L,Iris\002-MMU-Iris-Database\1\left\aeval2.bmp,1,iris,MMU-Iris,gallery,"{""side"": ""L""}"
3,MMU-Iris::1::2::L,Iris\002-MMU-Iris-Database\1\left\aeval3.bmp,1,iris,MMU-Iris,gallery,"{""side"": ""L""}"
4,MMU-Iris::1::4::L,Iris\002-MMU-Iris-Database\1\left\aeval5.bmp,1,iris,MMU-Iris,probe,"{""side"": ""L""}"
5,MMU-Iris::10::3::L,Iris\002-MMU-Iris-Database\10\left\fional4.bmp,10,iris,MMU-Iris,gallery,"{""side"": ""L""}"
6,MMU-Iris::10::2::L,Iris\002-MMU-Iris-Database\10\left\fional3.bmp,10,iris,MMU-Iris,gallery,"{""side"": ""L""}"
7,MMU-Iris::10::0::L,Iris\002-MMU-Iris-Database\10\left\fional1.bmp,10,iris,MMU-Iris,gallery,"{""side"": ""L""}"
8,MMU-Iris::10::4::L,Iris\002-MMU-Iris-Database\10\left\fional5.bmp,10,iris,MMU-Iris,probe,"{""side"": ""L""}"
9,MMU-Iris::11::3::L,Iris\002-MMU-Iris-Database\11\left\hockl4.bmp,11,iris,MMU-Iris,gallery,"{""side"": ""L""}"
10,MMU-Iris::11::1::L,Iris\002-MMU-Iris-Database\11\left\hockl2.bmp,11,iris,MMU-Iris,gallery,"{""side"": ""L""}"
11,MMU-Iris::11::2::L,Iris\002-MMU-Iris-Database\11\left\hockl3.bmp,11,iris,MMU-Iris,gallery,"{""side"": ""L""}"
12,MMU-Iris::11::0::L,Iris\002-MMU-Iris-Database\11\left\hockl1.bmp,11,iris,MMU-Iris,probe,"{""side"": ""L""}"
13,MMU-Iris::12::1::L,Iris\002-MMU-Iris-Database\12\left\kelvinl2.bmp,12,iris,MMU-Iris,gallery,"{""side"": ""L""}"
14,MMU-Iris::12::2::L,Iris\002-MMU-Iris-Database\12\left\kelvinl3.bmp,12,iris,MMU-Iris,gallery,"{""side"": ""L""}"
15,MMU-Iris::12::3::L,Iris\002-MMU-Iris-Database\12\left\kelvinl4.bmp,12,iris,MMU-Iris,gallery,"{""side"": ""L""}"
16,MMU-Iris::12::4::L,Iris\002-MMU-Iris-Database\12\left\kelvinl5.bmp,12,iris,MMU-Iris,probe,"{""side"": ""L""}"
