pair_id,image1_path,image2_path,modality,ground_truth,identity1,identity2,dataset_name,metadata
Multi-PIE_genuine_0,Face\Multi_Pie_HR_128\216_01_02_110_17_crop_128.png,Face\Multi_Pie_HR_128\216_01_02_240_17_crop_128.png,face,True,216,216,Multi-PIE,"{""record1_meta"": {""version"": ""HR_128"", ""angle"": ""110"", ""lighting"": ""17"", ""expression"": ""02""}, ""record2_meta"": {""version"": ""HR_128"", ""angle"": ""240"", ""lighting"": ""17"", ""expression"": ""02""}}"
Multi-PIE_genuine_1,Face\Multi_Pie_HR_128\038_01_01_120_07_crop_128.png,Face\Multi_Pie_HR_128\038_01_01_240_07_crop_128.png,face,True,038,038,Multi-PIE,"{""record1_meta"": {""version"": ""HR_128"", ""angle"": ""120"", ""lighting"": ""07"", ""expression"": ""01""}, ""record2_meta"": {""version"": ""HR_128"", ""angle"": ""240"", ""lighting"": ""07"", ""expression"": ""01""}}"
Multi-PIE_genuine_2,Face\Multi_Pie_HR_128\009_01_01_120_01_crop_128.png,Face\Multi_Pie_HR_128\009_01_01_130_01_crop_128.png,face,True,009,009,Multi-PIE,"{""record1_meta"": {""version"": ""HR_128"", ""angle"": ""120"", ""lighting"": ""01"", ""expression"": ""01""}, ""record2_meta"": {""version"": ""HR_128"", ""angle"": ""130"", ""lighting"": ""01"", ""expression"": ""01""}}"
Multi-PIE_genuine_3,Face\Multi_Pie_HR_128\093_01_01_120_17_crop_128.png,Face\Multi_Pie_HR_128\093_01_01_240_17_crop_128.png,face,True,093,093,Multi-PIE,"{""record1_meta"": {""version"": ""HR_128"", ""angle"": ""120"", ""lighting"": ""17"", ""expression"": ""01""}, ""record2_meta"": {""version"": ""HR_128"", ""angle"": ""240"", ""lighting"": ""17"", ""expression"": ""01""}}"
Multi-PIE_genuine_4,Face\Multi_Pie_HR_128\083_01_01_080_13_crop_128.png,Face\Multi_Pie_HR_128\083_01_01_130_13_crop_128.png,face,True,083,083,Multi-PIE,"{""record1_meta"": {""version"": ""HR_128"", ""angle"": ""080"", ""lighting"": ""13"", ""expression"": ""01""}, ""record2_meta"": {""version"": ""HR_128"", ""angle"": ""130"", ""lighting"": ""13"", ""expression"": ""01""}}"
Multi-PIE_genuine_5,Face\Multi_Pie_HR_128\076_01_01_010_04_crop_128.png,Face\Multi_Pie_HR_128\076_01_01_110_04_crop_128.png,face,True,076,076,Multi-PIE,"{""record1_meta"": {""version"": ""HR_128"", ""angle"": ""010"", ""lighting"": ""04"", ""expression"": ""01""}, ""record2_meta"": {""version"": ""HR_128"", ""angle"": ""110"", ""lighting"": ""04"", ""expression"": ""01""}}"
Multi-PIE_genuine_6,Face\Multi_Pie_HR_128\047_01_02_110_16_crop_128.png,Face\Multi_Pie_HR_128\047_01_02_120_16_crop_128.png,face,True,047,047,Multi-PIE,"{""record1_meta"": {""version"": ""HR_128"", ""angle"": ""110"", ""lighting"": ""16"", ""expression"": ""02""}, ""record2_meta"": {""version"": ""HR_128"", ""angle"": ""120"", ""lighting"": ""16"", ""expression"": ""02""}}"
Multi-PIE_genuine_7,Face\Multi_Pie_HR_128\249_01_02_010_03_crop_128.png,Face\Multi_Pie_HR_128\249_01_02_200_03_crop_128.png,face,True,249,249,Multi-PIE,"{""record1_meta"": {""version"": ""HR_128"", ""angle"": ""010"", ""lighting"": ""03"", ""expression"": ""02""}, ""record2_meta"": {""version"": ""HR_128"", ""angle"": ""200"", ""lighting"": ""03"", ""expression"": ""02""}}"
Multi-PIE_genuine_8,Face\Multi_Pie_HR_128\035_01_01_130_08_crop_128.png,Face\Multi_Pie_HR_128\035_01_01_190_08_crop_128.png,face,True,035,035,Multi-PIE,"{""record1_meta"": {""version"": ""HR_128"", ""angle"": ""130"", ""lighting"": ""08"", ""expression"": ""01""}, ""record2_meta"": {""version"": ""HR_128"", ""angle"": ""190"", ""lighting"": ""08"", ""expression"": ""01""}}"
Multi-PIE_genuine_9,Face\Multi_Pie_HR_128\229_01_01_120_14_crop_128.png,Face\Multi_Pie_HR_128\229_01_01_130_14_crop_128.png,face,True,229,229,Multi-PIE,"{""record1_meta"": {""version"": ""HR_128"", ""angle"": ""120"", ""lighting"": ""14"", ""expression"": ""01""}, ""record2_meta"": {""version"": ""HR_128"", ""angle"": ""130"", ""lighting"": ""14"", ""expression"": ""01""}}"
Multi-PIE_genuine_10,Face\Multi_Pie_HR_128\250_01_02_120_13_crop_128.png,Face\Multi_Pie_HR_128\250_01_02_140_13_crop_128.png,face,True,250,250,Multi-PIE,"{""record1_meta"": {""version"": ""HR_128"", ""angle"": ""120"", ""lighting"": ""13"", ""expression"": ""02""}, ""record2_meta"": {""version"": ""HR_128"", ""angle"": ""140"", ""lighting"": ""13"", ""expression"": ""02""}}"
Multi-PIE_genuine_11,Face\Multi_Pie_HR_128\184_01_01_080_07_crop_128.png,Face\Multi_Pie_HR_128\184_01_01_120_07_crop_128.png,face,True,184,184,Multi-PIE,"{""record1_meta"": {""version"": ""HR_128"", ""angle"": ""080"", ""lighting"": ""07"", ""expression"": ""01""}, ""record2_meta"": {""version"": ""HR_128"", ""angle"": ""120"", ""lighting"": ""07"", ""expression"": ""01""}}"
