pair_id,image1_path,image2_path,modality,ground_truth,identity1,identity2,dataset_name,metadata
Multi-PIE_genuine_0,Face\Multi_Pie_HR_128\162_01_01_050_05_crop_128.png,Face\Multi_Pie_HR_128\162_01_02_050_05_crop_128.png,face,True,162,162,Multi-PIE,"{""record1_meta"": {""version"": ""HR_128"", ""angle"": ""050"", ""lighting"": ""05"", ""expression"": ""01""}, ""record2_meta"": {""version"": ""HR_128"", ""angle"": ""050"", ""lighting"": ""05"", ""expression"": ""02""}}"
Multi-PIE_genuine_1,Face\Multi_Pie_HR_128\029_01_01_010_16_crop_128.png,Face\Multi_Pie_HR_128\029_01_02_010_16_crop_128.png,face,True,029,029,Multi-PIE,"{""record1_meta"": {""version"": ""HR_128"", ""angle"": ""010"", ""lighting"": ""16"", ""expression"": ""01""}, ""record2_meta"": {""version"": ""HR_128"", ""angle"": ""010"", ""lighting"": ""16"", ""expression"": ""02""}}"
Multi-PIE_genuine_2,Face\Multi_Pie_HR_128\007_01_01_051_19_crop_128.png,Face\Multi_Pie_HR_128\007_01_02_051_19_crop_128.png,face,True,007,007,Multi-PIE,"{""record1_meta"": {""version"": ""HR_128"", ""angle"": ""051"", ""lighting"": ""19"", ""expression"": ""01""}, ""record2_meta"": {""version"": ""HR_128"", ""angle"": ""051"", ""lighting"": ""19"", ""expression"": ""02""}}"
Multi-PIE_genuine_3,Face\Multi_Pie_HR_128\187_01_01_200_18_crop_128.png,Face\Multi_Pie_HR_128\187_01_02_200_18_crop_128.png,face,True,187,187,Multi-PIE,"{""record1_meta"": {""version"": ""HR_128"", ""angle"": ""200"", ""lighting"": ""18"", ""expression"": ""01""}, ""record2_meta"": {""version"": ""HR_128"", ""angle"": ""200"", ""lighting"": ""18"", ""expression"": ""02""}}"
Multi-PIE_genuine_4,Face\Multi_Pie_HR_128\070_01_01_080_04_crop_128.png,Face\Multi_Pie_HR_128\070_01_02_080_04_crop_128.png,face,True,070,070,Multi-PIE,"{""record1_meta"": {""version"": ""HR_128"", ""angle"": ""080"", ""lighting"": ""04"", ""expression"": ""01""}, ""record2_meta"": {""version"": ""HR_128"", ""angle"": ""080"", ""lighting"": ""04"", ""expression"": ""02""}}"
Multi-PIE_genuine_5,Face\Multi_Pie_HR_128\062_01_01_140_09_crop_128.png,Face\Multi_Pie_HR_128\062_01_02_140_09_crop_128.png,face,True,062,062,Multi-PIE,"{""record1_meta"": {""version"": ""HR_128"", ""angle"": ""140"", ""lighting"": ""09"", ""expression"": ""01""}, ""record2_meta"": {""version"": ""HR_128"", ""angle"": ""140"", ""lighting"": ""09"", ""expression"": ""02""}}"
Multi-PIE_genuine_6,Face\Multi_Pie_HR_128\057_01_01_051_08_crop_128.png,Face\Multi_Pie_HR_128\057_01_02_051_08_crop_128.png,face,True,057,057,Multi-PIE,"{""record1_meta"": {""version"": ""HR_128"", ""angle"": ""051"", ""lighting"": ""08"", ""expression"": ""01""}, ""record2_meta"": {""version"": ""HR_128"", ""angle"": ""051"", ""lighting"": ""08"", ""expression"": ""02""}}"
Multi-PIE_genuine_7,Face\Multi_Pie_HR_128\036_01_01_050_04_crop_128.png,Face\Multi_Pie_HR_128\036_01_02_050_04_crop_128.png,face,True,036,036,Multi-PIE,"{""record1_meta"": {""version"": ""HR_128"", ""angle"": ""050"", ""lighting"": ""04"", ""expression"": ""01""}, ""record2_meta"": {""version"": ""HR_128"", ""angle"": ""050"", ""lighting"": ""04"", ""expression"": ""02""}}"
Multi-PIE_genuine_8,Face\Multi_Pie_HR_128\186_01_01_130_05_crop_128.png,Face\Multi_Pie_HR_128\186_01_02_130_05_crop_128.png,face,True,186,186,Multi-PIE,"{""record1_meta"": {""version"": ""HR_128"", ""angle"": ""130"", ""lighting"": ""05"", ""expression"": ""01""}, ""record2_meta"": {""version"": ""HR_128"", ""angle"": ""130"", ""lighting"": ""05"", ""expression"": ""02""}}"
Multi-PIE_genuine_9,Face\Multi_Pie_HR_128\026_01_01_190_17_crop_128.png,Face\Multi_Pie_HR_128\026_01_02_190_17_crop_128.png,face,True,026,026,Multi-PIE,"{""record1_meta"": {""version"": ""HR_128"", ""angle"": ""190"", ""lighting"": ""17"", ""expression"": ""01""}, ""record2_meta"": {""version"": ""HR_128"", ""angle"": ""190"", ""lighting"": ""17"", ""expression"": ""02""}}"
