pair_id,image1_path,image2_path,modality,ground_truth,identity1,identity2,dataset_name,metadata
Multi-PIE_genuine_0,Face\Multi_Pie_HR_128\048_01_01_110_11_crop_128.png,Face\Multi_Pie_HR_128\048_01_01_110_16_crop_128.png,face,True,048,048,Multi-PIE,"{""record1_meta"": {""version"": ""HR_128"", ""angle"": ""110"", ""lighting"": ""11"", ""expression"": ""01""}, ""record2_meta"": {""version"": ""HR_128"", ""angle"": ""110"", ""lighting"": ""16"", ""expression"": ""01""}}"
Multi-PIE_genuine_1,Face\Multi_Pie_HR_128\011_01_02_051_00_crop_128.png,Face\Multi_Pie_HR_128\011_01_02_051_12_crop_128.png,face,True,011,011,Multi-PIE,"{""record1_meta"": {""version"": ""HR_128"", ""angle"": ""051"", ""lighting"": ""00"", ""expression"": ""02""}, ""record2_meta"": {""version"": ""HR_128"", ""angle"": ""051"", ""lighting"": ""12"", ""expression"": ""02""}}"
Multi-PIE_genuine_2,Face\Multi_Pie_HR_128\117_01_02_110_08_crop_128.png,Face\Multi_Pie_HR_128\117_01_02_110_13_crop_128.png,face,True,117,117,Multi-PIE,"{""record1_meta"": {""version"": ""HR_128"", ""angle"": ""110"", ""lighting"": ""08"", ""expression"": ""02""}, ""record2_meta"": {""version"": ""HR_128"", ""angle"": ""110"", ""lighting"": ""13"", ""expression"": ""02""}}"
Multi-PIE_genuine_3,Face\Multi_Pie_HR_128\104_01_02_240_00_crop_128.png,Face\Multi_Pie_HR_128\104_01_02_240_06_crop_128.png,face,True,104,104,Multi-PIE,"{""record1_meta"": {""version"": ""HR_128"", ""angle"": ""240"", ""lighting"": ""00"", ""expression"": ""02""}, ""record2_meta"": {""version"": ""HR_128"", ""angle"": ""240"", ""lighting"": ""06"", ""expression"": ""02""}}"
Multi-PIE_genuine_4,Face\Multi_Pie_HR_128\095_01_02_110_09_crop_128.png,Face\Multi_Pie_HR_128\095_01_02_110_11_crop_128.png,face,True,095,095,Multi-PIE,"{""record1_meta"": {""version"": ""HR_128"", ""angle"": ""110"", ""lighting"": ""09"", ""expression"": ""02""}, ""record2_meta"": {""version"": ""HR_128"", ""angle"": ""110"", ""lighting"": ""11"", ""expression"": ""02""}}"
Multi-PIE_genuine_5,Face\Multi_Pie_HR_128\060_01_01_110_01_crop_128.png,Face\Multi_Pie_HR_128\060_01_01_110_15_crop_128.png,face,True,060,060,Multi-PIE,"{""record1_meta"": {""version"": ""HR_128"", ""angle"": ""110"", ""lighting"": ""01"", ""expression"": ""01""}, ""record2_meta"": {""version"": ""HR_128"", ""angle"": ""110"", ""lighting"": ""15"", ""expression"": ""01""}}"
Multi-PIE_genuine_6,Face\Multi_Pie_HR_128\044_01_02_010_03_crop_128.png,Face\Multi_Pie_HR_128\044_01_02_010_07_crop_128.png,face,True,044,044,Multi-PIE,"{""record1_meta"": {""version"": ""HR_128"", ""angle"": ""010"", ""lighting"": ""03"", ""expression"": ""02""}, ""record2_meta"": {""version"": ""HR_128"", ""angle"": ""010"", ""lighting"": ""07"", ""expression"": ""02""}}"
Multi-PIE_genuine_7,Face\Multi_Pie_HR_128\233_01_02_010_06_crop_128.png,Face\Multi_Pie_HR_128\233_01_02_010_14_crop_128.png,face,True,233,233,Multi-PIE,"{""record1_meta"": {""version"": ""HR_128"", ""angle"": ""010"", ""lighting"": ""06"", ""expression"": ""02""}, ""record2_meta"": {""version"": ""HR_128"", ""angle"": ""010"", ""lighting"": ""14"", ""expression"": ""02""}}"
Multi-PIE_genuine_8,Face\Multi_Pie_HR_128\037_01_02_190_07_crop_128.png,Face\Multi_Pie_HR_128\037_01_02_190_09_crop_128.png,face,True,037,037,Multi-PIE,"{""record1_meta"": {""version"": ""HR_128"", ""angle"": ""190"", ""lighting"": ""07"", ""expression"": ""02""}, ""record2_meta"": {""version"": ""HR_128"", ""angle"": ""190"", ""lighting"": ""09"", ""expression"": ""02""}}"
Multi-PIE_genuine_9,Face\Multi_Pie_HR_128\180_01_01_051_00_crop_128.png,Face\Multi_Pie_HR_128\180_01_01_051_05_crop_128.png,face,True,180,180,Multi-PIE,"{""record1_meta"": {""version"": ""HR_128"", ""angle"": ""051"", ""lighting"": ""00"", ""expression"": ""01""}, ""record2_meta"": {""version"": ""HR_128"", ""angle"": ""051"", ""lighting"": ""05"", ""expression"": ""01""}}"
Multi-PIE_genuine_10,Face\Multi_Pie_HR_128\014_01_01_240_10_crop_128.png,Face\Multi_Pie_HR_128\014_01_01_240_19_crop_128.png,face,True,014,014,Multi-PIE,"{""record1_meta"": {""version"": ""HR_128"", ""angle"": ""240"", ""lighting"": ""10"", ""expression"": ""01""}, ""record2_meta"": {""version"": ""HR_128"", ""angle"": ""240"", ""lighting"": ""19"", ""expression"": ""01""}}"
Multi-PIE_genuine_11,Face\Multi_Pie_HR_128\013_01_02_051_13_crop_128.png,Face\Multi_Pie_HR_128\013_01_02_051_14_crop_128.png,face,True,013,013,Multi-PIE,"{""record1_meta"": {""version"": ""HR_128"", ""angle"": ""051"", ""lighting"": ""13"", ""expression"": ""02""}, ""record2_meta"": {""version"": ""HR_128"", ""angle"": ""051"", ""lighting"": ""14"", ""expression"": ""02""}}"
Multi-PIE_genuine_12,Face\Multi_Pie_HR_128\040_01_02_120_01_crop_128.png,Face\Multi_Pie_HR_128\040_01_02_120_16_crop_128.png,face,True,040,040,Multi-PIE,"{""record1_meta"": {""version"": ""HR_128"", ""angle"": ""120"", ""lighting"": ""01"", ""expression"": ""02""}, ""record2_meta"": {""version"": ""HR_128"", ""angle"": ""120"", ""lighting"": ""16"", ""expression"": ""02""}}"
Multi-PIE_genuine_13,Face\Multi_Pie_HR_128\093_01_02_130_02_crop_128.png,Face\Multi_Pie_HR_128\093_01_02_130_13_crop_128.png,face,True,093,093,Multi-PIE,"{""record1_meta"": {""version"": ""HR_128"", ""angle"": ""130"", ""lighting"": ""02"", ""expression"": ""02""}, ""record2_meta"": {""version"": ""HR_128"", ""angle"": ""130"", ""lighting"": ""13"", ""expression"": ""02""}}"
