pair_id,image1_path,image2_path,modality,ground_truth,identity1,identity2,dataset_name,metadata
Multi-PIE_genuine_0,Face\Multi_Pie_HR_128\056_01_01_090_06_crop_128.png,Face\Multi_Pie_HR_128\056_01_01_240_19_crop_128.png,face,True,056,056,Multi-PIE,"{""record1_meta"": {""version"": ""HR_128"", ""angle"": ""090"", ""lighting"": ""06"", ""expression"": ""01""}, ""record2_meta"": {""version"": ""HR_128"", ""angle"": ""240"", ""lighting"": ""19"", ""expression"": ""01""}}"
Multi-PIE_genuine_1,Face\Multi_Pie_HR_128\013_01_01_110_10_crop_128.png,Face\Multi_Pie_HR_128\013_01_01_190_09_crop_128.png,face,True,013,013,Multi-PIE,"{""record1_meta"": {""version"": ""HR_128"", ""angle"": ""110"", ""lighting"": ""10"", ""expression"": ""01""}, ""record2_meta"": {""version"": ""HR_128"", ""angle"": ""190"", ""lighting"": ""09"", ""expression"": ""01""}}"
Multi-PIE_genuine_2,Face\Multi_Pie_HR_128\137_01_02_010_15_crop_128.png,Face\Multi_Pie_HR_128\137_01_02_041_11_crop_128.png,face,True,137,137,Multi-PIE,"{""record1_meta"": {""version"": ""HR_128"", ""angle"": ""010"", ""lighting"": ""15"", ""expression"": ""02""}, ""record2_meta"": {""version"": ""HR_128"", ""angle"": ""041"", ""lighting"": ""11"", ""expression"": ""02""}}"
Multi-PIE_genuine_3,Face\Multi_Pie_HR_128\122_01_02_041_01_crop_128.png,Face\Multi_Pie_HR_128\122_01_02_140_17_crop_128.png,face,True,122,122,Multi-PIE,"{""record1_meta"": {""version"": ""HR_128"", ""angle"": ""041"", ""lighting"": ""01"", ""expression"": ""02""}, ""record2_meta"": {""version"": ""HR_128"", ""angle"": ""140"", ""lighting"": ""17"", ""expression"": ""02""}}"
Multi-PIE_genuine_4,Face\Multi_Pie_HR_128\112_01_01_010_02_crop_128.png,Face\Multi_Pie_HR_128\112_01_01_050_05_crop_128.png,face,True,112,112,Multi-PIE,"{""record1_meta"": {""version"": ""HR_128"", ""angle"": ""010"", ""lighting"": ""02"", ""expression"": ""01""}, ""record2_meta"": {""version"": ""HR_128"", ""angle"": ""050"", ""lighting"": ""05"", ""expression"": ""01""}}"
Multi-PIE_genuine_5,Face\Multi_Pie_HR_128\070_01_01_090_15_crop_128.png,Face\Multi_Pie_HR_128\070_01_02_080_17_crop_128.png,face,True,070,070,Multi-PIE,"{""record1_meta"": {""version"": ""HR_128"", ""angle"": ""090"", ""lighting"": ""15"", ""expression"": ""01""}, ""record2_meta"": {""version"": ""HR_128"", ""angle"": ""080"", ""lighting"": ""17"", ""expression"": ""02""}}"
Multi-PIE_genuine_6,Face\Multi_Pie_HR_128\051_01_02_130_14_crop_128.png,Face\Multi_Pie_HR_128\051_01_02_200_04_crop_128.png,face,True,051,051,Multi-PIE,"{""record1_meta"": {""version"": ""HR_128"", ""angle"": ""130"", ""lighting"": ""14"", ""expression"": ""02""}, ""record2_meta"": {""version"": ""HR_128"", ""angle"": ""200"", ""lighting"": ""04"", ""expression"": ""02""}}"
Multi-PIE_genuine_7,Face\Multi_Pie_HR_128\044_01_01_051_05_crop_128.png,Face\Multi_Pie_HR_128\044_01_02_080_17_crop_128.png,face,True,044,044,Multi-PIE,"{""record1_meta"": {""version"": ""HR_128"", ""angle"": ""051"", ""lighting"": ""05"", ""expression"": ""01""}, ""record2_meta"": {""version"": ""HR_128"", ""angle"": ""080"", ""lighting"": ""17"", ""expression"": ""02""}}"
Multi-PIE_genuine_8,Face\Multi_Pie_HR_128\210_01_02_050_06_crop_128.png,Face\Multi_Pie_HR_128\210_01_02_110_12_crop_128.png,face,True,210,210,Multi-PIE,"{""record1_meta"": {""version"": ""HR_128"", ""angle"": ""050"", ""lighting"": ""06"", ""expression"": ""02""}, ""record2_meta"": {""version"": ""HR_128"", ""angle"": ""110"", ""lighting"": ""12"", ""expression"": ""02""}}"
Multi-PIE_genuine_9,Face\Multi_Pie_HR_128\016_01_02_041_10_crop_128.png,Face\Multi_Pie_HR_128\016_01_02_200_05_crop_128.png,face,True,016,016,Multi-PIE,"{""record1_meta"": {""version"": ""HR_128"", ""angle"": ""041"", ""lighting"": ""10"", ""expression"": ""02""}, ""record2_meta"": {""version"": ""HR_128"", ""angle"": ""200"", ""lighting"": ""05"", ""expression"": ""02""}}"
