pair_id,image1_path,image2_path,modality,ground_truth,identity1,identity2,dataset_name,metadata
EEMSC-DBM_genuine_0,FingerVein\005-EEMSC-DBM\data\0013\0013_5_1_120509-152359.png,FingerVein\005-EEMSC-DBM\data\0013\0013_5_2_120509-152540.png,finger,True,0013,0013,EEMSC-DBM,"{""record1_meta"": {}, ""record2_meta"": {}}"
EEMSC-DBM_genuine_1,FingerVein\005-EEMSC-DBM\data\0003\0003_6_1_120509-141403.png,FingerVein\005-EEMSC-DBM\data\0003\0003_6_2_120509-141548.png,finger,True,0003,0003,EEMSC-DBM,"{""record1_meta"": {}, ""record2_meta"": {}}"
EEMSC-DBM_genuine_2,FingerVein\005-EEMSC-DBM\data\0032\0032_2_2_120510-104828.png,FingerVein\005-EEMSC-DBM\data\0032\0032_2_4_120529-122639.png,finger,True,0032,0032,EEMSC-DBM,"{""record1_meta"": {}, ""record2_meta"": {}}"
EEMSC-DBM_genuine_3,FingerVein\005-EEMSC-DBM\data\0028\0028_6_1_120510-095856.png,FingerVein\005-EEMSC-DBM\data\0028\0028_6_3_120523-112903.png,finger,True,0028,0028,EEMSC-DBM,"{""record1_meta"": {}, ""record2_meta"": {}}"
EEMSC-DBM_genuine_4,FingerVein\005-EEMSC-DBM\data\0026\0026_3_1_120509-165123.png,FingerVein\005-EEMSC-DBM\data\0026\0026_3_4_120523-110601.png,finger,True,0026,0026,EEMSC-DBM,"{""record1_meta"": {}, ""record2_meta"": {}}"
EEMSC-DBM_genuine_5,FingerVein\005-EEMSC-DBM\data\0016\0016_6_1_120509-155106.png,FingerVein\005-EEMSC-DBM\data\0016\0016_6_3_120523-130327.png,finger,True,0016,0016,EEMSC-DBM,"{""record1_meta"": {}, ""record2_meta"": {}}"
EEMSC-DBM_genuine_6,FingerVein\005-EEMSC-DBM\data\0012\0012_4_3_120523-124854.png,FingerVein\005-EEMSC-DBM\data\0012\0012_4_4_120523-125028.png,finger,True,0012,0012,EEMSC-DBM,"{""record1_meta"": {}, ""record2_meta"": {}}"
EEMSC-DBM_genuine_7,FingerVein\005-EEMSC-DBM\data\0010\0010_6_1_120509-150250.png,FingerVein\005-EEMSC-DBM\data\0010\0010_6_4_120524-110307.png,finger,True,0010,0010,EEMSC-DBM,"{""record1_meta"": {}, ""record2_meta"": {}}"
EEMSC-DBM_genuine_8,FingerVein\005-EEMSC-DBM\data\0049\0049_1_1_120510-162748.png,FingerVein\005-EEMSC-DBM\data\0049\0049_1_2_120510-162924.png,finger,True,0049,0049,EEMSC-DBM,"{""record1_meta"": {}, ""record2_meta"": {}}"
EEMSC-DBM_genuine_9,FingerVein\005-EEMSC-DBM\data\0004\0004_4_2_120509-142015.png,FingerVein\005-EEMSC-DBM\data\0004\0004_4_4_120523-105553.png,finger,True,0004,0004,EEMSC-DBM,"{""record1_meta"": {}, ""record2_meta"": {}}"
EEMSC-DBM_genuine_10,FingerVein\005-EEMSC-DBM\data\0004\0004_3_1_120509-141834.png,FingerVein\005-EEMSC-DBM\data\0004\0004_3_4_120523-105541.png,finger,True,0004,0004,EEMSC-DBM,"{""record1_meta"": {}, ""record2_meta"": {}}"
EEMSC-DBM_genuine_11,FingerVein\005-EEMSC-DBM\data\0011\0011_4_3_120524-163611.png,FingerVein\005-EEMSC-DBM\data\0011\0011_4_4_120524-163746.png,finger,True,0011,0011,EEMSC-DBM,"{""record1_meta"": {}, ""record2_meta"": {}}"
EEMSC-DBM_genuine_12,FingerVein\005-EEMSC-DBM\data\0025\0025_6_1_120509-164557.png,FingerVein\005-EEMSC-DBM\data\0025\0025_6_3_120529-141045.png,finger,True,0025,0025,EEMSC-DBM,"{""record1_meta"": {}, ""record2_meta"": {}}"
EEMSC-DBM_genuine_13,FingerVein\005-EEMSC-DBM\data\0027\0027_3_2_120510-093417.png,FingerVein\005-EEMSC-DBM\data\0027\0027_3_4_120523-112139.png,finger,True,0027,0027,EEMSC-DBM,"{""record1_meta"": {}, ""record2_meta"": {}}"
EEMSC-DBM_genuine_14,FingerVein\005-EEMSC-DBM\data\0058\0058_3_3_120523-143417.png,FingerVein\005-EEMSC-DBM\data\0058\0058_3_4_120523-143537.png,finger,True,0058,0058,EEMSC-DBM,"{""record1_meta"": {}, ""record2_meta"": {}}"
EEMSC-DBM_genuine_15,FingerVein\005-EEMSC-DBM\data\0004\0004_1_1_120509-141804.png,FingerVein\005-EEMSC-DBM\data\0004\0004_1_2_120509-141934.png,finger,True,0004,0004,EEMSC-DBM,"{""record1_meta"": {}, ""record2_meta"": {}}"
EEMSC-DBM_genuine_16,FingerVein\005-EEMSC-DBM\data\0023\0023_4_2_120509-163559.png,FingerVein\005-EEMSC-DBM\data\0023\0023_4_4_120523-142340.png,finger,True,0023,0023,EEMSC-DBM,"{""record1_meta"": {}, ""record2_meta"": {}}"
EEMSC-DBM_genuine_17,FingerVein\005-EEMSC-DBM\data\0048\0048_5_1_120510-161847.png,FingerVein\005-EEMSC-DBM\data\0048\0048_5_4_120523-141155.png,finger,True,0048,0048,EEMSC-DBM,"{""record1_meta"": {}, ""record2_meta"": {}}"
EEMSC-DBM_genuine_18,FingerVein\005-EEMSC-DBM\data\0026\0026_1_1_120509-165047.png,FingerVein\005-EEMSC-DBM\data\0026\0026_1_4_120523-110525.png,finger,True,0026,0026,EEMSC-DBM,"{""record1_meta"": {}, ""record2_meta"": {}}"
EEMSC-DBM_genuine_19,FingerVein\005-EEMSC-DBM\data\0052\0052_1_2_120510-170936.png,FingerVein\005-EEMSC-DBM\data\0052\0052_1_3_120529-115142.png,finger,True,0052,0052,EEMSC-DBM,"{""record1_meta"": {}, ""record2_meta"": {}}"
EEMSC-DBM_genuine_20,FingerVein\005-EEMSC-DBM\data\0032\0032_4_3_120529-122527.png,FingerVein\005-EEMSC-DBM\data\0032\0032_4_4_120529-122703.png,finger,True,0032,0032,EEMSC-DBM,"{""record1_meta"": {}, ""record2_meta"": {}}"
EEMSC-DBM_genuine_21,FingerVein\005-EEMSC-DBM\data\0001\0001_5_1_120509-135450.png,FingerVein\005-EEMSC-DBM\data\0001\0001_5_4_120523-101032.png,finger,True,0001,0001,EEMSC-DBM,"{""record1_meta"": {}, ""record2_meta"": {}}"
EEMSC-DBM_genuine_22,FingerVein\005-EEMSC-DBM\data\0019\0019_1_3_120702-123248.png,FingerVein\005-EEMSC-DBM\data\0019\0019_1_4_120702-123423.png,finger,True,0019,0019,EEMSC-DBM,"{""record1_meta"": {}, ""record2_meta"": {}}"
EEMSC-DBM_genuine_23,FingerVein\005-EEMSC-DBM\data\0049\0049_1_2_120510-162924.png,FingerVein\005-EEMSC-DBM\data\0049\0049_1_3_120524-163927.png,finger,True,0049,0049,EEMSC-DBM,"{""record1_meta"": {}, ""record2_meta"": {}}"
EEMSC-DBM_genuine_24,FingerVein\005-EEMSC-DBM\data\0039\0039_5_1_120510-115339.png,FingerVein\005-EEMSC-DBM\data\0039\0039_5_3_120523-124152.png,finger,True,0039,0039,EEMSC-DBM,"{""record1_meta"": {}, ""record2_meta"": {}}"
EEMSC-DBM_genuine_25,FingerVein\005-EEMSC-DBM\data\0032\0032_4_2_120510-104852.png,FingerVein\005-EEMSC-DBM\data\0032\0032_4_4_120529-122703.png,finger,True,0032,0032,EEMSC-DBM,"{""record1_meta"": {}, ""record2_meta"": {}}"
EEMSC-DBM_genuine_26,FingerVein\005-EEMSC-DBM\data\0018\0018_5_1_120509-160119.png,FingerVein\005-EEMSC-DBM\data\0018\0018_5_2_120509-160245.png,finger,True,0018,0018,EEMSC-DBM,"{""record1_meta"": {}, ""record2_meta"": {}}"
EEMSC-DBM_genuine_27,FingerVein\005-EEMSC-DBM\data\0025\0025_3_3_120529-141009.png,FingerVein\005-EEMSC-DBM\data\0025\0025_3_4_120529-141121.png,finger,True,0025,0025,EEMSC-DBM,"{""record1_meta"": {}, ""record2_meta"": {}}"
