pair_id,image1_path,image2_path,modality,ground_truth,identity1,identity2,dataset_name,metadata
FV-USM_genuine_0,FingerVein\003-FV-USM\1st_session\extractedvein\vein080_2\06.jpg,FingerVein\003-FV-USM\2nd_session\extractedvein\vein080_2\01.jpg,finger,True,080,080,FV-USM,"{""record1_meta"": {""session"": ""1st_session"", ""image_type"": ""roi""}, ""record2_meta"": {""session"": ""2nd_session"", ""image_type"": ""roi""}}"
FV-USM_genuine_1,FingerVein\003-FV-USM\2nd_session\extractedvein\vein014_1\04.jpg,FingerVein\003-FV-USM\2nd_session\extractedvein\vein014_1\05.jpg,finger,True,014,014,FV-USM,"{""record1_meta"": {""session"": ""2nd_session"", ""image_type"": ""roi""}, ""record2_meta"": {""session"": ""2nd_session"", ""image_type"": ""roi""}}"
FV-USM_genuine_2,FingerVein\003-FV-USM\1st_session\extractedvein\vein004_1\03.jpg,FingerVein\003-FV-USM\2nd_session\extractedvein\vein004_1\04.jpg,finger,True,004,004,FV-USM,"{""record1_meta"": {""session"": ""1st_session"", ""image_type"": ""roi""}, ""record2_meta"": {""session"": ""2nd_session"", ""image_type"": ""roi""}}"
FV-USM_genuine_3,FingerVein\003-FV-USM\1st_session\extractedvein\vein093_1\02.jpg,FingerVein\003-FV-USM\1st_session\extractedvein\vein093_1\03.jpg,finger,True,093,093,FV-USM,"{""record1_meta"": {""session"": ""1st_session"", ""image_type"": ""roi""}, ""record2_meta"": {""session"": ""1st_session"", ""image_type"": ""roi""}}"
FV-USM_genuine_4,FingerVein\003-FV-USM\1st_session\extractedvein\vein035_1\04.jpg,FingerVein\003-FV-USM\2nd_session\extractedvein\vein035_1\05.jpg,finger,True,035,035,FV-USM,"{""record1_meta"": {""session"": ""1st_session"", ""image_type"": ""roi""}, ""record2_meta"": {""session"": ""2nd_session"", ""image_type"": ""roi""}}"
FV-USM_impostor_0,FingerVein\003-FV-USM\1st_session\extractedvein\vein106_1\02.jpg,FingerVein\003-FV-USM\1st_session\extractedvein\vein051_1\05.jpg,finger,False,106,051,FV-USM,"{""record1_meta"": {""session"": ""1st_session"", ""image_type"": ""roi""}, ""record2_meta"": {""session"": ""1st_session"", ""image_type"": ""roi""}}"
FV-USM_impostor_1,FingerVein\003-FV-USM\2nd_session\extractedvein\vein043_1\02.jpg,FingerVein\003-FV-USM\2nd_session\extractedvein\vein070_1\01.jpg,finger,False,043,070,FV-USM,"{""record1_meta"": {""session"": ""2nd_session"", ""image_type"": ""roi""}, ""record2_meta"": {""session"": ""2nd_session"", ""image_type"": ""roi""}}"
FV-USM_impostor_2,FingerVein\003-FV-USM\2nd_session\extractedvein\vein122_4\02.jpg,FingerVein\003-FV-USM\2nd_session\extractedvein\vein015_4\04.jpg,finger,False,122,015,FV-USM,"{""record1_meta"": {""session"": ""2nd_session"", ""image_type"": ""roi""}, ""record2_meta"": {""session"": ""2nd_session"", ""image_type"": ""roi""}}"
FV-USM_impostor_3,FingerVein\003-FV-USM\2nd_session\extractedvein\vein093_1\05.jpg,FingerVein\003-FV-USM\2nd_session\extractedvein\vein015_1\03.jpg,finger,False,093,015,FV-USM,"{""record1_meta"": {""session"": ""2nd_session"", ""image_type"": ""roi""}, ""record2_meta"": {""session"": ""2nd_session"", ""image_type"": ""roi""}}"
FV-USM_impostor_4,FingerVein\003-FV-USM\1st_session\extractedvein\vein062_1\06.jpg,FingerVein\003-FV-USM\2nd_session\extractedvein\vein112_1\03.jpg,finger,False,062,112,FV-USM,"{""record1_meta"": {""session"": ""1st_session"", ""image_type"": ""roi""}, ""record2_meta"": {""session"": ""2nd_session"", ""image_type"": ""roi""}}"
