pair_id,image1_path,image2_path,modality,ground_truth,identity1,identity2,dataset_name,metadata
FV-USM_genuine_0,FingerVein\003-FV-USM\1st_session\extractedvein\vein080_2\06.jpg,FingerVein\003-FV-USM\2nd_session\extractedvein\vein080_2\01.jpg,finger,True,080,080,FV-USM,"{""record1_meta"": {""session"": ""1st_session"", ""image_type"": ""roi""}, ""record2_meta"": {""session"": ""2nd_session"", ""image_type"": ""roi""}}"
FV-USM_genuine_1,FingerVein\003-FV-USM\2nd_session\extractedvein\vein014_1\04.jpg,FingerVein\003-FV-USM\2nd_session\extractedvein\vein014_1\05.jpg,finger,True,014,014,FV-USM,"{""record1_meta"": {""session"": ""2nd_session"", ""image_type"": ""roi""}, ""record2_meta"": {""session"": ""2nd_session"", ""image_type"": ""roi""}}"
FV-USM_genuine_2,FingerVein\003-FV-USM\1st_session\extractedvein\vein004_1\03.jpg,FingerVein\003-FV-USM\2nd_session\extractedvein\vein004_1\04.jpg,finger,True,004,004,FV-USM,"{""record1_meta"": {""session"": ""1st_session"", ""image_type"": ""roi""}, ""record2_meta"": {""session"": ""2nd_session"", ""image_type"": ""roi""}}"
FV-USM_genuine_3,FingerVein\003-FV-USM\1st_session\extractedvein\vein093_1\02.jpg,FingerVein\003-FV-USM\1st_session\extractedvein\vein093_1\03.jpg,finger,True,093,093,FV-USM,"{""record1_meta"": {""session"": ""1st_session"", ""image_type"": ""roi""}, ""record2_meta"": {""session"": ""1st_session"", ""image_type"": ""roi""}}"
FV-USM_genuine_4,FingerVein\003-FV-USM\1st_session\extractedvein\vein035_1\04.jpg,FingerVein\003-FV-USM\2nd_session\extractedvein\vein035_1\05.jpg,finger,True,035,035,FV-USM,"{""record1_meta"": {""session"": ""1st_session"", ""image_type"": ""roi""}, ""record2_meta"": {""session"": ""2nd_session"", ""image_type"": ""roi""}}"
FV-USM_genuine_5,FingerVein\003-FV-USM\1st_session\extractedvein\vein031_3\01.jpg,FingerVein\003-FV-USM\1st_session\extractedvein\vein031_3\04.jpg,finger,True,031,031,FV-USM,"{""record1_meta"": {""session"": ""1st_session"", ""image_type"": ""roi""}, ""record2_meta"": {""session"": ""1st_session"", ""image_type"": ""roi""}}"
FV-USM_genuine_6,FingerVein\003-FV-USM\1st_session\extractedvein\vein028_4\04.jpg,FingerVein\003-FV-USM\2nd_session\extractedvein\vein028_4\02.jpg,finger,True,028,028,FV-USM,"{""record1_meta"": {""session"": ""1st_session"", ""image_type"": ""roi""}, ""record2_meta"": {""session"": ""2nd_session"", ""image_type"": ""roi""}}"
FV-USM_genuine_7,FingerVein\003-FV-USM\1st_session\extractedvein\vein018_2\04.jpg,FingerVein\003-FV-USM\2nd_session\extractedvein\vein018_2\02.jpg,finger,True,018,018,FV-USM,"{""record1_meta"": {""session"": ""1st_session"", ""image_type"": ""roi""}, ""record2_meta"": {""session"": ""2nd_session"", ""image_type"": ""roi""}}"
FV-USM_genuine_8,FingerVein\003-FV-USM\1st_session\extractedvein\vein092_3\01.jpg,FingerVein\003-FV-USM\2nd_session\extractedvein\vein092_3\02.jpg,finger,True,092,092,FV-USM,"{""record1_meta"": {""session"": ""1st_session"", ""image_type"": ""roi""}, ""record2_meta"": {""session"": ""2nd_session"", ""image_type"": ""roi""}}"
FV-USM_genuine_9,FingerVein\003-FV-USM\1st_session\extractedvein\vein013_4\04.jpg,FingerVein\003-FV-USM\2nd_session\extractedvein\vein013_4\06.jpg,finger,True,013,013,FV-USM,"{""record1_meta"": {""session"": ""1st_session"", ""image_type"": ""roi""}, ""record2_meta"": {""session"": ""2nd_session"", ""image_type"": ""roi""}}"
