pair_id,image1_path,image2_path,modality,ground_truth,identity1,identity2,dataset_name,metadata
MMCBNU_6000_genuine_0,FingerVein\002-MMCBNU_6000\ROIs\078\R_Fore\04.bmp,FingerVein\002-MMCBNU_6000\ROIs\078\R_Fore\08.bmp,finger,True,078,078,MMCBNU_6000,"{""record1_meta"": {""image_type"": ""roi""}, ""record2_meta"": {""image_type"": ""roi""}}"
MMCBNU_6000_genuine_1,FingerVein\002-MMCBNU_6000\ROIs\014\R_Fore\01.bmp,FingerVein\002-MMCBNU_6000\ROIs\014\R_Fore\05.bmp,finger,True,014,014,MMCBNU_6000,"{""record1_meta"": {""image_type"": ""roi""}, ""record2_meta"": {""image_type"": ""roi""}}"
MMCBNU_6000_genuine_2,FingerVein\002-MMCBNU_6000\ROIs\004\L_Fore\02.bmp,FingerVein\002-MMCBNU_6000\ROIs\004\L_Fore\03.bmp,finger,True,004,004,MMCBNU_6000,"{""record1_meta"": {""image_type"": ""roi""}, ""record2_meta"": {""image_type"": ""roi""}}"
MMCBNU_6000_genuine_3,FingerVein\002-MMCBNU_6000\ROIs\090\R_Ring\09.bmp,FingerVein\002-MMCBNU_6000\ROIs\090\R_Ring\10.bmp,finger,True,090,090,MMCBNU_6000,"{""record1_meta"": {""image_type"": ""roi""}, ""record2_meta"": {""image_type"": ""roi""}}"
MMCBNU_6000_genuine_4,FingerVein\002-MMCBNU_6000\ROIs\034\L_Ring\02.bmp,FingerVein\002-MMCBNU_6000\ROIs\034\L_Ring\06.bmp,finger,True,034,034,MMCBNU_6000,"{""record1_meta"": {""image_type"": ""roi""}, ""record2_meta"": {""image_type"": ""roi""}}"
MMCBNU_6000_genuine_5,FingerVein\002-MMCBNU_6000\ROIs\030\R_Middle\02.bmp,FingerVein\002-MMCBNU_6000\ROIs\030\R_Middle\08.bmp,finger,True,030,030,MMCBNU_6000,"{""record1_meta"": {""image_type"": ""roi""}, ""record2_meta"": {""image_type"": ""roi""}}"
MMCBNU_6000_genuine_6,FingerVein\002-MMCBNU_6000\ROIs\028\L_Fore\04.bmp,FingerVein\002-MMCBNU_6000\ROIs\028\L_Fore\05.bmp,finger,True,028,028,MMCBNU_6000,"{""record1_meta"": {""image_type"": ""roi""}, ""record2_meta"": {""image_type"": ""roi""}}"
MMCBNU_6000_genuine_7,FingerVein\002-MMCBNU_6000\ROIs\017\R_Ring\04.bmp,FingerVein\002-MMCBNU_6000\ROIs\017\R_Ring\08.bmp,finger,True,017,017,MMCBNU_6000,"{""record1_meta"": {""image_type"": ""roi""}, ""record2_meta"": {""image_type"": ""roi""}}"
MMCBNU_6000_genuine_8,FingerVein\002-MMCBNU_6000\ROIs\090\L_Ring\02.bmp,FingerVein\002-MMCBNU_6000\ROIs\090\L_Ring\06.bmp,finger,True,090,090,MMCBNU_6000,"{""record1_meta"": {""image_type"": ""roi""}, ""record2_meta"": {""image_type"": ""roi""}}"
MMCBNU_6000_genuine_9,FingerVein\002-MMCBNU_6000\ROIs\013\L_Ring\04.bmp,FingerVein\002-MMCBNU_6000\ROIs\013\L_Ring\09.bmp,finger,True,013,013,MMCBNU_6000,"{""record1_meta"": {""image_type"": ""roi""}, ""record2_meta"": {""image_type"": ""roi""}}"
MMCBNU_6000_genuine_10,FingerVein\002-MMCBNU_6000\ROIs\083\L_Fore\05.bmp,FingerVein\002-MMCBNU_6000\ROIs\083\L_Fore\10.bmp,finger,True,083,083,MMCBNU_6000,"{""record1_meta"": {""image_type"": ""roi""}, ""record2_meta"": {""image_type"": ""roi""}}"
MMCBNU_6000_genuine_11,FingerVein\002-MMCBNU_6000\ROIs\090\R_Ring\02.bmp,FingerVein\002-MMCBNU_6000\ROIs\090\R_Ring\09.bmp,finger,True,090,090,MMCBNU_6000,"{""record1_meta"": {""image_type"": ""roi""}, ""record2_meta"": {""image_type"": ""roi""}}"
MMCBNU_6000_genuine_12,FingerVein\002-MMCBNU_6000\ROIs\067\L_Middle\01.bmp,FingerVein\002-MMCBNU_6000\ROIs\067\L_Middle\07.bmp,finger,True,067,067,MMCBNU_6000,"{""record1_meta"": {""image_type"": ""roi""}, ""record2_meta"": {""image_type"": ""roi""}}"
MMCBNU_6000_genuine_13,FingerVein\002-MMCBNU_6000\ROIs\011\R_Fore\02.bmp,FingerVein\002-MMCBNU_6000\ROIs\011\R_Fore\07.bmp,finger,True,011,011,MMCBNU_6000,"{""record1_meta"": {""image_type"": ""roi""}, ""record2_meta"": {""image_type"": ""roi""}}"
MMCBNU_6000_genuine_14,FingerVein\002-MMCBNU_6000\ROIs\072\R_Fore\09.bmp,FingerVein\002-MMCBNU_6000\ROIs\072\R_Fore\10.bmp,finger,True,072,072,MMCBNU_6000,"{""record1_meta"": {""image_type"": ""roi""}, ""record2_meta"": {""image_type"": ""roi""}}"
MMCBNU_6000_genuine_15,FingerVein\002-MMCBNU_6000\ROIs\052\L_Middle\02.bmp,FingerVein\002-MMCBNU_6000\ROIs\052\L_Middle\04.bmp,finger,True,052,052,MMCBNU_6000,"{""record1_meta"": {""image_type"": ""roi""}, ""record2_meta"": {""image_type"": ""roi""}}"
MMCBNU_6000_genuine_16,FingerVein\002-MMCBNU_6000\ROIs\004\R_Ring\01.bmp,FingerVein\002-MMCBNU_6000\ROIs\004\R_Ring\08.bmp,finger,True,004,004,MMCBNU_6000,"{""record1_meta"": {""image_type"": ""roi""}, ""record2_meta"": {""image_type"": ""roi""}}"
MMCBNU_6000_genuine_17,FingerVein\002-MMCBNU_6000\ROIs\004\R_Fore\05.bmp,FingerVein\002-MMCBNU_6000\ROIs\004\R_Fore\07.bmp,finger,True,004,004,MMCBNU_6000,"{""record1_meta"": {""image_type"": ""roi""}, ""record2_meta"": {""image_type"": ""roi""}}"
MMCBNU_6000_genuine_18,FingerVein\002-MMCBNU_6000\ROIs\012\L_Ring\02.bmp,FingerVein\002-MMCBNU_6000\ROIs\012\L_Ring\04.bmp,finger,True,012,012,MMCBNU_6000,"{""record1_meta"": {""image_type"": ""roi""}, ""record2_meta"": {""image_type"": ""roi""}}"
MMCBNU_6000_genuine_19,FingerVein\002-MMCBNU_6000\ROIs\027\R_Fore\02.bmp,FingerVein\002-MMCBNU_6000\ROIs\027\R_Fore\03.bmp,finger,True,027,027,MMCBNU_6000,"{""record1_meta"": {""image_type"": ""roi""}, ""record2_meta"": {""image_type"": ""roi""}}"
MMCBNU_6000_genuine_20,FingerVein\002-MMCBNU_6000\ROIs\029\L_Middle\03.bmp,FingerVein\002-MMCBNU_6000\ROIs\029\L_Middle\05.bmp,finger,True,029,029,MMCBNU_6000,"{""record1_meta"": {""image_type"": ""roi""}, ""record2_meta"": {""image_type"": ""roi""}}"
MMCBNU_6000_genuine_21,FingerVein\002-MMCBNU_6000\ROIs\062\L_Middle\09.bmp,FingerVein\002-MMCBNU_6000\ROIs\062\L_Middle\10.bmp,finger,True,062,062,MMCBNU_6000,"{""record1_meta"": {""image_type"": ""roi""}, ""record2_meta"": {""image_type"": ""roi""}}"
MMCBNU_6000_genuine_22,FingerVein\002-MMCBNU_6000\ROIs\074\L_Fore\02.bmp,FingerVein\002-MMCBNU_6000\ROIs\074\L_Fore\10.bmp,finger,True,074,074,MMCBNU_6000,"{""record1_meta"": {""image_type"": ""roi""}, ""record2_meta"": {""image_type"": ""roi""}}"
MMCBNU_6000_genuine_23,FingerVein\002-MMCBNU_6000\ROIs\004\L_Middle\02.bmp,FingerVein\002-MMCBNU_6000\ROIs\004\L_Middle\08.bmp,finger,True,004,004,MMCBNU_6000,"{""record1_meta"": {""image_type"": ""roi""}, ""record2_meta"": {""image_type"": ""roi""}}"
MMCBNU_6000_genuine_24,FingerVein\002-MMCBNU_6000\ROIs\069\L_Fore\05.bmp,FingerVein\002-MMCBNU_6000\ROIs\069\L_Fore\06.bmp,finger,True,069,069,MMCBNU_6000,"{""record1_meta"": {""image_type"": ""roi""}, ""record2_meta"": {""image_type"": ""roi""}}"
MMCBNU_6000_genuine_25,FingerVein\002-MMCBNU_6000\ROIs\025\L_Fore\06.bmp,FingerVein\002-MMCBNU_6000\ROIs\025\L_Fore\07.bmp,finger,True,025,025,MMCBNU_6000,"{""record1_meta"": {""image_type"": ""roi""}, ""record2_meta"": {""image_type"": ""roi""}}"
MMCBNU_6000_genuine_26,FingerVein\002-MMCBNU_6000\ROIs\087\R_Ring\03.bmp,FingerVein\002-MMCBNU_6000\ROIs\087\R_Ring\04.bmp,finger,True,087,087,MMCBNU_6000,"{""record1_meta"": {""image_type"": ""roi""}, ""record2_meta"": {""image_type"": ""roi""}}"
MMCBNU_6000_genuine_27,FingerVein\002-MMCBNU_6000\ROIs\079\R_Ring\02.bmp,FingerVein\002-MMCBNU_6000\ROIs\079\R_Ring\04.bmp,finger,True,079,079,MMCBNU_6000,"{""record1_meta"": {""image_type"": ""roi""}, ""record2_meta"": {""image_type"": ""roi""}}"
MMCBNU_6000_genuine_28,FingerVein\002-MMCBNU_6000\ROIs\086\L_Fore\05.bmp,FingerVein\002-MMCBNU_6000\ROIs\086\L_Fore\07.bmp,finger,True,086,086,MMCBNU_6000,"{""record1_meta"": {""image_type"": ""roi""}, ""record2_meta"": {""image_type"": ""roi""}}"
MMCBNU_6000_genuine_29,FingerVein\002-MMCBNU_6000\ROIs\067\L_Fore\06.bmp,FingerVein\002-MMCBNU_6000\ROIs\067\L_Fore\08.bmp,finger,True,067,067,MMCBNU_6000,"{""record1_meta"": {""image_type"": ""roi""}, ""record2_meta"": {""image_type"": ""roi""}}"
MMCBNU_6000_genuine_30,FingerVein\002-MMCBNU_6000\ROIs\051\R_Ring\03.bmp,FingerVein\002-MMCBNU_6000\ROIs\051\R_Ring\08.bmp,finger,True,051,051,MMCBNU_6000,"{""record1_meta"": {""image_type"": ""roi""}, ""record2_meta"": {""image_type"": ""roi""}}"
MMCBNU_6000_genuine_31,FingerVein\002-MMCBNU_6000\ROIs\027\R_Middle\03.bmp,FingerVein\002-MMCBNU_6000\ROIs\027\R_Middle\10.bmp,finger,True,027,027,MMCBNU_6000,"{""record1_meta"": {""image_type"": ""roi""}, ""record2_meta"": {""image_type"": ""roi""}}"
MMCBNU_6000_genuine_32,FingerVein\002-MMCBNU_6000\ROIs\055\R_Fore\01.bmp,FingerVein\002-MMCBNU_6000\ROIs\055\R_Fore\06.bmp,finger,True,055,055,MMCBNU_6000,"{""record1_meta"": {""image_type"": ""roi""}, ""record2_meta"": {""image_type"": ""roi""}}"
MMCBNU_6000_genuine_33,FingerVein\002-MMCBNU_6000\ROIs\072\R_Fore\01.bmp,FingerVein\002-MMCBNU_6000\ROIs\072\R_Fore\06.bmp,finger,True,072,072,MMCBNU_6000,"{""record1_meta"": {""image_type"": ""roi""}, ""record2_meta"": {""image_type"": ""roi""}}"
MMCBNU_6000_genuine_34,FingerVein\002-MMCBNU_6000\ROIs\034\R_Middle\04.bmp,FingerVein\002-MMCBNU_6000\ROIs\034\R_Middle\06.bmp,finger,True,034,034,MMCBNU_6000,"{""record1_meta"": {""image_type"": ""roi""}, ""record2_meta"": {""image_type"": ""roi""}}"
MMCBNU_6000_genuine_35,FingerVein\002-MMCBNU_6000\ROIs\099\L_Middle\03.bmp,FingerVein\002-MMCBNU_6000\ROIs\099\L_Middle\05.bmp,finger,True,099,099,MMCBNU_6000,"{""record1_meta"": {""image_type"": ""roi""}, ""record2_meta"": {""image_type"": ""roi""}}"
MMCBNU_6000_genuine_36,FingerVein\002-MMCBNU_6000\ROIs\001\R_Middle\05.bmp,FingerVein\002-MMCBNU_6000\ROIs\001\R_Middle\08.bmp,finger,True,001,001,MMCBNU_6000,"{""record1_meta"": {""image_type"": ""roi""}, ""record2_meta"": {""image_type"": ""roi""}}"
MMCBNU_6000_genuine_37,FingerVein\002-MMCBNU_6000\ROIs\093\L_Fore\04.bmp,FingerVein\002-MMCBNU_6000\ROIs\093\L_Fore\05.bmp,finger,True,093,093,MMCBNU_6000,"{""record1_meta"": {""image_type"": ""roi""}, ""record2_meta"": {""image_type"": ""roi""}}"
MMCBNU_6000_genuine_38,FingerVein\002-MMCBNU_6000\ROIs\098\R_Middle\06.bmp,FingerVein\002-MMCBNU_6000\ROIs\098\R_Middle\07.bmp,finger,True,098,098,MMCBNU_6000,"{""record1_meta"": {""image_type"": ""roi""}, ""record2_meta"": {""image_type"": ""roi""}}"
MMCBNU_6000_genuine_39,FingerVein\002-MMCBNU_6000\ROIs\020\L_Ring\02.bmp,FingerVein\002-MMCBNU_6000\ROIs\020\L_Ring\05.bmp,finger,True,020,020,MMCBNU_6000,"{""record1_meta"": {""image_type"": ""roi""}, ""record2_meta"": {""image_type"": ""roi""}}"
MMCBNU_6000_genuine_40,FingerVein\002-MMCBNU_6000\ROIs\085\R_Middle\02.bmp,FingerVein\002-MMCBNU_6000\ROIs\085\R_Middle\10.bmp,finger,True,085,085,MMCBNU_6000,"{""record1_meta"": {""image_type"": ""roi""}, ""record2_meta"": {""image_type"": ""roi""}}"
MMCBNU_6000_genuine_41,FingerVein\002-MMCBNU_6000\ROIs\052\L_Middle\05.bmp,FingerVein\002-MMCBNU_6000\ROIs\052\L_Middle\09.bmp,finger,True,052,052,MMCBNU_6000,"{""record1_meta"": {""image_type"": ""roi""}, ""record2_meta"": {""image_type"": ""roi""}}"
MMCBNU_6000_genuine_42,FingerVein\002-MMCBNU_6000\ROIs\042\L_Middle\05.bmp,FingerVein\002-MMCBNU_6000\ROIs\042\L_Middle\10.bmp,finger,True,042,042,MMCBNU_6000,"{""record1_meta"": {""image_type"": ""roi""}, ""record2_meta"": {""image_type"": ""roi""}}"
MMCBNU_6000_genuine_43,FingerVein\002-MMCBNU_6000\ROIs\034\R_Middle\02.bmp,FingerVein\002-MMCBNU_6000\ROIs\034\R_Middle\09.bmp,finger,True,034,034,MMCBNU_6000,"{""record1_meta"": {""image_type"": ""roi""}, ""record2_meta"": {""image_type"": ""roi""}}"
MMCBNU_6000_genuine_44,FingerVein\002-MMCBNU_6000\ROIs\019\R_Ring\02.bmp,FingerVein\002-MMCBNU_6000\ROIs\019\R_Ring\03.bmp,finger,True,019,019,MMCBNU_6000,"{""record1_meta"": {""image_type"": ""roi""}, ""record2_meta"": {""image_type"": ""roi""}}"
MMCBNU_6000_genuine_45,FingerVein\002-MMCBNU_6000\ROIs\027\L_Fore\06.bmp,FingerVein\002-MMCBNU_6000\ROIs\027\L_Fore\07.bmp,finger,True,027,027,MMCBNU_6000,"{""record1_meta"": {""image_type"": ""roi""}, ""record2_meta"": {""image_type"": ""roi""}}"
MMCBNU_6000_genuine_46,FingerVein\002-MMCBNU_6000\ROIs\093\R_Fore\08.bmp,FingerVein\002-MMCBNU_6000\ROIs\093\R_Fore\10.bmp,finger,True,093,093,MMCBNU_6000,"{""record1_meta"": {""image_type"": ""roi""}, ""record2_meta"": {""image_type"": ""roi""}}"
MMCBNU_6000_genuine_47,FingerVein\002-MMCBNU_6000\ROIs\041\R_Ring\01.bmp,FingerVein\002-MMCBNU_6000\ROIs\041\R_Ring\06.bmp,finger,True,041,041,MMCBNU_6000,"{""record1_meta"": {""image_type"": ""roi""}, ""record2_meta"": {""image_type"": ""roi""}}"
MMCBNU_6000_genuine_48,FingerVein\002-MMCBNU_6000\ROIs\013\L_Ring\03.bmp,FingerVein\002-MMCBNU_6000\ROIs\013\L_Ring\06.bmp,finger,True,013,013,MMCBNU_6000,"{""record1_meta"": {""image_type"": ""roi""}, ""record2_meta"": {""image_type"": ""roi""}}"
MMCBNU_6000_genuine_49,FingerVein\002-MMCBNU_6000\ROIs\012\L_Middle\04.bmp,FingerVein\002-MMCBNU_6000\ROIs\012\L_Middle\05.bmp,finger,True,012,012,MMCBNU_6000,"{""record1_meta"": {""image_type"": ""roi""}, ""record2_meta"": {""image_type"": ""roi""}}"
MMCBNU_6000_genuine_50,FingerVein\002-MMCBNU_6000\ROIs\047\L_Fore\04.bmp,FingerVein\002-MMCBNU_6000\ROIs\047\L_Fore\10.bmp,finger,True,047,047,MMCBNU_6000,"{""record1_meta"": {""image_type"": ""roi""}, ""record2_meta"": {""image_type"": ""roi""}}"
MMCBNU_6000_genuine_51,FingerVein\002-MMCBNU_6000\ROIs\012\R_Middle\03.bmp,FingerVein\002-MMCBNU_6000\ROIs\012\R_Middle\06.bmp,finger,True,012,012,MMCBNU_6000,"{""record1_meta"": {""image_type"": ""roi""}, ""record2_meta"": {""image_type"": ""roi""}}"
MMCBNU_6000_genuine_52,FingerVein\002-MMCBNU_6000\ROIs\044\R_Fore\03.bmp,FingerVein\002-MMCBNU_6000\ROIs\044\R_Fore\05.bmp,finger,True,044,044,MMCBNU_6000,"{""record1_meta"": {""image_type"": ""roi""}, ""record2_meta"": {""image_type"": ""roi""}}"
MMCBNU_6000_genuine_53,FingerVein\002-MMCBNU_6000\ROIs\042\R_Middle\03.bmp,FingerVein\002-MMCBNU_6000\ROIs\042\R_Middle\07.bmp,finger,True,042,042,MMCBNU_6000,"{""record1_meta"": {""image_type"": ""roi""}, ""record2_meta"": {""image_type"": ""roi""}}"
MMCBNU_6000_genuine_54,FingerVein\002-MMCBNU_6000\ROIs\074\L_Middle\04.bmp,FingerVein\002-MMCBNU_6000\ROIs\074\L_Middle\08.bmp,finger,True,074,074,MMCBNU_6000,"{""record1_meta"": {""image_type"": ""roi""}, ""record2_meta"": {""image_type"": ""roi""}}"
MMCBNU_6000_genuine_55,FingerVein\002-MMCBNU_6000\ROIs\033\L_Fore\04.bmp,FingerVein\002-MMCBNU_6000\ROIs\033\L_Fore\08.bmp,finger,True,033,033,MMCBNU_6000,"{""record1_meta"": {""image_type"": ""roi""}, ""record2_meta"": {""image_type"": ""roi""}}"
