pair_id,image1_path,image2_path,modality,ground_truth,identity1,identity2,dataset_name,metadata
THU-FVFDT_genuine_0,FingerVein\004-THU-FVFDT\FV2\FV2_Test\201\1.bmp,FingerVein\004-THU-FVFDT\FV2\FV2_Train\201\1.bmp,finger,True,201,201,THU-FVFDT,"{""record1_meta"": {""session"": ""test""}, ""record2_meta"": {""session"": ""train""}}"
THU-FVFDT_genuine_1,FingerVein\004-THU-FVFDT\FV2\FV2_Test\121\1.bmp,FingerVein\004-THU-FVFDT\FV2\FV2_Train\121\1.bmp,finger,True,121,121,THU-FVFDT,"{""record1_meta"": {""session"": ""test""}, ""record2_meta"": {""session"": ""train""}}"
THU-FVFDT_genuine_2,FingerVein\004-THU-FVFDT\FV2\FV2_Test\352\1.bmp,FingerVein\004-THU-FVFDT\FV2\FV2_Train\352\1.bmp,finger,True,352,352,THU-FVFDT,"{""record1_meta"": {""session"": ""test""}, ""record2_meta"": {""session"": ""train""}}"
THU-FVFDT_genuine_3,FingerVein\004-THU-FVFDT\FV2\FV2_Test\324\1.bmp,FingerVein\004-THU-FVFDT\FV2\FV2_Train\324\1.bmp,finger,True,324,324,THU-FVFDT,"{""record1_meta"": {""session"": ""test""}, ""record2_meta"": {""session"": ""train""}}"
THU-FVFDT_genuine_4,FingerVein\004-THU-FVFDT\FV2\FV2_Test\304\1.bmp,FingerVein\004-THU-FVFDT\FV2\FV2_Train\304\1.bmp,finger,True,304,304,THU-FVFDT,"{""record1_meta"": {""session"": ""test""}, ""record2_meta"": {""session"": ""train""}}"
THU-FVFDT_genuine_5,FingerVein\004-THU-FVFDT\FV2\FV2_Test\227\1.bmp,FingerVein\004-THU-FVFDT\FV2\FV2_Train\227\1.bmp,finger,True,227,227,THU-FVFDT,"{""record1_meta"": {""session"": ""test""}, ""record2_meta"": {""session"": ""train""}}"
THU-FVFDT_genuine_6,FingerVein\004-THU-FVFDT\FV2\FV2_Test\193\1.bmp,FingerVein\004-THU-FVFDT\FV2\FV2_Train\193\1.bmp,finger,True,193,193,THU-FVFDT,"{""record1_meta"": {""session"": ""test""}, ""record2_meta"": {""session"": ""train""}}"
THU-FVFDT_genuine_7,FingerVein\004-THU-FVFDT\FV2\FV2_Test\601\1.bmp,FingerVein\004-THU-FVFDT\FV2\FV2_Train\601\1.bmp,finger,True,601,601,THU-FVFDT,"{""record1_meta"": {""session"": ""test""}, ""record2_meta"": {""session"": ""train""}}"
THU-FVFDT_genuine_8,FingerVein\004-THU-FVFDT\FV2\FV2_Test\18\1.bmp,FingerVein\004-THU-FVFDT\FV2\FV2_Train\18\1.bmp,finger,True,18,18,THU-FVFDT,"{""record1_meta"": {""session"": ""test""}, ""record2_meta"": {""session"": ""train""}}"
THU-FVFDT_genuine_9,FingerVein\004-THU-FVFDT\FV2\FV2_Test\489\1.bmp,FingerVein\004-THU-FVFDT\FV2\FV2_Train\489\1.bmp,finger,True,489,489,THU-FVFDT,"{""record1_meta"": {""session"": ""test""}, ""record2_meta"": {""session"": ""train""}}"
THU-FVFDT_genuine_10,FingerVein\004-THU-FVFDT\FV2\FV2_Test\128\1.bmp,FingerVein\004-THU-FVFDT\FV2\FV2_Train\128\1.bmp,finger,True,128,128,THU-FVFDT,"{""record1_meta"": {""session"": ""test""}, ""record2_meta"": {""session"": ""train""}}"
THU-FVFDT_genuine_11,FingerVein\004-THU-FVFDT\FV2\FV2_Test\126\1.bmp,FingerVein\004-THU-FVFDT\FV2\FV2_Train\126\1.bmp,finger,True,126,126,THU-FVFDT,"{""record1_meta"": {""session"": ""test""}, ""record2_meta"": {""session"": ""train""}}"
THU-FVFDT_genuine_12,FingerVein\004-THU-FVFDT\FV2\FV2_Test\185\1.bmp,FingerVein\004-THU-FVFDT\FV2\FV2_Train\185\1.bmp,finger,True,185,185,THU-FVFDT,"{""record1_meta"": {""session"": ""test""}, ""record2_meta"": {""session"": ""train""}}"
THU-FVFDT_genuine_13,FingerVein\004-THU-FVFDT\FV2\FV2_Test\30\1.bmp,FingerVein\004-THU-FVFDT\FV2\FV2_Train\30\1.bmp,finger,True,30,30,THU-FVFDT,"{""record1_meta"": {""session"": ""test""}, ""record2_meta"": {""session"": ""train""}}"
THU-FVFDT_genuine_14,FingerVein\004-THU-FVFDT\FV2\FV2_Test\313\1.bmp,FingerVein\004-THU-FVFDT\FV2\FV2_Train\313\1.bmp,finger,True,313,313,THU-FVFDT,"{""record1_meta"": {""session"": ""test""}, ""record2_meta"": {""session"": ""train""}}"
THU-FVFDT_genuine_15,FingerVein\004-THU-FVFDT\FV2\FV2_Test\565\1.bmp,FingerVein\004-THU-FVFDT\FV2\FV2_Train\565\1.bmp,finger,True,565,565,THU-FVFDT,"{""record1_meta"": {""session"": ""test""}, ""record2_meta"": {""session"": ""train""}}"
THU-FVFDT_genuine_16,FingerVein\004-THU-FVFDT\FV2\FV2_Test\123\1.bmp,FingerVein\004-THU-FVFDT\FV2\FV2_Train\123\1.bmp,finger,True,123,123,THU-FVFDT,"{""record1_meta"": {""session"": ""test""}, ""record2_meta"": {""session"": ""train""}}"
THU-FVFDT_genuine_17,FingerVein\004-THU-FVFDT\FV2\FV2_Test\67\1.bmp,FingerVein\004-THU-FVFDT\FV2\FV2_Train\67\1.bmp,finger,True,67,67,THU-FVFDT,"{""record1_meta"": {""session"": ""test""}, ""record2_meta"": {""session"": ""train""}}"
THU-FVFDT_genuine_18,FingerVein\004-THU-FVFDT\FV2\FV2_Test\282\1.bmp,FingerVein\004-THU-FVFDT\FV2\FV2_Train\282\1.bmp,finger,True,282,282,THU-FVFDT,"{""record1_meta"": {""session"": ""test""}, ""record2_meta"": {""session"": ""train""}}"
THU-FVFDT_genuine_19,FingerVein\004-THU-FVFDT\FV2\FV2_Test\92\1.bmp,FingerVein\004-THU-FVFDT\FV2\FV2_Train\92\1.bmp,finger,True,92,92,THU-FVFDT,"{""record1_meta"": {""session"": ""test""}, ""record2_meta"": {""session"": ""train""}}"
THU-FVFDT_genuine_20,FingerVein\004-THU-FVFDT\FV2\FV2_Test\486\1.bmp,FingerVein\004-THU-FVFDT\FV2\FV2_Train\486\1.bmp,finger,True,486,486,THU-FVFDT,"{""record1_meta"": {""session"": ""test""}, ""record2_meta"": {""session"": ""train""}}"
THU-FVFDT_genuine_21,FingerVein\004-THU-FVFDT\FV2\FV2_Test\301\1.bmp,FingerVein\004-THU-FVFDT\FV2\FV2_Train\301\1.bmp,finger,True,301,301,THU-FVFDT,"{""record1_meta"": {""session"": ""test""}, ""record2_meta"": {""session"": ""train""}}"
THU-FVFDT_genuine_22,FingerVein\004-THU-FVFDT\FV2\FV2_Test\512\1.bmp,FingerVein\004-THU-FVFDT\FV2\FV2_Train\512\1.bmp,finger,True,512,512,THU-FVFDT,"{""record1_meta"": {""session"": ""test""}, ""record2_meta"": {""session"": ""train""}}"
THU-FVFDT_genuine_23,FingerVein\004-THU-FVFDT\FV2\FV2_Test\355\1.bmp,FingerVein\004-THU-FVFDT\FV2\FV2_Train\355\1.bmp,finger,True,355,355,THU-FVFDT,"{""record1_meta"": {""session"": ""test""}, ""record2_meta"": {""session"": ""train""}}"
THU-FVFDT_genuine_24,FingerVein\004-THU-FVFDT\FV2\FV2_Test\104\1.bmp,FingerVein\004-THU-FVFDT\FV2\FV2_Train\104\1.bmp,finger,True,104,104,THU-FVFDT,"{""record1_meta"": {""session"": ""test""}, ""record2_meta"": {""session"": ""train""}}"
THU-FVFDT_genuine_25,FingerVein\004-THU-FVFDT\FV2\FV2_Test\246\1.bmp,FingerVein\004-THU-FVFDT\FV2\FV2_Train\246\1.bmp,finger,True,246,246,THU-FVFDT,"{""record1_meta"": {""session"": ""test""}, ""record2_meta"": {""session"": ""train""}}"
THU-FVFDT_genuine_26,FingerVein\004-THU-FVFDT\FV2\FV2_Test\90\1.bmp,FingerVein\004-THU-FVFDT\FV2\FV2_Train\90\1.bmp,finger,True,90,90,THU-FVFDT,"{""record1_meta"": {""session"": ""test""}, ""record2_meta"": {""session"": ""train""}}"
THU-FVFDT_genuine_27,FingerVein\004-THU-FVFDT\FV2\FV2_Test\412\1.bmp,FingerVein\004-THU-FVFDT\FV2\FV2_Train\412\1.bmp,finger,True,412,412,THU-FVFDT,"{""record1_meta"": {""session"": ""test""}, ""record2_meta"": {""session"": ""train""}}"
THU-FVFDT_genuine_28,FingerVein\004-THU-FVFDT\FV2\FV2_Test\78\1.bmp,FingerVein\004-THU-FVFDT\FV2\FV2_Train\78\1.bmp,finger,True,78,78,THU-FVFDT,"{""record1_meta"": {""session"": ""test""}, ""record2_meta"": {""session"": ""train""}}"
THU-FVFDT_genuine_29,FingerVein\004-THU-FVFDT\FV2\FV2_Test\242\1.bmp,FingerVein\004-THU-FVFDT\FV2\FV2_Train\242\1.bmp,finger,True,242,242,THU-FVFDT,"{""record1_meta"": {""session"": ""test""}, ""record2_meta"": {""session"": ""train""}}"
THU-FVFDT_genuine_30,FingerVein\004-THU-FVFDT\FV2\FV2_Test\298\1.bmp,FingerVein\004-THU-FVFDT\FV2\FV2_Train\298\1.bmp,finger,True,298,298,THU-FVFDT,"{""record1_meta"": {""session"": ""test""}, ""record2_meta"": {""session"": ""train""}}"
