pair_id,image1_path,image2_path,modality,ground_truth,identity1,identity2,dataset_name,metadata
11k_Hands_genuine_0,HandGeometry\Hands\Hand_0008712.jpg,HandGeometry\Hands\Hand_0008725.jpg,handGeometry,True,0000093,0000093,11k_Hands,"{""record1_meta"": {""filename"": ""Hand_0008712"", ""age"": ""21"", ""gender"": ""female"", ""skinColor"": ""medium"", ""accessories"": ""1"", ""nailPolish"": ""0"", ""aspectOfHand"": ""palmar right"", ""imageName"": ""Hand_0008712.jpg"", ""irregularities"": ""0""}, ""record2_meta"": {""filename"": ""Hand_0008725"", ""age"": ""21"", ""gender"": ""female"", ""skinColor"": ""medium"", ""accessories"": ""1"", ""nailPolish"": ""0"", ""aspectOfHand"": ""palmar right"", ""imageName"": ""Hand_0008725.jpg"", ""irregularities"": ""0""}}"
11k_Hands_genuine_1,HandGeometry\Hands\Hand_0002356.jpg,HandGeometry\Hands\Hand_0002368.jpg,handGeometry,True,0001020,0001020,11k_Hands,"{""record1_meta"": {""filename"": ""Hand_0002356"", ""age"": ""20"", ""gender"": ""female"", ""skinColor"": ""medium"", ""accessories"": ""1"", ""nailPolish"": ""0"", ""aspectOfHand"": ""dorsal left"", ""imageName"": ""Hand_0002356.jpg"", ""irregularities"": ""0""}, ""record2_meta"": {""filename"": ""Hand_0002368"", ""age"": ""20"", ""gender"": ""female"", ""skinColor"": ""medium"", ""accessories"": ""1"", ""nailPolish"": ""0"", ""aspectOfHand"": ""dorsal left"", ""imageName"": ""Hand_0002368.jpg"", ""irregularities"": ""0""}}"
11k_Hands_genuine_2,HandGeometry\Hands\Hand_0000105.jpg,HandGeometry\Hands\Hand_0000107.jpg,handGeometry,True,0000559,0000559,11k_Hands,"{""record1_meta"": {""filename"": ""Hand_0000105"", ""age"": ""20"", ""gender"": ""female"", ""skinColor"": ""dark"", ""accessories"": ""0"", ""nailPolish"": ""0"", ""aspectOfHand"": ""palmar left"", ""imageName"": ""Hand_0000105.jpg"", ""irregularities"": ""0""}, ""record2_meta"": {""filename"": ""Hand_0000107"", ""age"": ""20"", ""gender"": ""female"", ""skinColor"": ""dark"", ""accessories"": ""0"", ""nailPolish"": ""0"", ""aspectOfHand"": ""palmar left"", ""imageName"": ""Hand_0000107.jpg"", ""irregularities"": ""0""}}"
11k_Hands_genuine_3,HandGeometry\Hands\Hand_0010397.jpg,HandGeometry\Hands\Hand_0010401.jpg,handGeometry,True,0001594,0001594,11k_Hands,"{""record1_meta"": {""filename"": ""Hand_0010397"", ""age"": ""23"", ""gender"": ""male"", ""skinColor"": ""medium"", ""accessories"": ""0"", ""nailPolish"": ""0"", ""aspectOfHand"": ""dorsal right"", ""imageName"": ""Hand_0010397.jpg"", ""irregularities"": ""0""}, ""record2_meta"": {""filename"": ""Hand_0010401"", ""age"": ""23"", ""gender"": ""male"", ""skinColor"": ""medium"", ""accessories"": ""0"", ""nailPolish"": ""0"", ""aspectOfHand"": ""dorsal right"", ""imageName"": ""Hand_0010401.jpg"", ""irregularities"": ""0""}}"
11k_Hands_genuine_4,HandGeometry\Hands\Hand_0003855.jpg,HandGeometry\Hands\Hand_0003866.jpg,handGeometry,True,0001566,0001566,11k_Hands,"{""record1_meta"": {""filename"": ""Hand_0003855"", ""age"": ""21"", ""gender"": ""male"", ""skinColor"": ""medium"", ""accessories"": ""0"", ""nailPolish"": ""0"", ""aspectOfHand"": ""palmar right"", ""imageName"": ""Hand_0003855.jpg"", ""irregularities"": ""1""}, ""record2_meta"": {""filename"": ""Hand_0003866"", ""age"": ""21"", ""gender"": ""male"", ""skinColor"": ""medium"", ""accessories"": ""0"", ""nailPolish"": ""0"", ""aspectOfHand"": ""palmar right"", ""imageName"": ""Hand_0003866.jpg"", ""irregularities"": ""1""}}"
11k_Hands_genuine_5,HandGeometry\Hands\Hand_0008512.jpg,HandGeometry\Hands\Hand_0008531.jpg,handGeometry,True,0001541,0001541,11k_Hands,"{""record1_meta"": {""filename"": ""Hand_0008512"", ""age"": ""21"", ""gender"": ""female"", ""skinColor"": ""medium"", ""accessories"": ""0"", ""nailPolish"": ""1"", ""aspectOfHand"": ""dorsal right"", ""imageName"": ""Hand_0008512.jpg"", ""irregularities"": ""0""}, ""record2_meta"": {""filename"": ""Hand_0008531"", ""age"": ""21"", ""gender"": ""female"", ""skinColor"": ""medium"", ""accessories"": ""0"", ""nailPolish"": ""1"", ""aspectOfHand"": ""dorsal right"", ""imageName"": ""Hand_0008531.jpg"", ""irregularities"": ""0""}}"
11k_Hands_genuine_6,HandGeometry\Hands\Hand_0008599.jpg,HandGeometry\Hands\Hand_0008602.jpg,handGeometry,True,0001019,0001019,11k_Hands,"{""record1_meta"": {""filename"": ""Hand_0008599"", ""age"": ""21"", ""gender"": ""female"", ""skinColor"": ""very fair"", ""accessories"": ""1"", ""nailPolish"": ""0"", ""aspectOfHand"": ""palmar right"", ""imageName"": ""Hand_0008599.jpg"", ""irregularities"": ""0""}, ""record2_meta"": {""filename"": ""Hand_0008602"", ""age"": ""21"", ""gender"": ""female"", ""skinColor"": ""very fair"", ""accessories"": ""1"", ""nailPolish"": ""0"", ""aspectOfHand"": ""palmar right"", ""imageName"": ""Hand_0008602.jpg"", ""irregularities"": ""0""}}"
11k_Hands_genuine_7,HandGeometry\Hands\Hand_0002588.jpg,HandGeometry\Hands\Hand_0002594.jpg,handGeometry,True,0001533,0001533,11k_Hands,"{""record1_meta"": {""filename"": ""Hand_0002588"", ""age"": ""22"", ""gender"": ""female"", ""skinColor"": ""medium"", ""accessories"": ""0"", ""nailPolish"": ""0"", ""aspectOfHand"": ""dorsal left"", ""imageName"": ""Hand_0002588.jpg"", ""irregularities"": ""0""}, ""record2_meta"": {""filename"": ""Hand_0002594"", ""age"": ""22"", ""gender"": ""female"", ""skinColor"": ""medium"", ""accessories"": ""0"", ""nailPolish"": ""0"", ""aspectOfHand"": ""dorsal left"", ""imageName"": ""Hand_0002594.jpg"", ""irregularities"": ""0""}}"
11k_Hands_genuine_8,HandGeometry\Hands\Hand_0010340.jpg,HandGeometry\Hands\Hand_0010344.jpg,handGeometry,True,0000084,0000084,11k_Hands,"{""record1_meta"": {""filename"": ""Hand_0010340"", ""age"": ""22"", ""gender"": ""male"", ""skinColor"": ""fair"", ""accessories"": ""0"", ""nailPolish"": ""0"", ""aspectOfHand"": ""dorsal left"", ""imageName"": ""Hand_0010340.jpg"", ""irregularities"": ""0""}, ""record2_meta"": {""filename"": ""Hand_0010344"", ""age"": ""22"", ""gender"": ""male"", ""skinColor"": ""fair"", ""accessories"": ""0"", ""nailPolish"": ""0"", ""aspectOfHand"": ""dorsal left"", ""imageName"": ""Hand_0010344.jpg"", ""irregularities"": ""0""}}"
11k_Hands_genuine_9,HandGeometry\Hands\Hand_0002259.jpg,HandGeometry\Hands\Hand_0002264.jpg,handGeometry,True,0001545,0001545,11k_Hands,"{""record1_meta"": {""filename"": ""Hand_0002259"", ""age"": ""22"", ""gender"": ""female"", ""skinColor"": ""medium"", ""accessories"": ""1"", ""nailPolish"": ""1"", ""aspectOfHand"": ""dorsal left"", ""imageName"": ""Hand_0002259.jpg"", ""irregularities"": ""0""}, ""record2_meta"": {""filename"": ""Hand_0002264"", ""age"": ""22"", ""gender"": ""female"", ""skinColor"": ""medium"", ""accessories"": ""1"", ""nailPolish"": ""1"", ""aspectOfHand"": ""dorsal left"", ""imageName"": ""Hand_0002264.jpg"", ""irregularities"": ""0""}}"
