pair_id,image1_path,image2_path,modality,ground_truth,identity1,identity2,dataset_name,metadata
AMF-Iris_genuine_0,Iris\003-AMF-Iris-Dataset\assem\Iris_20220817_121805_Left.bmp,Iris\003-AMF-Iris-Dataset\assem\Iris_20220817_121807_Left.bmp,iris,True,assem,assem,AMF-Iris,"{""record1_meta"": {}, ""record2_meta"": {}}"
AMF-Iris_genuine_1,Iris\003-AMF-Iris-Dataset\abeer\Iris_20220818_121757_Right.bmp,Iris\003-AMF-Iris-Dataset\abeer\Iris_20220818_121801_Right.bmp,iris,True,abeer,abeer,AMF-Iris,"{""record1_meta"": {}, ""record2_meta"": {}}"
AMF-Iris_genuine_2,Iris\003-AMF-Iris-Dataset\khalid\Iris_20220818_105949_Right.bmp,Iris\003-AMF-Iris-Dataset\khalid\Iris_20220818_105959_Right.bmp,iris,True,khalid,khalid,AMF-Iris,"{""record1_meta"": {}, ""record2_meta"": {}}"
AMF-Iris_genuine_3,Iris\003-AMF-Iris-Dataset\kamal\Iris_20220818_115631_Right.bmp,Iris\003-AMF-Iris-Dataset\kamal\Iris_20220818_115635_Right.bmp,iris,True,kamal,kamal,AMF-Iris,"{""record1_meta"": {}, ""record2_meta"": {}}"
AMF-Iris_genuine_4,Iris\003-AMF-Iris-Dataset\huda\Iris_20220818_123015_Left.bmp,Iris\003-AMF-Iris-Dataset\huda\Iris_20220818_123021_Left.bmp,iris,True,huda,huda,AMF-Iris,"{""record1_meta"": {}, ""record2_meta"": {}}"
AMF-Iris_genuine_5,Iris\003-AMF-Iris-Dataset\aziz\Iris_20220818_123535_Right.bmp,Iris\003-AMF-Iris-Dataset\aziz\Iris_20220818_123540_Right.bmp,iris,True,aziz,aziz,AMF-Iris,"{""record1_meta"": {}, ""record2_meta"": {}}"
AMF-Iris_genuine_6,Iris\003-AMF-Iris-Dataset\asmaa\Iris_20220818_121243_Left.bmp,Iris\003-AMF-Iris-Dataset\asmaa\Iris_20220818_121305_Left.bmp,iris,True,asmaa,asmaa,AMF-Iris,"{""record1_meta"": {}, ""record2_meta"": {}}"
AMF-Iris_genuine_7,Iris\003-AMF-Iris-Dataset\anas\Iris_20220818_112608_Left.bmp,Iris\003-AMF-Iris-Dataset\anas\Iris_20220818_112610_Left.bmp,iris,True,anas,anas,AMF-Iris,"{""record1_meta"": {}, ""record2_meta"": {}}"
AMF-Iris_genuine_8,Iris\003-AMF-Iris-Dataset\sirag\Iris_20220818_114524_Left.bmp,Iris\003-AMF-Iris-Dataset\sirag\Iris_20220818_114526_Left.bmp,iris,True,sirag,sirag,AMF-Iris,"{""record1_meta"": {}, ""record2_meta"": {}}"
AMF-Iris_genuine_9,Iris\003-AMF-Iris-Dataset\adnan\Iris_20220818_122044_Right.bmp,Iris\003-AMF-Iris-Dataset\adnan\Iris_20220818_122049_Right.bmp,iris,True,adnan,adnan,AMF-Iris,"{""record1_meta"": {}, ""record2_meta"": {}}"
