pair_id,image1_path,image2_path,modality,ground_truth,identity1,identity2,dataset_name,metadata
CASIA-Iris-Thousand_genuine_0,Iris\001-CASIA-Iris-Thousand\931\L\S5931L02.jpg,Iris\001-CASIA-Iris-Thousand\931\L\S5931L06.jpg,iris,True,931,931,CASIA-Iris-Thousand,"{""record1_meta"": {}, ""record2_meta"": {}}"
CASIA-Iris-Thousand_genuine_1,Iris\001-CASIA-Iris-Thousand\162\L\S5162L01.jpg,Iris\001-CASIA-Iris-Thousand\162\L\S5162L05.jpg,iris,True,162,162,CASIA-Iris-Thousand,"{""record1_meta"": {}, ""record2_meta"": {}}"
CASIA-Iris-Thousand_genuine_2,Iris\001-CASIA-Iris-Thousand\036\L\S5036L05.jpg,Iris\001-CASIA-Iris-Thousand\036\L\S5036L09.jpg,iris,True,036,036,CASIA-Iris-Thousand,"{""record1_meta"": {}, ""record2_meta"": {}}"
CASIA-Iris-Thousand_genuine_3,Iris\001-CASIA-Iris-Thousand\400\R\S5400R00.jpg,Iris\001-CASIA-Iris-Thousand\400\R\S5400R04.jpg,iris,True,400,400,CASIA-Iris-Thousand,"{""record1_meta"": {}, ""record2_meta"": {}}"
CASIA-Iris-Thousand_genuine_4,Iris\001-CASIA-Iris-Thousand\356\R\S5356R01.jpg,Iris\001-CASIA-Iris-Thousand\356\R\S5356R06.jpg,iris,True,356,356,CASIA-Iris-Thousand,"{""record1_meta"": {}, ""record2_meta"": {}}"
CASIA-Iris-Thousand_genuine_5,Iris\001-CASIA-Iris-Thousand\325\L\S5325L00.jpg,Iris\001-CASIA-Iris-Thousand\325\L\S5325L07.jpg,iris,True,325,325,CASIA-Iris-Thousand,"{""record1_meta"": {}, ""record2_meta"": {}}"
CASIA-Iris-Thousand_genuine_6,Iris\001-CASIA-Iris-Thousand\203\L\S5203L02.jpg,Iris\001-CASIA-Iris-Thousand\203\L\S5203L05.jpg,iris,True,203,203,CASIA-Iris-Thousand,"{""record1_meta"": {}, ""record2_meta"": {}}"
CASIA-Iris-Thousand_genuine_7,Iris\001-CASIA-Iris-Thousand\149\L\S5149L03.jpg,Iris\001-CASIA-Iris-Thousand\149\L\S5149L04.jpg,iris,True,149,149,CASIA-Iris-Thousand,"{""record1_meta"": {}, ""record2_meta"": {}}"
CASIA-Iris-Thousand_genuine_8,Iris\001-CASIA-Iris-Thousand\985\R\S5985R00.jpg,Iris\001-CASIA-Iris-Thousand\985\R\S5985R02.jpg,iris,True,985,985,CASIA-Iris-Thousand,"{""record1_meta"": {}, ""record2_meta"": {}}"
CASIA-Iris-Thousand_genuine_9,Iris\001-CASIA-Iris-Thousand\794\L\S5794L02.jpg,Iris\001-CASIA-Iris-Thousand\794\L\S5794L08.jpg,iris,True,794,794,CASIA-Iris-Thousand,"{""record1_meta"": {}, ""record2_meta"": {}}"
CASIA-Iris-Thousand_genuine_10,Iris\001-CASIA-Iris-Thousand\126\R\S5126R01.jpg,Iris\001-CASIA-Iris-Thousand\126\R\S5126R03.jpg,iris,True,126,126,CASIA-Iris-Thousand,"{""record1_meta"": {}, ""record2_meta"": {}}"
CASIA-Iris-Thousand_genuine_11,Iris\001-CASIA-Iris-Thousand\859\R\S5859R07.jpg,Iris\001-CASIA-Iris-Thousand\859\R\S5859R08.jpg,iris,True,859,859,CASIA-Iris-Thousand,"{""record1_meta"": {}, ""record2_meta"": {}}"
CASIA-Iris-Thousand_genuine_12,Iris\001-CASIA-Iris-Thousand\614\L\S5614L07.jpg,Iris\001-CASIA-Iris-Thousand\614\L\S5614L08.jpg,iris,True,614,614,CASIA-Iris-Thousand,"{""record1_meta"": {}, ""record2_meta"": {}}"
CASIA-Iris-Thousand_genuine_13,Iris\001-CASIA-Iris-Thousand\046\L\S5046L03.jpg,Iris\001-CASIA-Iris-Thousand\046\L\S5046L05.jpg,iris,True,046,046,CASIA-Iris-Thousand,"{""record1_meta"": {}, ""record2_meta"": {}}"
CASIA-Iris-Thousand_genuine_14,Iris\001-CASIA-Iris-Thousand\043\L\S5043L05.jpg,Iris\001-CASIA-Iris-Thousand\043\L\S5043L06.jpg,iris,True,043,043,CASIA-Iris-Thousand,"{""record1_meta"": {}, ""record2_meta"": {}}"
CASIA-Iris-Thousand_genuine_15,Iris\001-CASIA-Iris-Thousand\136\L\S5136L06.jpg,Iris\001-CASIA-Iris-Thousand\136\L\S5136L08.jpg,iris,True,136,136,CASIA-Iris-Thousand,"{""record1_meta"": {}, ""record2_meta"": {}}"
CASIA-Iris-Thousand_genuine_16,Iris\001-CASIA-Iris-Thousand\318\L\S5318L05.jpg,Iris\001-CASIA-Iris-Thousand\318\L\S5318L08.jpg,iris,True,318,318,CASIA-Iris-Thousand,"{""record1_meta"": {}, ""record2_meta"": {}}"
CASIA-Iris-Thousand_genuine_17,Iris\001-CASIA-Iris-Thousand\338\R\S5338R04.jpg,Iris\001-CASIA-Iris-Thousand\338\R\S5338R05.jpg,iris,True,338,338,CASIA-Iris-Thousand,"{""record1_meta"": {}, ""record2_meta"": {}}"
CASIA-Iris-Thousand_genuine_18,Iris\001-CASIA-Iris-Thousand\735\R\S5735R07.jpg,Iris\001-CASIA-Iris-Thousand\735\R\S5735R08.jpg,iris,True,735,735,CASIA-Iris-Thousand,"{""record1_meta"": {}, ""record2_meta"": {}}"
CASIA-Iris-Thousand_genuine_19,Iris\001-CASIA-Iris-Thousand\876\R\S5876R02.jpg,Iris\001-CASIA-Iris-Thousand\876\R\S5876R08.jpg,iris,True,876,876,CASIA-Iris-Thousand,"{""record1_meta"": {}, ""record2_meta"": {}}"
CASIA-Iris-Thousand_genuine_20,Iris\001-CASIA-Iris-Thousand\038\R\S5038R01.jpg,Iris\001-CASIA-Iris-Thousand\038\R\S5038R06.jpg,iris,True,038,038,CASIA-Iris-Thousand,"{""record1_meta"": {}, ""record2_meta"": {}}"
CASIA-Iris-Thousand_genuine_21,Iris\001-CASIA-Iris-Thousand\817\L\S5817L04.jpg,Iris\001-CASIA-Iris-Thousand\817\L\S5817L08.jpg,iris,True,817,817,CASIA-Iris-Thousand,"{""record1_meta"": {}, ""record2_meta"": {}}"
CASIA-Iris-Thousand_genuine_22,Iris\001-CASIA-Iris-Thousand\289\R\S5289R00.jpg,Iris\001-CASIA-Iris-Thousand\289\R\S5289R08.jpg,iris,True,289,289,CASIA-Iris-Thousand,"{""record1_meta"": {}, ""record2_meta"": {}}"
CASIA-Iris-Thousand_genuine_23,Iris\001-CASIA-Iris-Thousand\946\L\S5946L06.jpg,Iris\001-CASIA-Iris-Thousand\946\L\S5946L09.jpg,iris,True,946,946,CASIA-Iris-Thousand,"{""record1_meta"": {}, ""record2_meta"": {}}"
CASIA-Iris-Thousand_genuine_24,Iris\001-CASIA-Iris-Thousand\793\R\S5793R01.jpg,Iris\001-CASIA-Iris-Thousand\793\R\S5793R04.jpg,iris,True,793,793,CASIA-Iris-Thousand,"{""record1_meta"": {}, ""record2_meta"": {}}"
