pair_id,image1_path,image2_path,modality,ground_truth,identity1,identity2,dataset_name,metadata
MMU-Iris_genuine_0,Iris\002-MMU-Iris-Database\39\right\tingcyr2.bmp,Iris\002-MMU-Iris-Database\39\right\tingcyr3.bmp,iris,True,39,39,MMU-Iris,"{""record1_meta"": {}, ""record2_meta"": {}}"
MMU-Iris_genuine_1,Iris\002-MMU-Iris-Database\14\right\liujwr2.bmp,Iris\002-MMU-Iris-Database\14\right\liujwr3.bmp,iris,True,14,14,MMU-Iris,"{""record1_meta"": {}, ""record2_meta"": {}}"
MMU-Iris_genuine_2,Iris\002-MMU-Iris-Database\10\left\fional2.bmp,Iris\002-MMU-Iris-Database\10\left\fional4.bmp,iris,True,10,10,MMU-Iris,"{""record1_meta"": {}, ""record2_meta"": {}}"
MMU-Iris_genuine_3,Iris\002-MMU-Iris-Database\44\right\yannr4.bmp,Iris\002-MMU-Iris-Database\44\right\yannr5.bmp,iris,True,44,44,MMU-Iris,"{""record1_meta"": {}, ""record2_meta"": {}}"
MMU-Iris_genuine_4,Iris\002-MMU-Iris-Database\22\left\mimil1.bmp,Iris\002-MMU-Iris-Database\22\left\mimil3.bmp,iris,True,22,22,MMU-Iris,"{""record1_meta"": {}, ""record2_meta"": {}}"
MMU-Iris_genuine_5,Iris\002-MMU-Iris-Database\20\right\masr1.bmp,Iris\002-MMU-Iris-Database\20\right\masr2.bmp,iris,True,20,20,MMU-Iris,"{""record1_meta"": {}, ""record2_meta"": {}}"
MMU-Iris_genuine_6,Iris\002-MMU-Iris-Database\2\left\bryanl3.bmp,Iris\002-MMU-Iris-Database\2\left\bryanl5.bmp,iris,True,2,2,MMU-Iris,"{""record1_meta"": {}, ""record2_meta"": {}}"
MMU-Iris_genuine_7,Iris\002-MMU-Iris-Database\16\left\lowyfl1.bmp,Iris\002-MMU-Iris-Database\16\left\lowyfl4.bmp,iris,True,16,16,MMU-Iris,"{""record1_meta"": {}, ""record2_meta"": {}}"
MMU-Iris_genuine_8,Iris\002-MMU-Iris-Database\44\right\yannr2.bmp,Iris\002-MMU-Iris-Database\44\right\yannr3.bmp,iris,True,44,44,MMU-Iris,"{""record1_meta"": {}, ""record2_meta"": {}}"
MMU-Iris_genuine_9,Iris\002-MMU-Iris-Database\14\left\liujwl2.bmp,Iris\002-MMU-Iris-Database\14\left\liujwl3.bmp,iris,True,14,14,MMU-Iris,"{""record1_meta"": {}, ""record2_meta"": {}}"
MMU-Iris_genuine_10,Iris\002-MMU-Iris-Database\41\right\vimalar1.bmp,Iris\002-MMU-Iris-Database\41\right\vimalar4.bmp,iris,True,41,41,MMU-Iris,"{""record1_meta"": {}, ""record2_meta"": {}}"
MMU-Iris_genuine_11,Iris\002-MMU-Iris-Database\44\right\yannr3.bmp,Iris\002-MMU-Iris-Database\44\right\yannr5.bmp,iris,True,44,44,MMU-Iris,"{""record1_meta"": {}, ""record2_meta"": {}}"
