pair_id,image1_path,image2_path,modality,ground_truth,identity1,identity2,dataset_name,metadata
Multi-PIE_genuine_0,Face\Multi_Pie_HR_128\047_01_01_010_16_crop_128.png,Face\Multi_Pie_HR_128\047_01_02_010_09_crop_128.png,face,True,047,047,Multi-PIE,"{""record1_meta"": {""version"": ""HR_128"", ""angle"": ""010"", ""lighting"": ""16""}, ""record2_meta"": {""version"": ""HR_128"", ""angle"": ""010"", ""lighting"": ""09""}}"
Multi-PIE_genuine_1,Face\Multi_Pie_HR_128\011_01_01_090_18_crop_128.png,Face\Multi_Pie_HR_128\011_01_02_090_02_crop_128.png,face,True,011,011,Multi-PIE,"{""record1_meta"": {""version"": ""HR_128"", ""angle"": ""090"", ""lighting"": ""18""}, ""record2_meta"": {""version"": ""HR_128"", ""angle"": ""090"", ""lighting"": ""02""}}"
Multi-PIE_genuine_2,Face\Multi_Pie_HR_128\114_01_02_010_03_crop_128.png,Face\Multi_Pie_HR_128\114_01_02_010_16_crop_128.png,face,True,114,114,Multi-PIE,"{""record1_meta"": {""version"": ""HR_128"", ""angle"": ""010"", ""lighting"": ""03""}, ""record2_meta"": {""version"": ""HR_128"", ""angle"": ""010"", ""lighting"": ""16""}}"
Multi-PIE_genuine_3,Face\Multi_Pie_HR_128\102_01_01_090_01_crop_128.png,Face\Multi_Pie_HR_128\102_01_02_090_03_crop_128.png,face,True,102,102,Multi-PIE,"{""record1_meta"": {""version"": ""HR_128"", ""angle"": ""090"", ""lighting"": ""01""}, ""record2_meta"": {""version"": ""HR_128"", ""angle"": ""090"", ""lighting"": ""03""}}"
Multi-PIE_genuine_4,Face\Multi_Pie_HR_128\093_01_01_090_11_crop_128.png,Face\Multi_Pie_HR_128\093_01_02_090_01_crop_128.png,face,True,093,093,Multi-PIE,"{""record1_meta"": {""version"": ""HR_128"", ""angle"": ""090"", ""lighting"": ""11""}, ""record2_meta"": {""version"": ""HR_128"", ""angle"": ""090"", ""lighting"": ""01""}}"
Multi-PIE_genuine_5,Face\Multi_Pie_HR_128\058_01_01_240_05_crop_128.png,Face\Multi_Pie_HR_128\058_01_02_240_05_crop_128.png,face,True,058,058,Multi-PIE,"{""record1_meta"": {""version"": ""HR_128"", ""angle"": ""240"", ""lighting"": ""05""}, ""record2_meta"": {""version"": ""HR_128"", ""angle"": ""240"", ""lighting"": ""05""}}"
Multi-PIE_genuine_6,Face\Multi_Pie_HR_128\043_01_01_110_14_crop_128.png,Face\Multi_Pie_HR_128\043_01_02_110_15_crop_128.png,face,True,043,043,Multi-PIE,"{""record1_meta"": {""version"": ""HR_128"", ""angle"": ""110"", ""lighting"": ""14""}, ""record2_meta"": {""version"": ""HR_128"", ""angle"": ""110"", ""lighting"": ""15""}}"
Multi-PIE_genuine_7,Face\Multi_Pie_HR_128\227_01_01_190_00_crop_128.png,Face\Multi_Pie_HR_128\227_01_02_190_14_crop_128.png,face,True,227,227,Multi-PIE,"{""record1_meta"": {""version"": ""HR_128"", ""angle"": ""190"", ""lighting"": ""00""}, ""record2_meta"": {""version"": ""HR_128"", ""angle"": ""190"", ""lighting"": ""14""}}"
Multi-PIE_genuine_8,Face\Multi_Pie_HR_128\036_01_02_190_14_crop_128.png,Face\Multi_Pie_HR_128\036_01_02_190_17_crop_128.png,face,True,036,036,Multi-PIE,"{""record1_meta"": {""version"": ""HR_128"", ""angle"": ""190"", ""lighting"": ""14""}, ""record2_meta"": {""version"": ""HR_128"", ""angle"": ""190"", ""lighting"": ""17""}}"
Multi-PIE_genuine_9,Face\Multi_Pie_HR_128\246_01_01_080_05_crop_128.png,Face\Multi_Pie_HR_128\246_01_01_080_06_crop_128.png,face,True,246,246,Multi-PIE,"{""record1_meta"": {""version"": ""HR_128"", ""angle"": ""080"", ""lighting"": ""05""}, ""record2_meta"": {""version"": ""HR_128"", ""angle"": ""080"", ""lighting"": ""06""}}"
