matcher,modality,pair_id,identity1,identity2,num_keypoints_image1,num_keypoints_image2,num_matches,num_inliers,inlier_ratio,is_same_person_pred,confidence,ground_truth,is_correct,reprojection_error
LoFTR_indoor,hand,11k_Hands_genuine_0,0000538,0000538,335,335,335,108,0.3224,False,0.3224,True,False,2.1959
ORB,hand,11k_Hands_genuine_0,0000538,0000538,429,462,20,0,,False,,True,False,
SIFT,hand,11k_Hands_genuine_0,0000538,0000538,118,111,9,5,0.5556,True,0.5556,True,True,1.0444
SuperGlue,hand,11k_Hands_genuine_0,0000538,0000538,147,158,15,6,0.4000,False,0.4000,True,False,1.2508
SGMNet_root_SGM,hand,11k_Hands_genuine_0,0000538,0000538,763,866,61,12,0.1967,False,0.1967,True,False,1.2830
ASpanFormer_indoor,hand,11k_Hands_genuine_0,0000538,0000538,161,161,161,79,0.4907,True,0.4907,True,True,2.3173
DeepDetect,hand,11k_Hands_genuine_0,0000538,0000538,9636,10796,60,57,0.9500,True,0.9500,True,True,0.0493
LoFTR_indoor,hand,11k_Hands_genuine_1,0001020,0001020,238,238,238,29,0.1218,False,0.1218,True,False,2.3803
ORB,hand,11k_Hands_genuine_1,0001020,0001020,753,375,17,0,,False,,True,False,
SIFT,hand,11k_Hands_genuine_1,0001020,0001020,213,80,12,0,,False,,True,False,
SuperGlue,hand,11k_Hands_genuine_1,0001020,0001020,295,293,5,0,,False,,True,False,
SGMNet_root_SGM,hand,11k_Hands_genuine_1,0001020,0001020,983,1221,27,7,0.2593,False,0.2593,True,False,0.7850
ASpanFormer_indoor,hand,11k_Hands_genuine_1,0001020,0001020,64,64,64,22,0.3438,False,0.3438,True,False,2.2315
DeepDetect,hand,11k_Hands_genuine_1,0001020,0001020,14778,15176,61,0,,False,,True,False,
LoFTR_indoor,hand,11k_Hands_genuine_2,0000055,0000055,226,226,226,41,0.1814,False,0.1814,True,False,1.9069
ORB,hand,11k_Hands_genuine_2,0000055,0000055,465,299,22,0,,False,,True,False,
SIFT,hand,11k_Hands_genuine_2,0000055,0000055,146,102,11,5,0.4545,True,0.4545,True,True,0.8693
SuperGlue,hand,11k_Hands_genuine_2,0000055,0000055,268,262,9,6,0.6667,True,0.6667,True,True,0.9775
SGMNet_root_SGM,hand,11k_Hands_genuine_2,0000055,0000055,1281,1171,52,14,0.2692,False,0.2692,True,False,1.4432
ASpanFormer_indoor,hand,11k_Hands_genuine_2,0000055,0000055,97,97,97,32,0.3299,False,0.3299,True,False,2.0055
DeepDetect,hand,11k_Hands_genuine_2,0000055,0000055,12133,14129,100,77,0.7700,True,0.7700,True,True,0.9905
LoFTR_indoor,hand,11k_Hands_genuine_3,0001011,0001011,998,998,998,546,0.5471,True,0.5471,True,True,1.5352
ORB,hand,11k_Hands_genuine_3,0001011,0001011,333,331,45,16,0.3556,False,0.3556,True,False,2.0845
SIFT,hand,11k_Hands_genuine_3,0001011,0001011,94,81,23,12,0.5217,True,0.5217,True,True,1.1369
SuperGlue,hand,11k_Hands_genuine_3,0001011,0001011,232,204,133,34,0.2556,False,0.2556,True,False,2.6923
SGMNet_root_SGM,hand,11k_Hands_genuine_3,0001011,0001011,1032,929,398,179,0.4497,True,0.4497,True,True,1.5683
ASpanFormer_indoor,hand,11k_Hands_genuine_3,0001011,0001011,825,825,825,485,0.5879,True,0.5879,True,True,1.2987
DeepDetect,hand,11k_Hands_genuine_3,0001011,0001011,11135,11477,198,165,0.8333,True,0.8333,True,True,1.6412
LoFTR_indoor,hand,11k_Hands_genuine_4,0001039,0001039,961,961,961,481,0.5005,True,0.5005,True,True,0.8311
ORB,hand,11k_Hands_genuine_4,0001039,0001039,165,236,24,14,0.5833,True,0.5833,True,True,1.2617
SIFT,hand,11k_Hands_genuine_4,0001039,0001039,92,126,29,12,0.4138,False,0.4138,True,False,1.8391
SuperGlue,hand,11k_Hands_genuine_4,0001039,0001039,248,222,151,35,0.2318,False,0.2318,True,False,2.7109
SGMNet_root_SGM,hand,11k_Hands_genuine_4,0001039,0001039,1210,1231,603,290,0.4809,True,0.4809,True,True,1.0071
ASpanFormer_indoor,hand,11k_Hands_genuine_4,0001039,0001039,885,885,885,419,0.4734,True,0.4734,True,True,2.3818
DeepDetect,hand,11k_Hands_genuine_4,0001039,0001039,11730,11305,351,319,0.9088,True,0.9088,True,True,0.6860
LoFTR_indoor,hand,11k_Hands_genuine_5,0001571,0001571,1161,1161,1161,869,0.7485,True,0.7485,True,True,1.5437
ORB,hand,11k_Hands_genuine_5,0001571,0001571,322,289,91,63,0.6923,True,0.6923,True,True,1.2593
SIFT,hand,11k_Hands_genuine_5,0001571,0001571,74,73,30,26,0.8667,True,0.8667,True,True,1.0038
SuperGlue,hand,11k_Hands_genuine_5,0001571,0001571,149,151,126,74,0.5873,True,0.5873,True,True,2.0696
SGMNet_root_SGM,hand,11k_Hands_genuine_5,0001571,0001571,652,676,360,219,0.6083,True,0.6083,True,True,1.0996
ASpanFormer_indoor,hand,11k_Hands_genuine_5,0001571,0001571,1991,1991,1991,1369,0.6876,True,0.6876,True,True,1.5155
DeepDetect,hand,11k_Hands_genuine_5,0001571,0001571,8894,9600,1700,1690,0.9941,True,0.9941,True,True,0.5993
LoFTR_indoor,hand,11k_Hands_genuine_6,0001541,0001541,189,189,189,54,0.2857,False,0.2857,True,False,2.4036
ORB,hand,11k_Hands_genuine_6,0001541,0001541,726,379,25,0,,False,,True,False,
SIFT,hand,11k_Hands_genuine_6,0001541,0001541,154,97,3,0,,False,,True,False,
SuperGlue,hand,11k_Hands_genuine_6,0001541,0001541,163,203,4,0,,False,,True,False,
SGMNet_root_SGM,hand,11k_Hands_genuine_6,0001541,0001541,739,947,12,6,0.5000,True,0.5000,True,True,0.6024
ASpanFormer_indoor,hand,11k_Hands_genuine_6,0001541,0001541,213,213,213,79,0.3709,False,0.3709,True,False,1.7072
DeepDetect,hand,11k_Hands_genuine_6,0001541,0001541,9382,11629,18,16,0.8889,True,0.8889,True,True,0.7580
LoFTR_indoor,hand,11k_Hands_genuine_7,0001024,0001024,332,332,332,103,0.3102,False,0.3102,True,False,1.8021
ORB,hand,11k_Hands_genuine_7,0001024,0001024,557,415,25,0,,False,,True,False,
SIFT,hand,11k_Hands_genuine_7,0001024,0001024,174,132,3,0,,False,,True,False,
SuperGlue,hand,11k_Hands_genuine_7,0001024,0001024,179,228,34,16,0.4706,True,0.4706,True,True,1.9843
SGMNet_root_SGM,hand,11k_Hands_genuine_7,0001024,0001024,1000,1458,31,13,0.4194,True,0.4194,True,True,1.0276
ASpanFormer_indoor,hand,11k_Hands_genuine_7,0001024,0001024,226,226,226,171,0.7566,True,0.7566,True,True,1.8801
DeepDetect,hand,11k_Hands_genuine_7,0001024,0001024,10926,13851,30,17,0.5667,True,0.5667,True,True,1.4612
LoFTR_indoor,hand,11k_Hands_genuine_8,0001060,0001060,201,201,201,19,0.0945,False,0.0945,True,False,2.4397
ORB,hand,11k_Hands_genuine_8,0001060,0001060,334,217,8,0,,False,,True,False,
SIFT,hand,11k_Hands_genuine_8,0001060,0001060,135,106,9,0,,False,,True,False,
SuperGlue,hand,11k_Hands_genuine_8,0001060,0001060,261,239,3,0,,False,,True,False,
SGMNet_root_SGM,hand,11k_Hands_genuine_8,0001060,0001060,1051,1659,24,0,,False,,True,False,
