matcher,modality,pair_id,identity1,identity2,num_keypoints_image1,num_keypoints_image2,num_matches,num_inliers,inlier_ratio,is_same_person_pred,confidence,ground_truth,is_correct,reprojection_error
LoFTR_indoor,hand,11k_Hands_genuine_0,0000538,0000538,261,261,261,71,0.2720,False,0.2720,True,False,1.7264
ORB,hand,11k_Hands_genuine_0,0000538,0000538,554,562,27,0,,False,,True,False,
SIFT,hand,11k_Hands_genuine_0,0000538,0000538,139,127,11,5,0.4545,True,0.4545,True,True,1.0444
SuperGlue,hand,11k_Hands_genuine_0,0000538,0000538,128,125,14,5,0.3571,False,0.3571,True,False,1.1828
SGMNet_root_SGM,hand,11k_Hands_genuine_0,0000538,0000538,786,875,36,0,,False,,True,False,
ASpanFormer_indoor,hand,11k_Hands_genuine_0,0000538,0000538,83,83,83,45,0.5422,True,0.5422,True,True,2.2892
DeepDetect,hand,11k_Hands_genuine_0,0000538,0000538,12078,12691,53,48,0.9057,True,0.9057,True,True,0.1942
LoFTR_indoor,hand,11k_Hands_genuine_1,0001020,0001020,186,186,186,28,0.1505,False,0.1505,True,False,2.2796
ORB,hand,11k_Hands_genuine_1,0001020,0001020,897,460,23,0,,False,,True,False,
SIFT,hand,11k_Hands_genuine_1,0001020,0001020,315,117,15,0,,False,,True,False,
SuperGlue,hand,11k_Hands_genuine_1,0001020,0001020,221,202,19,7,0.3684,False,0.3684,True,False,1.5712
SGMNet_root_SGM,hand,11k_Hands_genuine_1,0001020,0001020,1180,1389,24,6,0.2500,False,0.2500,True,False,0.8742
ASpanFormer_indoor,hand,11k_Hands_genuine_1,0001020,0001020,73,73,73,27,0.3699,False,0.3699,True,False,1.7847
DeepDetect,hand,11k_Hands_genuine_1,0001020,0001020,14721,12808,16,0,,False,,True,False,
LoFTR_indoor,hand,11k_Hands_genuine_2,0000055,0000055,292,292,292,42,0.1438,False,0.1438,True,False,2.4006
ORB,hand,11k_Hands_genuine_2,0000055,0000055,545,370,21,0,,False,,True,False,
SIFT,hand,11k_Hands_genuine_2,0000055,0000055,158,128,9,0,,False,,True,False,
SuperGlue,hand,11k_Hands_genuine_2,0000055,0000055,193,188,3,0,,False,,True,False,
SGMNet_root_SGM,hand,11k_Hands_genuine_2,0000055,0000055,1368,1427,21,7,0.3333,False,0.3333,True,False,0.8521
ASpanFormer_indoor,hand,11k_Hands_genuine_2,0000055,0000055,182,182,182,61,0.3352,False,0.3352,True,False,2.4666
DeepDetect,hand,11k_Hands_genuine_2,0000055,0000055,13406,13739,69,0,,False,,True,False,
LoFTR_indoor,hand,11k_Hands_genuine_3,0001011,0001011,1150,1150,1150,606,0.5270,True,0.5270,True,True,1.5362
ORB,hand,11k_Hands_genuine_3,0001011,0001011,575,494,85,30,0.3529,False,0.3529,True,False,2.1574
SIFT,hand,11k_Hands_genuine_3,0001011,0001011,112,105,27,12,0.4444,False,0.4444,True,False,1.1369
SuperGlue,hand,11k_Hands_genuine_3,0001011,0001011,184,176,119,39,0.3277,False,0.3277,True,False,1.5834
SGMNet_root_SGM,hand,11k_Hands_genuine_3,0001011,0001011,1129,992,412,207,0.5024,True,0.5024,True,True,1.5423
ASpanFormer_indoor,hand,11k_Hands_genuine_3,0001011,0001011,770,770,770,434,0.5636,True,0.5636,True,True,1.2607
DeepDetect,hand,11k_Hands_genuine_3,0001011,0001011,13794,14633,170,140,0.8235,True,0.8235,True,True,1.5729
LoFTR_indoor,hand,11k_Hands_genuine_4,0001039,0001039,1046,1046,1046,463,0.4426,False,0.4426,True,False,1.0813
ORB,hand,11k_Hands_genuine_4,0001039,0001039,243,301,30,20,0.6667,True,0.6667,True,True,1.5646
SIFT,hand,11k_Hands_genuine_4,0001039,0001039,107,135,32,14,0.4375,False,0.4375,True,False,1.4770
