matcher,modality,pair_id,identity1,identity2,num_keypoints_image1,num_keypoints_image2,num_matches,num_inliers,inlier_ratio,is_same_person_pred,confidence,ground_truth,is_correct,reprojection_error
loftr,face,Multi-PIE_genuine_0,216,216,27,27,27,10,0.3704,False,0.3583,True,False,1.8056
orb-fingervein,face,Multi-PIE_genuine_0,216,216,2438,2539,25,0,,False,,True,False,
sift-fingervein,face,Multi-PIE_genuine_0,216,216,320,392,5,0,,False,,True,False,
superglue-fingervein,face,Multi-PIE_genuine_0,216,216,424,534,65,11,0.1692,True,0.1600,True,True,2.3624
sgmnet-fingervein,face,Multi-PIE_genuine_0,216,216,2000,2000,43,6,0.1395,False,0.1320,True,False,0.3630
aspanformer,face,Multi-PIE_genuine_0,216,216,9,9,9,5,0.5556,True,0.5179,True,True,0.3208
deepdetect,face,Multi-PIE_genuine_0,216,216,8319,9924,8,7,0.8750,True,0.8750,True,True,0.4131
loftr,face,Multi-PIE_genuine_1,038,038,70,70,70,9,0.1286,False,0.1221,True,False,2.0532
orb-fingervein,face,Multi-PIE_genuine_1,038,038,4318,3581,32,7,0.2188,False,0.2096,True,False,0.8371
sift-fingervein,face,Multi-PIE_genuine_1,038,038,796,635,22,5,0.2273,False,0.2119,True,False,0.6786
superglue-fingervein,face,Multi-PIE_genuine_1,038,038,897,804,4,0,,False,,True,False,
sgmnet-fingervein,face,Multi-PIE_genuine_1,038,038,1972,2000,54,6,0.1111,False,0.1051,True,False,0.8584
aspanformer,face,Multi-PIE_genuine_1,038,038,4,4,4,0,,False,,True,False,
deepdetect,face,Multi-PIE_genuine_1,038,038,12856,9906,12,8,0.6667,True,0.6667,True,True,0.9404
loftr,face,Multi-PIE_genuine_2,009,009,651,651,651,201,0.3088,False,0.2908,True,False,2.7005
orb-fingervein,face,Multi-PIE_genuine_2,009,009,3847,3031,55,17,0.3091,False,0.3021,True,False,1.9225
sift-fingervein,face,Multi-PIE_genuine_2,009,009,828,510,34,0,,False,,True,False,
superglue-fingervein,face,Multi-PIE_genuine_2,009,009,664,705,276,72,0.2609,True,0.2464,True,True,2.6430
sgmnet-fingervein,face,Multi-PIE_genuine_2,009,009,2000,2000,465,32,0.0688,False,0.0688,True,False,1.4964
aspanformer,face,Multi-PIE_genuine_2,009,009,892,892,892,299,0.3352,False,0.3195,True,False,2.4581
deepdetect,face,Multi-PIE_genuine_2,009,009,11985,14459,15,9,0.6000,True,0.6000,True,True,1.1450
loftr,face,Multi-PIE_genuine_3,093,093,44,44,44,8,0.1818,False,0.1740,True,False,1.7338
orb-fingervein,face,Multi-PIE_genuine_3,093,093,3322,1955,60,16,0.2667,False,0.2618,True,False,1.8201
sift-fingervein,face,Multi-PIE_genuine_3,093,093,492,369,12,0,,False,,True,False,
superglue-fingervein,face,Multi-PIE_genuine_3,093,093,484,455,22,0,,False,,True,False,
sgmnet-fingervein,face,Multi-PIE_genuine_3,093,093,2000,2000,155,8,0.0516,False,0.0500,True,False,1.2073
aspanformer,face,Multi-PIE_genuine_3,093,093,12,12,12,0,,False,,True,False,
deepdetect,face,Multi-PIE_genuine_3,093,093,9046,7556,4,0,,False,,True,False,
loftr,face,Multi-PIE_genuine_4,083,083,1201,1201,1201,698,0.5812,True,0.5577,True,True,2.3246
orb-fingervein,face,Multi-PIE_genuine_4,083,083,2327,3471,67,39,0.5821,True,0.5610,True,True,2.2375
sift-fingervein,face,Multi-PIE_genuine_4,083,083,336,427,47,20,0.4255,False,0.4163,True,False,1.9230
superglue-fingervein,face,Multi-PIE_genuine_4,083,083,452,501,212,96,0.4528,True,0.4334,True,True,2.3755
sgmnet-fingervein,face,Multi-PIE_genuine_4,083,083,2000,2000,951,219,0.2303,True,0.2265,True,True,1.8288
aspanformer,face,Multi-PIE_genuine_4,083,083,1313,1313,1313,864,0.6580,True,0.6330,True,True,2.2773
deepdetect,face,Multi-PIE_genuine_4,083,083,6491,10454,44,37,0.8409,True,0.8409,True,True,0.8322
loftr,face,Multi-PIE_genuine_5,076,076,0,0,0,0,,False,,True,False,
orb-fingervein,face,Multi-PIE_genuine_5,076,076,3336,2866,23,0,,False,,True,False,
sift-fingervein,face,Multi-PIE_genuine_5,076,076,509,597,16,0,,False,,True,False,
superglue-fingervein,face,Multi-PIE_genuine_5,076,076,538,487,5,0,,False,,True,False,
sgmnet-fingervein,face,Multi-PIE_genuine_5,076,076,2000,2000,18,6,0.3333,True,0.3154,True,True,0.4005
aspanformer,face,Multi-PIE_genuine_5,076,076,3,3,3,0,,False,,True,False,
deepdetect,face,Multi-PIE_genuine_5,076,076,9910,9621,24,18,0.7500,True,0.7500,True,True,1.1704
loftr,face,Multi-PIE_genuine_6,047,047,1296,1296,1296,558,0.4306,False,0.4135,True,False,2.3069
orb-fingervein,face,Multi-PIE_genuine_6,047,047,2623,3589,174,114,0.6552,True,0.6525,True,True,1.5819
sift-fingervein,face,Multi-PIE_genuine_6,047,047,384,519,59,32,0.5424,True,0.5183,True,True,2.4077
superglue-fingervein,face,Multi-PIE_genuine_6,047,047,513,576,290,95,0.3276,True,0.3062,True,True,2.8499
sgmnet-fingervein,face,Multi-PIE_genuine_6,047,047,2000,2000,807,149,0.1846,False,0.1818,True,False,1.8089
aspanformer,face,Multi-PIE_genuine_6,047,047,1742,1742,1742,795,0.4564,True,0.4321,True,True,2.5941
deepdetect,face,Multi-PIE_genuine_6,047,047,9487,10239,186,165,0.8871,True,0.8871,True,True,1.3735
loftr,face,Multi-PIE_genuine_7,249,249,1381,1381,1381,790,0.5720,True,0.5512,True,True,2.2420
orb-fingervein,face,Multi-PIE_genuine_7,249,249,2301,2524,114,65,0.5702,True,0.5448,True,True,2.4103
sift-fingervein,face,Multi-PIE_genuine_7,249,249,364,393,66,34,0.5152,True,0.5035,True,True,1.9558
superglue-fingervein,face,Multi-PIE_genuine_7,249,249,460,521,263,113,0.4297,True,0.4062,True,True,2.6240
