matcher,modality,pair_id,identity1,identity2,num_keypoints_image1,num_keypoints_image2,num_matches,num_inliers,inlier_ratio,is_same_person_pred,confidence,ground_truth,is_correct,reprojection_error
loftr,face,Multi-PIE_genuine_0,162,162,1422,1422,1422,752,0.5288,True,0.5025,True,True,2.5205
orb-fingervein,face,Multi-PIE_genuine_0,162,162,3807,4188,222,148,0.6667,True,0.6511,True,True,1.9733
sift-fingervein,face,Multi-PIE_genuine_0,162,162,745,825,75,41,0.5467,True,0.5377,True,True,1.8318
superglue-fingervein,face,Multi-PIE_genuine_0,162,162,861,827,466,214,0.4592,True,0.4312,True,True,2.7575
sgmnet-fingervein,face,Multi-PIE_genuine_0,162,162,2000,2000,936,282,0.3013,True,0.2962,True,True,1.8386
aspanformer,face,Multi-PIE_genuine_0,162,162,2185,2185,2185,1432,0.6554,True,0.6348,True,True,2.1375
deepdetect,face,Multi-PIE_genuine_0,162,162,12324,14213,444,386,0.8694,True,0.8694,True,True,0.7564
loftr,face,Multi-PIE_genuine_1,029,029,1701,1701,1701,1436,0.8442,True,0.8344,True,True,1.7343
orb-fingervein,face,Multi-PIE_genuine_1,029,029,3657,3603,639,530,0.8294,True,0.8294,True,True,1.4244
sift-fingervein,face,Multi-PIE_genuine_1,029,029,637,601,145,113,0.7793,True,0.7793,True,True,1.4500
superglue-fingervein,face,Multi-PIE_genuine_1,029,029,734,745,504,314,0.6230,True,0.5957,True,True,2.3970
sgmnet-fingervein,face,Multi-PIE_genuine_1,029,029,2000,2000,1082,537,0.4963,True,0.4934,True,True,1.6157
aspanformer,face,Multi-PIE_genuine_1,029,029,2875,2875,2875,2404,0.8362,True,0.8348,True,True,1.5326
deepdetect,face,Multi-PIE_genuine_1,029,029,10173,10065,2169,2167,0.9991,True,0.9991,True,True,0.6006
loftr,face,Multi-PIE_genuine_2,007,007,968,968,968,510,0.5269,True,0.5269,True,True,0.6928
orb-fingervein,face,Multi-PIE_genuine_2,007,007,1015,1711,54,33,0.6111,True,0.6008,True,True,1.8401
sift-fingervein,face,Multi-PIE_genuine_2,007,007,320,386,34,18,0.5294,True,0.5039,True,True,2.4591
superglue-fingervein,face,Multi-PIE_genuine_2,007,007,592,725,325,133,0.4092,True,0.3854,True,True,2.7020
sgmnet-fingervein,face,Multi-PIE_genuine_2,007,007,2000,2000,869,136,0.1565,False,0.1530,True,False,1.9520
aspanformer,face,Multi-PIE_genuine_2,007,007,1457,1457,1457,896,0.6150,True,0.6054,True,True,1.8143
deepdetect,face,Multi-PIE_genuine_2,007,007,7577,12822,89,73,0.8202,True,0.8202,True,True,1.4078
loftr,face,Multi-PIE_genuine_3,187,187,1847,1847,1847,1428,0.7731,True,0.7673,True,True,1.6526
orb-fingervein,face,Multi-PIE_genuine_3,187,187,2836,2033,292,252,0.8630,True,0.8532,True,True,1.7285
sift-fingervein,face,Multi-PIE_genuine_3,187,187,551,404,103,78,0.7573,True,0.7507,True,True,1.6744
superglue-fingervein,face,Multi-PIE_genuine_3,187,187,628,520,290,142,0.4897,True,0.4666,True,True,2.4656
sgmnet-fingervein,face,Multi-PIE_genuine_3,187,187,2000,2000,989,438,0.4429,True,0.4383,True,True,1.7071
aspanformer,face,Multi-PIE_genuine_3,187,187,2268,2268,2268,1958,0.8633,True,0.8586,True,True,1.6084
deepdetect,face,Multi-PIE_genuine_3,187,187,10451,7759,956,852,0.8912,True,0.8912,True,True,0.9258
loftr,face,Multi-PIE_genuine_4,070,070,1511,1511,1511,1300,0.8604,True,0.8495,True,True,1.7549
orb-fingervein,face,Multi-PIE_genuine_4,070,070,2376,2229,330,209,0.6333,True,0.6162,True,True,2.0498
