matcher,modality,pair_id,identity1,identity2,num_keypoints_image1,num_keypoints_image2,num_matches,num_inliers,inlier_ratio,is_same_person_pred,confidence,ground_truth,is_correct,reprojection_error
loftr,face,Multi-PIE_genuine_0,048,048,1804,1804,1804,1714,0.9501,True,0.9501,True,True,0.6454
orb-fingervein,face,Multi-PIE_genuine_0,048,048,1384,2224,95,70,0.7368,True,0.7368,True,True,1.2201
sift-fingervein,face,Multi-PIE_genuine_0,048,048,221,341,44,40,0.9091,True,0.9091,True,True,0.7631
superglue-fingervein,face,Multi-PIE_genuine_0,048,048,368,457,307,156,0.5081,True,0.4828,True,True,2.5213
sgmnet-fingervein,face,Multi-PIE_genuine_0,048,048,2000,2000,868,559,0.6440,True,0.6440,True,True,1.4108
aspanformer,face,Multi-PIE_genuine_0,048,048,3299,3299,3299,2749,0.8333,True,0.8333,True,True,0.6533
deepdetect,face,Multi-PIE_genuine_0,048,048,4548,8357,185,182,0.9838,True,0.9838,True,True,0.5040
loftr,face,Multi-PIE_genuine_1,011,011,1830,1830,1830,1520,0.8306,True,0.8306,True,True,0.5784
orb-fingervein,face,Multi-PIE_genuine_1,011,011,980,3539,108,79,0.7315,True,0.7315,True,True,1.0110
sift-fingervein,face,Multi-PIE_genuine_1,011,011,228,624,56,43,0.7679,True,0.7679,True,True,1.1110
superglue-fingervein,face,Multi-PIE_genuine_1,011,011,573,780,389,205,0.5270,True,0.5092,True,True,2.1862
sgmnet-fingervein,face,Multi-PIE_genuine_1,011,011,2000,2000,980,500,0.5102,True,0.5097,True,True,1.5208
aspanformer,face,Multi-PIE_genuine_1,011,011,3396,3396,3396,3343,0.9844,True,0.9844,True,True,0.6583
deepdetect,face,Multi-PIE_genuine_1,011,011,7262,16163,721,716,0.9931,True,0.9931,True,True,0.5609
loftr,face,Multi-PIE_genuine_2,117,117,1372,1372,1372,1283,0.9351,True,0.9351,True,True,0.5864
orb-fingervein,face,Multi-PIE_genuine_2,117,117,3552,2152,273,234,0.8571,True,0.8571,True,True,0.6923
sift-fingervein,face,Multi-PIE_genuine_2,117,117,683,393,90,80,0.8889,True,0.8889,True,True,0.5595
superglue-fingervein,face,Multi-PIE_genuine_2,117,117,736,555,357,230,0.6443,True,0.6345,True,True,1.8042
sgmnet-fingervein,face,Multi-PIE_genuine_2,117,117,2000,2000,819,596,0.7277,True,0.7277,True,True,0.9125
aspanformer,face,Multi-PIE_genuine_2,117,117,2424,2424,2424,2365,0.9757,True,0.9757,True,True,0.6446
deepdetect,face,Multi-PIE_genuine_2,117,117,9279,9036,787,773,0.9822,True,0.9822,True,True,0.1082
loftr,face,Multi-PIE_genuine_3,104,104,1400,1400,1400,1311,0.9364,True,0.9364,True,True,0.4903
orb-fingervein,face,Multi-PIE_genuine_3,104,104,996,3408,84,70,0.8333,True,0.8333,True,True,0.9520
sift-fingervein,face,Multi-PIE_genuine_3,104,104,203,547,46,40,0.8696,True,0.8696,True,True,0.8657
superglue-fingervein,face,Multi-PIE_genuine_3,104,104,402,708,271,151,0.5572,True,0.5425,True,True,2.0360
sgmnet-fingervein,face,Multi-PIE_genuine_3,104,104,2000,2000,1003,503,0.5015,True,0.4982,True,True,1.6316
aspanformer,face,Multi-PIE_genuine_3,104,104,3024,3024,3024,2928,0.9683,True,0.9683,True,True,0.7113
deepdetect,face,Multi-PIE_genuine_3,104,104,6297,9821,502,469,0.9343,True,0.9343,True,True,0.6336
loftr,face,Multi-PIE_genuine_4,095,095,1946,1946,1946,1764,0.9065,True,0.9065,True,True,0.6714
orb-fingervein,face,Multi-PIE_genuine_4,095,095,3113,2583,279,239,0.8566,True,0.8566,True,True,0.5184
sift-fingervein,face,Multi-PIE_genuine_4,095,095,466,362,89,70,0.7865,True,0.7865,True,True,1.1705
superglue-fingervein,face,Multi-PIE_genuine_4,095,095,537,572,299,212,0.7090,True,0.6963,True,True,1.8617
sgmnet-fingervein,face,Multi-PIE_genuine_4,095,095,2000,2000,941,516,0.5484,True,0.5484,True,True,1.3044
aspanformer,face,Multi-PIE_genuine_4,095,095,3340,3340,3340,3251,0.9734,True,0.9734,True,True,0.5781
deepdetect,face,Multi-PIE_genuine_4,095,095,10526,7320,871,869,0.9977,True,0.9977,True,True,0.5256
loftr,face,Multi-PIE_genuine_5,060,060,1131,1131,1131,835,0.7383,True,0.7383,True,True,0.7280
orb-fingervein,face,Multi-PIE_genuine_5,060,060,3319,2799,63,46,0.7302,True,0.7202,True,True,1.7734
sift-fingervein,face,Multi-PIE_genuine_5,060,060,508,411,25,10,0.4000,False,0.3894,True,False,1.6819
superglue-fingervein,face,Multi-PIE_genuine_5,060,060,592,614,362,216,0.5967,True,0.5690,True,True,2.4518
sgmnet-fingervein,face,Multi-PIE_genuine_5,060,060,2000,2000,936,442,0.4722,True,0.4722,True,True,1.4399
aspanformer,face,Multi-PIE_genuine_5,060,060,2297,2297,2297,2162,0.9412,True,0.9412,True,True,0.7306
deepdetect,face,Multi-PIE_genuine_5,060,060,12397,11786,180,174,0.9667,True,0.9667,True,True,0.4718
loftr,face,Multi-PIE_genuine_6,044,044,352,352,352,218,0.6193,True,0.6193,True,True,0.4251
orb-fingervein,face,Multi-PIE_genuine_6,044,044,2135,4223,50,30,0.6000,True,0.6000,True,True,1.3965
sift-fingervein,face,Multi-PIE_genuine_6,044,044,339,920,15,9,0.6000,True,0.5857,True,True,0.6445
superglue-fingervein,face,Multi-PIE_genuine_6,044,044,380,807,218,91,0.4174,True,0.3943,True,True,2.6417
sgmnet-fingervein,face,Multi-PIE_genuine_6,044,044,2000,2000,673,207,0.3076,True,0.3076,True,True,1.4566
aspanformer,face,Multi-PIE_genuine_6,044,044,717,717,717,701,0.9777,True,0.9777,True,True,0.4707
deepdetect,face,Multi-PIE_genuine_6,044,044,5774,10169,64,64,1.0000,True,1.0000,True,True,0.0857
loftr,face,Multi-PIE_genuine_7,233,233,943,943,943,760,0.8059,True,0.8059,True,True,0.6118
orb-fingervein,face,Multi-PIE_genuine_7,233,233,3642,2533,53,19,0.3585,False,0.3478,True,False,2.0879
sift-fingervein,face,Multi-PIE_genuine_7,233,233,721,355,31,13,0.4194,False,0.4165,True,False,1.4403
superglue-fingervein,face,Multi-PIE_genuine_7,233,233,894,566,325,174,0.5354,True,0.5082,True,True,2.5411
sgmnet-fingervein,face,Multi-PIE_genuine_7,233,233,2000,2000,938,312,0.3326,True,0.3304,True,True,1.6320
aspanformer,face,Multi-PIE_genuine_7,233,233,2701,2701,2701,2630,0.9737,True,0.9737,True,True,0.6908
deepdetect,face,Multi-PIE_genuine_7,233,233,11004,7127,128,125,0.9766,True,0.9766,True,True,0.6453
loftr,face,Multi-PIE_genuine_8,037,037,1224,1224,1224,1038,0.8480,True,0.8480,True,True,0.8382
orb-fingervein,face,Multi-PIE_genuine_8,037,037,5000,4597,174,121,0.6954,True,0.6954,True,True,1.3064
sift-fingervein,face,Multi-PIE_genuine_8,037,037,1670,1301,100,72,0.7200,True,0.7200,True,True,0.6432
superglue-fingervein,face,Multi-PIE_genuine_8,037,037,1109,982,565,421,0.7451,True,0.7243,True,True,2.0662
sgmnet-fingervein,face,Multi-PIE_genuine_8,037,037,1857,2000,803,569,0.7086,True,0.7086,True,True,1.1619
aspanformer,face,Multi-PIE_genuine_8,037,037,2538,2538,2538,2419,0.9531,True,0.9531,True,True,0.7742
deepdetect,face,Multi-PIE_genuine_8,037,037,24545,23936,130,116,0.8923,True,0.8923,True,True,1.1420
