matcher,modality,pair_id,identity1,identity2,num_keypoints_image1,num_keypoints_image2,num_matches,num_inliers,inlier_ratio,is_same_person_pred,confidence,ground_truth,is_correct,reprojection_error
loftr,face,Multi-PIE_genuine_0,056,056,3,3,3,0,,False,,True,False,
orb-fingervein,face,Multi-PIE_genuine_0,056,056,4982,1786,86,0,,False,,True,False,
sift-fingervein,face,Multi-PIE_genuine_0,056,056,1348,501,28,0,,False,,True,False,
superglue-fingervein,face,Multi-PIE_genuine_0,056,056,1088,506,4,0,,False,,True,False,
sgmnet-fingervein,face,Multi-PIE_genuine_0,056,056,2000,2000,54,7,0.1296,False,0.1242,True,False,0.9452
aspanformer,face,Multi-PIE_genuine_0,056,056,6,6,6,0,,False,,True,False,
deepdetect,face,Multi-PIE_genuine_0,056,056,24034,14534,30,0,,False,,True,False,
loftr,face,Multi-PIE_genuine_1,013,013,0,0,0,0,,False,,True,False,
orb-fingervein,face,Multi-PIE_genuine_1,013,013,3754,4050,56,0,,False,,True,False,
sift-fingervein,face,Multi-PIE_genuine_1,013,013,576,834,20,0,,False,,True,False,
superglue-fingervein,face,Multi-PIE_genuine_1,013,013,631,812,8,0,,False,,True,False,
sgmnet-fingervein,face,Multi-PIE_genuine_1,013,013,2000,2000,73,6,0.0822,False,0.0778,True,False,0.0500
aspanformer,face,Multi-PIE_genuine_1,013,013,1,1,1,0,,False,,True,False,
deepdetect,face,Multi-PIE_genuine_1,013,013,13599,18457,11,0,,False,,True,False,
loftr,face,Multi-PIE_genuine_2,137,137,12,12,12,0,,False,,True,False,
orb-fingervein,face,Multi-PIE_genuine_2,137,137,2927,3076,35,0,,False,,True,False,
sift-fingervein,face,Multi-PIE_genuine_2,137,137,342,662,13,0,,False,,True,False,
superglue-fingervein,face,Multi-PIE_genuine_2,137,137,490,743,120,25,0.2083,True,0.2027,True,True,2.0445
sgmnet-fingervein,face,Multi-PIE_genuine_2,137,137,2000,2000,149,7,0.0470,False,0.0450,True,False,0.6516
aspanformer,face,Multi-PIE_genuine_2,137,137,95,95,95,50,0.5263,True,0.5127,True,True,2.0246
deepdetect,face,Multi-PIE_genuine_2,137,137,14045,26943,12,0,,False,,True,False,
loftr,face,Multi-PIE_genuine_3,122,122,1,1,0,0,,False,,True,False,
orb-fingervein,face,Multi-PIE_genuine_3,122,122,3815,3497,54,0,,False,,True,False,
sift-fingervein,face,Multi-PIE_genuine_3,122,122,496,881,10,0,,False,,True,False,
superglue-fingervein,face,Multi-PIE_genuine_3,122,122,664,798,68,19,0.2794,True,0.2662,True,True,2.4476
sgmnet-fingervein,face,Multi-PIE_genuine_3,122,122,2000,2000,159,7,0.0440,False,0.0422,True,False,0.7053
aspanformer,face,Multi-PIE_genuine_3,122,122,7,7,7,0,,False,,True,False,
deepdetect,face,Multi-PIE_genuine_3,122,122,11667,30801,8,0,,False,,True,False,
loftr,face,Multi-PIE_genuine_4,112,112,24,24,24,9,0.3750,False,0.3661,True,False,1.3275
orb-fingervein,face,Multi-PIE_genuine_4,112,112,3439,5000,21,6,0.2857,False,0.2703,True,False,0.0419
sift-fingervein,face,Multi-PIE_genuine_4,112,112,521,1653,18,0,,False,,True,False,
superglue-fingervein,face,Multi-PIE_genuine_4,112,112,635,1358,253,48,0.1897,True,0.1758,True,True,3.0259
sgmnet-fingervein,face,Multi-PIE_genuine_4,112,112,2000,2000,165,9,0.0545,False,0.0532,True,False,1.1987
aspanformer,face,Multi-PIE_genuine_4,112,112,452,452,452,176,0.3894,False,0.3739,True,False,2.3105
deepdetect,face,Multi-PIE_genuine_4,112,112,7968,22725,23,0,,False,,True,False,
loftr,face,Multi-PIE_genuine_5,070,070,151,151,151,58,0.3841,False,0.3751,True,False,1.9750
orb-fingervein,face,Multi-PIE_genuine_5,070,070,2935,2896,36,0,,False,,True,False,
sift-fingervein,face,Multi-PIE_genuine_5,070,070,479,401,18,5,0.2778,False,0.2589,True,False,0.9982
superglue-fingervein,face,Multi-PIE_genuine_5,070,070,598,509,250,93,0.3720,True,0.3505,True,True,2.6920
sgmnet-fingervein,face,Multi-PIE_genuine_5,070,070,2000,2000,445,27,0.0607,False,0.0601,True,False,1.6988
aspanformer,face,Multi-PIE_genuine_5,070,070,812,812,812,448,0.5517,True,0.5300,True,True,2.3017
deepdetect,face,Multi-PIE_genuine_5,070,070,16819,14190,31,21,0.6774,True,0.6774,True,True,1.6325
loftr,face,Multi-PIE_genuine_6,051,051,19,19,19,0,,False,,True,False,
orb-fingervein,face,Multi-PIE_genuine_6,051,051,4048,4276,44,0,,False,,True,False,
sift-fingervein,face,Multi-PIE_genuine_6,051,051,1233,1022,29,0,,False,,True,False,
superglue-fingervein,face,Multi-PIE_genuine_6,051,051,914,947,2,0,,False,,True,False,
sgmnet-fingervein,face,Multi-PIE_genuine_6,051,051,2000,2000,85,6,0.0706,False,0.0668,True,False,0.4981
aspanformer,face,Multi-PIE_genuine_6,051,051,15,15,15,9,0.6000,True,0.5857,True,True,1.4118
deepdetect,face,Multi-PIE_genuine_6,051,051,33278,22703,22,0,,False,,True,False,
loftr,face,Multi-PIE_genuine_7,044,044,9,9,9,5,0.5556,True,0.5179,True,True,0.9584
orb-fingervein,face,Multi-PIE_genuine_7,044,044,4172,3205,25,0,,False,,True,False,
sift-fingervein,face,Multi-PIE_genuine_7,044,044,1119,502,29,7,0.2414,False,0.2313,True,False,1.4132
superglue-fingervein,face,Multi-PIE_genuine_7,044,044,932,574,197,32,0.1624,True,0.1534,True,True,2.6427
sgmnet-fingervein,face,Multi-PIE_genuine_7,044,044,2000,2000,64,6,0.0938,False,0.0887,True,False,0.2232
aspanformer,face,Multi-PIE_genuine_7,044,044,18,18,18,12,0.6667,True,0.6404,True,True,2.1135
deepdetect,face,Multi-PIE_genuine_7,044,044,24177,17177,22,11,0.5000,True,0.5000,True,True,1.2633
loftr,face,Multi-PIE_genuine_8,210,210,0,0,0,0,,False,,True,False,
orb-fingervein,face,Multi-PIE_genuine_8,210,210,3702,2067,54,0,,False,,True,False,
sift-fingervein,face,Multi-PIE_genuine_8,210,210,906,450,22,7,0.3182,False,0.3049,True,False,1.2492
superglue-fingervein,face,Multi-PIE_genuine_8,210,210,949,415,0,0,,False,,True,False,
sgmnet-fingervein,face,Multi-PIE_genuine_8,210,210,2000,2000,52,6,0.1154,False,0.1092,True,False,0.5039
aspanformer,face,Multi-PIE_genuine_8,210,210,9,9,9,0,,False,,True,False,
deepdetect,face,Multi-PIE_genuine_8,210,210,25776,8126,11,0,,False,,True,False,
loftr,face,Multi-PIE_genuine_9,016,016,43,43,43,0,,False,,True,False,
orb-fingervein,face,Multi-PIE_genuine_9,016,016,3736,4236,46,11,0.2391,False,0.2360,True,False,0.8568
sift-fingervein,face,Multi-PIE_genuine_9,016,016,850,720,29,0,,False,,True,False,
superglue-fingervein,face,Multi-PIE_genuine_9,016,016,939,670,237,68,0.2869,True,0.2700,True,True,2.7151
sgmnet-fingervein,face,Multi-PIE_genuine_9,016,016,2000,2000,85,0,,False,,True,False,
aspanformer,face,Multi-PIE_genuine_9,016,016,16,16,16,13,0.8125,True,0.8069,True,True,0.9790
deepdetect,face,Multi-PIE_genuine_9,016,016,29641,25056,33,0,,False,,True,False,
loftr,face,Multi-PIE_genuine_10,015,015,1,1,0,0,,False,,True,False,
orb-fingervein,face,Multi-PIE_genuine_10,015,015,4255,4435,50,0,,False,,True,False,
sift-fingervein,face,Multi-PIE_genuine_10,015,015,973,1041,27,6,0.2222,False,0.2103,True,False,0.8061
superglue-fingervein,face,Multi-PIE_genuine_10,015,015,766,750,50,9,0.1800,True,0.1709,True,True,2.0539
sgmnet-fingervein,face,Multi-PIE_genuine_10,015,015,2000,2000,53,5,0.0943,False,0.0879,True,False,0.4906
aspanformer,face,Multi-PIE_genuine_10,015,015,22,22,22,0,,False,,True,False,
deepdetect,face,Multi-PIE_genuine_10,015,015,33111,23996,21,0,,False,,True,False,
loftr,face,Multi-PIE_genuine_11,047,047,216,216,216,50,0.2315,False,0.2277,True,False,1.8286
orb-fingervein,face,Multi-PIE_genuine_11,047,047,4158,3735,31,0,,False,,True,False,
sift-fingervein,face,Multi-PIE_genuine_11,047,047,1038,646,25,0,,False,,True,False,
superglue-fingervein,face,Multi-PIE_genuine_11,047,047,903,732,251,48,0.1912,True,0.1784,True,True,2.8929
sgmnet-fingervein,face,Multi-PIE_genuine_11,047,047,2000,2000,89,7,0.0787,False,0.0754,True,False,0.3405
aspanformer,face,Multi-PIE_genuine_11,047,047,277,277,277,105,0.3791,False,0.3741,True,False,1.7661
deepdetect,face,Multi-PIE_genuine_11,047,047,23975,13836,20,0,,False,,True,False,
loftr,face,Multi-PIE_genuine_12,109,109,27,27,27,0,,False,,True,False,
orb-fingervein,face,Multi-PIE_genuine_12,109,109,2487,3272,28,0,,False,,True,False,
sift-fingervein,face,Multi-PIE_genuine_12,109,109,496,656,14,5,0.3571,False,0.3329,True,False,0.6256
superglue-fingervein,face,Multi-PIE_genuine_12,109,109,478,642,37,10,0.2703,True,0.2560,True,True,2.2266
sgmnet-fingervein,face,Multi-PIE_genuine_12,109,109,2000,2000,130,8,0.0615,False,0.0596,True,False,1.0583
aspanformer,face,Multi-PIE_genuine_12,109,109,20,20,20,8,0.4000,False,0.3873,True,False,1.1136
deepdetect,face,Multi-PIE_genuine_12,109,109,7924,16971,3,0,,False,,True,False,
loftr,face,Multi-PIE_genuine_13,116,116,4,4,4,0,,False,,True,False,
orb-fingervein,face,Multi-PIE_genuine_13,116,116,4106,4433,37,0,,False,,True,False,
sift-fingervein,face,Multi-PIE_genuine_13,116,116,792,839,22,5,0.2273,False,0.2119,True,False,0.7503
superglue-fingervein,face,Multi-PIE_genuine_13,116,116,703,800,27,7,0.2593,True,0.2484,True,True,1.4486
