matcher,modality,pair_id,identity1,identity2,num_keypoints_image1,num_keypoints_image2,num_matches,num_inliers,inlier_ratio,is_same_person_pred,confidence,ground_truth,is_correct,reprojection_error
loftr,finger,EEMSC-DBM_genuine_0,0013,0013,1608,1608,1608,1114,0.6928,True,0.6715,True,True,2.1230
orb-fingervein,finger,EEMSC-DBM_genuine_0,0013,0013,4685,4765,291,178,0.6117,True,0.5967,True,True,1.9953
sift-fingervein,finger,EEMSC-DBM_genuine_0,0013,0013,1356,1444,107,55,0.5140,True,0.5140,True,True,1.2874
superglue-fingervein,finger,EEMSC-DBM_genuine_0,0013,0013,238,207,115,41,0.3565,True,0.3423,True,True,2.3155
sgmnet-fingervein,finger,EEMSC-DBM_genuine_0,0013,0013,1821,1880,969,307,0.3168,True,0.3168,True,True,1.4686
aspanformer,finger,EEMSC-DBM_genuine_0,0013,0013,1968,1968,1968,1524,0.7744,True,0.7709,True,True,1.5895
deepdetect,finger,EEMSC-DBM_genuine_0,0013,0013,21311,18130,516,495,0.9593,True,0.9593,True,True,1.5916
loftr,finger,EEMSC-DBM_genuine_1,0003,0003,1798,1798,1798,1005,0.5590,True,0.5371,True,True,2.2960
orb-fingervein,finger,EEMSC-DBM_genuine_1,0003,0003,4547,4666,305,167,0.5475,True,0.5283,True,True,2.2173
sift-fingervein,finger,EEMSC-DBM_genuine_1,0003,0003,1438,1482,100,56,0.5600,True,0.5512,True,True,1.8172
superglue-fingervein,finger,EEMSC-DBM_genuine_1,0003,0003,234,201,115,42,0.3652,True,0.3504,True,True,2.3296
sgmnet-fingervein,finger,EEMSC-DBM_genuine_1,0003,0003,1902,1972,940,311,0.3309,True,0.3277,True,True,1.6927
aspanformer,finger,EEMSC-DBM_genuine_1,0003,0003,1858,1858,1858,1137,0.6119,True,0.6002,True,True,1.8881
deepdetect,finger,EEMSC-DBM_genuine_1,0003,0003,15635,14401,217,182,0.8387,True,0.8387,True,True,1.5778
loftr,finger,EEMSC-DBM_genuine_2,0032,0032,1281,1281,1281,930,0.7260,True,0.7127,True,True,1.8704
