matcher,modality,pair_id,identity1,identity2,num_keypoints_image1,num_keypoints_image2,num_matches,num_inliers,inlier_ratio,is_same_person_pred,confidence,ground_truth,is_correct,reprojection_error,timings_ms
loftr,finger,FV-USM_genuine_0,080,080,615,615,615,582,0.9463,True,0.9463,True,True,0.5252,"{""load_images"": 1.4793, ""preprocess"": 0.6776, ""masking"": 2.9935, ""inference_ms"": 505.16, ""match_impl_total"": 506.536, ""homography"": 1.629, ""result_creation"": 0.088}"
orb,finger,FV-USM_genuine_0,080,080,0,0,0,0,,False,,True,False,,"{""load_images"": 1.0032, ""preprocess"": 0.5683, ""masking"": 1.1968, ""feature_extraction_ms"": 1.8509, ""match_impl_total"": 1.8832, ""homography"": 0.0112, ""result_creation"": 0.0318}"
orb-fingervein,finger,FV-USM_genuine_0,080,080,1639,650,95,40,0.4211,False,0.4052,True,False,2.2656,"{""load_images"": 1.2877, ""preprocess"": 0.3977, ""masking"": 1.0013, ""feature_extraction_ms"": 104.7774, ""matching_ms"": 11.3591, ""match_impl_total"": 116.2612, ""homography"": 4.8776, ""result_creation"": 0.0659}"
sift,finger,FV-USM_genuine_0,080,080,21,4,3,0,,False,,True,False,,"{""load_images"": 1.2494, ""preprocess"": 0.3702, ""masking"": 0.5729, ""feature_extraction_ms"": 24.6254, ""matching_ms"": 0.1627, ""match_impl_total"": 24.8986, ""homography"": 0.0115, ""result_creation"": 0.0311}"
sift-fingervein,finger,FV-USM_genuine_0,080,080,428,235,49,29,0.5918,True,0.5806,True,True,1.8814,"{""load_images"": 1.0535, ""preprocess"": 0.3788, ""masking"": 0.4572, ""feature_extraction_ms"": 34.3094, ""matching_ms"": 10.1, ""match_impl_total"": 44.8246, ""homography"": 1.5812, ""result_creation"": 0.0775}"
superglue,finger,FV-USM_genuine_0,080,080,363,391,93,49,0.5269,True,0.5083,True,True,2.2170,"{""load_images"": 1.0199, ""preprocess"": 0.399, ""masking"": 0.4828, ""inference_ms"": 172.1577, ""match_impl_total"": 186.2697, ""homography"": 2.2576, ""result_creation"": 0.0682}"
superglue-fingervein,finger,FV-USM_genuine_0,080,080,703,712,261,142,0.5441,True,0.5216,True,True,2.3420,"{""load_images"": 1.0742, ""preprocess"": 0.3855, ""masking"": 0.6245, ""inference_ms"": 107.5656, ""match_impl_total"": 110.1896, ""homography"": 2.1751, ""result_creation"": 0.0653}"
sgmnet,finger,FV-USM_genuine_0,080,080,842,676,364,121,0.3324,False,0.3273,True,False,1.8121,"{""load_images"": 1.0136, ""preprocess"": 0.3889, ""masking"": 0.6054, ""feature_extraction_ms"": 52.2425, ""matching_ms"": 160.114, ""match_impl_total"": 212.5785, ""homography"": 12.0482, ""result_creation"": 0.0718}"
sgmnet-fingervein,finger,FV-USM_genuine_0,080,080,842,676,417,104,0.2494,True,0.2476,True,True,1.6473,"{""load_images"": 1.0664, ""preprocess"": 0.3682, ""masking"": 0.6194, ""feature_extraction_ms"": 40.41, ""matching_ms"": 111.5882, ""match_impl_total"": 152.2187, ""homography"": 38.0204, ""result_creation"": 0.0679}"
aspanformer,finger,FV-USM_genuine_0,080,080,431,431,431,429,0.9954,True,0.9954,True,True,0.5620,"{""load_images"": 1.0074, ""preprocess"": 0.049, ""masking"": 0.3358, ""inference_ms"": 202.0937, ""match_impl_total"": 202.8973, ""homography"": 1.1848, ""result_creation"": 0.0711}"
