matcher,modality,pair_id,identity1,identity2,num_keypoints_image1,num_keypoints_image2,num_matches,num_inliers,inlier_ratio,is_same_person_pred,confidence,ground_truth,is_correct,reprojection_error
loftr,finger,FV-USM_genuine_0,080,080,615,615,615,582,0.9463,True,0.9463,True,True,0.5252
orb,finger,FV-USM_genuine_0,080,080,0,0,0,0,,False,,True,False,
sift,finger,FV-USM_genuine_0,080,080,21,4,3,0,,False,,True,False,
superglue,finger,FV-USM_genuine_0,080,080,363,391,93,49,0.5269,True,0.5083,True,True,2.2170
sgmnet,finger,FV-USM_genuine_0,080,080,842,676,364,121,0.3324,False,0.3273,True,False,1.8121
aspanformer,finger,FV-USM_genuine_0,080,080,996,996,996,940,0.9438,True,0.9438,True,True,0.7893
deepdetect,finger,FV-USM_genuine_0,080,080,26385,7874,78,42,0.5385,True,0.5385,True,True,1.7723
loftr,finger,FV-USM_genuine_1,014,014,396,396,396,285,0.7197,True,0.7197,True,True,0.8422
orb,finger,FV-USM_genuine_1,014,014,0,0,0,0,,False,,True,False,
sift,finger,FV-USM_genuine_1,014,014,15,9,8,6,0.7500,True,0.7097,True,True,0.5199
superglue,finger,FV-USM_genuine_1,014,014,368,312,235,141,0.6000,True,0.5764,True,True,2.3021
sgmnet,finger,FV-USM_genuine_1,014,014,1047,917,378,107,0.2831,False,0.2792,True,False,1.7760
aspanformer,finger,FV-USM_genuine_1,014,014,1003,1003,1003,968,0.9651,True,0.9651,True,True,0.6459
deepdetect,finger,FV-USM_genuine_1,014,014,26243,26730,53,19,0.3585,True,0.3585,True,True,2.0823
loftr,finger,FV-USM_genuine_2,004,004,95,95,95,35,0.3684,False,0.3684,True,False,1.4906
orb,finger,FV-USM_genuine_2,004,004,0,0,0,0,,False,,True,False,
sift,finger,FV-USM_genuine_2,004,004,7,6,1,0,,False,,True,False,
superglue,finger,FV-USM_genuine_2,004,004,339,441,14,8,0.5714,True,0.5479,True,True,1.6956
sgmnet,finger,FV-USM_genuine_2,004,004,924,974,36,8,0.2222,False,0.2152,True,False,0.9443
aspanformer,finger,FV-USM_genuine_2,004,004,17,17,17,15,0.8824,True,0.8792,True,True,0.9077
deepdetect,finger,FV-USM_genuine_2,004,004,20574,24245,43,16,0.3721,True,0.3721,True,True,1.8865
loftr,finger,FV-USM_genuine_3,093,093,306,306,306,188,0.6144,True,0.6078,True,True,1.7145
orb,finger,FV-USM_genuine_3,093,093,0,0,0,0,,False,,True,False,
sift,finger,FV-USM_genuine_3,093,093,7,3,2,0,,False,,True,False,
superglue,finger,FV-USM_genuine_3,093,093,431,426,148,58,0.3919,False,0.3664,True,False,2.8454
sgmnet,finger,FV-USM_genuine_3,093,093,786,758,174,38,0.2184,False,0.2151,True,False,1.8015
aspanformer,finger,FV-USM_genuine_3,093,093,270,270,270,190,0.7037,True,0.6974,True,True,1.6806
deepdetect,finger,FV-USM_genuine_3,093,093,14987,16810,38,0,,False,,True,False,
loftr,finger,FV-USM_genuine_4,035,035,245,245,245,178,0.7265,True,0.7265,True,True,0.3186
orb,finger,FV-USM_genuine_4,035,035,0,0,0,0,,False,,True,False,
sift,finger,FV-USM_genuine_4,035,035,12,12,4,4,1.0000,True,0.9165,True,True,0.0000
superglue,finger,FV-USM_genuine_4,035,035,346,306,237,114,0.4810,True,0.4657,True,True,2.1477
sgmnet,finger,FV-USM_genuine_4,035,035,783,782,309,92,0.2977,False,0.2936,True,False,1.7822
aspanformer,finger,FV-USM_genuine_4,035,035,348,348,348,303,0.8707,True,0.8707,True,True,0.4036
deepdetect,finger,FV-USM_genuine_4,035,035,24892,14145,36,16,0.4444,True,0.4444,True,True,2.5659
loftr,finger,FV-USM_genuine_5,031,031,190,190,190,104,0.5474,True,0.5399,True,True,1.7730
orb,finger,FV-USM_genuine_5,031,031,0,0,0,0,,False,,True,False,
sift,finger,FV-USM_genuine_5,031,031,6,5,3,0,,False,,True,False,
superglue,finger,FV-USM_genuine_5,031,031,419,369,149,44,0.2953,False,0.2779,True,False,2.7172
sgmnet,finger,FV-USM_genuine_5,031,031,811,824,86,15,0.1744,False,0.1730,True,False,1.5880
aspanformer,finger,FV-USM_genuine_5,031,031,17,17,17,16,0.9412,True,0.9387,True,True,0.5661
deepdetect,finger,FV-USM_genuine_5,031,031,17774,23121,35,12,0.3429,True,0.3429,True,True,0.8890
loftr,finger,FV-USM_genuine_6,028,028,369,369,369,328,0.8889,True,0.8889,True,True,0.3014
orb,finger,FV-USM_genuine_6,028,028,0,0,0,0,,False,,True,False,
sift,finger,FV-USM_genuine_6,028,028,10,8,2,0,,False,,True,False,
superglue,finger,FV-USM_genuine_6,028,028,290,339,205,98,0.4780,True,0.4546,True,True,2.5049
sgmnet,finger,FV-USM_genuine_6,028,028,877,745,371,129,0.3477,False,0.3448,True,False,1.6652
