matcher,modality,pair_id,identity1,identity2,num_keypoints_image1,num_keypoints_image2,num_matches,num_inliers,inlier_ratio,is_same_person_pred,confidence,ground_truth,is_correct,reprojection_error
loftr,finger,MMCBNU_6000_genuine_0,078,078,2,2,2,0,,False,,True,False,
orb,finger,MMCBNU_6000_genuine_0,078,078,0,0,0,0,,False,,True,False,
sift,finger,MMCBNU_6000_genuine_0,078,078,1,1,0,0,,False,,True,False,
superglue,finger,MMCBNU_6000_genuine_0,078,078,167,140,4,4,1.0000,True,0.9165,True,True,0.0000
sgmnet,finger,MMCBNU_6000_genuine_0,078,078,382,381,111,15,0.1351,False,0.1346,True,False,1.4527
aspanformer,finger,MMCBNU_6000_genuine_0,078,078,4,4,4,0,,False,,True,False,
deepdetect,finger,MMCBNU_6000_genuine_0,078,078,181,284,2,0,,False,,True,False,
loftr,finger,MMCBNU_6000_genuine_1,014,014,16,16,16,12,0.7500,True,0.7429,True,True,1.4265
orb,finger,MMCBNU_6000_genuine_1,014,014,0,0,0,0,,False,,True,False,
sift,finger,MMCBNU_6000_genuine_1,014,014,0,0,0,0,,False,,True,False,
superglue,finger,MMCBNU_6000_genuine_1,014,014,210,100,0,0,,False,,True,False,
sgmnet,finger,MMCBNU_6000_genuine_1,014,014,522,346,107,16,0.1495,False,0.1491,True,False,1.3486
aspanformer,finger,MMCBNU_6000_genuine_1,014,014,2,2,0,0,,False,,True,False,
deepdetect,finger,MMCBNU_6000_genuine_1,014,014,2233,1161,0,0,,False,,True,False,
loftr,finger,MMCBNU_6000_genuine_2,004,004,46,46,46,40,0.8696,True,0.8696,True,True,0.7940
orb,finger,MMCBNU_6000_genuine_2,004,004,0,0,0,0,,False,,True,False,
sift,finger,MMCBNU_6000_genuine_2,004,004,1,1,0,0,,False,,True,False,
superglue,finger,MMCBNU_6000_genuine_2,004,004,139,121,5,4,0.8000,True,0.7332,True,True,0.0000
sgmnet,finger,MMCBNU_6000_genuine_2,004,004,359,356,146,20,0.1370,False,0.1369,True,False,1.3497
aspanformer,finger,MMCBNU_6000_genuine_2,004,004,26,26,26,25,0.9615,True,0.9614,True,True,0.2861
deepdetect,finger,MMCBNU_6000_genuine_2,004,004,125,272,12,0,,False,,True,False,
loftr,finger,MMCBNU_6000_genuine_3,090,090,40,40,40,27,0.6750,True,0.6750,True,True,1.0704
orb,finger,MMCBNU_6000_genuine_3,090,090,0,0,0,0,,False,,True,False,
sift,finger,MMCBNU_6000_genuine_3,090,090,1,0,0,0,,False,,True,False,
superglue,finger,MMCBNU_6000_genuine_3,090,090,313,227,3,0,,False,,True,False,
sgmnet,finger,MMCBNU_6000_genuine_3,090,090,539,501,149,15,0.1007,False,0.0998,True,False,1.6030
aspanformer,finger,MMCBNU_6000_genuine_3,090,090,154,154,154,154,1.0000,True,1.0000,True,True,0.2381
deepdetect,finger,MMCBNU_6000_genuine_3,090,090,1903,787,42,38,0.9048,True,0.9048,True,True,2.0776
loftr,finger,MMCBNU_6000_genuine_4,034,034,21,21,21,18,0.8571,True,0.8560,True,True,1.0138
orb,finger,MMCBNU_6000_genuine_4,034,034,0,0,0,0,,False,,True,False,
sift,finger,MMCBNU_6000_genuine_4,034,034,1,2,0,0,,False,,True,False,
superglue,finger,MMCBNU_6000_genuine_4,034,034,91,93,10,5,0.5000,True,0.4661,True,True,1.2913
sgmnet,finger,MMCBNU_6000_genuine_4,034,034,284,250,100,13,0.1300,False,0.1291,True,False,1.3444
aspanformer,finger,MMCBNU_6000_genuine_4,034,034,20,20,20,16,0.8000,True,0.7979,True,True,0.3285
deepdetect,finger,MMCBNU_6000_genuine_4,034,034,750,1277,0,0,,False,,True,False,
loftr,finger,MMCBNU_6000_genuine_5,030,030,77,77,77,52,0.6753,True,0.6753,True,True,1.1721
orb,finger,MMCBNU_6000_genuine_5,030,030,0,0,0,0,,False,,True,False,
sift,finger,MMCBNU_6000_genuine_5,030,030,1,1,0,0,,False,,True,False,
superglue,finger,MMCBNU_6000_genuine_5,030,030,305,131,0,0,,False,,True,False,
sgmnet,finger,MMCBNU_6000_genuine_5,030,030,674,331,52,14,0.2692,False,0.2679,True,False,1.4913
aspanformer,finger,MMCBNU_6000_genuine_5,030,030,181,181,181,178,0.9834,True,0.9834,True,True,0.5583
deepdetect,finger,MMCBNU_6000_genuine_5,030,030,785,1676,0,0,,False,,True,False,
loftr,finger,MMCBNU_6000_genuine_6,028,028,338,338,338,290,0.8580,True,0.8580,True,True,0.6331
orb,finger,MMCBNU_6000_genuine_6,028,028,0,0,0,0,,False,,True,False,
sift,finger,MMCBNU_6000_genuine_6,028,028,2,4,1,0,,False,,True,False,
superglue,finger,MMCBNU_6000_genuine_6,028,028,298,333,2,0,,False,,True,False,
sgmnet,finger,MMCBNU_6000_genuine_6,028,028,434,370,123,18,0.1463,False,0.1461,True,False,1.2183
aspanformer,finger,MMCBNU_6000_genuine_6,028,028,294,294,294,247,0.8401,True,0.8401,True,True,0.9892
deepdetect,finger,MMCBNU_6000_genuine_6,028,028,2225,2083,22,20,0.9091,True,0.9091,True,True,1.0186
loftr,finger,MMCBNU_6000_genuine_7,017,017,98,98,98,61,0.6224,True,0.6124,True,True,1.8266
orb,finger,MMCBNU_6000_genuine_7,017,017,0,0,0,0,,False,,True,False,
sift,finger,MMCBNU_6000_genuine_7,017,017,3,1,0,0,,False,,True,False,
superglue,finger,MMCBNU_6000_genuine_7,017,017,88,81,8,5,0.6250,True,0.5826,True,True,1.4131
sgmnet,finger,MMCBNU_6000_genuine_7,017,017,224,215,75,16,0.2133,False,0.2086,True,False,1.8935
aspanformer,finger,MMCBNU_6000_genuine_7,017,017,122,122,122,105,0.8607,True,0.8607,True,True,0.2075
deepdetect,finger,MMCBNU_6000_genuine_7,017,017,1871,1814,5,0,,False,,True,False,
loftr,finger,MMCBNU_6000_genuine_8,090,090,23,23,23,15,0.6522,True,0.6498,True,True,1.4381
orb,finger,MMCBNU_6000_genuine_8,090,090,0,0,0,0,,False,,True,False,
sift,finger,MMCBNU_6000_genuine_8,090,090,3,2,1,0,,False,,True,False,
superglue,finger,MMCBNU_6000_genuine_8,090,090,111,270,0,0,,False,,True,False,
sgmnet,finger,MMCBNU_6000_genuine_8,090,090,158,314,29,11,0.3793,False,0.3744,True,False,1.3921
aspanformer,finger,MMCBNU_6000_genuine_8,090,090,2,2,2,0,,False,,True,False,
deepdetect,finger,MMCBNU_6000_genuine_8,090,090,1999,2005,7,0,,False,,True,False,
loftr,finger,MMCBNU_6000_genuine_9,013,013,63,63,63,55,0.8730,True,0.8730,True,True,1.0054
orb,finger,MMCBNU_6000_genuine_9,013,013,0,0,0,0,,False,,True,False,
sift,finger,MMCBNU_6000_genuine_9,013,013,0,0,0,0,,False,,True,False,
superglue,finger,MMCBNU_6000_genuine_9,013,013,147,64,0,0,,False,,True,False,
