matcher,modality,pair_id,identity1,identity2,num_keypoints_image1,num_keypoints_image2,num_matches,num_inliers,inlier_ratio,is_same_person_pred,confidence,ground_truth,is_correct,reprojection_error
loftr,finger,MMCBNU_6000_genuine_0,078,078,377,377,377,163,0.4324,False,0.4162,True,False,2.2609
orb-fingervein,finger,MMCBNU_6000_genuine_0,078,078,1829,1925,35,11,0.3143,False,0.3043,True,False,1.8839
sift-fingervein,finger,MMCBNU_6000_genuine_0,078,078,383,374,45,13,0.2889,False,0.2802,True,False,1.9746
superglue-fingervein,finger,MMCBNU_6000_genuine_0,078,078,2048,2048,6,4,0.6667,True,0.6110,True,True,0.0000
sgmnet-fingervein,finger,MMCBNU_6000_genuine_0,078,078,698,732,299,29,0.0970,False,0.0958,True,False,1.7540
aspanformer,finger,MMCBNU_6000_genuine_0,078,078,512,512,512,484,0.9453,True,0.9453,True,True,0.3661
deepdetect,finger,MMCBNU_6000_genuine_0,078,078,23169,24451,52,18,0.3462,True,0.3462,True,True,1.9836
loftr,finger,MMCBNU_6000_genuine_1,014,014,282,282,282,133,0.4716,False,0.4488,True,False,2.4923
orb-fingervein,finger,MMCBNU_6000_genuine_1,014,014,2051,1068,45,12,0.2667,False,0.2641,True,False,1.0478
sift-fingervein,finger,MMCBNU_6000_genuine_1,014,014,370,134,33,8,0.2424,False,0.2344,True,False,1.5267
superglue-fingervein,finger,MMCBNU_6000_genuine_1,014,014,2048,2048,4,4,1.0000,True,0.9165,True,True,0.0000
sgmnet-fingervein,finger,MMCBNU_6000_genuine_1,014,014,827,940,362,25,0.0691,False,0.0687,True,False,1.5897
aspanformer,finger,MMCBNU_6000_genuine_1,014,014,334,334,334,282,0.8443,True,0.8443,True,True,0.7992
deepdetect,finger,MMCBNU_6000_genuine_1,014,014,10205,8018,11,6,0.5455,True,0.5455,True,True,1.9877
loftr,finger,MMCBNU_6000_genuine_2,004,004,195,195,195,96,0.4923,True,0.4753,True,True,2.2047
orb-fingervein,finger,MMCBNU_6000_genuine_2,004,004,2280,2316,28,7,0.2500,False,0.2396,True,False,0.7678
sift-fingervein,finger,MMCBNU_6000_genuine_2,004,004,315,307,43,15,0.3488,False,0.3338,True,False,2.3114
superglue-fingervein,finger,MMCBNU_6000_genuine_2,004,004,2048,2048,8,5,0.6250,True,0.5826,True,True,0.5705
sgmnet-fingervein,finger,MMCBNU_6000_genuine_2,004,004,679,646,297,23,0.0774,False,0.0771,True,False,1.5745
aspanformer,finger,MMCBNU_6000_genuine_2,004,004,906,906,906,808,0.8918,True,0.8918,True,True,0.5070
deepdetect,finger,MMCBNU_6000_genuine_2,004,004,30667,32564,48,20,0.4167,True,0.4167,True,True,1.2267
loftr,finger,MMCBNU_6000_genuine_3,090,090,795,795,795,366,0.4604,True,0.4604,True,True,0.6313
orb-fingervein,finger,MMCBNU_6000_genuine_3,090,090,3542,2674,55,13,0.2364,False,0.2281,True,False,2.0693
sift-fingervein,finger,MMCBNU_6000_genuine_3,090,090,643,519,50,13,0.2600,False,0.2507,True,False,2.0883
superglue-fingervein,finger,MMCBNU_6000_genuine_3,090,090,2048,2048,136,44,0.3235,True,0.3095,True,True,2.3862
sgmnet-fingervein,finger,MMCBNU_6000_genuine_3,090,090,791,725,318,22,0.0692,False,0.0689,True,False,1.5742
aspanformer,finger,MMCBNU_6000_genuine_3,090,090,1461,1461,1461,1306,0.8939,True,0.8939,True,True,0.7440
deepdetect,finger,MMCBNU_6000_genuine_3,090,090,43871,36040,75,32,0.4267,True,0.4267,True,True,1.7970
loftr,finger,MMCBNU_6000_genuine_4,034,034,421,421,421,292,0.6936,True,0.6713,True,True,2.1529
orb-fingervein,finger,MMCBNU_6000_genuine_4,034,034,1598,1838,33,10,0.3030,False,0.2932,True,False,1.8013
sift-fingervein,finger,MMCBNU_6000_genuine_4,034,034,351,303,54,14,0.2593,False,0.2512,True,False,2.0298
superglue-fingervein,finger,MMCBNU_6000_genuine_4,034,034,2048,2048,12,6,0.5000,True,0.4731,True,True,1.3973
sgmnet-fingervein,finger,MMCBNU_6000_genuine_4,034,034,643,623,278,21,0.0755,False,0.0755,True,False,1.4306
aspanformer,finger,MMCBNU_6000_genuine_4,034,034,962,962,962,842,0.8753,True,0.8753,True,True,0.9621
deepdetect,finger,MMCBNU_6000_genuine_4,034,034,27580,24442,46,14,0.3043,True,0.3043,True,True,1.2176
loftr,finger,MMCBNU_6000_genuine_5,030,030,568,568,568,292,0.5141,True,0.5052,True,True,1.8484
orb-fingervein,finger,MMCBNU_6000_genuine_5,030,030,3261,2347,38,12,0.3158,False,0.3105,True,False,1.6441
sift-fingervein,finger,MMCBNU_6000_genuine_5,030,030,603,336,42,17,0.4048,False,0.3915,True,False,2.1286
superglue-fingervein,finger,MMCBNU_6000_genuine_5,030,030,2048,2048,5,5,1.0000,True,0.9322,True,True,0.4290
sgmnet-fingervein,finger,MMCBNU_6000_genuine_5,030,030,986,637,294,31,0.1054,False,0.1050,True,False,1.5746
aspanformer,finger,MMCBNU_6000_genuine_5,030,030,532,532,532,463,0.8703,True,0.8703,True,True,1.1355
