matcher,modality,pair_id,identity1,identity2,num_keypoints_image1,num_keypoints_image2,num_matches,num_inliers,inlier_ratio,is_same_person_pred,confidence,ground_truth,is_correct,reprojection_error
loftr,finger,THU-FVFDT_genuine_0,201,201,502,502,502,266,0.5299,True,0.5102,True,True,2.2577
orb-fingervein,finger,THU-FVFDT_genuine_0,201,201,3890,3352,116,30,0.2586,False,0.2494,True,False,2.2259
sift-fingervein,finger,THU-FVFDT_genuine_0,201,201,831,710,30,11,0.3667,False,0.3544,True,False,1.9205
superglue-fingervein,finger,THU-FVFDT_genuine_0,201,201,1504,1367,676,289,0.4275,True,0.4019,True,True,2.7336
sgmnet-fingervein,finger,THU-FVFDT_genuine_0,201,201,1224,1198,469,87,0.1855,False,0.1828,True,False,1.7891
aspanformer,finger,THU-FVFDT_genuine_0,201,201,931,931,931,569,0.6112,True,0.6088,True,True,1.5776
deepdetect,finger,THU-FVFDT_genuine_0,201,201,47361,44188,109,44,0.4037,True,0.4037,True,True,1.9394
loftr,finger,THU-FVFDT_genuine_1,121,121,714,714,714,498,0.6975,True,0.6975,True,True,0.8835
orb-fingervein,finger,THU-FVFDT_genuine_1,121,121,4419,4620,173,119,0.6879,True,0.6772,True,True,1.8113
sift-fingervein,finger,THU-FVFDT_genuine_1,121,121,905,904,58,35,0.6034,True,0.5973,True,True,1.7047
superglue-fingervein,finger,THU-FVFDT_genuine_1,121,121,1178,1275,776,395,0.5090,True,0.4841,True,True,2.5054
sgmnet-fingervein,finger,THU-FVFDT_genuine_1,121,121,1187,1169,627,254,0.4051,True,0.4015,True,True,1.6779
aspanformer,finger,THU-FVFDT_genuine_1,121,121,1731,1731,1731,1401,0.8094,True,0.8094,True,True,1.1722
deepdetect,finger,THU-FVFDT_genuine_1,121,121,32365,27443,149,99,0.6644,True,0.6644,True,True,2.7241
loftr,finger,THU-FVFDT_genuine_2,352,352,608,608,608,396,0.6513,True,0.6209,True,True,2.4577
orb-fingervein,finger,THU-FVFDT_genuine_2,352,352,4703,4889,147,54,0.3673,False,0.3575,True,False,2.0426
sift-fingervein,finger,THU-FVFDT_genuine_2,352,352,1089,1654,28,17,0.6071,True,0.5994,True,True,1.7206
superglue-fingervein,finger,THU-FVFDT_genuine_2,352,352,875,956,457,188,0.4114,True,0.3865,True,True,2.7473
sgmnet-fingervein,finger,THU-FVFDT_genuine_2,352,352,1339,1708,687,212,0.3086,True,0.3041,True,True,1.7907
aspanformer,finger,THU-FVFDT_genuine_2,352,352,1131,1131,1131,847,0.7489,True,0.7365,True,True,1.8334
deepdetect,finger,THU-FVFDT_genuine_2,352,352,67202,69546,151,86,0.5695,True,0.5695,True,True,2.6352
loftr,finger,THU-FVFDT_genuine_3,324,324,764,764,764,572,0.7487,True,0.7332,True,True,1.9188
orb-fingervein,finger,THU-FVFDT_genuine_3,324,324,4989,5000,142,59,0.4155,False,0.4118,True,False,1.6800
sift-fingervein,finger,THU-FVFDT_genuine_3,324,324,1317,1592,64,33,0.5156,True,0.4954,True,True,2.2983
superglue-fingervein,finger,THU-FVFDT_genuine_3,324,324,1326,1369,780,445,0.5705,True,0.5353,True,True,2.7743
