matcher,modality,pair_id,identity1,identity2,num_keypoints_image1,num_keypoints_image2,num_matches,num_inliers,inlier_ratio,is_same_person_pred,confidence,ground_truth,is_correct,reprojection_error
loftr,finger,THU-FVFDT_genuine_0,201,201,292,292,292,171,0.5856,True,0.5611,True,True,2.3545
orb-fingervein,finger,THU-FVFDT_genuine_0,201,201,1178,1474,21,0,,False,,True,False,
sift-fingervein,finger,THU-FVFDT_genuine_0,201,201,185,189,8,0,,False,,True,False,
superglue-fingervein,finger,THU-FVFDT_genuine_0,201,201,440,545,203,65,0.3202,True,0.3025,True,True,2.6400
sgmnet-fingervein,finger,THU-FVFDT_genuine_0,201,201,1094,880,216,28,0.1296,False,0.1291,True,False,1.5886
aspanformer,finger,THU-FVFDT_genuine_0,201,201,345,345,345,208,0.6029,True,0.5817,True,True,2.2162
deepdetect,finger,THU-FVFDT_genuine_0,201,201,24045,25692,23,8,0.3478,True,0.3478,True,True,1.3560
loftr,finger,THU-FVFDT_genuine_1,121,121,336,336,336,199,0.5923,True,0.5923,True,True,1.3139
orb-fingervein,finger,THU-FVFDT_genuine_1,121,121,1540,1171,29,10,0.3448,False,0.3354,True,False,1.6971
sift-fingervein,finger,THU-FVFDT_genuine_1,121,121,300,254,28,11,0.3929,False,0.3796,True,False,1.9234
superglue-fingervein,finger,THU-FVFDT_genuine_1,121,121,654,633,325,153,0.4708,True,0.4381,True,True,2.9389
sgmnet-fingervein,finger,THU-FVFDT_genuine_1,121,121,1172,1118,522,57,0.1092,False,0.1073,True,False,1.8487
aspanformer,finger,THU-FVFDT_genuine_1,121,121,1099,1099,1099,1043,0.9490,True,0.9490,True,True,0.5979
deepdetect,finger,THU-FVFDT_genuine_1,121,121,10356,4137,72,29,0.4028,True,0.4028,True,True,2.2849
loftr,finger,THU-FVFDT_genuine_2,352,352,264,264,264,134,0.5076,True,0.4822,True,True,2.5240
orb-fingervein,finger,THU-FVFDT_genuine_2,352,352,2704,1667,44,9,0.2045,False,0.1970,True,False,1.7680
sift-fingervein,finger,THU-FVFDT_genuine_2,352,352,397,345,15,8,0.5333,True,0.5164,True,True,1.2080
superglue-fingervein,finger,THU-FVFDT_genuine_2,352,352,942,974,474,202,0.4262,True,0.3953,True,True,3.0051
sgmnet-fingervein,finger,THU-FVFDT_genuine_2,352,352,1054,1012,416,25,0.0601,False,0.0601,True,False,1.1174
aspanformer,finger,THU-FVFDT_genuine_2,352,352,450,450,450,387,0.8600,True,0.8490,True,True,1.7586
deepdetect,finger,THU-FVFDT_genuine_2,352,352,42353,32378,80,18,0.2250,False,0.2250,True,False,2.2830
loftr,finger,THU-FVFDT_genuine_3,324,324,199,199,199,83,0.4171,False,0.4007,True,False,2.3012
orb-fingervein,finger,THU-FVFDT_genuine_3,324,324,2292,1698,34,0,,False,,True,False,
sift-fingervein,finger,THU-FVFDT_genuine_3,324,324,363,295,18,9,0.5000,True,0.4652,True,True,2.4599
superglue-fingervein,finger,THU-FVFDT_genuine_3,324,324,880,727,392,155,0.3954,True,0.3646,True,True,3.1230
sgmnet-fingervein,finger,THU-FVFDT_genuine_3,324,324,1048,968,370,20,0.0541,False,0.0537,True,False,1.6043
aspanformer,finger,THU-FVFDT_genuine_3,324,324,120,120,120,95,0.7917,True,0.7917,True,True,1.2483
deepdetect,finger,THU-FVFDT_genuine_3,324,324,37412,31328,33,0,,False,,True,False,
loftr,finger,THU-FVFDT_genuine_4,304,304,320,320,320,154,0.4813,True,0.4710,True,True,1.9302
orb-fingervein,finger,THU-FVFDT_genuine_4,304,304,2042,2465,26,10,0.3846,False,0.3778,True,False,1.4019
sift-fingervein,finger,THU-FVFDT_genuine_4,304,304,397,493,12,5,0.4167,False,0.3884,True,False,1.0844
superglue-fingervein,finger,THU-FVFDT_genuine_4,304,304,715,788,341,115,0.3372,True,0.3168,True,True,2.7493
sgmnet-fingervein,finger,THU-FVFDT_genuine_4,304,304,1097,1206,378,23,0.0608,False,0.0601,True,False,1.7492
aspanformer,finger,THU-FVFDT_genuine_4,304,304,259,259,259,184,0.7104,True,0.7028,True,True,1.7156
deepdetect,finger,THU-FVFDT_genuine_4,304,304,28879,36622,29,0,,False,,True,False,
loftr,finger,THU-FVFDT_genuine_5,227,227,406,406,406,273,0.6724,True,0.6724,True,True,0.4368
orb-fingervein,finger,THU-FVFDT_genuine_5,227,227,3284,2466,54,16,0.2963,False,0.2910,True,False,1.8060
sift-fingervein,finger,THU-FVFDT_genuine_5,227,227,519,399,34,16,0.4706,True,0.4559,True,True,2.0822
superglue-fingervein,finger,THU-FVFDT_genuine_5,227,227,842,729,460,156,0.3391,True,0.3147,True,True,2.9968
sgmnet-fingervein,finger,THU-FVFDT_genuine_5,227,227,1022,1031,512,55,0.1074,False,0.1055,True,False,1.8524
aspanformer,finger,THU-FVFDT_genuine_5,227,227,1082,1082,1082,1017,0.9399,True,0.9399,True,True,0.5597
deepdetect,finger,THU-FVFDT_genuine_5,227,227,43384,10392,114,29,0.2544,False,0.2544,True,False,2.1353
loftr,finger,THU-FVFDT_genuine_6,193,193,313,313,313,219,0.6997,True,0.6997,True,True,0.3697
orb-fingervein,finger,THU-FVFDT_genuine_6,193,193,2309,1533,44,13,0.2955,False,0.2930,True,False,1.5318
sift-fingervein,finger,THU-FVFDT_genuine_6,193,193,358,197,20,8,0.4000,False,0.3873,True,False,1.3705
superglue-fingervein,finger,THU-FVFDT_genuine_6,193,193,664,621,269,111,0.4126,True,0.3853,True,True,2.8709
sgmnet-fingervein,finger,THU-FVFDT_genuine_6,193,193,1170,1125,462,47,0.1017,False,0.1002,True,False,1.7961
aspanformer,finger,THU-FVFDT_genuine_6,193,193,1260,1260,1260,1243,0.9865,True,0.9865,True,True,0.5223
deepdetect,finger,THU-FVFDT_genuine_6,193,193,40963,36237,40,12,0.3000,True,0.3000,True,True,2.6204
loftr,finger,THU-FVFDT_genuine_7,601,601,414,414,414,219,0.5290,True,0.5271,True,True,1.5729
orb-fingervein,finger,THU-FVFDT_genuine_7,601,601,2947,2418,52,9,0.1731,False,0.1690,True,False,0.5924
sift-fingervein,finger,THU-FVFDT_genuine_7,601,601,460,389,24,10,0.4167,False,0.4025,True,False,1.8353
superglue-fingervein,finger,THU-FVFDT_genuine_7,601,601,978,838,466,210,0.4506,True,0.4225,True,True,2.7919
sgmnet-fingervein,finger,THU-FVFDT_genuine_7,601,601,1042,1013,406,34,0.0837,False,0.0824,True,False,1.8302
aspanformer,finger,THU-FVFDT_genuine_7,601,601,764,764,764,559,0.7317,True,0.7317,True,True,1.3330
deepdetect,finger,THU-FVFDT_genuine_7,601,601,37304,14246,139,46,0.3309,True,0.3309,True,True,2.1527
loftr,finger,THU-FVFDT_genuine_8,18,18,224,224,224,207,0.9241,True,0.9241,True,True,0.3580
orb-fingervein,finger,THU-FVFDT_genuine_8,18,18,984,1134,25,10,0.4000,False,0.3929,True,False,0.6512
sift-fingervein,finger,THU-FVFDT_genuine_8,18,18,224,238,19,13,0.6842,True,0.6666,True,True,1.8841
superglue-fingervein,finger,THU-FVFDT_genuine_8,18,18,580,511,290,121,0.4172,True,0.3904,True,True,2.8280
sgmnet-fingervein,finger,THU-FVFDT_genuine_8,18,18,1258,1239,526,56,0.1065,False,0.1054,True,False,1.7049
aspanformer,finger,THU-FVFDT_genuine_8,18,18,1543,1543,1543,1455,0.9430,True,0.9430,True,True,0.5870
deepdetect,finger,THU-FVFDT_genuine_8,18,18,18861,25834,17,9,0.5294,True,0.5294,True,True,0.8687
loftr,finger,THU-FVFDT_genuine_9,489,489,413,413,413,191,0.4625,False,0.4354,True,False,2.7064
orb-fingervein,finger,THU-FVFDT_genuine_9,489,489,3494,3262,44,9,0.2045,False,0.1974,True,False,1.7276
sift-fingervein,finger,THU-FVFDT_genuine_9,489,489,575,557,19,7,0.3684,False,0.3530,True,False,0.8799
superglue-fingervein,finger,THU-FVFDT_genuine_9,489,489,1014,919,449,169,0.3764,True,0.3533,True,True,2.7676
sgmnet-fingervein,finger,THU-FVFDT_genuine_9,489,489,1079,1109,473,35,0.0740,False,0.0739,True,False,1.5360
aspanformer,finger,THU-FVFDT_genuine_9,489,489,489,489,489,383,0.7832,True,0.7832,True,True,1.4230
deepdetect,finger,THU-FVFDT_genuine_9,489,489,48441,44082,76,16,0.2105,False,0.2105,True,False,2.2707
loftr,finger,THU-FVFDT_genuine_10,128,128,648,648,648,591,0.9120,True,0.9120,True,True,0.4307
orb-fingervein,finger,THU-FVFDT_genuine_10,128,128,1996,1802,54,15,0.2778,False,0.2679,True,False,2.1550
sift-fingervein,finger,THU-FVFDT_genuine_10,128,128,304,292,41,19,0.4634,True,0.4540,True,True,1.8916
superglue-fingervein,finger,THU-FVFDT_genuine_10,128,128,742,630,332,169,0.5090,True,0.4757,True,True,2.8533
sgmnet-fingervein,finger,THU-FVFDT_genuine_10,128,128,1062,1104,455,83,0.1824,False,0.1803,True,False,1.7346
aspanformer,finger,THU-FVFDT_genuine_10,128,128,1560,1560,1560,1469,0.9417,True,0.9417,True,True,0.7643
deepdetect,finger,THU-FVFDT_genuine_10,128,128,13512,34245,17,9,0.5294,True,0.5294,True,True,2.1080
loftr,finger,THU-FVFDT_genuine_11,126,126,803,803,803,632,0.7870,True,0.7870,True,True,1.3232
orb-fingervein,finger,THU-FVFDT_genuine_11,126,126,1826,1130,42,21,0.5000,True,0.4982,True,True,1.5612
sift-fingervein,finger,THU-FVFDT_genuine_11,126,126,311,182,42,21,0.5000,True,0.4839,True,True,2.1441
superglue-fingervein,finger,THU-FVFDT_genuine_11,126,126,683,528,277,128,0.4621,True,0.4328,True,True,2.8090
sgmnet-fingervein,finger,THU-FVFDT_genuine_11,126,126,1104,1084,518,61,0.1178,False,0.1164,True,False,1.7338
aspanformer,finger,THU-FVFDT_genuine_11,126,126,1779,1779,1779,1746,0.9815,True,0.9815,True,True,0.8865
deepdetect,finger,THU-FVFDT_genuine_11,126,126,10586,25177,14,9,0.6429,True,0.6429,True,True,1.1979
loftr,finger,THU-FVFDT_genuine_12,185,185,456,456,456,409,0.8969,True,0.8969,True,True,0.2842
orb-fingervein,finger,THU-FVFDT_genuine_12,185,185,1163,1150,44,27,0.6136,True,0.5954,True,True,2.1026
sift-fingervein,finger,THU-FVFDT_genuine_12,185,185,238,220,34,18,0.5294,True,0.5159,True,True,1.9914
superglue-fingervein,finger,THU-FVFDT_genuine_12,185,185,487,516,258,105,0.4070,True,0.3817,True,True,2.7809
sgmnet-fingervein,finger,THU-FVFDT_genuine_12,185,185,1192,1149,538,122,0.2268,True,0.2236,True,True,1.7856
aspanformer,finger,THU-FVFDT_genuine_12,185,185,1726,1726,1726,1665,0.9647,True,0.9647,True,True,0.6275
deepdetect,finger,THU-FVFDT_genuine_12,185,185,25324,26432,79,31,0.3924,True,0.3924,True,True,2.6129
loftr,finger,THU-FVFDT_genuine_13,30,30,412,412,412,335,0.8131,True,0.8131,True,True,0.3355
orb-fingervein,finger,THU-FVFDT_genuine_13,30,30,2665,2398,39,24,0.6154,True,0.5970,True,True,2.1030
sift-fingervein,finger,THU-FVFDT_genuine_13,30,30,469,456,26,12,0.4615,False,0.4450,True,False,2.0373
superglue-fingervein,finger,THU-FVFDT_genuine_13,30,30,702,597,370,147,0.3973,True,0.3715,True,True,2.8451
sgmnet-fingervein,finger,THU-FVFDT_genuine_13,30,30,1196,1224,533,103,0.1932,False,0.1911,True,False,1.7219
aspanformer,finger,THU-FVFDT_genuine_13,30,30,1499,1499,1499,1477,0.9853,True,0.9853,True,True,0.6656
deepdetect,finger,THU-FVFDT_genuine_13,30,30,38330,39453,70,17,0.2429,False,0.2429,True,False,2.0267
loftr,finger,THU-FVFDT_genuine_14,313,313,32,32,32,16,0.5000,True,0.4943,True,True,1.6791
orb-fingervein,finger,THU-FVFDT_genuine_14,313,313,1611,1045,24,0,,False,,True,False,
sift-fingervein,finger,THU-FVFDT_genuine_14,313,313,408,254,7,0,,False,,True,False,
superglue-fingervein,finger,THU-FVFDT_genuine_14,313,313,766,528,37,14,0.3784,True,0.3572,True,True,2.5547
sgmnet-fingervein,finger,THU-FVFDT_genuine_14,313,313,1182,1135,190,10,0.0526,False,0.0517,True,False,1.0583
aspanformer,finger,THU-FVFDT_genuine_14,313,313,4,4,4,4,1.0000,True,0.9165,True,True,0.0000
deepdetect,finger,THU-FVFDT_genuine_14,313,313,30904,5354,33,16,0.4848,True,0.4848,True,True,1.7531
loftr,finger,THU-FVFDT_genuine_15,565,565,521,521,521,349,0.6699,True,0.6699,True,True,0.6978
orb-fingervein,finger,THU-FVFDT_genuine_15,565,565,1259,1467,18,0,,False,,True,False,
sift-fingervein,finger,THU-FVFDT_genuine_15,565,565,334,359,23,11,0.4783,True,0.4688,True,True,1.6371
superglue-fingervein,finger,THU-FVFDT_genuine_15,565,565,690,832,279,132,0.4731,True,0.4383,True,True,3.0296
sgmnet-fingervein,finger,THU-FVFDT_genuine_15,565,565,1211,1111,460,39,0.0848,False,0.0835,True,False,1.8001
aspanformer,finger,THU-FVFDT_genuine_15,565,565,919,919,919,724,0.7878,True,0.7878,True,True,1.1324
deepdetect,finger,THU-FVFDT_genuine_15,565,565,24151,26098,16,6,0.3750,True,0.3750,True,True,1.4785
loftr,finger,THU-FVFDT_genuine_16,123,123,401,401,401,305,0.7606,True,0.7606,True,True,0.8517
orb-fingervein,finger,THU-FVFDT_genuine_16,123,123,1548,1328,14,7,0.5000,True,0.4791,True,True,1.4584
sift-fingervein,finger,THU-FVFDT_genuine_16,123,123,300,280,23,9,0.3913,False,0.3820,True,False,1.3554
superglue-fingervein,finger,THU-FVFDT_genuine_16,123,123,564,487,268,100,0.3731,True,0.3451,True,True,3.0606
sgmnet-fingervein,finger,THU-FVFDT_genuine_16,123,123,1180,1229,521,65,0.1248,False,0.1232,True,False,1.7531
aspanformer,finger,THU-FVFDT_genuine_16,123,123,636,636,636,530,0.8333,True,0.8333,True,True,0.6186
deepdetect,finger,THU-FVFDT_genuine_16,123,123,25883,30036,23,9,0.3913,True,0.3913,True,True,2.1323
loftr,finger,THU-FVFDT_genuine_17,67,67,413,413,413,364,0.8814,True,0.8814,True,True,0.3906
orb-fingervein,finger,THU-FVFDT_genuine_17,67,67,2626,2698,125,91,0.7280,True,0.7067,True,True,2.0936
sift-fingervein,finger,THU-FVFDT_genuine_17,67,67,449,421,44,23,0.5227,True,0.5033,True,True,2.2516
superglue-fingervein,finger,THU-FVFDT_genuine_17,67,67,582,630,329,157,0.4772,True,0.4471,True,True,2.8053
sgmnet-fingervein,finger,THU-FVFDT_genuine_17,67,67,1196,1166,605,135,0.2231,True,0.2205,True,True,1.7393
aspanformer,finger,THU-FVFDT_genuine_17,67,67,1884,1884,1884,1701,0.9029,True,0.9029,True,True,0.6624
deepdetect,finger,THU-FVFDT_genuine_17,67,67,20691,37992,39,21,0.5385,True,0.5385,True,True,1.0196
loftr,finger,THU-FVFDT_genuine_18,282,282,282,282,282,121,0.4291,False,0.4197,True,False,1.9425
orb-fingervein,finger,THU-FVFDT_genuine_18,282,282,2292,1030,49,9,0.1837,False,0.1783,True,False,1.6096
sift-fingervein,finger,THU-FVFDT_genuine_18,282,282,407,246,15,6,0.4000,False,0.3785,True,False,0.4921
superglue-fingervein,finger,THU-FVFDT_genuine_18,282,282,715,682,310,103,0.3323,True,0.3107,True,True,2.8396
sgmnet-fingervein,finger,THU-FVFDT_genuine_18,282,282,1122,1073,386,26,0.0674,False,0.0674,True,False,1.3796
aspanformer,finger,THU-FVFDT_genuine_18,282,282,304,304,304,250,0.8224,True,0.8224,True,True,1.1913
deepdetect,finger,THU-FVFDT_genuine_18,282,282,35549,24926,29,15,0.5172,True,0.5172,True,True,2.4670
loftr,finger,THU-FVFDT_genuine_19,92,92,339,339,339,197,0.5811,True,0.5729,True,True,1.7851
orb-fingervein,finger,THU-FVFDT_genuine_19,92,92,951,1133,24,9,0.3750,False,0.3602,True,False,1.8244
sift-fingervein,finger,THU-FVFDT_genuine_19,92,92,237,230,23,10,0.4348,False,0.4271,True,False,1.3865
superglue-fingervein,finger,THU-FVFDT_genuine_19,92,92,995,873,284,127,0.4472,True,0.4155,True,True,2.9711
sgmnet-fingervein,finger,THU-FVFDT_genuine_19,92,92,1289,1279,535,43,0.0804,False,0.0793,True,False,1.7667
aspanformer,finger,THU-FVFDT_genuine_19,92,92,1070,1070,1070,866,0.8093,True,0.8012,True,True,1.7019
deepdetect,finger,THU-FVFDT_genuine_19,92,92,19412,20452,42,22,0.5238,True,0.5238,True,True,1.8052
loftr,finger,THU-FVFDT_genuine_20,486,486,237,237,237,98,0.4135,False,0.3951,True,False,2.4085
orb-fingervein,finger,THU-FVFDT_genuine_20,486,486,1231,1264,20,8,0.4000,False,0.3833,True,False,1.7075
sift-fingervein,finger,THU-FVFDT_genuine_20,486,486,344,347,9,5,0.5556,True,0.5179,True,True,0.8190
superglue-fingervein,finger,THU-FVFDT_genuine_20,486,486,523,674,266,88,0.3308,True,0.3090,True,True,2.8651
sgmnet-fingervein,finger,THU-FVFDT_genuine_20,486,486,1097,1143,313,17,0.0543,False,0.0542,True,False,1.3508
aspanformer,finger,THU-FVFDT_genuine_20,486,486,194,194,194,118,0.6082,True,0.6080,True,True,1.5067
deepdetect,finger,THU-FVFDT_genuine_20,486,486,24008,26716,37,11,0.2973,False,0.2973,True,False,0.6705
loftr,finger,THU-FVFDT_genuine_21,301,301,376,376,376,198,0.5266,True,0.5057,True,True,2.3112
orb-fingervein,finger,THU-FVFDT_genuine_21,301,301,4436,3994,70,14,0.2000,False,0.1908,True,False,2.3456
sift-fingervein,finger,THU-FVFDT_genuine_21,301,301,682,660,18,8,0.4444,False,0.4303,True,False,1.1194
superglue-fingervein,finger,THU-FVFDT_genuine_21,301,301,1184,1162,605,183,0.3025,True,0.2800,True,True,3.0421
sgmnet-fingervein,finger,THU-FVFDT_genuine_21,301,301,1070,1146,504,32,0.0635,False,0.0632,True,False,1.6000
aspanformer,finger,THU-FVFDT_genuine_21,301,301,466,466,466,329,0.7060,True,0.7060,True,True,0.6767
deepdetect,finger,THU-FVFDT_genuine_21,301,301,45736,47756,64,17,0.2656,False,0.2656,True,False,1.1581
loftr,finger,THU-FVFDT_genuine_22,512,512,316,316,316,129,0.4082,False,0.3925,True,False,2.2860
orb-fingervein,finger,THU-FVFDT_genuine_22,512,512,1796,2453,20,0,,False,,True,False,
sift-fingervein,finger,THU-FVFDT_genuine_22,512,512,292,442,10,6,0.6000,True,0.5677,True,True,0.8209
