matcher,modality,pair_id,identity1,identity2,num_keypoints_image1,num_keypoints_image2,num_matches,num_inliers,inlier_ratio,is_same_person_pred,confidence,ground_truth,is_correct,reprojection_error
loftr,handGeometry,11k_Hands_genuine_0,0000093,0000093,995,995,995,696,0.6995,True,0.6849,True,True,1.9223
orb,handGeometry,11k_Hands_genuine_0,0000093,0000093,386,496,57,39,0.6842,True,0.6584,True,True,2.2692
sift,handGeometry,11k_Hands_genuine_0,0000093,0000093,130,136,45,32,0.7111,True,0.6998,True,True,1.8193
superglue,handGeometry,11k_Hands_genuine_0,0000093,0000093,182,170,148,76,0.5135,True,0.4841,True,True,2.6795
sgmnet,handGeometry,11k_Hands_genuine_0,0000093,0000093,841,771,434,201,0.4631,True,0.4604,True,True,1.6202
aspanformer,handGeometry,11k_Hands_genuine_0,0000093,0000093,1530,1530,1530,1184,0.7739,True,0.7553,True,True,1.9849
deepdetect,handGeometry,11k_Hands_genuine_0,0000093,0000093,9384,9119,241,200,0.8299,True,0.8299,True,True,1.6927
loftr,handGeometry,11k_Hands_genuine_1,0001020,0001020,1248,1248,1248,777,0.6226,True,0.6144,True,True,1.7663
orb,handGeometry,11k_Hands_genuine_1,0001020,0001020,706,642,102,68,0.6667,True,0.6539,True,True,1.8879
sift,handGeometry,11k_Hands_genuine_1,0001020,0001020,234,191,64,30,0.4688,True,0.4620,True,True,1.7904
superglue,handGeometry,11k_Hands_genuine_1,0001020,0001020,292,356,242,100,0.4132,False,0.3862,True,False,2.8527
sgmnet,handGeometry,11k_Hands_genuine_1,0001020,0001020,1325,1071,520,202,0.3885,False,0.3885,True,False,1.2806
aspanformer,handGeometry,11k_Hands_genuine_1,0001020,0001020,1635,1635,1635,873,0.5339,True,0.5082,True,True,2.4873
deepdetect,handGeometry,11k_Hands_genuine_1,0001020,0001020,15915,18077,1433,1264,0.8821,True,0.8821,True,True,0.8982
loftr,handGeometry,11k_Hands_genuine_2,0000559,0000559,1268,1268,1268,637,0.5024,True,0.4801,True,True,2.4057
orb,handGeometry,11k_Hands_genuine_2,0000559,0000559,253,203,54,30,0.5556,True,0.5463,True,True,1.8368
sift,handGeometry,11k_Hands_genuine_2,0000559,0000559,90,100,39,23,0.5897,True,0.5723,True,True,2.0962
superglue,handGeometry,11k_Hands_genuine_2,0000559,0000559,241,256,173,67,0.3873,False,0.3644,True,False,2.7198
sgmnet,handGeometry,11k_Hands_genuine_2,0000559,0000559,1073,1388,632,315,0.4984,True,0.4980,True,True,1.5155
aspanformer,handGeometry,11k_Hands_genuine_2,0000559,0000559,1535,1535,1535,980,0.6384,True,0.6297,True,True,1.7754
deepdetect,handGeometry,11k_Hands_genuine_2,0000559,0000559,16997,16909,1228,1100,0.8958,True,0.8958,True,True,1.3322
loftr,handGeometry,11k_Hands_genuine_3,0001594,0001594,812,812,812,398,0.4901,True,0.4810,True,True,1.8747
orb,handGeometry,11k_Hands_genuine_3,0001594,0001594,318,302,56,27,0.4821,True,0.4737,True,True,1.8513
sift,handGeometry,11k_Hands_genuine_3,0001594,0001594,106,122,26,10,0.3846,False,0.3778,True,False,1.1383
superglue,handGeometry,11k_Hands_genuine_3,0001594,0001594,208,232,134,35,0.2612,False,0.2482,True,False,2.5236
sgmnet,handGeometry,11k_Hands_genuine_3,0001594,0001594,924,1035,414,162,0.3913,False,0.3913,True,False,1.3707
aspanformer,handGeometry,11k_Hands_genuine_3,0001594,0001594,824,824,824,453,0.5498,True,0.5487,True,True,1.5383
deepdetect,handGeometry,11k_Hands_genuine_3,0001594,0001594,11550,12568,224,179,0.7991,True,0.7991,True,True,2.0245
loftr,handGeometry,11k_Hands_genuine_4,0001566,0001566,674,674,674,282,0.4184,False,0.4088,True,False,1.9634
orb,handGeometry,11k_Hands_genuine_4,0001566,0001566,521,313,34,13,0.3824,False,0.3797,True,False,1.2894
sift,handGeometry,11k_Hands_genuine_4,0001566,0001566,155,124,15,8,0.5333,True,0.5164,True,True,0.5798
superglue,handGeometry,11k_Hands_genuine_4,0001566,0001566,206,265,113,35,0.3097,False,0.2928,True,False,2.6225
