matcher,modality,pair_id,identity1,identity2,num_keypoints_image1,num_keypoints_image2,num_matches,num_inliers,inlier_ratio,is_same_person_pred,confidence,ground_truth,is_correct,reprojection_error
loftr,handGeometry,11k_Hands_genuine_0,0000093,0000093,995,995,995,696,0.6995,True,0.6849,True,True,1.9223
orb-fingervein,handGeometry,11k_Hands_genuine_0,0000093,0000093,4209,4229,411,290,0.7056,True,0.6756,True,True,2.3693
sift-fingervein,handGeometry,11k_Hands_genuine_0,0000093,0000093,756,743,130,75,0.5769,True,0.5669,True,True,1.8503
superglue-fingervein,handGeometry,11k_Hands_genuine_0,0000093,0000093,333,306,257,129,0.5019,True,0.4829,True,True,2.2749
sgmnet-fingervein,handGeometry,11k_Hands_genuine_0,0000093,0000093,841,771,462,207,0.4481,True,0.4481,True,True,1.4633
aspanformer,handGeometry,11k_Hands_genuine_0,0000093,0000093,1530,1530,1530,1184,0.7739,True,0.7553,True,True,1.9849
deepdetect,handGeometry,11k_Hands_genuine_0,0000093,0000093,9384,9119,239,223,0.9331,True,0.9331,True,True,1.7607
loftr,handGeometry,11k_Hands_genuine_1,0001020,0001020,1248,1248,1248,777,0.6226,True,0.6144,True,True,1.7663
orb-fingervein,handGeometry,11k_Hands_genuine_1,0001020,0001020,4598,4369,470,279,0.5936,True,0.5936,True,True,1.4790
sift-fingervein,handGeometry,11k_Hands_genuine_1,0001020,0001020,1289,1142,226,134,0.5929,True,0.5913,True,True,1.5550
superglue-fingervein,handGeometry,11k_Hands_genuine_1,0001020,0001020,529,618,396,186,0.4697,True,0.4481,True,True,2.4417
sgmnet-fingervein,handGeometry,11k_Hands_genuine_1,0001020,0001020,1325,1071,547,228,0.4168,True,0.4168,True,True,1.2932
aspanformer,handGeometry,11k_Hands_genuine_1,0001020,0001020,1635,1635,1635,873,0.5339,True,0.5082,True,True,2.4873
deepdetect,handGeometry,11k_Hands_genuine_1,0001020,0001020,15915,18077,1422,1266,0.8903,True,0.8903,True,True,0.7888
loftr,handGeometry,11k_Hands_genuine_2,0000559,0000559,1268,1268,1268,637,0.5024,True,0.4801,True,True,2.4057
orb-fingervein,handGeometry,11k_Hands_genuine_2,0000559,0000559,4394,4660,971,640,0.6591,True,0.6259,True,True,2.5356
sift-fingervein,handGeometry,11k_Hands_genuine_2,0000559,0000559,939,1316,284,145,0.5106,True,0.5106,True,True,1.3084
superglue-fingervein,handGeometry,11k_Hands_genuine_2,0000559,0000559,485,487,308,144,0.4675,True,0.4491,True,True,2.3030
sgmnet-fingervein,handGeometry,11k_Hands_genuine_2,0000559,0000559,1073,1388,689,325,0.4717,True,0.4712,True,True,1.5201
aspanformer,handGeometry,11k_Hands_genuine_2,0000559,0000559,1535,1535,1535,980,0.6384,True,0.6297,True,True,1.7754
deepdetect,handGeometry,11k_Hands_genuine_2,0000559,0000559,16997,16909,1200,1077,0.8975,True,0.8975,True,True,1.2583
loftr,handGeometry,11k_Hands_genuine_3,0001594,0001594,812,812,812,398,0.4901,True,0.4810,True,True,1.8747
orb-fingervein,handGeometry,11k_Hands_genuine_3,0001594,0001594,4386,4475,262,90,0.3435,False,0.3320,True,False,2.1803
sift-fingervein,handGeometry,11k_Hands_genuine_3,0001594,0001594,993,1134,126,64,0.5079,True,0.5056,True,True,1.5905
superglue-fingervein,handGeometry,11k_Hands_genuine_3,0001594,0001594,385,441,232,65,0.2802,True,0.2657,True,True,2.5629
sgmnet-fingervein,handGeometry,11k_Hands_genuine_3,0001594,0001594,924,1035,458,183,0.3996,True,0.3989,True,True,1.5343
aspanformer,handGeometry,11k_Hands_genuine_3,0001594,0001594,824,824,824,453,0.5498,True,0.5487,True,True,1.5383
deepdetect,handGeometry,11k_Hands_genuine_3,0001594,0001594,11550,12568,241,177,0.7344,True,0.7344,True,True,1.3757
loftr,handGeometry,11k_Hands_genuine_4,0001566,0001566,674,674,674,282,0.4184,False,0.4088,True,False,1.9634
orb-fingervein,handGeometry,11k_Hands_genuine_4,0001566,0001566,4455,4082,191,71,0.3717,False,0.3717,True,False,1.4267
sift-fingervein,handGeometry,11k_Hands_genuine_4,0001566,0001566,942,1076,89,43,0.4831,True,0.4618,True,True,2.4034
superglue-fingervein,handGeometry,11k_Hands_genuine_4,0001566,0001566,434,516,200,57,0.2850,True,0.2697,True,True,2.6063
sgmnet-fingervein,handGeometry,11k_Hands_genuine_4,0001566,0001566,1149,1459,611,183,0.2995,True,0.2985,True,True,1.5670
aspanformer,handGeometry,11k_Hands_genuine_4,0001566,0001566,692,692,692,313,0.4523,True,0.4441,True,True,1.8675
deepdetect,handGeometry,11k_Hands_genuine_4,0001566,0001566,12217,12768,254,0,,False,,True,False,
loftr,handGeometry,11k_Hands_genuine_5,0001541,0001541,935,935,935,488,0.5219,True,0.5099,True,True,1.9661
orb-fingervein,handGeometry,11k_Hands_genuine_5,0001541,0001541,3610,4051,483,376,0.7785,True,0.7721,True,True,1.6640
sift-fingervein,handGeometry,11k_Hands_genuine_5,0001541,0001541,621,825,119,83,0.6975,True,0.6952,True,True,1.5649
superglue-fingervein,handGeometry,11k_Hands_genuine_5,0001541,0001541,288,325,226,105,0.4646,True,0.4453,True,True,2.3483
sgmnet-fingervein,handGeometry,11k_Hands_genuine_5,0001541,0001541,692,800,323,158,0.4892,True,0.4874,True,True,1.5743
aspanformer,handGeometry,11k_Hands_genuine_5,0001541,0001541,1102,1102,1102,663,0.6016,True,0.5708,True,True,2.5518
deepdetect,handGeometry,11k_Hands_genuine_5,0001541,0001541,8849,9725,608,505,0.8306,True,0.8306,True,True,0.6399
loftr,handGeometry,11k_Hands_genuine_6,0001019,0001019,1315,1315,1315,1102,0.8380,True,0.8380,True,True,1.4330
orb-fingervein,handGeometry,11k_Hands_genuine_6,0001019,0001019,3190,2679,657,557,0.8478,True,0.8361,True,True,1.7776
sift-fingervein,handGeometry,11k_Hands_genuine_6,0001019,0001019,615,527,204,154,0.7549,True,0.7549,True,True,1.3310
superglue-fingervein,handGeometry,11k_Hands_genuine_6,0001019,0001019,364,362,287,151,0.5261,True,0.5026,True,True,2.4150
sgmnet-fingervein,handGeometry,11k_Hands_genuine_6,0001019,0001019,966,950,513,353,0.6881,True,0.6881,True,True,1.3005
aspanformer,handGeometry,11k_Hands_genuine_6,0001019,0001019,2126,2126,2126,1970,0.9266,True,0.9266,True,True,1.1991
deepdetect,handGeometry,11k_Hands_genuine_6,0001019,0001019,10832,11300,1672,1664,0.9952,True,0.9952,True,True,1.0250
loftr,handGeometry,11k_Hands_genuine_7,0001533,0001533,480,480,480,221,0.4604,True,0.4553,True,True,1.7236
orb-fingervein,handGeometry,11k_Hands_genuine_7,0001533,0001533,4141,4401,252,80,0.3175,False,0.3157,True,False,1.6094
sift-fingervein,handGeometry,11k_Hands_genuine_7,0001533,0001533,748,782,103,45,0.4369,False,0.4298,True,False,1.8252
superglue-fingervein,handGeometry,11k_Hands_genuine_7,0001533,0001533,399,348,187,42,0.2246,True,0.2117,True,True,2.6813
sgmnet-fingervein,handGeometry,11k_Hands_genuine_7,0001533,0001533,737,842,394,131,0.3325,True,0.3325,True,True,1.2919
aspanformer,handGeometry,11k_Hands_genuine_7,0001533,0001533,458,458,458,195,0.4258,True,0.4061,True,True,2.4438
deepdetect,handGeometry,11k_Hands_genuine_7,0001533,0001533,14219,12587,170,93,0.5471,True,0.5471,True,True,1.8566
loftr,handGeometry,11k_Hands_genuine_8,0000084,0000084,1146,1146,1146,716,0.6248,True,0.6241,True,True,1.5226
orb-fingervein,handGeometry,11k_Hands_genuine_8,0000084,0000084,4720,4820,482,340,0.7054,True,0.7022,True,True,1.5906
sift-fingervein,handGeometry,11k_Hands_genuine_8,0000084,0000084,1249,1313,198,142,0.7172,True,0.7140,True,True,1.5897
superglue-fingervein,handGeometry,11k_Hands_genuine_8,0000084,0000084,409,382,299,177,0.5920,True,0.5721,True,True,2.1821
sgmnet-fingervein,handGeometry,11k_Hands_genuine_8,0000084,0000084,1079,1111,491,260,0.5295,True,0.5295,True,True,1.1599
