matcher,modality,pair_id,identity1,identity2,num_keypoints_image1,num_keypoints_image2,num_matches,num_inliers,inlier_ratio,is_same_person_pred,confidence,ground_truth,is_correct,reprojection_error
loftr,handGeometry,11k_Hands_genuine_0,0000093,0000093,1874,1874,1874,786,0.4194,False,0.3982,True,False,2.5380
orb-fingervein,handGeometry,11k_Hands_genuine_0,0000093,0000093,4815,5000,308,128,0.4156,False,0.4060,True,False,1.9678
sift-fingervein,handGeometry,11k_Hands_genuine_0,0000093,0000093,1257,1064,158,72,0.4557,False,0.4372,True,False,2.3271
superglue-fingervein,handGeometry,11k_Hands_genuine_0,0000093,0000093,622,640,461,150,0.3254,True,0.3088,True,True,2.5438
sgmnet-fingervein,handGeometry,11k_Hands_genuine_0,0000093,0000093,2000,2000,1120,273,0.2437,True,0.2408,True,True,1.7424
aspanformer,handGeometry,11k_Hands_genuine_0,0000093,0000093,1944,1944,1944,952,0.4897,True,0.4703,True,True,2.3104
deepdetect,handGeometry,11k_Hands_genuine_0,0000093,0000093,15139,15084,264,178,0.6742,True,0.6742,True,True,1.7850
loftr,handGeometry,11k_Hands_genuine_1,0001020,0001020,1605,1605,1605,953,0.5938,True,0.5786,True,True,2.0183
orb-fingervein,handGeometry,11k_Hands_genuine_1,0001020,0001020,4748,4582,438,226,0.5160,True,0.4928,True,True,2.4186
sift-fingervein,handGeometry,11k_Hands_genuine_1,0001020,0001020,1799,1633,310,162,0.5226,True,0.5010,True,True,2.3451
superglue-fingervein,handGeometry,11k_Hands_genuine_1,0001020,0001020,567,662,398,174,0.4372,True,0.4226,True,True,2.1794
sgmnet-fingervein,handGeometry,11k_Hands_genuine_1,0001020,0001020,2000,1621,871,356,0.4087,True,0.4081,True,True,1.5323
aspanformer,handGeometry,11k_Hands_genuine_1,0001020,0001020,1578,1578,1578,895,0.5672,True,0.5410,True,True,2.4441
deepdetect,handGeometry,11k_Hands_genuine_1,0001020,0001020,17654,19822,1170,1001,0.8556,True,0.8556,True,True,0.8523
loftr,handGeometry,11k_Hands_genuine_2,0000559,0000559,1791,1791,1791,1094,0.6108,True,0.6010,True,True,1.8251
orb-fingervein,handGeometry,11k_Hands_genuine_2,0000559,0000559,4660,4915,841,431,0.5125,True,0.4887,True,True,2.4487
sift-fingervein,handGeometry,11k_Hands_genuine_2,0000559,0000559,1209,1583,317,155,0.4890,True,0.4677,True,True,2.3872
superglue-fingervein,handGeometry,11k_Hands_genuine_2,0000559,0000559,494,521,327,136,0.4159,True,0.3913,True,True,2.7211
sgmnet-fingervein,handGeometry,11k_Hands_genuine_2,0000559,0000559,1923,2000,1126,455,0.4041,True,0.4008,True,True,1.6652
aspanformer,handGeometry,11k_Hands_genuine_2,0000559,0000559,2019,2019,2019,1247,0.6176,True,0.6040,True,True,1.9456
deepdetect,handGeometry,11k_Hands_genuine_2,0000559,0000559,17554,17695,1093,810,0.7411,True,0.7411,True,True,1.0368
loftr,handGeometry,11k_Hands_genuine_3,0001594,0001594,1200,1200,1200,512,0.4267,False,0.4267,True,False,1.4878
orb-fingervein,handGeometry,11k_Hands_genuine_3,0001594,0001594,4910,4720,133,35,0.2632,False,0.2593,True,False,1.7991
sift-fingervein,handGeometry,11k_Hands_genuine_3,0001594,0001594,1989,1710,89,40,0.4494,False,0.4494,True,False,1.3337
superglue-fingervein,handGeometry,11k_Hands_genuine_3,0001594,0001594,478,480,249,60,0.2410,True,0.2324,True,True,2.2244
sgmnet-fingervein,handGeometry,11k_Hands_genuine_3,0001594,0001594,2000,2000,983,361,0.3672,True,0.3672,True,True,1.4884
aspanformer,handGeometry,11k_Hands_genuine_3,0001594,0001594,1123,1123,1123,527,0.4693,True,0.4654,True,True,1.6639
deepdetect,handGeometry,11k_Hands_genuine_3,0001594,0001594,13461,13305,84,33,0.3929,True,0.3929,True,True,1.9926
loftr,handGeometry,11k_Hands_genuine_4,0001566,0001566,1060,1060,1060,517,0.4877,True,0.4717,True,True,2.1667
orb-fingervein,handGeometry,11k_Hands_genuine_4,0001566,0001566,4746,4167,122,23,0.1885,False,0.1885,True,False,1.4508
sift-fingervein,handGeometry,11k_Hands_genuine_4,0001566,0001566,1135,1202,76,33,0.4342,False,0.4231,True,False,2.0202
superglue-fingervein,handGeometry,11k_Hands_genuine_4,0001566,0001566,551,588,294,80,0.2721,True,0.2607,True,True,2.3604
sgmnet-fingervein,handGeometry,11k_Hands_genuine_4,0001566,0001566,2000,2000,1022,207,0.2025,True,0.2012,True,True,1.6326
aspanformer,handGeometry,11k_Hands_genuine_4,0001566,0001566,978,978,978,462,0.4724,True,0.4512,True,True,2.4194
deepdetect,handGeometry,11k_Hands_genuine_4,0001566,0001566,15030,14026,134,60,0.4478,True,0.4478,True,True,1.3038
loftr,handGeometry,11k_Hands_genuine_5,0001541,0001541,1663,1663,1663,814,0.4895,True,0.4731,True,True,2.1810
