matcher,probe_record_id,probe_sample_id,probe_identity,rank_of_true_identity,rank_1_hit,gallery_size,ranking_strategy,samples_per_gallery,aggregation_method,top_5_identities
loftr,4,Multi-PIE::164::164_01_02_051_14_crop_128,164,1,True,50,cascade,multiple,mean,164;051;174;196;087
orb-fingervein,4,Multi-PIE::164::164_01_02_051_14_crop_128,164,2,False,50,cascade,multiple,mean,109;164;207;174;051
sift-fingervein,4,Multi-PIE::164::164_01_02_051_14_crop_128,164,3,False,50,cascade,multiple,mean,040;087;164;237;174
superglue-fingervein,4,Multi-PIE::164::164_01_02_051_14_crop_128,164,3,False,50,cascade,multiple,mean,174;056;164;248;207
sgmnet-fingervein,4,Multi-PIE::164::164_01_02_051_14_crop_128,164,1,True,50,cascade,multiple,mean,164;174;237;087;248
aspanformer,4,Multi-PIE::164::164_01_02_051_14_crop_128,164,7,False,50,cascade,multiple,mean,248;109;237;058;087
deepdetect,4,Multi-PIE::164::164_01_02_051_14_crop_128,164,1,True,50,cascade,multiple,mean,164;027;058;087;109
loftr,8,Multi-PIE::029::029_01_01_051_08_crop_128,029,1,True,50,cascade,multiple,mean,029;063;058;180;088
orb-fingervein,8,Multi-PIE::029::029_01_01_051_08_crop_128,029,1,True,50,cascade,multiple,mean,029;234;164;180;088
sift-fingervein,8,Multi-PIE::029::029_01_01_051_08_crop_128,029,1,True,50,cascade,multiple,mean,029;027;234;058;088
superglue-fingervein,8,Multi-PIE::029::029_01_01_051_08_crop_128,029,1,True,50,cascade,multiple,mean,029;164;058;007;179
sgmnet-fingervein,8,Multi-PIE::029::029_01_01_051_08_crop_128,029,1,True,50,cascade,multiple,mean,029;174;063;180;115
aspanformer,8,Multi-PIE::029::029_01_01_051_08_crop_128,029,3,False,50,cascade,multiple,mean,007;115;029;180;164
deepdetect,8,Multi-PIE::029::029_01_01_051_08_crop_128,029,6,False,50,cascade,multiple,mean,247;151;063;180;027
loftr,12,Multi-PIE::007::007_01_02_050_07_crop_128,007,1,True,50,cascade,multiple,mean,007;051;009;208;008
orb-fingervein,12,Multi-PIE::007::007_01_02_050_07_crop_128,007,1,True,50,cascade,multiple,mean,007;208;008;234;237
sift-fingervein,12,Multi-PIE::007::007_01_02_050_07_crop_128,007,1,True,50,cascade,multiple,mean,007;230;234;027;087
superglue-fingervein,12,Multi-PIE::007::007_01_02_050_07_crop_128,007,1,True,50,cascade,multiple,mean,007;051;023;237;027
sgmnet-fingervein,12,Multi-PIE::007::007_01_02_050_07_crop_128,007,1,True,50,cascade,multiple,mean,007;023;196;051;008
aspanformer,12,Multi-PIE::007::007_01_02_050_07_crop_128,007,2,False,50,cascade,multiple,mean,058;007;009;237;023
