matcher,probe_record_id,probe_sample_id,probe_identity,rank_of_true_identity,rank_1_hit,gallery_size,ranking_strategy,samples_per_gallery,aggregation_method,top_5_identities
loftr,4,Multi-PIE::164::164_01_01_110_05_crop_128,164,1,True,50,cascade,multiple,mean,164;151;007;190;029
orb-fingervein,4,Multi-PIE::164::164_01_01_110_05_crop_128,164,1,True,50,cascade,multiple,mean,164;029;007;234;041
sift-fingervein,4,Multi-PIE::164::164_01_01_110_05_crop_128,164,1,True,50,cascade,multiple,mean,164;140;234;051;151
superglue-fingervein,4,Multi-PIE::164::164_01_01_110_05_crop_128,164,1,True,50,cascade,multiple,mean,164;167;007;190;151
sgmnet-fingervein,4,Multi-PIE::164::164_01_01_110_05_crop_128,164,1,True,50,cascade,multiple,mean,164;051;234;167;058
aspanformer,4,Multi-PIE::164::164_01_01_110_05_crop_128,164,1,True,50,cascade,multiple,mean,164;029;190;058;041
deepdetect,4,Multi-PIE::164::164_01_01_110_05_crop_128,164,1,True,50,cascade,multiple,mean,164;167;130;041;029
loftr,8,Multi-PIE::029::029_01_01_110_07_crop_128,029,1,True,50,cascade,multiple,mean,029;027;164;058;057
orb-fingervein,8,Multi-PIE::029::029_01_01_110_07_crop_128,029,1,True,50,cascade,multiple,mean,029;108;179;027;058
sift-fingervein,8,Multi-PIE::029::029_01_01_110_07_crop_128,029,1,True,50,cascade,multiple,mean,029;164;057;058;027
superglue-fingervein,8,Multi-PIE::029::029_01_01_110_07_crop_128,029,1,True,50,cascade,multiple,mean,029;179;164;009;058
sgmnet-fingervein,8,Multi-PIE::029::029_01_01_110_07_crop_128,029,1,True,50,cascade,multiple,mean,029;056;140;058;024
aspanformer,8,Multi-PIE::029::029_01_01_110_07_crop_128,029,2,False,50,cascade,multiple,mean,164;029;108;009;058
deepdetect,8,Multi-PIE::029::029_01_01_110_07_crop_128,029,1,True,50,cascade,multiple,mean,029;007;027;164;009
loftr,12,Multi-PIE::007::007_01_01_110_05_crop_128,007,1,True,50,cascade,multiple,mean,007;115;164;023;155
orb-fingervein,12,Multi-PIE::007::007_01_01_110_05_crop_128,007,1,True,50,cascade,multiple,mean,007;027;108;023;164
sift-fingervein,12,Multi-PIE::007::007_01_01_110_05_crop_128,007,1,True,50,cascade,multiple,mean,007;155;023;027;051
superglue-fingervein,12,Multi-PIE::007::007_01_01_110_05_crop_128,007,1,True,50,cascade,multiple,mean,007;164;115;029;027
sgmnet-fingervein,12,Multi-PIE::007::007_01_01_110_05_crop_128,007,1,True,50,cascade,multiple,mean,007;023;051;164;029
aspanformer,12,Multi-PIE::007::007_01_01_110_05_crop_128,007,1,True,50,cascade,multiple,mean,007;108;208;056;029
deepdetect,12,Multi-PIE::007::007_01_01_110_05_crop_128,007,1,True,50,cascade,multiple,mean,007;155;179;029;009
loftr,16,Multi-PIE::190::190_01_01_110_05_crop_128,190,1,True,50,cascade,multiple,mean,190;180;208;071;007
orb-fingervein,16,Multi-PIE::190::190_01_01_110_05_crop_128,190,1,True,50,cascade,multiple,mean,190;130;027;180;189
sift-fingervein,16,Multi-PIE::190::190_01_01_110_05_crop_128,190,1,True,50,cascade,multiple,mean,190;029;180;063;007
superglue-fingervein,16,Multi-PIE::190::190_01_01_110_05_crop_128,190,1,True,50,cascade,multiple,mean,190;234;071;208;164
sgmnet-fingervein,16,Multi-PIE::190::190_01_01_110_05_crop_128,190,1,True,50,cascade,multiple,mean,190;164;058;234;063
aspanformer,16,Multi-PIE::190::190_01_01_110_05_crop_128,190,1,True,50,cascade,multiple,mean,190;027;189;164;180
deepdetect,16,Multi-PIE::190::190_01_01_110_05_crop_128,190,1,True,50,cascade,multiple,mean,190;180;058;029;027
loftr,20,Multi-PIE::071::071_01_01_110_07_crop_128,071,1,True,50,cascade,multiple,mean,071;058;207;190;088
orb-fingervein,20,Multi-PIE::071::071_01_01_110_07_crop_128,071,1,True,50,cascade,multiple,mean,071;108;057;036;051
