matcher,probe_record_id,probe_sample_id,probe_identity,rank_of_true_identity,rank_1_hit,gallery_size,ranking_strategy,samples_per_gallery,aggregation_method,top_5_identities
loftr,4,Multi-PIE::164::164_01_01_110_00_crop_128,164,1,True,50,cascade,multiple,mean,164;007;071;027;190
orb-fingervein,4,Multi-PIE::164::164_01_01_110_00_crop_128,164,1,True,50,cascade,multiple,mean,164;029;058;071;190
sift-fingervein,4,Multi-PIE::164::164_01_01_110_00_crop_128,164,1,True,50,cascade,multiple,mean,164;002;024;007;189
superglue-fingervein,4,Multi-PIE::164::164_01_01_110_00_crop_128,164,1,True,50,cascade,multiple,mean,164;189;063;007;029
sgmnet-fingervein,4,Multi-PIE::164::164_01_01_110_00_crop_128,164,1,True,50,cascade,multiple,mean,164;247;029;063;174
aspanformer,4,Multi-PIE::164::164_01_01_110_00_crop_128,164,1,True,50,cascade,multiple,mean,164;029;058;174;179
deepdetect,4,Multi-PIE::164::164_01_01_110_00_crop_128,164,1,True,50,cascade,multiple,mean,164;179;071;189;024
loftr,8,Multi-PIE::029::029_01_02_110_08_crop_128,029,1,True,50,cascade,multiple,mean,029;164;190;189;237
orb-fingervein,8,Multi-PIE::029::029_01_02_110_08_crop_128,029,1,True,50,cascade,multiple,mean,029;140;237;027;007
sift-fingervein,8,Multi-PIE::029::029_01_02_110_08_crop_128,029,1,True,50,cascade,multiple,mean,029;190;051;237;189
superglue-fingervein,8,Multi-PIE::029::029_01_02_110_08_crop_128,029,1,True,50,cascade,multiple,mean,029;189;063;190;051
sgmnet-fingervein,8,Multi-PIE::029::029_01_02_110_08_crop_128,029,1,True,50,cascade,multiple,mean,029;237;036;190;195
aspanformer,8,Multi-PIE::029::029_01_02_110_08_crop_128,029,1,True,50,cascade,multiple,mean,029;164;063;027;036
deepdetect,8,Multi-PIE::029::029_01_02_110_08_crop_128,029,1,True,50,cascade,multiple,mean,029;140;237;164;180
loftr,12,Multi-PIE::007::007_01_01_110_15_crop_128,007,1,True,50,cascade,multiple,mean,007;238;063;164;108
orb-fingervein,12,Multi-PIE::007::007_01_01_110_15_crop_128,007,1,True,50,cascade,multiple,mean,007;029;108;027;063
sift-fingervein,12,Multi-PIE::007::007_01_01_110_15_crop_128,007,1,True,50,cascade,multiple,mean,007;164;002;241;152
superglue-fingervein,12,Multi-PIE::007::007_01_01_110_15_crop_128,007,1,True,50,cascade,multiple,mean,007;063;164;152;029
sgmnet-fingervein,12,Multi-PIE::007::007_01_01_110_15_crop_128,007,1,True,50,cascade,multiple,mean,007;152;009;063;041
aspanformer,12,Multi-PIE::007::007_01_01_110_15_crop_128,007,1,True,50,cascade,multiple,mean,007;027;029;155;108
deepdetect,12,Multi-PIE::007::007_01_01_110_15_crop_128,007,1,True,50,cascade,multiple,mean,007;152;058;155;108
loftr,16,Multi-PIE::190::190_01_02_110_19_crop_128,190,1,True,50,cascade,multiple,mean,190;007;040;027;058
