matcher,probe_record_id,probe_sample_id,probe_identity,rank_of_true_identity,rank_1_hit,gallery_size,ranking_strategy,samples_per_gallery,aggregation_method,top_5_identities
loftr,4,Multi-PIE::164::164_01_01_050_06_crop_128,164,1,True,50,cascade,multiple,mean,164;152;174;151;190
orb-fingervein,4,Multi-PIE::164::164_01_01_050_06_crop_128,164,1,True,50,cascade,multiple,mean,164;174;029;144;230
sift-fingervein,4,Multi-PIE::164::164_01_01_050_06_crop_128,164,3,False,50,cascade,multiple,mean,029;234;164;009;248
superglue-fingervein,4,Multi-PIE::164::164_01_01_050_06_crop_128,164,4,False,50,cascade,multiple,mean,234;152;190;164;144
sgmnet-fingervein,4,Multi-PIE::164::164_01_01_050_06_crop_128,164,1,True,50,cascade,multiple,mean,164;009;195;247;234
aspanformer,4,Multi-PIE::164::164_01_01_050_06_crop_128,164,1,True,50,cascade,multiple,mean,164;152;230;151;071
deepdetect,4,Multi-PIE::164::164_01_01_050_06_crop_128,164,2,False,50,cascade,multiple,mean,151;164;009;234;071
loftr,8,Multi-PIE::029::029_01_01_051_05_crop_128,029,1,True,50,cascade,multiple,mean,029;190;174;230;155
orb-fingervein,8,Multi-PIE::029::029_01_01_051_05_crop_128,029,1,True,50,cascade,multiple,mean,029;027;215;088;155
sift-fingervein,8,Multi-PIE::029::029_01_01_051_05_crop_128,029,1,True,50,cascade,multiple,mean,029;140;027;051;248
superglue-fingervein,8,Multi-PIE::029::029_01_01_051_05_crop_128,029,1,True,50,cascade,multiple,mean,029;051;174;190;060
sgmnet-fingervein,8,Multi-PIE::029::029_01_01_051_05_crop_128,029,1,True,50,cascade,multiple,mean,029;190;248;051;027
aspanformer,8,Multi-PIE::029::029_01_01_051_05_crop_128,029,1,True,50,cascade,multiple,mean,029;215;051;155;027
deepdetect,8,Multi-PIE::029::029_01_01_051_05_crop_128,029,1,True,50,cascade,multiple,mean,029;088;230;051;190
loftr,12,Multi-PIE::007::007_01_01_051_06_crop_128,007,1,True,50,cascade,multiple,mean,007;190;130;184;115
orb-fingervein,12,Multi-PIE::007::007_01_01_051_06_crop_128,007,1,True,50,cascade,multiple,mean,007;190;130;207;088
sift-fingervein,12,Multi-PIE::007::007_01_01_051_06_crop_128,007,1,True,50,cascade,multiple,mean,007;130;088;151;207
superglue-fingervein,12,Multi-PIE::007::007_01_01_051_06_crop_128,007,1,True,50,cascade,multiple,mean,007;190;051;241;207
sgmnet-fingervein,12,Multi-PIE::007::007_01_01_051_06_crop_128,007,1,True,50,cascade,multiple,mean,007;190;180;184;247
aspanformer,12,Multi-PIE::007::007_01_01_051_06_crop_128,007,1,True,50,cascade,multiple,mean,007;071;008;151;190
deepdetect,12,Multi-PIE::007::007_01_01_051_06_crop_128,007,1,True,50,cascade,multiple,mean,007;130;241;207;002
loftr,16,Multi-PIE::190::190_01_01_130_07_crop_128,190,1,True,50,cascade,multiple,mean,190;057;164;151;007
orb-fingervein,16,Multi-PIE::190::190_01_01_130_07_crop_128,190,1,True,50,cascade,multiple,mean,190;029;151;007;247
sift-fingervein,16,Multi-PIE::190::190_01_01_130_07_crop_128,190,1,True,50,cascade,multiple,mean,190;189;063;057;151
superglue-fingervein,16,Multi-PIE::190::190_01_01_130_07_crop_128,190,5,False,50,cascade,multiple,mean,130;164;057;007;190
sgmnet-fingervein,16,Multi-PIE::190::190_01_01_130_07_crop_128,190,4,False,50,cascade,multiple,mean,247;071;060;190;029
aspanformer,16,Multi-PIE::190::190_01_01_130_07_crop_128,190,5,False,50,cascade,multiple,mean,027;057;189;071;190
deepdetect,16,Multi-PIE::190::190_01_01_130_07_crop_128,190,1,True,50,cascade,multiple,mean,190;151;057;029;189
loftr,20,Multi-PIE::071::071_01_01_051_08_crop_128,071,1,True,50,cascade,multiple,mean,071;207;230;009;247
orb-fingervein,20,Multi-PIE::071::071_01_01_051_08_crop_128,071,1,True,50,cascade,multiple,mean,071;230;207;007;234
sift-fingervein,20,Multi-PIE::071::071_01_01_051_08_crop_128,071,1,True,50,cascade,multiple,mean,071;007;230;180;241
superglue-fingervein,20,Multi-PIE::071::071_01_01_051_08_crop_128,071,1,True,50,cascade,multiple,mean,071;140;207;247;058
sgmnet-fingervein,20,Multi-PIE::071::071_01_01_051_08_crop_128,071,1,True,50,cascade,multiple,mean,071;058;036;009;247
aspanformer,20,Multi-PIE::071::071_01_01_051_08_crop_128,071,15,False,50,cascade,multiple,mean,230;058;155;144;207
deepdetect,20,Multi-PIE::071::071_01_01_051_08_crop_128,071,3,False,50,cascade,multiple,mean,180;155;071;234;007
loftr,24,Multi-PIE::063::063_01_01_041_06_crop_128,063,18,False,50,cascade,multiple,mean,190;208;036;174;058
orb-fingervein,24,Multi-PIE::063::063_01_01_041_06_crop_128,063,18,False,50,cascade,multiple,mean,036;190;072;058;174
sift-fingervein,24,Multi-PIE::063::063_01_01_041_06_crop_128,063,18,False,50,cascade,multiple,mean,247;036;208;190;155
superglue-fingervein,24,Multi-PIE::063::063_01_01_041_06_crop_128,063,18,False,50,cascade,multiple,mean,190;058;208;164;036
sgmnet-fingervein,24,Multi-PIE::063::063_01_01_041_06_crop_128,063,18,False,50,cascade,multiple,mean,058;144;152;247;164
aspanformer,24,Multi-PIE::063::063_01_01_041_06_crop_128,063,18,False,50,cascade,multiple,mean,190;247;164;152;208
deepdetect,24,Multi-PIE::063::063_01_01_041_06_crop_128,063,18,False,50,cascade,multiple,mean,247;190;155;174;058
loftr,28,Multi-PIE::058::058_01_01_130_07_crop_128,058,1,True,50,cascade,multiple,mean,058;057;029;189;164
orb-fingervein,28,Multi-PIE::058::058_01_01_130_07_crop_128,058,2,False,50,cascade,multiple,mean,057;058;195;164;029
sift-fingervein,28,Multi-PIE::058::058_01_01_130_07_crop_128,058,1,True,50,cascade,multiple,mean,058;144;029;109;130
superglue-fingervein,28,Multi-PIE::058::058_01_01_130_07_crop_128,058,2,False,50,cascade,multiple,mean,167;058;109;237;164
sgmnet-fingervein,28,Multi-PIE::058::058_01_01_130_07_crop_128,058,1,True,50,cascade,multiple,mean,058;109;130;189;144
aspanformer,28,Multi-PIE::058::058_01_01_130_07_crop_128,058,2,False,50,cascade,multiple,mean,057;058;029;108;189
deepdetect,28,Multi-PIE::058::058_01_01_130_07_crop_128,058,1,True,50,cascade,multiple,mean,058;130;195;057;109
loftr,32,Multi-PIE::036::036_01_01_051_08_crop_128,036,21,False,50,cascade,multiple,mean,060;144;208;230;190
orb-fingervein,32,Multi-PIE::036::036_01_01_051_08_crop_128,036,21,False,50,cascade,multiple,mean,230;060;208;144;051
sift-fingervein,32,Multi-PIE::036::036_01_01_051_08_crop_128,036,21,False,50,cascade,multiple,mean,027;060;144;072;190
superglue-fingervein,32,Multi-PIE::036::036_01_01_051_08_crop_128,036,21,False,50,cascade,multiple,mean,190;144;060;072;230
sgmnet-fingervein,32,Multi-PIE::036::036_01_01_051_08_crop_128,036,21,False,50,cascade,multiple,mean,184;071;115;009;234
aspanformer,32,Multi-PIE::036::036_01_01_051_08_crop_128,036,21,False,50,cascade,multiple,mean,060;230;144;051;208
deepdetect,32,Multi-PIE::036::036_01_01_051_08_crop_128,036,21,False,50,cascade,multiple,mean,060;144;027;230;051
loftr,36,Multi-PIE::189::189_01_01_140_06_crop_128,189,1,True,50,cascade,multiple,mean,189;115;155;184;088
orb-fingervein,36,Multi-PIE::189::189_01_01_140_06_crop_128,189,1,True,50,cascade,multiple,mean,189;241;155;115;071
sift-fingervein,36,Multi-PIE::189::189_01_01_140_06_crop_128,189,1,True,50,cascade,multiple,mean,189;051;115;071;140
superglue-fingervein,36,Multi-PIE::189::189_01_01_140_06_crop_128,189,1,True,50,cascade,multiple,mean,189;184;040;241;051
sgmnet-fingervein,36,Multi-PIE::189::189_01_01_140_06_crop_128,189,1,True,50,cascade,multiple,mean,189;088;071;029;040
aspanformer,36,Multi-PIE::189::189_01_01_140_06_crop_128,189,1,True,50,cascade,multiple,mean,189;155;115;152;051
deepdetect,36,Multi-PIE::189::189_01_01_140_06_crop_128,189,1,True,50,cascade,multiple,mean,189;029;040;088;167
loftr,40,Multi-PIE::027::027_01_01_041_06_crop_128,027,1,True,50,cascade,multiple,mean,027;207;108;195;208
orb-fingervein,40,Multi-PIE::027::027_01_01_041_06_crop_128,027,1,True,50,cascade,multiple,mean,027;215;207;108;208
sift-fingervein,40,Multi-PIE::027::027_01_01_041_06_crop_128,027,1,True,50,cascade,multiple,mean,027;234;207;072;195
superglue-fingervein,40,Multi-PIE::027::027_01_01_041_06_crop_128,027,1,True,50,cascade,multiple,mean,027;087;140;208;041
sgmnet-fingervein,40,Multi-PIE::027::027_01_01_041_06_crop_128,027,1,True,50,cascade,multiple,mean,027;009;247;152;195
aspanformer,40,Multi-PIE::027::027_01_01_041_06_crop_128,027,3,False,50,cascade,multiple,mean,207;152;027;247;072
deepdetect,40,Multi-PIE::027::027_01_01_041_06_crop_128,027,1,True,50,cascade,multiple,mean,027;108;072;140;151
