matcher,probe_record_id,probe_sample_id,probe_identity,rank_of_true_identity,rank_1_hit,gallery_size,ranking_strategy,samples_per_gallery,aggregation_method,top_5_identities
loftr,4,Multi-PIE::164::164_01_02_050_03_crop_128,164,3,False,50,cascade,multiple,mean,051;063;164;196;071
orb-fingervein,4,Multi-PIE::164::164_01_02_050_03_crop_128,164,1,True,50,cascade,multiple,mean,164;007;063;174;155
sift-fingervein,4,Multi-PIE::164::164_01_02_050_03_crop_128,164,2,False,50,cascade,multiple,mean,180;164;027;174;063
superglue-fingervein,4,Multi-PIE::164::164_01_02_050_03_crop_128,164,6,False,50,cascade,multiple,mean,190;007;051;063;027
sgmnet-fingervein,4,Multi-PIE::164::164_01_02_050_03_crop_128,164,1,True,50,cascade,multiple,mean,164;152;029;190;063
aspanformer,4,Multi-PIE::164::164_01_02_050_03_crop_128,164,11,False,50,cascade,multiple,mean,152;140;027;063;155
deepdetect,4,Multi-PIE::164::164_01_02_050_03_crop_128,164,3,False,50,cascade,multiple,mean,007;063;164;140;029
loftr,8,Multi-PIE::029::029_01_02_130_18_crop_128,029,3,False,50,cascade,multiple,mean,238;155;029;164;063
orb-fingervein,8,Multi-PIE::029::029_01_02_130_18_crop_128,029,2,False,50,cascade,multiple,mean,060;029;002;057;041
sift-fingervein,8,Multi-PIE::029::029_01_02_130_18_crop_128,029,4,False,50,cascade,multiple,mean,144;002;023;029;051
superglue-fingervein,8,Multi-PIE::029::029_01_02_130_18_crop_128,029,3,False,50,cascade,multiple,mean,051;238;029;164;023
sgmnet-fingervein,8,Multi-PIE::029::029_01_02_130_18_crop_128,029,2,False,50,cascade,multiple,mean,063;029;051;144;041
aspanformer,8,Multi-PIE::029::029_01_02_130_18_crop_128,029,3,False,50,cascade,multiple,mean,063;023;029;057;164
deepdetect,8,Multi-PIE::029::029_01_02_130_18_crop_128,029,4,False,50,cascade,multiple,mean,041;109;155;029;164
loftr,12,Multi-PIE::007::007_01_01_130_04_crop_128,007,1,True,50,cascade,multiple,mean,007;063;040;164;130
orb-fingervein,12,Multi-PIE::007::007_01_01_130_04_crop_128,007,1,True,50,cascade,multiple,mean,007;190;051;155;130
sift-fingervein,12,Multi-PIE::007::007_01_01_130_04_crop_128,007,1,True,50,cascade,multiple,mean,007;056;063;155;051
superglue-fingervein,12,Multi-PIE::007::007_01_01_130_04_crop_128,007,3,False,50,cascade,multiple,mean,130;008;007;051;058
sgmnet-fingervein,12,Multi-PIE::007::007_01_01_130_04_crop_128,007,1,True,50,cascade,multiple,mean,007;130;056;155;029
aspanformer,12,Multi-PIE::007::007_01_01_130_04_crop_128,007,5,False,50,cascade,multiple,mean,071;130;164;051;007
deepdetect,12,Multi-PIE::007::007_01_01_130_04_crop_128,007,4,False,50,cascade,multiple,mean,056;130;058;007;190
loftr,16,Multi-PIE::190::190_01_02_130_03_crop_128,190,3,False,50,cascade,multiple,mean,174;189;190;071;063
orb-fingervein,16,Multi-PIE::190::190_01_02_130_03_crop_128,190,3,False,50,cascade,multiple,mean,174;027;190;189;029
sift-fingervein,16,Multi-PIE::190::190_01_02_130_03_crop_128,190,2,False,50,cascade,multiple,mean,140;190;230;174;007
superglue-fingervein,16,Multi-PIE::190::190_01_02_130_03_crop_128,190,1,True,50,cascade,multiple,mean,190;027;230;007;164
sgmnet-fingervein,16,Multi-PIE::190::190_01_02_130_03_crop_128,190,5,False,50,cascade,multiple,mean,247;189;230;063;190
aspanformer,16,Multi-PIE::190::190_01_02_130_03_crop_128,190,3,False,50,cascade,multiple,mean,063;189;190;164;029
deepdetect,16,Multi-PIE::190::190_01_02_130_03_crop_128,190,1,True,50,cascade,multiple,mean,190;036;029;071;058
loftr,20,Multi-PIE::071::071_01_01_140_06_crop_128,071,1,True,50,cascade,multiple,mean,071;208;234;190;072
orb-fingervein,20,Multi-PIE::071::071_01_01_140_06_crop_128,071,3,False,50,cascade,multiple,mean,029;088;071;190;164
sift-fingervein,20,Multi-PIE::071::071_01_01_140_06_crop_128,071,5,False,50,cascade,multiple,mean,056;072;208;190;071
superglue-fingervein,20,Multi-PIE::071::071_01_01_140_06_crop_128,071,1,True,50,cascade,multiple,mean,071;027;190;179;072
sgmnet-fingervein,20,Multi-PIE::071::071_01_01_140_06_crop_128,071,1,True,50,cascade,multiple,mean,071;155;072;027;208
aspanformer,20,Multi-PIE::071::071_01_01_140_06_crop_128,071,12,False,50,cascade,multiple,mean,179;029;190;027;009
deepdetect,20,Multi-PIE::071::071_01_01_140_06_crop_128,071,9,False,50,cascade,multiple,mean,057;234;088;155;164
loftr,24,Multi-PIE::063::063_01_02_051_12_crop_128,063,17,False,50,cascade,multiple,mean,164;051;007;008;144
orb-fingervein,24,Multi-PIE::063::063_01_02_051_12_crop_128,063,17,False,50,cascade,multiple,mean,071;029;008;027;179
sift-fingervein,24,Multi-PIE::063::063_01_02_051_12_crop_128,063,17,False,50,cascade,multiple,mean,051;027;179;029;071
superglue-fingervein,24,Multi-PIE::063::063_01_02_051_12_crop_128,063,17,False,50,cascade,multiple,mean,144;008;179;007;164
sgmnet-fingervein,24,Multi-PIE::063::063_01_02_051_12_crop_128,063,17,False,50,cascade,multiple,mean,152;179;174;237;051
aspanformer,24,Multi-PIE::063::063_01_02_051_12_crop_128,063,17,False,50,cascade,multiple,mean,007;008;071;051;164
deepdetect,24,Multi-PIE::063::063_01_02_051_12_crop_128,063,17,False,50,cascade,multiple,mean,164;071;007;056;230
loftr,28,Multi-PIE::058::058_01_02_130_09_crop_128,058,18,False,50,cascade,multiple,mean,237;190;164;195;029
orb-fingervein,28,Multi-PIE::058::058_01_02_130_09_crop_128,058,18,False,50,cascade,multiple,mean,057;041;088;208;164
sift-fingervein,28,Multi-PIE::058::058_01_02_130_09_crop_128,058,18,False,50,cascade,multiple,mean,060;057;041;237;152
superglue-fingervein,28,Multi-PIE::058::058_01_02_130_09_crop_128,058,18,False,50,cascade,multiple,mean,029;208;071;041;072
sgmnet-fingervein,28,Multi-PIE::058::058_01_02_130_09_crop_128,058,18,False,50,cascade,multiple,mean,088;237;072;155;190
aspanformer,28,Multi-PIE::058::058_01_02_130_09_crop_128,058,18,False,50,cascade,multiple,mean,164;152;208;057;060
deepdetect,28,Multi-PIE::058::058_01_02_130_09_crop_128,058,18,False,50,cascade,multiple,mean,109;071;029;195;041
loftr,32,Multi-PIE::036::036_01_02_041_00_crop_128,036,3,False,50,cascade,multiple,mean,027;058;036;063;230
orb-fingervein,32,Multi-PIE::036::036_01_02_041_00_crop_128,036,2,False,50,cascade,multiple,mean,174;036;247;164;029
sift-fingervein,32,Multi-PIE::036::036_01_02_041_00_crop_128,036,9,False,50,cascade,multiple,mean,248;058;164;029;007
superglue-fingervein,32,Multi-PIE::036::036_01_02_041_00_crop_128,036,3,False,50,cascade,multiple,mean,063;058;036;230;071
sgmnet-fingervein,32,Multi-PIE::036::036_01_02_041_00_crop_128,036,1,True,50,cascade,multiple,mean,036;140;027;007;189
aspanformer,32,Multi-PIE::036::036_01_02_041_00_crop_128,036,13,False,50,cascade,multiple,mean,007;029;164;140;248
