matcher,probe_record_id,probe_sample_id,probe_identity,rank_of_true_identity,rank_1_hit,gallery_size,ranking_strategy,samples_per_gallery,aggregation_method,top_5_identities
loftr,4,EEMSC-DBM::0041::3::1,0041,13,False,50,cascade,multiple,mean,0036;0048;0040;0035;0029
orb-fingervein,4,EEMSC-DBM::0041::3::1,0041,1,True,50,cascade,multiple,mean,0041;0036;0048;0040;0047
sift-fingervein,4,EEMSC-DBM::0041::3::1,0041,5,False,50,cascade,multiple,mean,0046;0048;0036;0040;0041
superglue-fingervein,4,EEMSC-DBM::0041::3::1,0041,2,False,50,cascade,multiple,mean,0026;0041;0042;0047;0040
sgmnet-fingervein,4,EEMSC-DBM::0041::3::1,0041,5,False,50,cascade,multiple,mean,0040;0048;0047;0042;0041
aspanformer,4,EEMSC-DBM::0041::3::1,0041,15,False,50,cascade,multiple,mean,0048;0040;0047;0054;0050
deepdetect,4,EEMSC-DBM::0041::3::1,0041,2,False,50,cascade,multiple,mean,0028;0041;0046;0042;0036
loftr,8,EEMSC-DBM::0008::1::1,0008,16,False,50,cascade,multiple,mean,0019;0025;0016;0004;0042
orb-fingervein,8,EEMSC-DBM::0008::1::1,0008,12,False,50,cascade,multiple,mean,0018;0004;0047;0036;0027
sift-fingervein,8,EEMSC-DBM::0008::1::1,0008,12,False,50,cascade,multiple,mean,0019;0042;0016;0060;0004
superglue-fingervein,8,EEMSC-DBM::0008::1::1,0008,16,False,50,cascade,multiple,mean,0004;0016;0035;0027;0047
sgmnet-fingervein,8,EEMSC-DBM::0008::1::1,0008,16,False,50,cascade,multiple,mean,0016;0019;0049;0004;0027
aspanformer,8,EEMSC-DBM::0008::1::1,0008,16,False,50,cascade,multiple,mean,0041;0004;0025;0016;0060
deepdetect,8,EEMSC-DBM::0008::1::1,0008,16,False,50,cascade,multiple,mean,0018;0019;0025;0035;0047
loftr,12,EEMSC-DBM::0002::3::1,0002,15,False,50,cascade,multiple,mean,0051;0048;0001;0046;0054
orb-fingervein,12,EEMSC-DBM::0002::3::1,0002,1,True,50,cascade,multiple,mean,0002;0045;0033;0050;0028
sift-fingervein,12,EEMSC-DBM::0002::3::1,0002,6,False,50,cascade,multiple,mean,0033;0060;0045;0051;0046
superglue-fingervein,12,EEMSC-DBM::0002::3::1,0002,3,False,50,cascade,multiple,mean,0010;0015;0002;0035;0033
sgmnet-fingervein,12,EEMSC-DBM::0002::3::1,0002,14,False,50,cascade,multiple,mean,0045;0046;0060;0054;0051
aspanformer,12,EEMSC-DBM::0002::3::1,0002,15,False,50,cascade,multiple,mean,0051;0060;0033;0001;0048
deepdetect,12,EEMSC-DBM::0002::3::1,0002,5,False,50,cascade,multiple,mean,0045;0051;0033;0046;0002
loftr,16,EEMSC-DBM::0048::2::1,0048,19,False,50,cascade,multiple,mean,0013;0047;0035;0044;0060
orb-fingervein,16,EEMSC-DBM::0048::2::1,0048,19,False,50,cascade,multiple,mean,0046;0040;0054;0035;0050
sift-fingervein,16,EEMSC-DBM::0048::2::1,0048,19,False,50,cascade,multiple,mean,0045;0046;0040;0047;0054
superglue-fingervein,16,EEMSC-DBM::0048::2::1,0048,19,False,50,cascade,multiple,mean,0035;0046;0029;0003;0050
sgmnet-fingervein,16,EEMSC-DBM::0048::2::1,0048,19,False,50,cascade,multiple,mean,0045;0046;0035;0044;0047
aspanformer,16,EEMSC-DBM::0048::2::1,0048,19,False,50,cascade,multiple,mean,0013;0060;0015;0003;0029
deepdetect,16,EEMSC-DBM::0048::2::1,0048,19,False,50,cascade,multiple,mean,0054;0028;0046;0047;0040
loftr,20,EEMSC-DBM::0018::1::1,0018,4,False,50,cascade,multiple,mean,0004;0049;0031;0018;0016
orb-fingervein,20,EEMSC-DBM::0018::1::1,0018,1,True,50,cascade,multiple,mean,0018;0026;0011;0027;0052
sift-fingervein,20,EEMSC-DBM::0018::1::1,0018,1,True,50,cascade,multiple,mean,0018;0050;0042;0049;0027
superglue-fingervein,20,EEMSC-DBM::0018::1::1,0018,9,False,50,cascade,multiple,mean,0011;0004;0052;0027;0016
sgmnet-fingervein,20,EEMSC-DBM::0018::1::1,0018,2,False,50,cascade,multiple,mean,0004;0018;0016;0023;0015
aspanformer,20,EEMSC-DBM::0018::1::1,0018,15,False,50,cascade,multiple,mean,0052;0023;0049;0031;0011
deepdetect,20,EEMSC-DBM::0018::1::1,0018,2,False,50,cascade,multiple,mean,0027;0018;0049;0015;0052
loftr,24,EEMSC-DBM::0016::3::1,0016,13,False,50,cascade,multiple,mean,0044;0015;0022;0014;0003
orb-fingervein,24,EEMSC-DBM::0016::3::1,0016,1,True,50,cascade,multiple,mean,0016;0030;0037;0035;0015
sift-fingervein,24,EEMSC-DBM::0016::3::1,0016,1,True,50,cascade,multiple,mean,0016;0030;0022;0038;0008
superglue-fingervein,24,EEMSC-DBM::0016::3::1,0016,8,False,50,cascade,multiple,mean,0030;0038;0035;0002;0027
sgmnet-fingervein,24,EEMSC-DBM::0016::3::1,0016,12,False,50,cascade,multiple,mean,0044;0035;0022;0038;0015
aspanformer,24,EEMSC-DBM::0016::3::1,0016,15,False,50,cascade,multiple,mean,0044;0035;0014;0030;0022
deepdetect,24,EEMSC-DBM::0016::3::1,0016,1,True,50,cascade,multiple,mean,0016;0030;0026;0014;0027
loftr,28,EEMSC-DBM::0015::1::1,0015,13,False,50,cascade,multiple,mean,0045;0036;0009;0051;0003
orb-fingervein,28,EEMSC-DBM::0015::1::1,0015,1,True,50,cascade,multiple,mean,0015;0045;0002;0036;0044
sift-fingervein,28,EEMSC-DBM::0015::1::1,0015,9,False,50,cascade,multiple,mean,0036;0009;0045;0002;0003
superglue-fingervein,28,EEMSC-DBM::0015::1::1,0015,10,False,50,cascade,multiple,mean,0032;0002;0036;0035;0050
sgmnet-fingervein,28,EEMSC-DBM::0015::1::1,0015,5,False,50,cascade,multiple,mean,0009;0045;0003;0036;0015
aspanformer,28,EEMSC-DBM::0015::1::1,0015,15,False,50,cascade,multiple,mean,0036;0028;0002;0003;0050
deepdetect,28,EEMSC-DBM::0015::1::1,0015,1,True,50,cascade,multiple,mean,0015;0045;0009;0036;0044
loftr,32,EEMSC-DBM::0009::4::1,0009,15,False,50,cascade,multiple,mean,0015;0049;0044;0027;0046
orb-fingervein,32,EEMSC-DBM::0009::4::1,0009,1,True,50,cascade,multiple,mean,0009;0051;0037;0028;0044
