matcher,probe_record_id,probe_sample_id,probe_identity,rank_of_true_identity,rank_1_hit,gallery_size,ranking_strategy,samples_per_gallery,aggregation_method,top_5_identities
loftr,4,FV-USM::082::06::R::middle,082,1,True,50,cascade,multiple,mean,082;054;072;076;087
orb-fingervein,4,FV-USM::082::06::R::middle,082,1,True,50,cascade,multiple,mean,082;119;092;013;120
sift-fingervein,4,FV-USM::082::06::R::middle,082,2,False,50,cascade,multiple,mean,076;082;072;092;120
superglue-fingervein,4,FV-USM::082::06::R::middle,082,1,True,50,cascade,multiple,mean,082;034;084;018;078
sgmnet-fingervein,4,FV-USM::082::06::R::middle,082,1,True,50,cascade,multiple,mean,082;084;120;119;092
aspanformer,4,FV-USM::082::06::R::middle,082,1,True,50,cascade,multiple,mean,082;084;054;078;072
deepdetect,4,FV-USM::082::06::R::middle,082,1,True,50,cascade,multiple,mean,082;092;013;119;018
loftr,8,FV-USM::015::01::R::middle,015,16,False,50,cascade,multiple,mean,026;028;076;049;005
orb-fingervein,8,FV-USM::015::01::R::middle,015,15,False,50,cascade,multiple,mean,004;013;120;005;028
sift-fingervein,8,FV-USM::015::01::R::middle,015,15,False,50,cascade,multiple,mean,001;004;028;014;082
superglue-fingervein,8,FV-USM::015::01::R::middle,015,14,False,50,cascade,multiple,mean,026;120;005;028;004
sgmnet-fingervein,8,FV-USM::015::01::R::middle,015,16,False,50,cascade,multiple,mean,120;076;082;029;028
aspanformer,8,FV-USM::015::01::R::middle,015,16,False,50,cascade,multiple,mean,028;001;070;076;104
deepdetect,8,FV-USM::015::01::R::middle,015,16,False,50,cascade,multiple,mean,029;070;014;001;012
loftr,12,FV-USM::004::02::R::middle,004,18,False,50,cascade,multiple,mean,065;001;070;109;085
orb-fingervein,12,FV-USM::004::02::R::middle,004,16,False,50,cascade,multiple,mean,121;084;090;028;085
sift-fingervein,12,FV-USM::004::02::R::middle,004,15,False,50,cascade,multiple,mean,070;106;058;110;065
superglue-fingervein,12,FV-USM::004::02::R::middle,004,16,False,50,cascade,multiple,mean,090;110;105;109;085
sgmnet-fingervein,12,FV-USM::004::02::R::middle,004,18,False,50,cascade,multiple,mean,065;121;090;110;085
aspanformer,12,FV-USM::004::02::R::middle,004,15,False,50,cascade,multiple,mean,090;085;013;106;070
deepdetect,12,FV-USM::004::02::R::middle,004,18,False,50,cascade,multiple,mean,070;058;090;046;028
loftr,16,FV-USM::095::02::R::middle,095,1,True,50,cascade,multiple,mean,095;115;028;114;085
orb-fingervein,16,FV-USM::095::02::R::middle,095,9,False,50,cascade,multiple,mean,032;115;020;028;004
sift-fingervein,16,FV-USM::095::02::R::middle,095,8,False,50,cascade,multiple,mean,028;085;114;029;036
superglue-fingervein,16,FV-USM::095::02::R::middle,095,4,False,50,cascade,multiple,mean,015;085;115;095;032
sgmnet-fingervein,16,FV-USM::095::02::R::middle,095,15,False,50,cascade,multiple,mean,114;028;020;115;082
aspanformer,16,FV-USM::095::02::R::middle,095,3,False,50,cascade,multiple,mean,036;015;095;020;090
deepdetect,16,FV-USM::095::02::R::middle,095,4,False,50,cascade,multiple,mean,082;028;004;095;085
loftr,20,FV-USM::036::02::R::middle,036,1,True,50,cascade,multiple,mean,036;028;119;117;108
orb-fingervein,20,FV-USM::036::02::R::middle,036,1,True,50,cascade,multiple,mean,036;119;117;020;106
sift-fingervein,20,FV-USM::036::02::R::middle,036,2,False,50,cascade,multiple,mean,106;036;120;020;012
superglue-fingervein,20,FV-USM::036::02::R::middle,036,2,False,50,cascade,multiple,mean,020;036;119;095;028
sgmnet-fingervein,20,FV-USM::036::02::R::middle,036,5,False,50,cascade,multiple,mean,012;108;049;117;036
aspanformer,20,FV-USM::036::02::R::middle,036,1,True,50,cascade,multiple,mean,036;119;095;026;020
deepdetect,20,FV-USM::036::02::R::middle,036,13,False,50,cascade,multiple,mean,108;046;028;120;020
loftr,24,FV-USM::032::03::R::middle,032,19,False,50,cascade,multiple,mean,070;082;072;104;121
orb-fingervein,24,FV-USM::032::03::R::middle,032,17,False,50,cascade,multiple,mean,121;108;072;005;104
sift-fingervein,24,FV-USM::032::03::R::middle,032,18,False,50,cascade,multiple,mean,021;015;072;044;001
superglue-fingervein,24,FV-USM::032::03::R::middle,032,19,False,50,cascade,multiple,mean,089;029;005;018;072
sgmnet-fingervein,24,FV-USM::032::03::R::middle,032,19,False,50,cascade,multiple,mean,001;029;021;044;070
aspanformer,24,FV-USM::032::03::R::middle,032,19,False,50,cascade,multiple,mean,072;108;029;001;082
deepdetect,24,FV-USM::032::03::R::middle,032,19,False,50,cascade,multiple,mean,018;070;021;029;082
loftr,28,FV-USM::029::05::R::middle,029,1,True,50,cascade,multiple,mean,029;021;005;110;001
orb-fingervein,28,FV-USM::029::05::R::middle,029,6,False,50,cascade,multiple,mean,005;015;076;082;036
