matcher,probe_record_id,probe_sample_id,probe_identity,rank_of_true_identity,rank_1_hit,gallery_size,ranking_strategy,samples_per_gallery,aggregation_method,top_5_identities
loftr,4,MMCBNU_6000::082::06::L::fore,082,16,False,50,cascade,multiple,mean,006;076;089;029;059
orb-fingervein,4,MMCBNU_6000::082::06::L::fore,082,16,False,50,cascade,multiple,mean,089;078;076;059;021
sift-fingervein,4,MMCBNU_6000::082::06::L::fore,082,14,False,50,cascade,multiple,mean,054;039;007;001;029
superglue-fingervein,4,MMCBNU_6000::082::06::L::fore,082,1,True,50,cascade,multiple,mean,082;015;004;095;036
sgmnet-fingervein,4,MMCBNU_6000::082::06::L::fore,082,16,False,50,cascade,multiple,mean,087;003;017;039;029
aspanformer,4,MMCBNU_6000::082::06::L::fore,082,10,False,50,cascade,multiple,mean,020;087;001;029;003
deepdetect,4,MMCBNU_6000::082::06::L::fore,082,16,False,50,cascade,multiple,mean,003;021;020;076;059
loftr,8,MMCBNU_6000::015::10::L::fore,015,16,False,50,cascade,multiple,mean,076;094;085;017;082
orb-fingervein,8,MMCBNU_6000::015::10::L::fore,015,14,False,50,cascade,multiple,mean,023;059;052;047;020
sift-fingervein,8,MMCBNU_6000::015::10::L::fore,015,15,False,50,cascade,multiple,mean,085;063;032;082;059
superglue-fingervein,8,MMCBNU_6000::015::10::L::fore,015,2,False,50,cascade,multiple,mean,082;015;004;095;036
sgmnet-fingervein,8,MMCBNU_6000::015::10::L::fore,015,16,False,50,cascade,multiple,mean,085;047;063;023;082
aspanformer,8,MMCBNU_6000::015::10::L::fore,015,7,False,50,cascade,multiple,mean,047;020;017;083;059
deepdetect,8,MMCBNU_6000::015::10::L::fore,015,16,False,50,cascade,multiple,mean,030;094;032;020;083
loftr,12,MMCBNU_6000::004::07::L::fore,004,1,True,50,cascade,multiple,mean,004;085;089;094;017
orb-fingervein,12,MMCBNU_6000::004::07::L::fore,004,10,False,50,cascade,multiple,mean,089;044;017;076;078
sift-fingervein,12,MMCBNU_6000::004::07::L::fore,004,3,False,50,cascade,multiple,mean,052;017;004;098;094
superglue-fingervein,12,MMCBNU_6000::004::07::L::fore,004,1,True,50,cascade,multiple,mean,004;082;015;095;036
sgmnet-fingervein,12,MMCBNU_6000::004::07::L::fore,004,11,False,50,cascade,multiple,mean,044;028;089;018;094
aspanformer,12,MMCBNU_6000::004::07::L::fore,004,3,False,50,cascade,multiple,mean,094;076;004;052;044
deepdetect,12,MMCBNU_6000::004::07::L::fore,004,11,False,50,cascade,multiple,mean,017;094;028;044;098
loftr,16,MMCBNU_6000::095::09::L::fore,095,1,True,50,cascade,multiple,mean,095;055;017;063;076
orb-fingervein,16,MMCBNU_6000::095::09::L::fore,095,1,True,50,cascade,multiple,mean,095;089;063;076;007
sift-fingervein,16,MMCBNU_6000::095::09::L::fore,095,1,True,50,cascade,multiple,mean,095;001;076;085;063
