matcher,probe_record_id,probe_sample_id,probe_identity,rank_of_true_identity,rank_1_hit,gallery_size,ranking_strategy,samples_per_gallery,aggregation_method,top_5_identities
loftr,2,THU-FVFDT::201::1::test,201,1,True,50,cascade,single,max,201;227;82;301;213
orb-fingervein,2,THU-FVFDT::201::1::test,201,1,True,50,cascade,single,max,201;121;512;67;352
sift-fingervein,2,THU-FVFDT::201::1::test,201,3,False,50,cascade,single,max,355;213;201;313;185
superglue-fingervein,2,THU-FVFDT::201::1::test,201,4,False,50,cascade,single,max,185;45;82;201;227
sgmnet-fingervein,2,THU-FVFDT::201::1::test,201,1,True,50,cascade,single,max,201;355;67;121;313
aspanformer,2,THU-FVFDT::201::1::test,201,1,True,50,cascade,single,max,201;213;121;45;82
deepdetect,2,THU-FVFDT::201::1::test,201,1,True,50,cascade,single,max,201;409;213;313;185
loftr,4,THU-FVFDT::121::1::train,121,1,True,50,cascade,single,max,121;594;409;140;282
orb-fingervein,4,THU-FVFDT::121::1::train,121,1,True,50,cascade,single,max,121;18;594;140;324
sift-fingervein,4,THU-FVFDT::121::1::train,121,1,True,50,cascade,single,max,121;489;324;313;213
superglue-fingervein,4,THU-FVFDT::121::1::train,121,1,True,50,cascade,single,max,121;18;201;352;324
sgmnet-fingervein,4,THU-FVFDT::121::1::train,121,1,True,50,cascade,single,max,121;594;324;486;412
aspanformer,4,THU-FVFDT::121::1::train,121,1,True,50,cascade,single,max,121;412;324;18;489
deepdetect,4,THU-FVFDT::121::1::train,121,1,True,50,cascade,single,max,121;324;140;313;594
loftr,6,THU-FVFDT::352::1::test,352,1,True,50,cascade,single,max,352;139;94;522;193
orb-fingervein,6,THU-FVFDT::352::1::test,352,1,True,50,cascade,single,max,352;355;522;304;201
sift-fingervein,6,THU-FVFDT::352::1::test,352,1,True,50,cascade,single,max,352;416;37;193;304
superglue-fingervein,6,THU-FVFDT::352::1::test,352,1,True,50,cascade,single,max,352;355;201;121;324
sgmnet-fingervein,6,THU-FVFDT::352::1::test,352,1,True,50,cascade,single,max,352;416;37;121;246
aspanformer,6,THU-FVFDT::352::1::test,352,1,True,50,cascade,single,max,352;246;193;201;121
deepdetect,6,THU-FVFDT::352::1::test,352,1,True,50,cascade,single,max,352;608;201;416;304
loftr,8,THU-FVFDT::324::1::test,324,1,True,50,cascade,single,max,324;246;94;432;242
orb-fingervein,8,THU-FVFDT::324::1::test,324,1,True,50,cascade,single,max,324;301;30;126;242
sift-fingervein,8,THU-FVFDT::324::1::test,324,1,True,50,cascade,single,max,324;18;301;432;242
superglue-fingervein,8,THU-FVFDT::324::1::test,324,1,True,50,cascade,single,max,324;201;121;352;304
sgmnet-fingervein,8,THU-FVFDT::324::1::test,324,1,True,50,cascade,single,max,324;18;126;301;163
aspanformer,8,THU-FVFDT::324::1::test,324,1,True,50,cascade,single,max,324;432;342;126;163
deepdetect,8,THU-FVFDT::324::1::test,324,1,True,50,cascade,single,max,324;301;416;608;18
loftr,10,THU-FVFDT::304::1::test,304,1,True,50,cascade,single,max,304;163;448;45;608
orb-fingervein,10,THU-FVFDT::304::1::test,304,1,True,50,cascade,single,max,304;324;565;486;45
sift-fingervein,10,THU-FVFDT::304::1::test,304,4,False,50,cascade,single,max,489;184;163;304;608
superglue-fingervein,10,THU-FVFDT::304::1::test,304,1,True,50,cascade,single,max,304;201;121;352;324
sgmnet-fingervein,10,THU-FVFDT::304::1::test,304,1,True,50,cascade,single,max,304;45;140;128;184
aspanformer,10,THU-FVFDT::304::1::test,304,1,True,50,cascade,single,max,304;45;324;352;184
deepdetect,10,THU-FVFDT::304::1::test,304,1,True,50,cascade,single,max,304;608;45;242;140
loftr,12,THU-FVFDT::227::1::train,227,1,True,50,cascade,single,max,227;201;94;246;121
orb-fingervein,12,THU-FVFDT::227::1::train,227,1,True,50,cascade,single,max,227;522;93;246;352
sift-fingervein,12,THU-FVFDT::227::1::train,227,1,True,50,cascade,single,max,227;94;201;352;213
superglue-fingervein,12,THU-FVFDT::227::1::train,227,2,False,50,cascade,single,max,201;227;352;94;121
sgmnet-fingervein,12,THU-FVFDT::227::1::train,227,1,True,50,cascade,single,max,227;139;213;121;342
aspanformer,12,THU-FVFDT::227::1::train,227,1,True,50,cascade,single,max,227;342;522;486;409
deepdetect,12,THU-FVFDT::227::1::train,227,1,True,50,cascade,single,max,227;276;121;213;246
loftr,14,THU-FVFDT::193::1::train,193,1,True,50,cascade,single,max,193;276;201;282;594
orb-fingervein,14,THU-FVFDT::193::1::train,193,1,True,50,cascade,single,max,193;608;594;201;121
sift-fingervein,14,THU-FVFDT::193::1::train,193,1,True,50,cascade,single,max,193;171;128;30;594
superglue-fingervein,14,THU-FVFDT::193::1::train,193,2,False,50,cascade,single,max,94;193;201;282;121
sgmnet-fingervein,14,THU-FVFDT::193::1::train,193,1,True,50,cascade,single,max,193;282;18;522;123
aspanformer,14,THU-FVFDT::193::1::train,193,1,True,50,cascade,single,max,193;594;123;18;522
deepdetect,14,THU-FVFDT::193::1::train,193,1,True,50,cascade,single,max,193;608;18;123;94
loftr,16,THU-FVFDT::601::1::train,601,1,True,50,cascade,single,max,601;37;171;412;432
orb-fingervein,16,THU-FVFDT::601::1::train,601,1,True,50,cascade,single,max,601;140;93;30;242
sift-fingervein,16,THU-FVFDT::601::1::train,601,1,True,50,cascade,single,max,601;93;45;163;18
superglue-fingervein,16,THU-FVFDT::601::1::train,601,1,True,50,cascade,single,max,601;45;30;242;201
sgmnet-fingervein,16,THU-FVFDT::601::1::train,601,1,True,50,cascade,single,max,601;45;171;140;37
aspanformer,16,THU-FVFDT::601::1::train,601,1,True,50,cascade,single,max,601;18;242;128;37
deepdetect,16,THU-FVFDT::601::1::train,601,1,True,50,cascade,single,max,601;37;432;140;18
loftr,18,THU-FVFDT::18::1::train,18,1,True,50,cascade,single,max,18;242;201;301;355
orb-fingervein,18,THU-FVFDT::18::1::train,18,1,True,50,cascade,single,max,18;522;201;121;352
sift-fingervein,18,THU-FVFDT::18::1::train,18,5,False,50,cascade,single,max,565;201;486;522;18
superglue-fingervein,18,THU-FVFDT::18::1::train,18,1,True,50,cascade,single,max,18;94;45;201;121
sgmnet-fingervein,18,THU-FVFDT::18::1::train,18,1,True,50,cascade,single,max,18;486;522;242;416
aspanformer,18,THU-FVFDT::18::1::train,18,1,True,50,cascade,single,max,18;94;242;355;565
deepdetect,18,THU-FVFDT::18::1::train,18,1,True,50,cascade,single,max,18;94;201;104;512
loftr,20,THU-FVFDT::94::1::test,94,1,True,50,cascade,single,max,94;139;140;121;242
orb-fingervein,20,THU-FVFDT::94::1::test,94,1,True,50,cascade,single,max,94;301;486;342;30
sift-fingervein,20,THU-FVFDT::94::1::test,94,1,True,50,cascade,single,max,94;171;121;140;352
superglue-fingervein,20,THU-FVFDT::94::1::test,94,2,False,50,cascade,single,max,121;94;171;139;30
sgmnet-fingervein,20,THU-FVFDT::94::1::test,94,1,True,50,cascade,single,max,94;342;171;242;594
aspanformer,20,THU-FVFDT::94::1::test,94,1,True,50,cascade,single,max,94;242;594;409;30
deepdetect,20,THU-FVFDT::94::1::test,94,1,True,50,cascade,single,max,94;342;409;352;30
loftr,22,THU-FVFDT::489::1::train,489,1,True,50,cascade,single,max,489;298;184;37;342
orb-fingervein,22,THU-FVFDT::489::1::train,489,1,True,50,cascade,single,max,489;128;313;140;565
sift-fingervein,22,THU-FVFDT::489::1::train,489,1,True,50,cascade,single,max,489;304;342;184;189
superglue-fingervein,22,THU-FVFDT::489::1::train,489,1,True,50,cascade,single,max,489;201;121;352;324
sgmnet-fingervein,22,THU-FVFDT::489::1::train,489,1,True,50,cascade,single,max,489;184;93;128;37
aspanformer,22,THU-FVFDT::489::1::train,489,1,True,50,cascade,single,max,489;128;37;93;342
deepdetect,22,THU-FVFDT::489::1::train,489,1,True,50,cascade,single,max,489;432;304;342;128
loftr,24,THU-FVFDT::128::1::train,128,1,True,50,cascade,single,max,128;126;163;201;139
orb-fingervein,24,THU-FVFDT::128::1::train,128,1,True,50,cascade,single,max,128;126;355;37;512
sift-fingervein,24,THU-FVFDT::128::1::train,128,3,False,50,cascade,single,max,201;304;128;139;512
superglue-fingervein,24,THU-FVFDT::128::1::train,128,1,True,50,cascade,single,max,128;213;126;201;121
sgmnet-fingervein,24,THU-FVFDT::128::1::train,128,1,True,50,cascade,single,max,128;522;601;342;313
aspanformer,24,THU-FVFDT::128::1::train,128,2,False,50,cascade,single,max,126;128;355;342;213
deepdetect,24,THU-FVFDT::128::1::train,128,1,True,50,cascade,single,max,128;126;522;342;37
loftr,26,THU-FVFDT::126::1::test,126,1,True,50,cascade,single,max,126;121;282;45;565
orb-fingervein,26,THU-FVFDT::126::1::test,126,1,True,50,cascade,single,max,126;227;213;512;45
sift-fingervein,26,THU-FVFDT::126::1::test,126,1,True,50,cascade,single,max,126;121;324;313;104
superglue-fingervein,26,THU-FVFDT::126::1::test,126,1,True,50,cascade,single,max,126;282;30;512;45
sgmnet-fingervein,26,THU-FVFDT::126::1::test,126,1,True,50,cascade,single,max,126;416;512;324;448
aspanformer,26,THU-FVFDT::126::1::test,126,1,True,50,cascade,single,max,126;324;121;565;282
deepdetect,26,THU-FVFDT::126::1::test,126,1,True,50,cascade,single,max,126;45;416;227;448
loftr,28,THU-FVFDT::185::1::train,185,1,True,50,cascade,single,max,185;37;82;43;201
orb-fingervein,28,THU-FVFDT::185::1::train,185,1,True,50,cascade,single,max,185;342;184;594;201
sift-fingervein,28,THU-FVFDT::185::1::train,185,1,True,50,cascade,single,max,185;184;43;522;594
superglue-fingervein,28,THU-FVFDT::185::1::train,185,3,False,50,cascade,single,max,43;82;185;201;18
sgmnet-fingervein,28,THU-FVFDT::185::1::train,185,1,True,50,cascade,single,max,185;522;594;342;37
aspanformer,28,THU-FVFDT::185::1::train,185,1,True,50,cascade,single,max,185;298;342;522;201
deepdetect,28,THU-FVFDT::185::1::train,185,1,True,50,cascade,single,max,185;189;342;37;82
loftr,30,THU-FVFDT::30::1::test,30,1,True,50,cascade,single,max,30;193;242;282;448
orb-fingervein,30,THU-FVFDT::30::1::test,30,1,True,50,cascade,single,max,30;355;416;242;104
sift-fingervein,30,THU-FVFDT::30::1::test,30,1,True,50,cascade,single,max,30;352;193;242;139
superglue-fingervein,30,THU-FVFDT::30::1::test,30,1,True,50,cascade,single,max,30;104;594;201;121
sgmnet-fingervein,30,THU-FVFDT::30::1::test,30,1,True,50,cascade,single,max,30;304;352;242;594
aspanformer,30,THU-FVFDT::30::1::test,30,1,True,50,cascade,single,max,30;163;123;352;355
deepdetect,30,THU-FVFDT::30::1::test,30,1,True,50,cascade,single,max,30;448;242;104;123
loftr,32,THU-FVFDT::313::1::test,313,1,True,50,cascade,single,max,313;185;448;140;489
