matcher,probe_record_id,probe_sample_id,probe_identity,rank_of_true_identity,rank_1_hit,gallery_size,ranking_strategy,samples_per_gallery,aggregation_method,top_5_identities
loftr,2,THU-FVFDT::201::1::test,201,1,True,50,cascade,single,max,201;94;324;139;355
orb-fingervein,2,THU-FVFDT::201::1::test,201,11,False,50,cascade,single,max,171;324;139;313;193
sift-fingervein,2,THU-FVFDT::201::1::test,201,8,False,50,cascade,single,max,324;565;139;171;193
superglue-fingervein,2,THU-FVFDT::201::1::test,201,2,False,50,cascade,single,max,324;201;171;355;126
sgmnet-fingervein,2,THU-FVFDT::201::1::test,201,2,False,50,cascade,single,max,140;201;324;352;94
aspanformer,2,THU-FVFDT::201::1::test,201,5,False,50,cascade,single,max,313;121;193;139;201
deepdetect,2,THU-FVFDT::201::1::test,201,5,False,50,cascade,single,max,355;139;324;126;201
loftr,4,THU-FVFDT::121::1::train,121,1,True,50,cascade,single,max,121;594;139;82;45
orb-fingervein,4,THU-FVFDT::121::1::train,121,1,True,50,cascade,single,max,121;82;140;45;565
sift-fingervein,4,THU-FVFDT::121::1::train,121,8,False,50,cascade,single,max,184;189;342;45;608
superglue-fingervein,4,THU-FVFDT::121::1::train,121,6,False,50,cascade,single,max,193;123;565;139;82
sgmnet-fingervein,4,THU-FVFDT::121::1::train,121,1,True,50,cascade,single,max,121;193;189;608;342
aspanformer,4,THU-FVFDT::121::1::train,121,2,False,50,cascade,single,max,185;121;189;193;140
deepdetect,4,THU-FVFDT::121::1::train,121,2,False,50,cascade,single,max,189;121;139;201;352
loftr,6,THU-FVFDT::352::1::test,352,17,False,50,cascade,single,max,104;163;282;45;355
orb-fingervein,6,THU-FVFDT::352::1::test,352,12,False,50,cascade,single,max,282;37;104;193;43
sift-fingervein,6,THU-FVFDT::352::1::test,352,13,False,50,cascade,single,max,193;185;37;512;163
superglue-fingervein,6,THU-FVFDT::352::1::test,352,12,False,50,cascade,single,max,163;512;193;43;355
sgmnet-fingervein,6,THU-FVFDT::352::1::test,352,18,False,50,cascade,single,max,45;185;301;104;355
aspanformer,6,THU-FVFDT::352::1::test,352,10,False,50,cascade,single,max,355;163;193;512;301
deepdetect,6,THU-FVFDT::352::1::test,352,17,False,50,cascade,single,max,313;163;301;193;416
loftr,8,THU-FVFDT::324::1::test,324,1,True,50,cascade,single,max,324;189;67;184;246
orb-fingervein,8,THU-FVFDT::324::1::test,324,3,False,50,cascade,single,max,163;140;324;67;201
sift-fingervein,8,THU-FVFDT::324::1::test,324,13,False,50,cascade,single,max,512;121;163;304;489
superglue-fingervein,8,THU-FVFDT::324::1::test,324,6,False,50,cascade,single,max,189;512;227;489;67
sgmnet-fingervein,8,THU-FVFDT::324::1::test,324,11,False,50,cascade,single,max,189;67;184;409;163
aspanformer,8,THU-FVFDT::324::1::test,324,3,False,50,cascade,single,max,163;184;324;489;227
deepdetect,8,THU-FVFDT::324::1::test,324,7,False,50,cascade,single,max,409;163;121;227;282
loftr,10,THU-FVFDT::304::1::test,304,19,False,50,cascade,single,max,18;522;355;140;416
orb-fingervein,10,THU-FVFDT::304::1::test,304,10,False,50,cascade,single,max,601;201;298;342;18
sift-fingervein,10,THU-FVFDT::304::1::test,304,15,False,50,cascade,single,max,355;18;416;342;201
superglue-fingervein,10,THU-FVFDT::304::1::test,304,11,False,50,cascade,single,max,432;522;201;140;486
sgmnet-fingervein,10,THU-FVFDT::304::1::test,304,19,False,50,cascade,single,max,355;201;126;432;227
aspanformer,10,THU-FVFDT::304::1::test,304,18,False,50,cascade,single,max,298;276;355;489;18
deepdetect,10,THU-FVFDT::304::1::test,304,16,False,50,cascade,single,max,140;126;522;227;342
loftr,12,THU-FVFDT::227::1::train,227,1,True,50,cascade,single,max,227;45;213;104;352
orb-fingervein,12,THU-FVFDT::227::1::train,227,1,True,50,cascade,single,max,227;139;104;82;94
sift-fingervein,12,THU-FVFDT::227::1::train,227,9,False,50,cascade,single,max,304;276;486;104;594
superglue-fingervein,12,THU-FVFDT::227::1::train,227,4,False,50,cascade,single,max,82;486;246;227;213
sgmnet-fingervein,12,THU-FVFDT::227::1::train,227,6,False,50,cascade,single,max,594;213;45;104;82
aspanformer,12,THU-FVFDT::227::1::train,227,1,True,50,cascade,single,max,227;276;486;352;489
deepdetect,12,THU-FVFDT::227::1::train,227,3,False,50,cascade,single,max,45;352;227;139;94
loftr,14,THU-FVFDT::193::1::train,193,1,True,50,cascade,single,max,193;140;163;201;242
orb-fingervein,14,THU-FVFDT::193::1::train,193,3,False,50,cascade,single,max,246;201;193;324;522
sift-fingervein,14,THU-FVFDT::193::1::train,193,12,False,50,cascade,single,max,121;282;242;432;352
superglue-fingervein,14,THU-FVFDT::193::1::train,193,3,False,50,cascade,single,max,352;282;193;123;432
sgmnet-fingervein,14,THU-FVFDT::193::1::train,193,2,False,50,cascade,single,max,201;193;324;246;121
aspanformer,14,THU-FVFDT::193::1::train,193,1,True,50,cascade,single,max,193;201;163;140;121
deepdetect,14,THU-FVFDT::193::1::train,193,3,False,50,cascade,single,max,121;352;193;522;242
loftr,16,THU-FVFDT::601::1::train,601,2,False,50,cascade,single,max,104;601;139;355;140
orb-fingervein,16,THU-FVFDT::601::1::train,601,1,True,50,cascade,single,max,601;121;139;409;412
sift-fingervein,16,THU-FVFDT::601::1::train,601,13,False,50,cascade,single,max,412;171;82;276;104
superglue-fingervein,16,THU-FVFDT::601::1::train,601,2,False,50,cascade,single,max,140;601;104;276;355
sgmnet-fingervein,16,THU-FVFDT::601::1::train,601,14,False,50,cascade,single,max,201;242;409;121;104
aspanformer,16,THU-FVFDT::601::1::train,601,4,False,50,cascade,single,max,242;121;140;601;201
deepdetect,16,THU-FVFDT::601::1::train,601,9,False,50,cascade,single,max,140;121;355;139;93
loftr,18,THU-FVFDT::18::1::train,18,21,False,50,cascade,single,max,45;301;67;126;189
orb-fingervein,18,THU-FVFDT::18::1::train,18,16,False,50,cascade,single,max,227;45;189;67;93
sift-fingervein,18,THU-FVFDT::18::1::train,18,16,False,50,cascade,single,max,93;126;301;416;227
