matcher,probe_record_id,probe_sample_id,probe_identity,rank_of_true_identity,rank_1_hit,gallery_size,ranking_strategy,samples_per_gallery,aggregation_method,top_5_identities
loftr,2,11k_Hands::0001566::Hand_0003852,0001566,1,True,50,cascade,multiple,max,0001566;0000573;0001549;0000505;0001082
orb-fingervein,2,11k_Hands::0001566::Hand_0003852,0001566,1,True,50,cascade,multiple,max,0001566;0000573;0000587;0000505;0000086
sift-fingervein,2,11k_Hands::0001566::Hand_0003852,0001566,1,True,50,cascade,multiple,max,0001566;0000064;0000081;0001082;0000587
superglue-fingervein,2,11k_Hands::0001566::Hand_0003852,0001566,1,True,50,cascade,multiple,max,0001566;0000573;0001008;0001082;0000505
sgmnet-fingervein,2,11k_Hands::0001566::Hand_0003852,0001566,1,True,50,cascade,multiple,max,0001566;0000081;0001589;0000086;0001082
aspanformer,2,11k_Hands::0001566::Hand_0003852,0001566,1,True,50,cascade,multiple,max,0001566;0001082;0000013;0001008;0001560
deepdetect,2,11k_Hands::0001566::Hand_0003852,0001566,1,True,50,cascade,multiple,max,0001566;0000081;0001082;0000505;0001073
loftr,4,11k_Hands::0000086::Hand_0001997,0000086,1,True,50,cascade,multiple,max,0000086;0000081;0001073;0001549;0001589
orb-fingervein,4,11k_Hands::0000086::Hand_0001997,0000086,4,False,50,cascade,multiple,max,0000505;0000023;0001008;0000086;0001566
sift-fingervein,4,11k_Hands::0000086::Hand_0001997,0000086,1,True,50,cascade,multiple,max,0000086;0001566;0000013;0001008;0000587
superglue-fingervein,4,11k_Hands::0000086::Hand_0001997,0000086,2,False,50,cascade,multiple,max,0001533;0000086;0000013;0001531;0000505
sgmnet-fingervein,4,11k_Hands::0000086::Hand_0001997,0000086,1,True,50,cascade,multiple,max,0000086;0001566;0000013;0001531;0000064
aspanformer,4,11k_Hands::0000086::Hand_0001997,0000086,1,True,50,cascade,multiple,max,0000086;0001531;0000081;0001073;0000573
deepdetect,4,11k_Hands::0000086::Hand_0001997,0000086,1,True,50,cascade,multiple,max,0000086;0001549;0001533;0000023;0000013
loftr,6,11k_Hands::0000013::Hand_0000508,0000013,1,True,50,cascade,multiple,max,0000013;0000573;0000064;0000505;0000019
orb-fingervein,6,11k_Hands::0000013::Hand_0000508,0000013,1,True,50,cascade,multiple,max,0000013;0000505;0001533;0001008;0001566
sift-fingervein,6,11k_Hands::0000013::Hand_0000508,0000013,1,True,50,cascade,multiple,max,0000013;0000081;0000505;0000086;0001533
superglue-fingervein,6,11k_Hands::0000013::Hand_0000508,0000013,1,True,50,cascade,multiple,max,0000013;0000019;0001589;0001549;0000081
sgmnet-fingervein,6,11k_Hands::0000013::Hand_0000508,0000013,1,True,50,cascade,multiple,max,0000013;0000019;0000086;0001073;0000064
