matcher,probe_record_id,probe_sample_id,probe_identity,rank_of_true_identity,rank_1_hit,gallery_size,strategy,aggregation_method,top_5_identities
sift,2,11k_Hands::0001566::Hand_0003852,0001566,1,True,50,single,max,0001566;1100000;0001034;0000571;0000023
sift,4,11k_Hands::0000086::Hand_0001997,0000086,2,False,50,single,max,0000514;0000086;0000004;0001566;0000013
sift,6,11k_Hands::0000013::Hand_0000508,0000013,1,True,50,single,max,0000013;0000065;0000572;0000587;0001517
sift,8,11k_Hands::0001008::Hand_0001248,0001008,3,False,50,single,max,0001588;0001034;0001008;0001046;1200000
sift,10,11k_Hands::0000587::Hand_0005883,0000587,9,False,50,single,max,0001032;2000000;0001082;0001588;0001533
sift,12,11k_Hands::0000573::Hand_0008014,0000573,6,False,50,single,max,0001594;0001566;0001046;0000576;0001549
sift,14,11k_Hands::0000505::Hand_0000132,0000505,5,False,50,single,max,0000066;0000062;0001533;0001050;0000505
sift,16,11k_Hands::0000081::Hand_0000390,0000081,11,False,50,single,max,0001566;0001589;0001046;0000013;0001517
sift,18,11k_Hands::0001589::Hand_0011692,0001589,5,False,50,single,max,0001032;0000518;0001594;0000093;0001589
sift,20,11k_Hands::0001533::Hand_0002547,0001533,6,False,50,single,max,0000013;0001517;0001566;0001032;0000573
sift,22,11k_Hands::0000064::Hand_0001172,0000064,1,True,50,single,max,0000064;0001034;0001082;0001037;0001566
sift,24,11k_Hands::0001549::Hand_0003060,0001549,2,False,50,single,max,2000000;0001549;0001539;0001082;0001594
sift,26,11k_Hands::0001073::Hand_0000431,0001073,20,False,50,single,max,0001082;0000013;0000573;0000086;0000571
sift,28,11k_Hands::0000023::Hand_0010258,0000023,3,False,50,single,max,0001566;0000587;0000023;0000086;0000013
sift,30,11k_Hands::0000019::Hand_0000462,0000019,2,False,50,single,max,0000086;0000019;0001566;0000013;0001008
sift,32,11k_Hands::0000065::Hand_0000111,0000065,4,False,50,single,max,0000086;0001008;0001034;0000065;0001533
sift,34,11k_Hands::0000571::Hand_0010489,0000571,3,False,50,single,max,0000505;0001531;0000571;0000573;0001539
sift,36,11k_Hands::0000576::Hand_0005493,0000576,12,False,50,single,max,0001533;0001531;0000587;0001588;0001037
sift,38,11k_Hands::0001517::Hand_0001717,0001517,1,True,50,single,max,0001517;0001531;0000023;0001073;0001566
sift,40,11k_Hands::0001553::Hand_0006465,0001553,2,False,50,single,max,0000023;0001553;0001046;0001032;0001566
sift,42,11k_Hands::7000000::Hand_0009697,7000000,1,True,50,single,max,7000000;0001046;0000571;0001008;0000514
sift,44,11k_Hands::0001539::Hand_0007869,0001539,6,False,50,single,max,0001002;0000514;0000505;0000573;0001594
sift,46,11k_Hands::0000543::Hand_0001921,0000543,3,False,50,single,max,0000064;0000066;0000543;0001566;0000576
sift,48,11k_Hands::1100000::Hand_0009816,1100000,2,False,50,single,max,0001002;1100000;0001533;0000028;0001594
sift,50,11k_Hands::0001070::Hand_0001979,0001070,3,False,50,single,max,0000028;0001533;0001070;0001566;0000086
sift,52,11k_Hands::0000572::Hand_0000622,0000572,3,False,50,single,max,0001553;0000587;0000572;0001008;0000028
sift,54,11k_Hands::0001082::Hand_0008461,0001082,3,False,50,single,max,0000571;0001034;0001082;0001533;0000093
sift,56,11k_Hands::0001547::Hand_0006052,0001547,6,False,50,single,max,0000062;0001008;0000576;0001531;0000514
sift,58,11k_Hands::0001009::Hand_0009212,0001009,6,False,50,single,max,0001539;0000514;0001089;0001008;1200000
sift,60,11k_Hands::0000004::Hand_0000679,0000004,1,True,50,single,max,0000004;0001517;0001033;0000086;0001070
sift,62,11k_Hands::0000518::Hand_0010437,0000518,6,False,50,single,max,0000571;0000573;0000066;0001588;0001566
sift,64,11k_Hands::0001594::Hand_0010397,0001594,3,False,50,single,max,0001033;0000573;0001594;0000066;1200000
sift,66,11k_Hands::0001033::Hand_0004533,0001033,4,False,50,single,max,0000062;2000000;0000573;0001033;0001032
sift,68,11k_Hands::0001560::Hand_0006542,0001560,1,True,50,single,max,0001560;0001517;0000028;0001082;0000543
sift,70,11k_Hands::0000514::Hand_0001336,0000514,6,False,50,single,max,0000086;0001533;2000000;0001008;0000543
sift,72,11k_Hands::0001588::Hand_0003032,0001588,4,False,50,single,max,0000572;0001566;0000573;0001588;0001002
sift,74,11k_Hands::0001032::Hand_0004140,0001032,4,False,50,single,max,0001549;0000093;0000543;0001032;0001594
sift,76,11k_Hands::2000000::Hand_0009453,2000000,2,False,50,single,max,0000518;2000000;0001566;0000086;0000013
sift,78,11k_Hands::1200000::Hand_0009857,1200000,2,False,50,single,max,0000587;1200000;0000062;0000066;0001517
sift,80,11k_Hands::0001050::Hand_0004794,0001050,2,False,50,single,max,0000505;0001050;0001594;0000013;0001037
sift,82,11k_Hands::0000066::Hand_0010031,0000066,3,False,50,single,max,0001009;0000062;0000066;0001549;0000505
sift,84,11k_Hands::0001037::Hand_0006181,0001037,6,False,50,single,max,0001002;0001082;0000028;0000505;0000086
sift,86,11k_Hands::0001034::Hand_0004235,0001034,7,False,50,single,max,0001533;0000543;0000019;0000576;0001009
sift,88,11k_Hands::0001002::Hand_0003095,0001002,1,True,50,single,max,0001002;0000064;1100000;0000062;0001560
sift,90,11k_Hands::0000028::Hand_0001016,0000028,3,False,50,single,max,0001033;0000019;0000028;1100000;0001517
sift,92,11k_Hands::0001089::Hand_0010826,0001089,2,False,50,single,max,0001531;0001089;0001594;0000518;0001566
sift,94,11k_Hands::0001531::Hand_0011353,0001531,5,False,50,single,max,0000066;0001046;0000518;0001549;0001531
sift,96,11k_Hands::0000093::Hand_0008704,0000093,5,False,50,single,max,0001034;0000505;0000571;0000518;0000093
sift,98,11k_Hands::0001046::Hand_0008393,0001046,6,False,50,single,max,0001539;0001033;0000093;0001553;1100000
sift,100,11k_Hands::0000062::Hand_0000842,0000062,7,False,50,single,max,0001594;0001566;0001046;0001531;0001008
