matcher,probe_record_id,probe_sample_id,probe_identity,rank_of_true_identity,rank_1_hit,gallery_size,strategy,aggregation_method,top_5_identities
sift-fingervein,2,11k_Hands::0001566::Hand_0003852,0001566,1,True,50,single,max,0001566;0001034;0000064;0000081;0000028
sift-fingervein,4,11k_Hands::0000086::Hand_0001997,0000086,3,False,50,single,max,0001037;0000514;0000086;0000505;0001073
sift-fingervein,6,11k_Hands::0000013::Hand_0000508,0000013,1,True,50,single,max,0000013;0001032;0000081;0001531;0001008
sift-fingervein,8,11k_Hands::0001008::Hand_0001248,0001008,1,True,50,single,max,0001008;0001050;0001547;0000066;0001589
sift-fingervein,10,11k_Hands::0000587::Hand_0005883,0000587,1,True,50,single,max,0000587;0001070;0001002;1200000;0001566
sift-fingervein,12,11k_Hands::0000573::Hand_0008014,0000573,1,True,50,single,max,0000573;0001037;0001566;0001553;0001594
sift-fingervein,14,11k_Hands::0000505::Hand_0000132,0000505,2,False,50,single,max,0001009;0000505;0001588;1100000;1200000
sift-fingervein,16,11k_Hands::0000081::Hand_0000390,0000081,2,False,50,single,max,0001547;0000081;0001002;0001089;0000004
sift-fingervein,18,11k_Hands::0001589::Hand_0011692,0001589,1,True,50,single,max,0001589;0000587;0000505;0001033;0000013
sift-fingervein,20,11k_Hands::0001533::Hand_0002547,0001533,1,True,50,single,max,0001533;1200000;0001517;0000066;0000587
sift-fingervein,22,11k_Hands::0000064::Hand_0001172,0000064,1,True,50,single,max,0000064;0000065;0001073;0000019;0001560
sift-fingervein,24,11k_Hands::0001549::Hand_0003060,0001549,1,True,50,single,max,0001549;1100000;0000572;0001531;0000064
sift-fingervein,26,11k_Hands::0001073::Hand_0000431,0001073,6,False,50,single,max,0001089;0000062;0001547;0000028;1200000
sift-fingervein,28,11k_Hands::0000023::Hand_0010258,0000023,2,False,50,single,max,0000028;0000023;0001588;0001002;0000543
sift-fingervein,30,11k_Hands::0000019::Hand_0000462,0000019,2,False,50,single,max,0000587;0000019;0001008;0001594;0001073
sift-fingervein,32,11k_Hands::0000065::Hand_0000111,0000065,1,True,50,single,max,0000065;0000093;0000028;0000066;0001033
