matcher,probe_record_id,probe_sample_id,probe_identity,rank_of_true_identity,rank_1_hit,gallery_size,strategy,aggregation_method,top_5_identities
sift,2,11k_Hands::0001566::Hand_0003852,0001566,1,True,50,single,max,0001566;0001034;7000000;0000093;1100000
sift-fingervein,2,11k_Hands::0001566::Hand_0003852,0001566,1,True,50,single,max,0001566;0001547;2000000;0001560;0000066
sift,4,11k_Hands::0000086::Hand_0001997,0000086,5,False,50,single,max,0000514;0000081;0001073;0001531;0000086
sift-fingervein,4,11k_Hands::0000086::Hand_0001997,0000086,3,False,50,single,max,0001594;0001034;0000086;0001008;0001073
sift,6,11k_Hands::0000013::Hand_0000508,0000013,1,True,50,single,max,0000013;0000573;0001539;1200000;0000572
sift-fingervein,6,11k_Hands::0000013::Hand_0000508,0000013,1,True,50,single,max,0000013;0000572;0001533;0001547;0001517
sift,8,11k_Hands::0001008::Hand_0001248,0001008,1,True,50,single,max,0001008;0001034;0000093;0000062;0001588
sift-fingervein,8,11k_Hands::0001008::Hand_0001248,0001008,1,True,50,single,max,0001008;0001050;0000573;0000543;0000004
sift,10,11k_Hands::0000587::Hand_0005883,0000587,11,False,50,single,max,2000000;0001032;0001037;0000576;0001009
sift-fingervein,10,11k_Hands::0000587::Hand_0005883,0000587,1,True,50,single,max,0000587;0000576;0001588;0001566;1200000
sift,12,11k_Hands::0000573::Hand_0008014,0000573,9,False,50,single,max,0001082;0001034;0001566;0001046;0001549
sift-fingervein,12,11k_Hands::0000573::Hand_0008014,0000573,1,True,50,single,max,0000573;1100000;0000572;7000000;0000576
sift,14,11k_Hands::0000505::Hand_0000132,0000505,4,False,50,single,max,0001050;0000066;0001533;0000505;0001566
sift-fingervein,14,11k_Hands::0000505::Hand_0000132,0000505,2,False,50,single,max,0000571;0000505;0000573;0001008;0001033
sift,16,11k_Hands::0000081::Hand_0000390,0000081,12,False,50,single,max,0001566;0001082;0001046;0000062;0000013
sift-fingervein,16,11k_Hands::0000081::Hand_0000390,0000081,2,False,50,single,max,0000543;0000081;0000573;0001050;0001517
sift,18,11k_Hands::0001589::Hand_0011692,0001589,1,True,50,single,max,0001589;0001517;0000093;1100000;0000505
