matcher,probe_record_id,probe_sample_id,probe_identity,rank_of_true_identity,rank_1_hit,gallery_size,ranking_strategy,samples_per_gallery,aggregation_method,top_5_identities
loftr,4,11k_Hands::0001567::Hand_0003726,0001567,1,True,50,cascade,multiple,mean,0001567;0000573;0001518;0000063;0001587
orb-fingervein,4,11k_Hands::0001567::Hand_0003726,0001567,1,True,50,cascade,multiple,mean,0001567;0000573;0001518;0001074;0000518
sift-fingervein,4,11k_Hands::0001567::Hand_0003726,0001567,1,True,50,cascade,multiple,mean,0001567;0000518;0001518;0001011;0001535
superglue-fingervein,4,11k_Hands::0001567::Hand_0003726,0001567,1,True,50,cascade,multiple,mean,0001567;0001535;0001559;0000572;0000506
sgmnet-fingervein,4,11k_Hands::0001567::Hand_0003726,0001567,1,True,50,cascade,multiple,mean,0001567;0001011;0001518;0001587;0000572
aspanformer,4,11k_Hands::0001567::Hand_0003726,0001567,1,True,50,cascade,multiple,mean,0001567;0000581;0000573;0001011;0001518
deepdetect,4,11k_Hands::0001567::Hand_0003726,0001567,1,True,50,cascade,multiple,mean,0001567;0001011;0000506;0000572;0000063
loftr,8,11k_Hands::0000088::Hand_0010570,0000088,1,True,50,cascade,multiple,mean,0000088;0000023;0001549;0000524;0000581
orb-fingervein,8,11k_Hands::0000088::Hand_0010570,0000088,1,True,50,cascade,multiple,mean,0000088;0000524;0000581;0001549;0001050
sift-fingervein,8,11k_Hands::0000088::Hand_0010570,0000088,1,True,50,cascade,multiple,mean,0000088;0001050;0000581;0001051;0000524
superglue-fingervein,8,11k_Hands::0000088::Hand_0010570,0000088,1,True,50,cascade,multiple,mean,0000088;0000065;0001009;0000524;1200000
sgmnet-fingervein,8,11k_Hands::0000088::Hand_0010570,0000088,1,True,50,cascade,multiple,mean,0000088;0000065;0000524;0001549;7000000
aspanformer,8,11k_Hands::0000088::Hand_0010570,0000088,1,True,50,cascade,multiple,mean,0000088;0000524;0000023;0001549;1200000
deepdetect,8,11k_Hands::0000088::Hand_0010570,0000088,1,True,50,cascade,multiple,mean,0000088;0001567;0000524;0001011;0001050
loftr,12,11k_Hands::0000013::Hand_0000508,0000013,1,True,50,cascade,multiple,mean,0000013;0000065;0001035;0001003;0000572
orb-fingervein,12,11k_Hands::0000013::Hand_0000508,0000013,1,True,50,cascade,multiple,mean,0000013;0000065;0001035;0000004;0000063
sift-fingervein,12,11k_Hands::0000013::Hand_0000508,0000013,1,True,50,cascade,multiple,mean,0000013;0000572;0000581;0001555;0001009
superglue-fingervein,12,11k_Hands::0000013::Hand_0000508,0000013,1,True,50,cascade,multiple,mean,0000013;0000088;0001009;0001549;0001035
sgmnet-fingervein,12,11k_Hands::0000013::Hand_0000508,0000013,1,True,50,cascade,multiple,mean,0000013;0001003;0000088;0001567;0000004
aspanformer,12,11k_Hands::0000013::Hand_0000508,0000013,1,True,50,cascade,multiple,mean,0000013;0001567;0001009;0000065;0001035
deepdetect,12,11k_Hands::0000013::Hand_0000508,0000013,1,True,50,cascade,multiple,mean,0000013;0000581;0000063;0000088;0001555
loftr,16,11k_Hands::0001009::Hand_0009218,0001009,1,True,50,cascade,multiple,mean,0001009;7000000;0000588;0001567;0001588
orb-fingervein,16,11k_Hands::0001009::Hand_0009218,0001009,1,True,50,cascade,multiple,mean,0001009;0001051;0001588;0001039;0001593
sift-fingervein,16,11k_Hands::0001009::Hand_0009218,0001009,1,True,50,cascade,multiple,mean,0001009;0000572;0001588;0000013;0000004
superglue-fingervein,16,11k_Hands::0001009::Hand_0009218,0001009,1,True,50,cascade,multiple,mean,0001009;0000588;7000000;0000019;0000013
sgmnet-fingervein,16,11k_Hands::0001009::Hand_0009218,0001009,1,True,50,cascade,multiple,mean,0001009;0000506;0001567;0001588;7000000
aspanformer,16,11k_Hands::0001009::Hand_0009218,0001009,1,True,50,cascade,multiple,mean,0001009;0000013;0000019;0001567;0000004
deepdetect,16,11k_Hands::0001009::Hand_0009218,0001009,1,True,50,cascade,multiple,mean,0001009;0000588;0000019;0001051;0001593
loftr,20,11k_Hands::0000588::Hand_0005837,0000588,1,True,50,cascade,multiple,mean,0000588;0001033;0000019;0001011;0001567
orb-fingervein,20,11k_Hands::0000588::Hand_0005837,0000588,1,True,50,cascade,multiple,mean,0000588;0000506;0001011;0001567;0001039
sift-fingervein,20,11k_Hands::0000588::Hand_0005837,0000588,1,True,50,cascade,multiple,mean,0000588;0000581;0000013;0000019;0001567
superglue-fingervein,20,11k_Hands::0000588::Hand_0005837,0000588,2,False,50,cascade,multiple,mean,0001011;0000588;0000506;0000019;0001033
sgmnet-fingervein,20,11k_Hands::0000588::Hand_0005837,0000588,1,True,50,cascade,multiple,mean,0000588;0000506;0000065;0000013;0000572
aspanformer,20,11k_Hands::0000588::Hand_0005837,0000588,1,True,50,cascade,multiple,mean,0000588;0000019;0001567;0000572;0001033
deepdetect,20,11k_Hands::0000588::Hand_0005837,0000588,1,True,50,cascade,multiple,mean,0000588;0001567;0001033;0001039;0001009
loftr,24,11k_Hands::0000574::Hand_0002100,0000574,1,True,50,cascade,multiple,mean,0000574;0001593;0001034;0001550;0001559
