matcher,probe_record_id,probe_sample_id,probe_identity,rank_of_true_identity,rank_1_hit,gallery_size,ranking_strategy,samples_per_gallery,aggregation_method,top_5_identities
loftr,4,11k_Hands::0001567::Hand_0003726,0001567,1,True,50,cascade,multiple,mean,0001567;0000588;0000573;0001592;0001039
orb-fingervein,4,11k_Hands::0001567::Hand_0003726,0001567,1,True,50,cascade,multiple,mean,0001567;0000573;0000588;7000000;0000506
sift-fingervein,4,11k_Hands::0001567::Hand_0003726,0001567,1,True,50,cascade,multiple,mean,0001567;0001039;0000506;0000588;0001011
superglue-fingervein,4,11k_Hands::0001567::Hand_0003726,0001567,1,True,50,cascade,multiple,mean,0001567;0001592;0000588;0000573;0001034
sgmnet-fingervein,4,11k_Hands::0001567::Hand_0003726,0001567,1,True,50,cascade,multiple,mean,0001567;0001592;0000588;0000506;0001039
aspanformer,4,11k_Hands::0001567::Hand_0003726,0001567,1,True,50,cascade,multiple,mean,0001567;0000588;0000506;0001592;0000572
deepdetect,4,11k_Hands::0001567::Hand_0003726,0001567,1,True,50,cascade,multiple,mean,0001567;0000588;0001039;0000573;0000546
loftr,8,11k_Hands::0000088::Hand_0010570,0000088,1,True,50,cascade,multiple,mean,0000088;0001567;0000023;0000581;0001033
orb-fingervein,8,11k_Hands::0000088::Hand_0010570,0000088,1,True,50,cascade,multiple,mean,0000088;0000524;0001559;0000506;0001549
sift-fingervein,8,11k_Hands::0000088::Hand_0010570,0000088,1,True,50,cascade,multiple,mean,0000088;0000506;0001587;0001567;0000524
superglue-fingervein,8,11k_Hands::0000088::Hand_0010570,0000088,1,True,50,cascade,multiple,mean,0000088;0000506;0001549;0000581;0000023
sgmnet-fingervein,8,11k_Hands::0000088::Hand_0010570,0000088,1,True,50,cascade,multiple,mean,0000088;0001567;0001033;0001549;0001518
aspanformer,8,11k_Hands::0000088::Hand_0010570,0000088,2,False,50,cascade,multiple,mean,0001567;0000088;0000506;0001535;0001550
deepdetect,8,11k_Hands::0000088::Hand_0010570,0000088,1,True,50,cascade,multiple,mean,0000088;0001033;0000524;0001550;0001518
loftr,12,11k_Hands::0000013::Hand_0000508,0000013,1,True,50,cascade,multiple,mean,0000013;0000588;0001567;0001073;0001033
orb-fingervein,12,11k_Hands::0000013::Hand_0000508,0000013,1,True,50,cascade,multiple,mean,0000013;0001535;0001033;0001073;0000063
sift-fingervein,12,11k_Hands::0000013::Hand_0000508,0000013,1,True,50,cascade,multiple,mean,0000013;0001073;0001033;0000063;0000506
superglue-fingervein,12,11k_Hands::0000013::Hand_0000508,0000013,3,False,50,cascade,multiple,mean,0001073;0000588;0000013;0001535;0001567
sgmnet-fingervein,12,11k_Hands::0000013::Hand_0000508,0000013,1,True,50,cascade,multiple,mean,0000013;0001567;0001033;0000546;0001073
aspanformer,12,11k_Hands::0000013::Hand_0000508,0000013,3,False,50,cascade,multiple,mean,0001567;0000088;0000013;0001009;0000588
deepdetect,12,11k_Hands::0000013::Hand_0000508,0000013,1,True,50,cascade,multiple,mean,0000013;0001033;0001535;0000506;0000588
loftr,16,11k_Hands::0001009::Hand_0009218,0001009,1,True,50,cascade,multiple,mean,0001009;0001532;0001039;0001035;0001567
orb-fingervein,16,11k_Hands::0001009::Hand_0009218,0001009,1,True,50,cascade,multiple,mean,0001009;0001532;0001039;0001567;0001587
sift-fingervein,16,11k_Hands::0001009::Hand_0009218,0001009,1,True,50,cascade,multiple,mean,0001009;0001039;0001532;0001567;0001559
superglue-fingervein,16,11k_Hands::0001009::Hand_0009218,0001009,1,True,50,cascade,multiple,mean,0001009;0000065;0000063;0001532;0001567
sgmnet-fingervein,16,11k_Hands::0001009::Hand_0009218,0001009,1,True,50,cascade,multiple,mean,0001009;0001567;0001532;0001039;0001035
aspanformer,16,11k_Hands::0001009::Hand_0009218,0001009,2,False,50,cascade,multiple,mean,0001567;0001009;0000506;0000065;0001555
deepdetect,16,11k_Hands::0001009::Hand_0009218,0001009,1,True,50,cascade,multiple,mean,0001009;0001039;0001587;0001532;0001593
loftr,20,11k_Hands::0000588::Hand_0005837,0000588,1,True,50,cascade,multiple,mean,0000588;0001532;0000573;0000572;0001550
orb-fingervein,20,11k_Hands::0000588::Hand_0005837,0000588,1,True,50,cascade,multiple,mean,0000588;0001532;0001011;0000088;0000573
sift-fingervein,20,11k_Hands::0000588::Hand_0005837,0000588,1,True,50,cascade,multiple,mean,0000588;0001011;0001085;0001593;0000573
superglue-fingervein,20,11k_Hands::0000588::Hand_0005837,0000588,1,True,50,cascade,multiple,mean,0000588;0000572;0000573;0001588;0001532
sgmnet-fingervein,20,11k_Hands::0000588::Hand_0005837,0000588,1,True,50,cascade,multiple,mean,0000588;0000573;0001535;0001532;0001011
aspanformer,20,11k_Hands::0000588::Hand_0005837,0000588,2,False,50,cascade,multiple,mean,0000088;0000588;0001535;0001550;0000572
deepdetect,20,11k_Hands::0000588::Hand_0005837,0000588,1,True,50,cascade,multiple,mean,0000588;0001593;0001588;0001535;0001532
loftr,24,11k_Hands::0000574::Hand_0002100,0000574,1,True,50,cascade,multiple,mean,0000574;0000524;0000023;1200000;0001034
orb-fingervein,24,11k_Hands::0000574::Hand_0002100,0000574,1,True,50,cascade,multiple,mean,0000574;0001550;0001593;0001559;0001073
sift-fingervein,24,11k_Hands::0000574::Hand_0002100,0000574,1,True,50,cascade,multiple,mean,0000574;0001073;0001034;0001593;0000013
superglue-fingervein,24,11k_Hands::0000574::Hand_0002100,0000574,1,True,50,cascade,multiple,mean,0000574;1200000;0000524;0001518;0001532
sgmnet-fingervein,24,11k_Hands::0000574::Hand_0002100,0000574,1,True,50,cascade,multiple,mean,0000574;0001532;0001033;0001550;0001559
aspanformer,24,11k_Hands::0000574::Hand_0002100,0000574,2,False,50,cascade,multiple,mean,0000013;0000574;0001550;0000023;0000572
deepdetect,24,11k_Hands::0000574::Hand_0002100,0000574,1,True,50,cascade,multiple,mean,0000574;0000572;0001034;0001559;0000028
loftr,28,11k_Hands::0000506::Hand_0010533,0000506,1,True,50,cascade,multiple,mean,0000506;1200000;0000063;0001587;0000581
orb-fingervein,28,11k_Hands::0000506::Hand_0010533,0000506,1,True,50,cascade,multiple,mean,0000506;1200000;0001011;0000581;0000524
sift-fingervein,28,11k_Hands::0000506::Hand_0010533,0000506,1,True,50,cascade,multiple,mean,0000506;0001587;0000518;0001011;0000524
superglue-fingervein,28,11k_Hands::0000506::Hand_0010533,0000506,3,False,50,cascade,multiple,mean,0000581;0000524;0000506;1200000;0001559
sgmnet-fingervein,28,11k_Hands::0000506::Hand_0010533,0000506,1,True,50,cascade,multiple,mean,0000506;0000524;0000581;1200000;0001587
aspanformer,28,11k_Hands::0000506::Hand_0010533,0000506,2,False,50,cascade,multiple,mean,0001009;0000506;0001074;0000019;0000581
deepdetect,28,11k_Hands::0000506::Hand_0010533,0000506,1,True,50,cascade,multiple,mean,0000506;0001085;0000063;0001074;0000581
loftr,32,11k_Hands::0000084::Hand_0010300,0000084,1,True,50,cascade,multiple,mean,0000084;0001567;0000588;0001039;0001051
