matcher,probe_record_id,probe_sample_id,probe_identity,rank_of_true_identity,rank_1_hit,gallery_size,strategy,aggregation_method,top_5_identities
sift,4,11k_Hands::0001567::Hand_0003726,0001567,5,False,50,multiple,max,0001549;0001034;0001588;0001039;0001567
sift-fingervein,4,11k_Hands::0001567::Hand_0003726,0001567,1,True,50,multiple,max,0001567;0000574;0000524;0001003;0001518
sift,8,11k_Hands::0000088::Hand_0010570,0000088,8,False,50,multiple,max,0001039;0001555;0000023;0000028;0001090
sift-fingervein,8,11k_Hands::0000088::Hand_0010570,0000088,1,True,50,multiple,max,0000088;0001535;0001034;7000000;0001559
sift,12,11k_Hands::0000013::Hand_0000508,0000013,1,True,50,multiple,max,0000013;0000028;0000063;0001555;0001587
sift-fingervein,12,11k_Hands::0000013::Hand_0000508,0000013,1,True,50,multiple,max,0000013;0000581;0000063;0000065;0001011
sift,16,11k_Hands::0001009::Hand_0009218,0001009,5,False,50,multiple,max,7000000;0001073;0001549;0001003;0001009
sift-fingervein,16,11k_Hands::0001009::Hand_0009218,0001009,1,True,50,multiple,max,0001009;0000524;0001593;0000066;0001003
sift,20,11k_Hands::0000588::Hand_0005837,0000588,2,False,50,multiple,max,0001009;0000588;0000004;0001587;0000023
sift-fingervein,20,11k_Hands::0000588::Hand_0005837,0000588,1,True,50,multiple,max,0000588;0000013;0000084;0001592;0000028
sift,24,11k_Hands::0000574::Hand_0002100,0000574,5,False,50,multiple,max,0000023;0000581;0000573;0001549;0000574
sift-fingervein,24,11k_Hands::0000574::Hand_0002100,0000574,1,True,50,multiple,max,0000574;0000572;0001073;0001039;0001050
sift,28,11k_Hands::0000506::Hand_0010533,0000506,9,False,50,multiple,max,0001074;0001567;0001085;0001593;0001034
sift-fingervein,28,11k_Hands::0000506::Hand_0010533,0000506,1,True,50,multiple,max,0000506;0001588;0001587;0001085;0000063
sift,32,11k_Hands::0000084::Hand_0010300,0000084,2,False,50,multiple,max,0000067;0000084;0000546;0001003;0001550
sift-fingervein,32,11k_Hands::0000084::Hand_0010300,0000084,1,True,50,multiple,max,0000084;0001559;0001587;0001003;0001550
sift,36,11k_Hands::0001592::Hand_0000605,0001592,1,True,50,multiple,max,0001592;0001518;0000084;0001034;0000501
sift-fingervein,36,11k_Hands::0001592::Hand_0000605,0001592,1,True,50,multiple,max,0001592;0001039;0001593;0000573;0000506
sift,40,11k_Hands::0001535::Hand_0001116,0001535,1,True,50,multiple,max,0001535;1000000;0001011;0001039;0001588
sift-fingervein,40,11k_Hands::0001535::Hand_0001116,0001535,1,True,50,multiple,max,0001535;0001090;0000546;0001009;0001033
