matcher,probe_record_id,probe_sample_id,probe_identity,rank_of_true_identity,rank_1_hit,gallery_size,ranking_strategy,samples_per_gallery,aggregation_method,top_5_identities
loftr,4,11k_Hands::0001567::Hand_0003743,0001567,1,True,50,cascade,multiple,mean,0001567;0000573;0000546;0001039;0000084
orb-fingervein,4,11k_Hands::0001567::Hand_0003743,0001567,1,True,50,cascade,multiple,mean,0001567;0000573;0000066;0000546;0001009
sift-fingervein,4,11k_Hands::0001567::Hand_0003743,0001567,1,True,50,cascade,multiple,mean,0001567;0000573;0000066;0000084;0000501
superglue-fingervein,4,11k_Hands::0001567::Hand_0003743,0001567,1,True,50,cascade,multiple,mean,0001567;0001039;0000546;0001073;0000573
sgmnet-fingervein,4,11k_Hands::0001567::Hand_0003743,0001567,1,True,50,cascade,multiple,mean,0001567;0000588;0001073;0001009;0000573
aspanformer,4,11k_Hands::0001567::Hand_0003743,0001567,1,True,50,cascade,multiple,mean,0001567;0001009;0000588;0000084;0001550
deepdetect,4,11k_Hands::0001567::Hand_0003743,0001567,1,True,50,cascade,multiple,mean,0001567;0000573;0000546;0001039;0000501
loftr,8,11k_Hands::0000088::Hand_0010577,0000088,1,True,50,cascade,multiple,mean,0000088;0000573;0000506;0000588;0000546
orb-fingervein,8,11k_Hands::0000088::Hand_0010577,0000088,1,True,50,cascade,multiple,mean,0000088;0000588;0000506;0000546;0000573
sift-fingervein,8,11k_Hands::0000088::Hand_0010577,0000088,1,True,50,cascade,multiple,mean,0000088;0000573;0000588;0000501;0000066
superglue-fingervein,8,11k_Hands::0000088::Hand_0010577,0000088,1,True,50,cascade,multiple,mean,0000088;0000573;0000588;0000019;0000506
sgmnet-fingervein,8,11k_Hands::0000088::Hand_0010577,0000088,1,True,50,cascade,multiple,mean,0000088;0000573;0001009;0000066;0000588
aspanformer,8,11k_Hands::0000088::Hand_0010577,0000088,2,False,50,cascade,multiple,mean,0001567;0000088;0000019;0001009;0000588
deepdetect,8,11k_Hands::0000088::Hand_0010577,0000088,1,True,50,cascade,multiple,mean,0000088;2000000;0000506;0000573;0001034
loftr,12,11k_Hands::0000019::Hand_0000449,0000019,1,True,50,cascade,multiple,mean,0000019;0000574;0000008;0000546;0001555
orb-fingervein,12,11k_Hands::0000019::Hand_0000449,0000019,1,True,50,cascade,multiple,mean,0000019;2000000;0000008;0000546;0001011
sift-fingervein,12,11k_Hands::0000019::Hand_0000449,0000019,1,True,50,cascade,multiple,mean,0000019;0001535;0000546;0001011;0001003
superglue-fingervein,12,11k_Hands::0000019::Hand_0000449,0000019,1,True,50,cascade,multiple,mean,0000019;0000574;0000546;0001074;0000008
sgmnet-fingervein,12,11k_Hands::0000019::Hand_0000449,0000019,1,True,50,cascade,multiple,mean,0000019;0001074;0000518;0001011;7000000
aspanformer,12,11k_Hands::0000019::Hand_0000449,0000019,1,True,50,cascade,multiple,mean,0000019;0001009;0000574;0001535;0001074
deepdetect,12,11k_Hands::0000019::Hand_0000449,0000019,1,True,50,cascade,multiple,mean,0000019;0000546;0000524;0001009;0000574
loftr,16,11k_Hands::0001009::Hand_0009224,0001009,1,True,50,cascade,multiple,mean,0001009;0000588;0000506;0000084;0000546
orb-fingervein,16,11k_Hands::0001009::Hand_0009224,0001009,1,True,50,cascade,multiple,mean,0001009;0001567;0000546;0001518;0000506
