matcher,probe_record_id,probe_sample_id,probe_identity,rank_of_true_identity,rank_1_hit,gallery_size,ranking_strategy,samples_per_gallery,aggregation_method,top_5_identities
loftr,4,AMF-Iris::saadi::6::Left,saadi,1,True,50,cascade,multiple,mean,saadi;maria;abas;huda;wisam
orb-fingervein,4,AMF-Iris::saadi::6::Left,saadi,1,True,50,cascade,multiple,mean,saadi;muhand;omar;ameina;wathah
orb,4,AMF-Iris::saadi::6::Left,saadi,1,True,50,cascade,multiple,mean,saadi;ameina;abas;wathah;daood
sift-fingervein,4,AMF-Iris::saadi::6::Left,saadi,1,True,50,cascade,multiple,mean,saadi;loai;maria;ameina;wisam
sift,4,AMF-Iris::saadi::6::Left,saadi,1,True,50,cascade,multiple,mean,saadi;wisam;ameina;abas;wathah
superglue-fingervein,4,AMF-Iris::saadi::6::Left,saadi,1,True,50,cascade,multiple,mean,saadi;kamal;maria;loai;omar
superglue,4,AMF-Iris::saadi::6::Left,saadi,4,False,50,cascade,multiple,mean,omar;daood;muhand;saadi;wisam
sgmnet-fingervein,4,AMF-Iris::saadi::6::Left,saadi,1,True,50,cascade,multiple,mean,saadi;loai;basam;maria;abas
sgmnet,4,AMF-Iris::saadi::6::Left,saadi,1,True,50,cascade,multiple,mean,saadi;abas;maria;basam;ameina
aspanformer,4,AMF-Iris::saadi::6::Left,saadi,1,True,50,cascade,multiple,mean,saadi;wisam;huda;kamal;daood
deepdetect,4,AMF-Iris::saadi::6::Left,saadi,1,True,50,cascade,multiple,mean,saadi;loai;daood;ameina;abas
loftr,8,AMF-Iris::ameina::4::Left,ameina,1,True,50,cascade,multiple,mean,ameina;wathah;ameer;anas;abas
orb-fingervein,8,AMF-Iris::ameina::4::Left,ameina,1,True,50,cascade,multiple,mean,ameina;anas;sirag;basam;fuaad
orb,8,AMF-Iris::ameina::4::Left,ameina,1,True,50,cascade,multiple,mean,ameina;sirag;mohamad;daood;abas
sift-fingervein,8,AMF-Iris::ameina::4::Left,ameina,1,True,50,cascade,multiple,mean,ameina;rafa;sirag;fuaad;mohamad
sift,8,AMF-Iris::ameina::4::Left,ameina,1,True,50,cascade,multiple,mean,ameina;ahmed;saadi;abas;wathah
superglue-fingervein,8,AMF-Iris::ameina::4::Left,ameina,1,True,50,cascade,multiple,mean,ameina;ahmed;ameer;rafa;anas
superglue,8,AMF-Iris::ameina::4::Left,ameina,12,False,50,cascade,multiple,mean,ameer;daood;zaid;saadi;rafa
sgmnet-fingervein,8,AMF-Iris::ameina::4::Left,ameina,1,True,50,cascade,multiple,mean,ameina;zaid;mohamad;wathah;rafa
sgmnet,8,AMF-Iris::ameina::4::Left,ameina,1,True,50,cascade,multiple,mean,ameina;mohamad;ameer;daood;saadi
aspanformer,8,AMF-Iris::ameina::4::Left,ameina,1,True,50,cascade,multiple,mean,ameina;sirag;basam;mohamad;abas
deepdetect,8,AMF-Iris::ameina::4::Left,ameina,1,True,50,cascade,multiple,mean,ameina;anas;zaid;wathah;ameer
loftr,12,AMF-Iris::abas::8::Left,abas,1,True,50,cascade,multiple,mean,abas;zakaria;mohamad;fars;khalid
orb-fingervein,12,AMF-Iris::abas::8::Left,abas,1,True,50,cascade,multiple,mean,abas;fars;zahraa;zakaria;rasha
orb,12,AMF-Iris::abas::8::Left,abas,1,True,50,cascade,multiple,mean,abas;daood;mohamad;zahraa;rasha
sift-fingervein,12,AMF-Iris::abas::8::Left,abas,1,True,50,cascade,multiple,mean,abas;daood;baydaa;rasha;zakaria
sift,12,AMF-Iris::abas::8::Left,abas,1,True,50,cascade,multiple,mean,abas;yaseen;zaid;mohamad;daood
superglue-fingervein,12,AMF-Iris::abas::8::Left,abas,1,True,50,cascade,multiple,mean,abas;aadil;zahraa;zakaria;daood
superglue,12,AMF-Iris::abas::8::Left,abas,4,False,50,cascade,multiple,mean,daood;zahraa;assem;abas;rasha
sgmnet-fingervein,12,AMF-Iris::abas::8::Left,abas,1,True,50,cascade,multiple,mean,abas;zaid;arwa;rasha;fars
sgmnet,12,AMF-Iris::abas::8::Left,abas,1,True,50,cascade,multiple,mean,abas;zaid;daood;rasha;huda
aspanformer,12,AMF-Iris::abas::8::Left,abas,1,True,50,cascade,multiple,mean,abas;aadil;mohamad;khalid;yaseen
deepdetect,12,AMF-Iris::abas::8::Left,abas,1,True,50,cascade,multiple,mean,abas;aadil;yaseen;zaid;mohamad
loftr,16,AMF-Iris::wathah::0::Left,wathah,1,True,50,cascade,multiple,mean,wathah;abas;aadil;ayad;omar
orb-fingervein,16,AMF-Iris::wathah::0::Left,wathah,1,True,50,cascade,multiple,mean,wathah;elaf;saadi;rafa;omar
orb,16,AMF-Iris::wathah::0::Left,wathah,5,False,50,cascade,multiple,mean,wisam;saadi;ameina;abas;wathah
sift-fingervein,16,AMF-Iris::wathah::0::Left,wathah,1,True,50,cascade,multiple,mean,wathah;ayad;aadil;wisam;anas
sift,16,AMF-Iris::wathah::0::Left,wathah,1,True,50,cascade,multiple,mean,wathah;daood;saadi;ameina;abas
superglue-fingervein,16,AMF-Iris::wathah::0::Left,wathah,1,True,50,cascade,multiple,mean,wathah;ayad;abas;daood;ahmed
superglue,16,AMF-Iris::wathah::0::Left,wathah,5,False,50,cascade,multiple,mean,abas;ahmed;ayad;arwa;wathah
sgmnet-fingervein,16,AMF-Iris::wathah::0::Left,wathah,1,True,50,cascade,multiple,mean,wathah;arwa;ameina;saadi;wisam
sgmnet,16,AMF-Iris::wathah::0::Left,wathah,3,False,50,cascade,multiple,mean,arwa;abas;wathah;anas;wisam
aspanformer,16,AMF-Iris::wathah::0::Left,wathah,1,True,50,cascade,multiple,mean,wathah;wisam;ayad;rafa;saadi
