experiment_folder,experiment_title,base_matcher,matcher,modality,dataset,dataset_file,config_file,summary_file,ranking_strategy,shortlist_k,shortlist_matcher,probes_per_identity,gallery_samples_per_identity,num_probes,num_valid_ranks,rank_1_accuracy,rank_5_accuracy,rank_10_accuracy,rank_15_accuracy,mean_average_precision,mean_rank,median_rank,std_rank
iris_amf_50_1_3_left_masked_crop_all_matchers_cached_cascade_retest,"Identification test experiment iris amf 50 identities 1 probe 3 gallery masked all matchers cached cascade, retest",loftr,loftr,iris,amf,bioverify/data/identification/identification_iris_amf_50_1_3_left.csv,results\identification\iris_amf_50_1_3_left_masked_crop_all_matchers_cached_cascade_retest\config.yaml,results\identification\iris_amf_50_1_3_left_masked_crop_all_matchers_cached_cascade_retest\summary.json,cascade,15,sift-fingervein,1,3,50,50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
iris_amf_50_1_3_left_masked_crop_all_matchers_cached_cascade_retest,"Identification test experiment iris amf 50 identities 1 probe 3 gallery masked all matchers cached cascade, retest",orb,orb-fingervein,iris,amf,bioverify/data/identification/identification_iris_amf_50_1_3_left.csv,results\identification\iris_amf_50_1_3_left_masked_crop_all_matchers_cached_cascade_retest\config.yaml,results\identification\iris_amf_50_1_3_left_masked_crop_all_matchers_cached_cascade_retest\summary.json,cascade,15,sift-fingervein,1,3,50,50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
iris_amf_50_1_3_left_masked_crop_all_matchers_cached_cascade_retest,"Identification test experiment iris amf 50 identities 1 probe 3 gallery masked all matchers cached cascade, retest",orb,orb,iris,amf,bioverify/data/identification/identification_iris_amf_50_1_3_left.csv,results\identification\iris_amf_50_1_3_left_masked_crop_all_matchers_cached_cascade_retest\config.yaml,results\identification\iris_amf_50_1_3_left_masked_crop_all_matchers_cached_cascade_retest\summary.json,cascade,15,sift-fingervein,1,3,50,50,0.56,0.7,0.8,1.0,0.64205772005772,4.38,1.0,4.753482933597217
iris_amf_50_1_3_left_masked_crop_all_matchers_cached_cascade_retest,"Identification test experiment iris amf 50 identities 1 probe 3 gallery masked all matchers cached cascade, retest",sift,sift-fingervein,iris,amf,bioverify/data/identification/identification_iris_amf_50_1_3_left.csv,results\identification\iris_amf_50_1_3_left_masked_crop_all_matchers_cached_cascade_retest\config.yaml,results\identification\iris_amf_50_1_3_left_masked_crop_all_matchers_cached_cascade_retest\summary.json,cascade,15,sift-fingervein,1,3,50,50,0.94,1.0,1.0,1.0,0.9666666666666666,1.08,1.0,0.3370459909270544
iris_amf_50_1_3_left_masked_crop_all_matchers_cached_cascade_retest,"Identification test experiment iris amf 50 identities 1 probe 3 gallery masked all matchers cached cascade, retest",sift,sift,iris,amf,bioverify/data/identification/identification_iris_amf_50_1_3_left.csv,results\identification\iris_amf_50_1_3_left_masked_crop_all_matchers_cached_cascade_retest\config.yaml,results\identification\iris_amf_50_1_3_left_masked_crop_all_matchers_cached_cascade_retest\summary.json,cascade,15,sift-fingervein,1,3,50,50,0.82,0.9,0.94,1.0,0.8657467532467532,2.16,1.0,3.270229349755151
iris_amf_50_1_3_left_masked_crop_all_matchers_cached_cascade_retest,"Identification test experiment iris amf 50 identities 1 probe 3 gallery masked all matchers cached cascade, retest",superglue,superglue-fingervein,iris,amf,bioverify/data/identification/identification_iris_amf_50_1_3_left.csv,results\identification\iris_amf_50_1_3_left_masked_crop_all_matchers_cached_cascade_retest\config.yaml,results\identification\iris_amf_50_1_3_left_masked_crop_all_matchers_cached_cascade_retest\summary.json,cascade,15,sift-fingervein,1,3,50,50,0.9,1.0,1.0,1.0,0.95,1.1,1.0,0.3
iris_amf_50_1_3_left_masked_crop_all_matchers_cached_cascade_retest,"Identification test experiment iris amf 50 identities 1 probe 3 gallery masked all matchers cached cascade, retest",superglue,superglue,iris,amf,bioverify/data/identification/identification_iris_amf_50_1_3_left.csv,results\identification\iris_amf_50_1_3_left_masked_crop_all_matchers_cached_cascade_retest\config.yaml,results\identification\iris_amf_50_1_3_left_masked_crop_all_matchers_cached_cascade_retest\summary.json,cascade,15,sift-fingervein,1,3,50,50,0.12,0.58,0.94,1.0,0.31382683982683984,5.4,5.0,3.111269837220809
iris_amf_50_1_3_left_masked_crop_all_matchers_cached_cascade_retest,"Identification test experiment iris amf 50 identities 1 probe 3 gallery masked all matchers cached cascade, retest",sgmnet,sgmnet-fingervein,iris,amf,bioverify/data/identification/identification_iris_amf_50_1_3_left.csv,results\identification\iris_amf_50_1_3_left_masked_crop_all_matchers_cached_cascade_retest\config.yaml,results\identification\iris_amf_50_1_3_left_masked_crop_all_matchers_cached_cascade_retest\summary.json,cascade,15,sift-fingervein,1,3,50,50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
iris_amf_50_1_3_left_masked_crop_all_matchers_cached_cascade_retest,"Identification test experiment iris amf 50 identities 1 probe 3 gallery masked all matchers cached cascade, retest",sgmnet,sgmnet,iris,amf,bioverify/data/identification/identification_iris_amf_50_1_3_left.csv,results\identification\iris_amf_50_1_3_left_masked_crop_all_matchers_cached_cascade_retest\config.yaml,results\identification\iris_amf_50_1_3_left_masked_crop_all_matchers_cached_cascade_retest\summary.json,cascade,15,sift-fingervein,1,3,50,50,0.82,0.98,1.0,1.0,0.8841904761904762,1.44,1.0,1.1859173664298874
iris_amf_50_1_3_left_masked_crop_all_matchers_cached_cascade_retest,"Identification test experiment iris amf 50 identities 1 probe 3 gallery masked all matchers cached cascade, retest",aspanformer,aspanformer,iris,amf,bioverify/data/identification/identification_iris_amf_50_1_3_left.csv,results\identification\iris_amf_50_1_3_left_masked_crop_all_matchers_cached_cascade_retest\config.yaml,results\identification\iris_amf_50_1_3_left_masked_crop_all_matchers_cached_cascade_retest\summary.json,cascade,15,sift-fingervein,1,3,50,50,0.96,1.0,1.0,1.0,0.98,1.04,1.0,0.19595917942265428
iris_amf_50_1_3_left_masked_crop_all_matchers_cached_cascade_retest,"Identification test experiment iris amf 50 identities 1 probe 3 gallery masked all matchers cached cascade, retest",deepdetect,deepdetect,iris,amf,bioverify/data/identification/identification_iris_amf_50_1_3_left.csv,results\identification\iris_amf_50_1_3_left_masked_crop_all_matchers_cached_cascade_retest\config.yaml,results\identification\iris_amf_50_1_3_left_masked_crop_all_matchers_cached_cascade_retest\summary.json,cascade,15,sift-fingervein,1,3,50,50,0.68,0.94,1.0,1.0,0.7963809523809523,1.78,1.0,1.5269577597301112
