matcher,probe_record_id,probe_sample_id,probe_identity,rank_of_true_identity,rank_1_hit,gallery_size,ranking_strategy,samples_per_gallery,aggregation_method,top_5_identities
loftr,4,CASIA-Iris-Thousand::654::03::L,654,1,True,50,cascade,multiple,mean,654;159;980;142;114
orb-fingervein,4,CASIA-Iris-Thousand::654::03::L,654,1,True,50,cascade,multiple,mean,654;238;142;759;980
orb,4,CASIA-Iris-Thousand::654::03::L,654,1,True,50,cascade,multiple,mean,654;980;114;759;025
sift-fingervein,4,CASIA-Iris-Thousand::654::03::L,654,1,True,50,cascade,multiple,mean,654;114;754;228;281
sift,4,CASIA-Iris-Thousand::654::03::L,654,2,False,50,cascade,multiple,mean,980;654;114;025;759
superglue-fingervein,4,CASIA-Iris-Thousand::654::03::L,654,9,False,50,cascade,multiple,mean,250;159;890;714;281
superglue,4,CASIA-Iris-Thousand::654::03::L,654,13,False,50,cascade,multiple,mean,714;025;890;142;517
sgmnet-fingervein,4,CASIA-Iris-Thousand::654::03::L,654,2,False,50,cascade,multiple,mean,159;654;250;714;517
sgmnet,4,CASIA-Iris-Thousand::654::03::L,654,8,False,50,cascade,multiple,mean,159;281;759;114;890
aspanformer,4,CASIA-Iris-Thousand::654::03::L,654,2,False,50,cascade,multiple,mean,980;654;159;714;250
deepdetect,4,CASIA-Iris-Thousand::654::03::L,654,2,False,50,cascade,multiple,mean,238;654;714;980;142
loftr,8,CASIA-Iris-Thousand::114::02::L,114,1,True,50,cascade,multiple,mean,114;228;223;754;032
orb-fingervein,8,CASIA-Iris-Thousand::114::02::L,114,1,True,50,cascade,multiple,mean,114;223;344;104;759
orb,8,CASIA-Iris-Thousand::114::02::L,114,1,True,50,cascade,multiple,mean,114;228;517;754;223
sift-fingervein,8,CASIA-Iris-Thousand::114::02::L,114,1,True,50,cascade,multiple,mean,114;223;517;754;654
sift,8,CASIA-Iris-Thousand::114::02::L,114,1,True,50,cascade,multiple,mean,114;142;228;344;654
superglue-fingervein,8,CASIA-Iris-Thousand::114::02::L,114,2,False,50,cascade,multiple,mean,603;114;759;517;032
superglue,8,CASIA-Iris-Thousand::114::02::L,114,11,False,50,cascade,multiple,mean,654;104;142;032;281
sgmnet-fingervein,8,CASIA-Iris-Thousand::114::02::L,114,1,True,50,cascade,multiple,mean,114;517;759;281;228
sgmnet,8,CASIA-Iris-Thousand::114::02::L,114,1,True,50,cascade,multiple,mean,114;104;754;344;250
aspanformer,8,CASIA-Iris-Thousand::114::02::L,114,1,True,50,cascade,multiple,mean,114;754;228;759;104
deepdetect,8,CASIA-Iris-Thousand::114::02::L,114,5,False,50,cascade,multiple,mean,223;142;228;344;114
loftr,12,CASIA-Iris-Thousand::025::09::L,025,2,False,50,cascade,multiple,mean,159;025;250;089;281
orb-fingervein,12,CASIA-Iris-Thousand::025::09::L,025,5,False,50,cascade,multiple,mean,142;104;032;692;025
orb,12,CASIA-Iris-Thousand::025::09::L,025,3,False,50,cascade,multiple,mean,654;114;025;759;281
sift-fingervein,12,CASIA-Iris-Thousand::025::09::L,025,1,True,50,cascade,multiple,mean,025;159;348;114;281
sift,12,CASIA-Iris-Thousand::025::09::L,025,3,False,50,cascade,multiple,mean,654;114;025;759;281
superglue-fingervein,12,CASIA-Iris-Thousand::025::09::L,025,11,False,50,cascade,multiple,mean,692;159;281;654;114
superglue,12,CASIA-Iris-Thousand::025::09::L,025,3,False,50,cascade,multiple,mean,104;159;025;228;348
sgmnet-fingervein,12,CASIA-Iris-Thousand::025::09::L,025,2,False,50,cascade,multiple,mean,250;025;159;032;348
sgmnet,12,CASIA-Iris-Thousand::025::09::L,025,13,False,50,cascade,multiple,mean,228;250;281;114;759
aspanformer,12,CASIA-Iris-Thousand::025::09::L,025,3,False,50,cascade,multiple,mean,159;250;025;228;032
deepdetect,12,CASIA-Iris-Thousand::025::09::L,025,4,False,50,cascade,multiple,mean,754;348;159;025;142
loftr,16,CASIA-Iris-Thousand::759::06::L,759,1,True,50,cascade,multiple,mean,759;094;163;558;281
orb-fingervein,16,CASIA-Iris-Thousand::759::06::L,759,1,True,50,cascade,multiple,mean,759;025;094;665;228
orb,16,CASIA-Iris-Thousand::759::06::L,759,1,True,50,cascade,multiple,mean,759;654;114;025;281
sift-fingervein,16,CASIA-Iris-Thousand::759::06::L,759,1,True,50,cascade,multiple,mean,759;220;032;228;225
sift,16,CASIA-Iris-Thousand::759::06::L,759,1,True,50,cascade,multiple,mean,759;025;220;654;114
superglue-fingervein,16,CASIA-Iris-Thousand::759::06::L,759,4,False,50,cascade,multiple,mean,665;558;114;759;032
superglue,16,CASIA-Iris-Thousand::759::06::L,759,8,False,50,cascade,multiple,mean,225;163;025;459;220
sgmnet-fingervein,16,CASIA-Iris-Thousand::759::06::L,759,1,True,50,cascade,multiple,mean,759;114;665;032;228
sgmnet,16,CASIA-Iris-Thousand::759::06::L,759,9,False,50,cascade,multiple,mean,228;114;032;459;654
aspanformer,16,CASIA-Iris-Thousand::759::06::L,759,1,True,50,cascade,multiple,mean,759;163;616;032;094
deepdetect,16,CASIA-Iris-Thousand::759::06::L,759,3,False,50,cascade,multiple,mean,025;616;759;281;220
loftr,20,CASIA-Iris-Thousand::281::08::L,281,2,False,50,cascade,multiple,mean,030;281;284;603;089
orb-fingervein,20,CASIA-Iris-Thousand::281::08::L,281,1,True,50,cascade,multiple,mean,281;025;095;754;389
orb,20,CASIA-Iris-Thousand::281::08::L,281,1,True,50,cascade,multiple,mean,281;654;114;025;759
sift-fingervein,20,CASIA-Iris-Thousand::281::08::L,281,1,True,50,cascade,multiple,mean,281;095;389;665;754
sift,20,CASIA-Iris-Thousand::281::08::L,281,6,False,50,cascade,multiple,mean,025;032;114;654;759
superglue-fingervein,20,CASIA-Iris-Thousand::281::08::L,281,5,False,50,cascade,multiple,mean,980;284;654;032;281
superglue,20,CASIA-Iris-Thousand::281::08::L,281,13,False,50,cascade,multiple,mean,754;665;032;114;095
sgmnet-fingervein,20,CASIA-Iris-Thousand::281::08::L,281,3,False,50,cascade,multiple,mean,030;284;281;114;980
sgmnet,20,CASIA-Iris-Thousand::281::08::L,281,5,False,50,cascade,multiple,mean,284;114;389;980;281
aspanformer,20,CASIA-Iris-Thousand::281::08::L,281,3,False,50,cascade,multiple,mean,030;758;281;603;980
deepdetect,20,CASIA-Iris-Thousand::281::08::L,281,2,False,50,cascade,multiple,mean,389;281;665;030;025
